date, pm25, pm10, o3, no2, so2, co
2020/1/2, 58, 45, 33, 6, 2, 
2020/1/3, 48, 29, 32, 2, 1, 
2020/1/4, 31, 20, 30, 2, 1, 
2020/1/5, 28, 17, 30, 3, 1, 
2020/1/6, 24, 24, 33, 3, , 
2020/1/7, 31, 27, 30, 4, , 
2020/1/8, 34, 57, 31, 4, , 
2020/1/9, 67, 25, 28, 4, 1, 
2020/1/10, 36, 21, 33, 2, , 
2020/1/11, 24, 23, 33, 2, , 
2020/1/12, 26, 42, 32, 3, 1, 
2020/1/13, 44, 43, 34, 6, 2, 
2020/1/14, 50, 55, 32, 6, 1, 
2020/1/15, 64, 65, 31, 2, 2, 
2020/1/16, 75, , , , , 
2019/10/1, 47, 41, 18, 10, 1, 
2019/10/2, 50, 33, 17, 10, 2, 
2019/10/3, 40, 30, 16, 9, 2, 
2019/10/4, 37, 25, 17, 4, 1, 
2019/10/5, 32, 22, 27, 2, 1, 
2019/10/6, 28, 29, 27, 5, 1, 
2019/10/7, 38, 31, 26, 4, , 
2019/10/8, 40, 27, 24, 4, 1, 
2019/10/9, 37, 28, 27, 5, 1, 
2019/10/10, 44, 26, 25, 8, , 
2019/10/11, 45, 18, 24, 3, , 
2019/10/12, 30, 17, 22, 6, , 
2019/10/13, 28, 13, 25, 7, , 
2019/10/14, 24, 14, 29, 5, 1, 
2019/10/15, 24, 14, 28, 5, , 
2019/10/16, 24, 13, 30, 5, 1, 
2019/10/17, 23, 12, , , , 
2019/10/18, 22, , , , , 
2019/10/22, 113, 36, 30, 4, 1, 
2019/10/23, 113, 19, 33, 3, 1, 
2019/10/24, 81, 25, 30, 10, 2, 
2019/10/25, 89, 37, 22, 16, 3, 
2019/10/26, 42, 44, 20, 13, 3, 
2019/10/27, 50, 45, 22, 11, 2, 
2019/10/28, 51, 40, 20, 10, 2, 
2019/10/29, 46, 47, 20, 10, 3, 
2019/10/30, 51, 39, 17, 8, 3, 
2019/10/31, 41, 44, 18, 4, 2, 
2019/11/1, 32, 52, 16, 11, 6, 
2019/11/2, 43, 63, 18, 11, 5, 
2019/11/3, 67, 44, 28, 12, 3, 
2019/11/4, 35, 31, 28, 5, 2, 
2019/11/5, 20, 39, 31, 5, 2, 
2019/11/6, 23, 31, 28, 5, 1, 
2019/11/7, 18, 31, 28, 5, 2, 
2019/11/8, 26, 38, 31, 2, 2, 
2019/11/9, 31, 43, 30, 4, 2, 
2019/11/10, 30, 43, 29, 4, 1, 
2019/11/11, 35, 28, 28, 4, 2, 
2019/11/12, 32, 24, 27, 5, 2, 
2019/11/13, 35, 21, 29, 5, 2, 
2019/11/14, 31, 26, 32, 5, 2, 
2019/11/15, 26, 25, 29, 2, 1, 
2019/11/16, 25, 22, 31, 2, 2, 
2019/11/17, 24, 18, 27, 4, 2, 
2019/11/18, 20, 15, 25, 9, 4, 
2019/11/19, 25, 16, 23, 10, 2, 
2019/11/20, 25, 19, 30, 6, 2, 
2019/11/21, 21, 18, 29, 8, 3, 
2019/11/22, 24, 18, 20, 7, 3, 
2019/11/23, 21, 15, 25, 4, 2, 
2019/11/24, 17, 17, 26, 4, 1, 
2019/11/25, 20, 17, 23, 4, 2, 
