date, pm10, o3, no2
2020/1/2, 19, 10, 12
2020/1/3, 15, 24, 8
2020/1/4, 10, 21, 6
2020/1/5, 7, 6, 11
2020/1/6, 11, 15, 15
2020/1/7, 15, 6, 15
2020/1/8, 10, 14, 18
2020/1/9, 12, 28, 12
2020/1/10, 7, 20, 7
2020/1/11, 5, 10, 10
2020/1/12, 12, 3, 12
2020/1/13, 16, 18, 15
2020/1/14, 14, 25, 15
2020/1/15, 9, 24, 12
2020/1/16, 9, , 
2019/10/1, 8, 25, 4
2019/10/2, 7, 28, 5
2019/10/3, 6, 19, 8
2019/10/4, 8, 23, 5
2019/10/5, 7, 15, 3
2019/10/6, 9, 25, 5
2019/10/7, 8, 17, 8
2019/10/8, 9, 25, 7
2019/10/9, 8, 26, 4
2019/10/10, 5, 19, 6
2019/10/11, 7, 26, 8
2019/10/12, 9, 21, 7
2019/10/13, 10, 19, 7
2019/10/14, 12, 29, 9
2019/10/15, 15, 28, 6
2019/10/16, 8, 24, 8
2019/10/17, 8, 16, 9
2019/10/18, 10, 19, 6
2019/10/19, 8, 7, 6
2019/10/20, 11, 16, 6
2019/10/21, 16, 8, 7
2019/10/22, 13, 8, 8
2019/10/23, 20, 13, 8
2019/10/24, 20, 25, 10
2019/10/25, 13, 8, 9
2019/10/26, 12, 22, 8
2019/10/27, 14, 8, 8
2019/10/28, 14, 10, 7
2019/10/29, 12, 13, 7
2019/10/30, 11, 8, 7
2019/10/31, 11, 4, 9
2019/11/1, 17, 21, 8
2019/11/2, 11, 26, 4
2019/11/3, 6, 25, 4
2019/11/4, 5, 26, 6
2019/11/5, 6, 20, 8
2019/11/6, 6, 11, 11
2019/11/7, 7, 19, 10
2019/11/8, 7, 12, 12
2019/11/9, 11, 12, 8
2019/11/10, 12, 13, 8
2019/11/11, 15, 24, 10
2019/11/13, 7, 7, 12
2019/11/14, 8, 11, 15
2019/11/15, 13, 10, 13
2019/11/16, 13, 8, 10
2019/11/17, 17, 24, 8
2019/11/18, 8, 8, 12
2019/11/20, 16, 12, 11
