date, pm25, pm10, no2, so2, co
2020/1/1, 40, 13, 10, 2, 
2020/1/2, 37, 33, 22, 4, 
2020/1/3, 86, 35, 18, 4, 
2020/1/4, 88, 25, 11, 7, 
2020/1/5, 65, 7, 6, 2, 
2020/1/6, 16, 11, 12, 2, 
2020/1/7, 30, 28, 21, 4, 
2020/1/8, 69, 34, 22, 4, 
2020/1/9, 81, 40, 22, 6, 
2020/1/10, 98, 53, 22, 10, 
2020/1/11, 123, 54, 20, 10, 
2020/1/12, 126, 43, 20, 9, 
2020/1/13, 104, 34, 17, 8, 
2020/1/14, 88, 39, 21, 8, 
2020/1/15, 97, 32, 17, 5, 
2020/1/16, 83, , , , 
2019/11/6, 999, 337, 162, 59, 
2019/11/7, 354, 29, 16, 4, 
2019/11/8, 54, 22, 18, 4, 
2019/11/9, 48, 25, 11, 3, 
2019/11/10, 60, 19, 18, 4, 
2019/11/11, 37, 27, 13, 3, 
2019/11/12, 51, 30, 17, 3, 
2019/11/13, 56, , , , 
2019/11/15, 54, 34, 20, 4, 
2019/11/16, 69, 28, 16, 5, 
2019/11/17, 61, 29, 17, 4, 
2019/11/18, 68, 26, 19, 4, 
2019/11/19, 59, 29, 18, 4, 
2019/11/20, 63, 22, 20, 3, 
2019/11/21, 55, 28, 20, 4, 
2019/11/22, 53, 35, 20, 4, 
2019/11/23, 68, 26, 14, 4, 
2019/11/24, 59, 16, 17, 4, 
2019/11/25, 38, 23, 17, 4, 
2019/11/26, 51, 27, 16, 4, 
2019/11/27, 66, 23, 13, 4, 
2019/11/28, 55, 27, 15, 4, 
2019/11/29, 55, 28, 13, 3, 
2019/11/30, 57, 28, 13, 3, 
2019/12/1, 70, 27, 16, 3, 
2019/12/2, 60, 28, 23, 5, 
2019/12/3, 69, , , , 
2019/12/5, 54, 31, 17, 4, 
2019/12/6, 76, 39, 18, 5, 
2019/12/7, 96, 30, 14, 4, 
2019/12/8, 72, 29, 17, 4, 
2019/12/9, 72, 34, 18, 5, 
2019/12/10, 89, 21, 17, 4, 
2019/12/11, 57, 28, 17, 4, 
2019/12/12, 63, 34, 17, 4, 
2019/12/13, 55, , 14, 4, 
2019/12/20, 73, 87, 12, 5, 
2019/12/21, 120, 51, 5, 3, 
2019/12/22, 73, 29, 13, 3, 
2019/12/23, 58, 23, 14, 4, 
2019/12/24, 56, 19, 8, 2, 
2019/12/25, 52, , , , 
2019/12/27, 84, 21, 14, 3, 
2019/12/28, 59, , , , 
2019/12/31, , 13, 10, 3, 
2019/11/5, , 999, 500, 500, 
2019/11/14, , 27, 22, 4, 
2019/12/4, , 23, 20, 4, 
2019/12/19, , 36, 18, 5, 
2019/12/26, , 33, 18, 4, 
2019/12/14, , , 19, 6, 
2019/12/15, , , 17, 8, 
2019/12/17, , , 19, 6, 
2019/12/18, , , 19, 7, 
