date, pm25, pm10
2020/1/2, 18, 15
2020/1/3, 39, 37
2020/1/4, 96, 7
2020/1/5, 9, 18
2020/1/6, 49, 19
2020/1/7, 57, 9
2020/1/8, 27, 7
2020/1/9, 17, 13
2020/1/10, 36, 3
2020/1/11, 6, 3
2020/1/12, 7, 10
2020/1/13, 36, 37
2020/1/14, 98, 19
2020/1/15, 52, 11
2020/1/16, 29, 
2019/10/1, 40, 5
2019/10/2, 15, 9
2019/10/3, 24, 3
2019/10/4, 11, 4
2019/10/5, 11, 6
2019/10/6, 20, 4
2019/10/7, 13, 2
2019/10/8, 11, 4
2019/10/9, 24, 2
2019/10/10, 12, 1
2019/10/11, 5, 3
2019/10/12, 12, 6
2019/10/13, 22, 6
2019/10/14, 20, 3
2019/10/15, 12, 3
2019/10/16, 10, 6
2019/10/17, 30, 3
2019/10/18, 10, 2
2019/10/19, 6, 1
2019/10/20, 7, 2
2019/10/21, 8, 6
2019/10/22, 10, 4
2019/10/23, 14, 4
2019/10/24, 17, 6
2019/10/25, 13, 2
2019/10/26, 7, 2
2019/10/27, 11, 4
2019/10/28, 13, 4
2019/10/29, 9, 5
2019/10/30, 14, 8
2019/10/31, 17, 9
2019/11/1, 18, 4
2019/11/2, 17, 3
2019/11/3, 6, 2
2019/11/4, 5, 3
2019/11/5, 10, 2
2019/11/6, 6, 2
2019/11/7, 6, 4
2019/11/8, 20, 2
2019/11/9, 11, 2
2019/11/10, 11, 2
2019/11/11, 7, 2
2019/11/12, 8, 3
2019/11/13, 7, 3
2019/11/14, 5, 2
2019/11/15, 5, 2
2019/11/16, 5, 1
2019/11/17, 5, 2
2019/11/18, 5, 3
2019/11/19, 16, 3
2019/11/20, 8, 8
2019/11/21, 9, 3
2019/11/22, 6, 2
2019/11/23, 5, 4
2019/11/24, 9, 6
2019/11/25, 15, 2
2019/11/26, 8, 2
2019/11/27, 7, 2
2019/11/28, 6, 3
2019/11/29, 7, 1
2019/11/30, 5, 2
2019/12/1, 6, 1
2019/12/2, 5, 4
2019/12/3, 7, 3
2019/12/4, 6, 2
2019/12/5, 5, 3
2019/12/6, 5, 2
2019/12/7, 6, 3
2019/12/8, 7, 20
2019/12/9, 51, 10
2019/12/10, 34, 8
2019/12/11, 11, 4
2019/12/12, 9, 3
2019/12/13, 5, 2
2019/12/14, 5, 2
2019/12/15, 5, 2
2019/12/16, 6, 5
2019/12/17, 8, 7
2019/12/18, 12, 6
2019/12/19, 10, 11
2019/12/20, 16, 11
2019/12/21, 21, 8
2019/12/22, 10, 10
