date, pm25
2020/1/2, 121
2020/1/3, 166
2020/1/4, 204
2020/1/5, 175
2020/1/6, 115
2020/1/7, 183
2020/1/8, 190
2020/1/9, 188
2020/1/10, 171
2020/1/11, 203
2020/1/12, 216
2020/1/13, 92
2020/1/14, 94
2020/1/15, 168
2020/1/16, 146
2019/10/1, 80
2019/10/2, 160
2019/10/3, 134
2019/10/4, 87
2019/10/5, 86
2019/10/6, 111
2019/10/7, 102
2019/10/8, 115
2019/10/9, 159
2019/10/10, 166
2019/10/11, 154
2019/10/12, 159
2019/10/13, 166
2019/10/14, 173
2019/10/15, 172
2019/10/16, 181
2019/10/17, 157
2019/10/18, 102
2019/10/19, 107
2019/10/20, 126
2019/10/21, 164
2019/10/22, 160
2019/10/23, 161
2019/10/24, 159
2019/10/25, 136
2019/10/26, 179
2019/10/27, 177
2019/10/28, 189
2019/10/29, 202
2019/10/30, 214
2019/10/31, 170
2019/11/1, 118
2019/11/2, 132
2019/11/3, 122
2019/11/4, 158
2019/11/5, 129
2019/11/6, 92
2019/11/7, 114
2019/11/8, 135
2019/11/9, 114
2019/11/10, 154
2019/11/11, 180
2019/11/12, 215
2019/11/13, 244
2019/11/14, 228
2019/11/15, 135
2019/11/16, 112
2019/11/17, 152
2019/11/18, 131
2019/11/19, 171
2019/11/20, 239
2019/11/21, 294
2019/11/22, 102
2019/11/23, 136
2019/11/24, 158
2019/11/25, 172
2019/11/26, 197
2019/11/27, 169
2019/11/28, 138
2019/11/29, 146
2019/11/30, 140
2019/12/1, 162
2019/12/2, 155
2019/12/3, 146
2019/12/4, 157
2019/12/5, 210
2019/12/6, 214
2019/12/7, 185
2019/12/8, 216
2019/12/9, 244
2019/12/10, 239
2019/12/11, 133
2019/12/12, 208
2019/12/13, 211
2019/12/14, 221
2019/12/15, 169
2019/12/16, 164
2019/12/17, 167
2019/12/18, 210
2019/12/19, 277
2019/12/20, 270
2019/12/21, 292
2019/12/22, 209
2019/12/23, 213
2019/12/24, 250
2019/12/25, 252
2019/12/26, 198
2019/12/27, 215
2019/12/28, 314
2019/7/1, 127
2019/7/2, 161
2019/7/3, 168
2019/7/4, 172
2019/7/5, 182
2019/7/6, 131
2019/7/7, 147
2019/7/8, 159
2019/7/9, 158
2019/7/10, 116
2019/7/11, 129
2019/7/12, 132
2019/7/13, 114
2019/7/14, 97
2019/7/15, 83
2019/7/16, 112
2019/7/17, 132
2019/7/18, 99
2019/7/19, 131
2019/7/20, 87
2019/7/21, 128
2019/7/22, 113
2019/7/23, 160
2019/7/24, 159
2019/7/25, 119
2019/7/26, 99
2019/7/27, 88
2019/7/28, 76
2019/7/29, 89
2019/7/30, 91
2019/7/31, 116
2019/8/1, 70
2019/8/2, 76
2019/8/3, 99
2019/8/4, 125
2019/8/5, 127
2019/8/6, 136
2019/8/7, 79
2019/8/8, 124
2019/8/9, 96
2019/8/10, 46
2019/8/11, 100
2019/8/12, 122
2019/8/13, 108
2019/8/14, 70
2019/8/15, 111
2019/8/16, 93
2019/8/17, 65
2019/8/18, 109
2019/8/19, 120
2019/8/20, 115
2019/8/21, 133
2019/8/22, 143
2019/8/23, 135
2019/8/24, 144
2019/8/25, 138
2019/8/26, 105
2019/8/27, 130
2019/8/28, 144
2019/8/29, 152
2019/8/30, 121
2019/8/31, 121
2019/9/1, 143
2019/9/2, 117
2019/9/3, 144
2019/9/4, 149
2019/9/5, 137
2019/9/6, 145
2019/9/7, 105
2019/9/8, 138
2019/9/9, 141
2019/9/10, 153
2019/9/11, 157
2019/9/12, 157
2019/9/13, 142
2019/9/14, 150
2019/9/15, 160
2019/9/16, 132
2019/9/17, 146
2019/9/18, 155
2019/9/19, 149
2019/9/20, 128
2019/9/21, 137
2019/9/22, 150
2019/9/23, 161
2019/9/24, 165
2019/9/25, 166
2019/9/26, 162
2019/9/27, 154
2019/9/28, 104
2019/9/29, 95
2019/9/30, 110
2019/5/27, 203
2019/5/28, 125
2019/5/29, 133
2019/5/30, 134
2019/5/31, 108
2019/6/1, 104
2019/6/2, 110
2019/6/3, 152
2019/6/4, 104
2019/6/5, 67
2019/6/6, 70
2019/6/7, 98
2019/6/8, 136
2019/6/9, 84
2019/6/10, 137
2019/6/11, 79
2019/6/12, 78
2019/6/13, 93
2019/6/14, 121
2019/6/15, 158
2019/6/16, 138
2019/6/17, 144
2019/6/18, 132
2019/6/19, 158
2019/6/20, 131
2019/6/21, 123
2019/6/22, 142
2019/6/23, 141
2019/6/24, 169
2019/6/25, 142
2019/6/26, 159
2019/6/27, 146
2019/6/28, 120
2019/6/29, 179
2019/6/30, 140
