date, pm25, o3, no2, so2
2020/1/1, 44, 13, 16, 
2020/1/2, 67, 10, 14, 
2020/1/3, 59, 12, 9, 
2020/1/4, 50, 24, 2, 
2020/1/5, 18, 18, 3, 
2020/1/6, 47, , , 
2020/1/11, 37, 27, 2, 
2020/1/12, 20, 8, 15, 
2020/1/13, 48, 4, 16, 
2020/1/14, 61, 20, 10, 
2020/1/15, 74, 11, 3, 
2020/1/16, 81, , , 
2019/10/1, 27, 38, 7, 
2019/10/2, 47, 12, 4, 
2019/10/3, 14, 22, 2, 
2019/10/4, 14, 27, 3, 
2019/10/5, 20, 31, 2, 
2019/10/6, 24, 30, 2, 
2019/10/7, 18, 23, 4, 
2019/10/8, 23, 18, 4, 
2019/10/9, 29, 30, 2, 
2019/10/10, 19, 29, 4, 
2019/10/11, 20, 28, 4, 
2019/10/12, 31, 26, 2, 
2019/10/13, 25, 34, 8, 
2019/10/14, 45, 31, 6, 
2019/10/15, 28, 33, 2, 
2019/10/16, 22, 21, 2, 
2019/10/17, 10, 26, 4, 
2019/10/18, 46, 28, 4, 
2019/10/19, 109, , , 
2019/10/21, 10, 26, 3, 
2019/10/22, 10, 27, 6, 
2019/10/23, 20, 30, 7, 
2019/10/24, 1, 27, 8, 
2019/10/25, 33, 27, 5, 
2019/10/26, 49, 29, 3, 
2019/10/27, 24, 25, 5, 
2019/10/28, 21, 19, 8, 
2019/10/29, 23, 9, 10, 
2019/10/30, 36, 25, 2, 
2019/10/31, 26, 22, 3, 
2019/11/1, 20, 23, 7, 
2019/11/2, 46, 23, 11, 
2019/11/3, 65, 29, 10, 
2019/11/4, 48, 23, 15, 
2019/11/5, 60, 24, 13, 
2019/11/6, 60, 25, 5, 
2019/11/7, 55, 23, 5, 
2019/11/8, 20, 24, 11, 
2019/11/9, 29, 26, 5, 
2019/11/10, 60, 26, 12, 
2019/11/11, 82, 25, 2, 
2019/11/12, 33, 24, 9, 
2019/11/13, 27, 27, 14, 
2019/11/14, 48, 21, 19, 
2019/11/15, 79, 20, 11, 
2019/11/16, 44, 20, 6, 
2019/11/17, 33, 20, 7, 
2019/11/18, 42, 4, 13, 
2019/11/19, 85, 27, 2, 
2019/11/20, 42, 23, 9, 
2019/11/21, 64, 18, 5, 
2019/11/22, 41, 20, 5, 
2019/11/23, 25, 20, 3, 
2019/11/24, 38, 22, 9, 
2019/11/25, 60, 9, 19, 
2019/11/26, 64, 24, 13, 
2019/11/27, 60, 20, , 
2019/11/28, 10, 23, 1, 
2019/11/29, 21, 21, 7, 
2019/11/30, 39, 17, 14, 
2019/12/1, 49, 23, 3, 
2019/12/2, 18, 28, 5, 
2019/12/3, 25, 16, 8, 
2019/12/4, 62, 22, 5, 
2019/12/5, 40, 20, 8, 
2019/12/6, 46, 23, 13, 
2019/12/7, 37, 27, 12, 
2019/12/8, 68, 11, 17, 
2019/12/9, 36, 17, 9, 
2019/12/10, 45, 19, 6, 
2019/12/11, 54, 21, 10, 
2019/12/12, 53, 3, 31, 
2019/12/13, 57, 16, 13, 
2019/12/14, 25, 19, 2, 
2019/12/15, 45, 18, 12, 
2019/12/16, 59, 9, 18, 
2019/12/17, 47, 25, 5, 
