date, pm25, pm10
2019/7/1, 41, 16
2019/7/2, 41, 14
2019/7/3, 35, 13
2019/7/4, 30, 15
2019/7/5, 37, 21
2019/7/6, 60, 20
2019/7/7, 54, 20
2019/7/8, 53, 28
2019/7/9, 70, 20
2019/7/10, 52, 19
2019/7/11, 53, 21
2019/7/12, 60, 23
2019/7/13, 64, 18
2019/7/14, 47, 18
2019/7/15, 48, 18
2019/7/16, 45, 15
2019/7/17, 39, 12
2019/7/18, 28, 15
2019/7/19, 34, 14
2019/7/20, 31, 14
2019/7/21, 34, 16
2019/7/22, 39, 22
2019/7/23, 62, 22
2019/7/24, 60, 14
2019/7/25, 34, 15
2019/7/26, 37, 15
2019/7/27, 40, 19
2019/7/28, 52, 17
2019/7/29, 45, 16
2019/7/30, 39, 15
2019/7/31, 31, 15
2019/8/1, 33, 14
2019/8/2, 29, 12
2019/8/3, 24, 12
2019/8/4, 26, 12
2019/8/5, 25, 13
2019/8/6, 29, 11
2019/8/7, 20, 13
2019/8/8, 28, 10
2019/8/9, 18, 10
2019/8/10, 19, 10
2019/8/11, 19, 15
2019/8/12, 40, 17
2019/8/13, 46, 16
2019/8/14, 41, 14
2019/8/15, 32, 14
2019/8/16, 31, 15
2019/8/17, 34, 22
2019/8/18, 56, 19
2019/8/19, 49, 18
2019/8/20, 44, 17
2019/8/21, 40, 19
2019/8/22, 48, 17
2019/8/23, 40, 13
2019/8/24, 28, 12
2019/8/25, 22, 13
2019/8/26, 25, 15
2019/8/27, 32, 16
2019/8/28, 35, 13
2019/8/29, 29, 11
2019/8/30, 18, 13
2019/8/31, 26, 14
2019/9/1, 32, 12
2019/9/2, 23, 13
2019/9/3, 31, 12
2019/9/4, 25, 13
2019/9/5, 27, 15
2019/9/6, 33, 21
2019/9/7, 56, 19
2019/9/8, 50, 17
2019/9/9, 42, 16
2019/9/10, 38, 17
2019/9/11, 41, 18
2019/9/12, 47, 15
2019/9/13, 36, 13
2019/9/14, 34, 12
2019/9/15, 26, 12
2019/9/16, 24, 16
2019/9/17, 41, 15
2019/9/18, 36, 12
2019/9/19, 24, 18
2019/9/20, 45, 20
2019/9/21, 52, 18
2019/9/22, 49, 14
2019/9/23, 33, 18
2019/9/24, 47, 22
2019/9/25, 67, 20
2019/9/26, 58, 
2019/4/5, 81, 35
2019/4/6, 94, 32
2019/4/7, 91, 36
2019/4/8, 104, 40
2019/4/9, 109, 37
2019/4/10, 105, 36
2019/4/11, 102, 29
2019/4/12, 84, 25
2019/4/13, 75, 28
2019/4/14, 83, 25
2019/4/15, 76, 30
2019/4/16, 89, 25
2019/4/17, 76, 21
2019/4/18, 66, 28
2019/4/19, 79, 30
2019/4/20, 85, 31
2019/4/21, 93, 31
2019/4/22, 90, 37
2019/4/23, 101, 36
2019/4/24, 104, 37
2019/4/25, 100, 38
2019/4/26, 104, 33
2019/4/27, 92, 22
2019/4/28, 65, 23
2019/4/29, 70, 33
2019/4/30, 91, 21
2019/5/1, 64, 24
2019/5/2, 65, 20
2019/5/3, 57, 21
2019/5/4, 63, 25
2019/5/5, 70, 19
2019/5/6, 50, 26
2019/5/7, 70, 26
2019/5/8, 68, 35
2019/5/9, 87, 33
2019/5/10, 89, 33
2019/5/11, 86, 28
2019/5/12, 76, 31
2019/5/13, 82, 33
2019/5/14, 84, 29
2019/5/15, 75, 24
2019/5/16, 65, 20
2019/5/17, 54, 22
2019/5/18, 60, 28
2019/5/19, 73, 27
2019/5/20, 74, 28
2019/5/21, 76, 28
2019/5/22, 76, 28
2019/5/23, 75, 23
2019/5/24, 64, 20
2019/5/25, 55, 20
2019/5/26, 50, 20
2019/5/27, 55, 25
2019/5/28, 70, 29
2019/5/29, 81, 
2019/5/31, 77, 32
2019/6/1, 84, 32
2019/6/2, 92, 27
2019/6/3, 79, 20
2019/6/4, 60, 23
2019/6/5, 68, 16
2019/6/6, 47, 14
2019/6/7, 36, 13
2019/6/8, 31, 
2019/6/10, 33, 15
2019/6/11, 33, 19
2019/6/12, 47, 25
2019/6/13, 70, 21
2019/6/14, 56, 15
2019/6/15, 40, 14
2019/6/16, 33, 12
2019/6/17, 23, 12
2019/6/18, 26, 15
2019/6/19, 35, 15
2019/6/20, 38, 14
2019/6/21, 37, 14
2019/6/22, 37, 13
2019/6/23, 31, 14
2019/6/24, 35, 25
2019/6/25, 70, 12
2019/6/26, 25, 13
2019/6/27, 29, 19
2019/6/28, 43, 16
2019/6/29, 40, 23
2019/6/30, 64, 16
2018/11/29, 115, 30
2018/11/30, 91, 38
2018/12/1, 109, 37
2018/12/2, 108, 42
2018/12/3, 114, 42
2018/12/4, 118, 
2019/4/4, , 27
2019/5/30, , 32
2019/6/9, , 13
2018/11/28, , 42
