date, pm25, pm10, o3, no2, so2, co
2020/1/2, 49, 24, 12, 3, , 
2020/1/3, 38, 25, 13, 3, , 
2020/1/4, 37, 23, 12, 3, , 
2020/1/5, 35, 32, 15, 4, , 
2020/1/6, 57, 42, 18, 6, , 
2020/1/7, 85, 24, 12, 3, , 
2020/1/8, 46, 22, 10, 3, , 
2020/1/9, 31, 29, 13, 4, , 
2020/1/10, 50, 31, 14, 5, , 
2020/1/11, 63, 36, 16, 5, , 
2020/1/12, 71, 31, 15, 4, , 
2020/1/13, 63, 28, 14, 3, 4, 
2020/1/14, 46, 34, 17, 5, , 
2020/1/15, 59, 41, 17, 1, , 
2020/1/16, 82, , , , , 
2019/10/1, 39, 20, 7, 6, , 
2019/10/2, 33, 20, 8, 5, , 
2019/10/3, 33, 24, 8, 6, , 
2019/10/4, 42, 29, 10, 5, 1, 
2019/10/5, 46, 26, 10, 6, , 
2019/10/6, 50, 18, 10, 5, , 
2019/10/7, 35, 25, 9, 5, 1, 
2019/10/8, 40, 15, 8, 4, , 
2019/10/9, 29, 13, 8, 6, , 
2019/10/10, 22, 15, 7, 5, , 
2019/10/11, 25, 15, 10, 6, , 
2019/10/12, 20, 14, 10, 5, , 
2019/10/13, 24, 15, 8, 5, 8, 
2019/10/14, 30, 14, 8, 4, , 
2019/10/15, 28, 16, 9, 4, , 
2019/10/16, 35, 17, 9, 5, 1, 
2019/10/17, 33, 14, 11, 4, , 
2019/10/18, 28, 11, 9, 2, , 
2019/10/19, 22, 13, 9, 4, , 
2019/10/20, 23, 13, 6, 4, , 
2019/10/21, 22, 14, 7, 4, , 
2019/10/22, 24, 15, 7, 4, , 
2019/10/23, 28, 13, 7, 5, , 
2019/10/24, 20, 15, 10, 6, , 
2019/10/25, 29, 20, 10, 6, , 
2019/10/26, 38, 18, 10, 5, , 
2019/10/27, 35, 54, 7, 5, , 
2019/10/28, 96, 18, 11, 6, , 
2019/10/29, 36, 91, 12, 6, , 
2019/10/30, 70, 18, 14, 7, , 
2019/10/31, 39, 26, 16, 8, , 
2019/11/1, 45, 15, 9, 7, , 
2019/11/2, 21, 14, 8, 6, , 
2019/11/3, 20, 19, 7, 5, , 
2019/11/4, 31, 17, 6, 5, , 
2019/11/5, 29, 21, 8, 6, , 
2019/11/6, 43, 17, 8, 6, , 
2019/11/7, 27, 19, 6, 8, , 
2019/11/8, 30, 22, 8, 7, , 
2019/11/9, 40, 24, 7, 9, , 
2019/11/10, 51, 40, 18, 11, , 
2019/11/11, 78, 43, 18, 11, , 
