date, pm25, pm10, o3, no2, so2, co
2020/1/1, 162, , , 38, , 
2020/1/2, 153, , , , , 
2020/1/6, 89, , , 36, , 
2020/1/7, 144, , , 50, , 
2020/1/8, 127, , , 42, , 
2020/1/9, 124, , , 37, , 
2020/1/10, 134, 38, , 39, , 
2020/1/11, 95, 27, , 41, , 
2020/1/12, 72, 44, , 46, , 
2020/1/13, 107, , , 37, , 
2020/1/14, 119, , , , , 
2019/10/1, 50, 18, , 26, , 
2019/10/2, 38, 13, , 19, , 
2019/10/3, 30, 14, , 29, , 
2019/10/4, 38, 18, , 34, , 
2019/10/5, 46, 21, , 27, , 
2019/10/6, 55, 12, , 21, , 
2019/10/7, 46, , , , , 
2019/10/10, 38, 26, , 43, , 
2019/10/11, 57, 26, , 31, , 
2019/10/12, 59, 20, , 18, , 
2019/10/13, 50, 31, , 28, , 
2019/10/14, 65, 31, , 17, , 
2019/10/15, 53, 20, , 26, , 
2019/10/16, 30, 20, , 31, , 
2019/10/17, 42, 19, , 27, , 
2019/10/18, 46, 14, , 18, , 
2019/10/19, 34, 17, , 11, , 
2019/10/20, 42, 24, , 22, , 
2019/10/21, 50, 30, , 33, , 
2019/10/22, 63, 27, , 46, , 
2019/10/23, 65, 18, , 20, , 
2019/10/24, 53, 20, , 24, , 
2019/10/25, 57, 28, , 27, , 
2019/10/26, 72, 30, , 38, , 
2019/10/27, 74, 30, , 37, , 
2019/10/28, 74, 24, , 20, , 
2019/10/29, 63, 18, , 21, , 
2019/10/30, 53, 15, , 17, , 
2019/10/31, 46, 11, , 22, , 
2019/11/1, 34, 13, , 14, , 
2019/11/2, 46, 14, , 9, , 
2019/11/3, 30, 20, , 13, , 
2019/11/4, 30, 16, , 18, , 
2019/11/5, 25, 10, , 25, , 
2019/11/6, 25, 14, , 23, , 
2019/11/7, 42, 9, , 24, , 
2019/11/8, 25, 13, , 27, , 
2019/11/9, 38, 14, , 15, , 
2019/11/10, 46, 10, , 15, , 
2019/11/11, 25, 20, , 26, , 
2019/11/12, 55, 17, , 29, , 
2019/11/13, 42, 20, , 27, , 
2019/11/14, 50, 10, , 34, , 
2019/11/15, 34, 10, , 25, , 
2019/11/16, 25, 10, , 24, , 
2019/11/17, 21, 9, , 22, , 
2019/11/18, 21, 9, , 13, , 
2019/11/19, 21, 17, , 27, , 
2019/11/20, 50, 13, , 29, , 
2019/11/21, 46, 12, , 21, , 
2019/11/22, 34, 12, , 7, , 
2019/11/23, 34, 11, , 29, , 
2019/11/24, 38, 14, , 37, , 
2019/11/25, 42, 31, , 38, , 
2019/11/26, 72, 19, , 23, , 
2019/11/27, 46, 18, , 17, , 
2019/11/28, 34, 23, , 31, , 
2019/11/29, 38, 31, , 30, , 
2019/11/30, 68, 20, , 18, , 
2019/12/1, 55, 21, , 31, , 
2019/12/2, 46, 10, , 34, , 
2019/12/3, 30, 12, , 32, , 
2019/12/4, 42, 30, , 39, , 
2019/12/5, 76, , , , , 
2019/12/7, 85, 25, , 28, , 
2019/12/8, 65, 19, , 32, , 
2019/12/9, 46, 21, , 30, , 
2019/12/10, 57, 21, , 38, , 
2019/12/11, 59, 20, , 26, , 
2019/12/12, 61, 13, , 27, , 
2019/12/13, 42, 32, , 33, , 
2019/12/14, 76, 33, , 33, , 
2019/12/15, 70, 24, , 38, , 
2019/12/16, 53, 28, , 31, , 
2019/12/17, 50, 27, , 38, , 
2019/12/18, 59, , , 35, , 
2019/12/20, 55, 17, , 18, , 
2019/12/21, 25, 18, , 35, , 
2019/12/22, 34, 23, , 33, , 
2019/12/23, 34, 28, , 30, , 
2019/12/24, 57, 30, , 29, , 
2019/12/25, 68, 31, , 29, , 
2019/12/26, 85, , , , , 
2019/7/1, 61, 23, , 27, , 
2019/7/2, 61, 23, , 29, , 
2019/7/3, 63, 20, , 27, , 
2019/7/4, 55, 21, , 28, , 
2019/7/5, 57, 20, , 16, , 
2019/7/6, 61, 29, , 11, , 
2019/7/7, 61, 29, , 15, , 
2019/7/8, 59, 30, , 17, , 
2019/7/9, 61, 10, , 20, , 
2019/7/10, 25, 15, , 26, , 
2019/7/11, 42, 19, , 26, , 
2019/7/12, 50, 20, , 21, , 
2019/7/13, 57, 10, , 16, , 
2019/7/14, 34, 9, , 9, , 
2019/7/15, 30, 14, , 30, , 
2019/7/16, 46, 17, , 22, , 
2019/7/17, 50, 18, , 20, , 
2019/7/18, 53, 21, , 23, , 
2019/7/19, 57, 21, , 20, , 
2019/7/20, 59, 19, , 15, , 
2019/7/21, 55, 21, , 23, , 
2019/7/22, 61, 25, , 30, , 
2019/7/23, 68, 23, , 30, , 
2019/7/24, 65, 28, , 32, , 
2019/7/25, 72, 23, , 25, , 
2019/7/26, 68, 19, , 11, , 
2019/7/27, 57, 10, , 11, , 
2019/7/28, 30, 25, , 12, , 
2019/7/29, 46, 22, , 17, , 
2019/7/30, 46, 22, , 19, , 
2019/7/31, 53, 21, , 25, , 
2019/8/1, 55, 21, , 21, , 
2019/8/2, 55, 18, , 21, , 
2019/8/3, 53, 15, , 15, , 
2019/8/4, 50, 20, , 23, , 
2019/8/5, 57, 20, , 20, , 
2019/8/6, 57, 21, , 24, , 
2019/8/7, 53, 30, , 17, , 
2019/8/8, 63, 28, , 17, , 
2019/8/9, 63, 21, , 21, , 
2019/8/10, 59, 20, , 19, , 
2019/8/11, 55, 22, , 15, , 
2019/8/12, 61, 18, , 15, , 
2019/8/13, 46, 14, , 18, , 
2019/8/14, 38, 15, , 9, , 
2019/8/15, 38, 17, , 14, , 
2019/8/16, 46, 18, , 13, , 
2019/8/17, 46, 18, , 17, , 
2019/8/18, 53, 18, , 19, , 
2019/8/19, 50, 17, , 37, , 
2019/8/20, 50, 20, , 21, , 
2019/8/21, 55, 26, , 23, , 
2019/8/22, 63, 21, , 23, , 
2019/8/23, 59, 20, , 24, , 
2019/8/24, 59, 18, , 15, , 
2019/8/25, 57, 22, , 26, , 
2019/8/26, 61, 26, , 22, , 
2019/8/27, 72, , , 27, , 
2019/8/29, 70, 28, , 31, , 
2019/8/30, 74, 29, , 20, , 
2019/8/31, 74, 30, , 17, , 
2019/9/1, 78, 28, , 25, , 
2019/9/2, 72, 19, , 26, , 
2019/9/3, 57, 15, , 25, , 
2019/9/4, 42, 20, , 23, , 
2019/9/5, 53, 15, , 17, , 
2019/9/6, 42, 12, , 27, , 
2019/9/7, 34, 16, , 9, , 
2019/9/8, 34, 21, , 24, , 
2019/9/9, 34, 40, , 32, , 
2019/9/10, 61, 19, , 40, , 
2019/9/11, 46, 21, , , , 
2019/9/12, 55, 21, , 32, , 
2019/9/13, 57, 20, , 34, , 
2019/9/14, 57, 20, , 27, , 
2019/9/15, 53, 23, , 37, , 
2019/9/16, 59, 24, , 22, , 
2019/9/17, 61, 26, , 30, , 
2019/9/18, 68, 20, , 25, , 
2019/9/19, 55, 15, , 11, , 
2019/9/20, 38, 16, , 21, , 
2019/9/21, 42, 12, , 14, , 
2019/9/22, 42, 16, , 22, , 
2019/9/23, 42, 19, , 28, , 
2019/9/24, 42, 20, , 18, , 
2019/9/25, 42, 23, , 24, , 
2019/9/26, 38, 25, , 31, , 
2019/9/27, 46, 23, , 22, , 
2019/9/28, 50, 20, , 21, , 
2019/9/29, 42, 21, , 26, , 
2019/9/30, 42, 25, , 29, , 
2019/4/1, 70, 26, , 35, , 
2019/4/2, 68, 16, , 26, , 
2019/4/3, 50, 14, , 25, , 
2019/4/4, 34, 13, , 37, , 
