date, pm25, pm10, no2, so2, co
2020/1/1, 42, , , , 
2020/1/2, 39, , , , 
2020/1/3, 28, , , , 
2020/1/4, 27, , , , 
2020/1/5, 24, , , , 
2020/1/6, 26, , , , 
2020/1/7, 35, , , , 
2020/1/8, 29, , , , 
2020/1/9, 25, , , , 
2020/1/10, 44, , , , 
2020/1/11, 28, , , , 
2020/1/12, 12, , , , 
2020/1/13, 35, , , , 
2020/1/14, 43, , , , 
2020/1/15, 55, , , , 
2019/10/1, 60, , , , 
2019/10/2, 58, , , , 
2019/10/3, 48, , , , 
2019/10/4, 17, , , , 
2019/10/5, 18, , , , 
2019/10/6, 39, , , , 
2019/10/7, 23, , , , 
2019/10/8, 26, , , , 
2019/10/9, 27, , , , 
2019/10/10, 24, , , , 
2019/10/11, 22, , , , 
2019/10/12, 26, , , , 
2019/10/13, 39, , , , 
2019/10/14, 35, , , , 
2019/10/15, 26, , , , 
2019/10/16, 28, , , , 
2019/10/17, 19, , , , 
2019/10/18, 29, , , , 
2019/10/19, 36, , , , 
2019/10/20, 36, , , , 
2019/10/21, 33, , , , 
2019/10/22, 24, , , , 
2019/10/23, 28, , , , 
2019/10/24, 43, , , , 
2019/10/25, 62, , , , 
2019/10/26, 47, , , , 
2019/10/27, 24, , , , 
2019/10/28, 38, , , , 
2019/10/29, 40, , , , 
2019/10/30, 44, , , , 
2019/10/31, 21, , , , 
2019/11/1, 28, , , , 
2019/11/2, 45, , , , 
2019/11/3, 30, , , , 
2019/11/4, 34, , , , 
2019/11/5, 37, , , , 
2019/11/6, 41, , , , 
2019/11/7, 35, , , , 
2019/11/8, 26, , , , 
2019/11/9, 39, , , , 
2019/11/10, 42, , , , 
2019/11/11, 55, , , , 
2019/11/12, 21, , , , 
2019/11/13, 37, , , , 
2019/11/14, 47, , , , 
2019/11/15, 69, , , , 
2019/11/16, 36, , , , 
2019/11/17, 16, , , , 
2019/11/18, 40, , , , 
2019/11/19, 94, , , , 
2019/11/20, 82, , , , 
2019/11/21, 55, , , , 
2019/11/22, 23, , , , 
2019/11/23, 30, , , , 
2019/11/24, 42, , , , 
2019/11/25, 41, , , , 
2019/11/26, 46, , , , 
2019/11/27, 28, , , , 
2019/11/28, 22, , , , 
2019/11/29, 25, , , , 
2019/11/30, 46, , , , 
2019/12/1, 25, , , , 
2019/12/2, 28, , , , 
