date, o3, no2, so2, co
2019/10/7, 14, 1, , 
2019/10/8, 12, 1, , 
2019/10/9, 9, 1, , 
2019/10/10, 16, 1, , 
2019/10/11, 18, 1, , 
2019/10/12, 19, 1, , 
2019/10/13, 13, 2, , 
2019/10/14, 14, 1, , 
2019/10/15, 20, 1, , 
2019/10/16, 12, 1, , 
2019/10/17, 12, 1, , 
2019/10/18, 14, 1, , 
2019/10/19, 14, , , 
2019/10/20, 13, 1, , 
2019/10/21, 11, 1, , 
2019/10/22, 9, 1, , 
2019/10/23, 14, 1, , 
2019/10/24, 15, 1, , 
2019/10/25, 12, 1, , 
2019/10/26, 16, 1, , 
2019/10/27, 12, , , 
2019/10/28, 15, 1, , 
2019/10/29, 12, , , 
2019/10/30, 10, 1, , 
2019/10/31, 11, 1, , 
2019/11/1, 12, 1, , 
2019/11/2, 11, 2, , 
2019/11/3, 13, 1, , 
2019/11/4, , 1, , 
2019/9/13, 10, , , 
2019/9/14, 11, , , 
2019/9/15, 13, , , 
2019/9/16, 17, , , 
2019/9/17, 16, , , 
2019/9/18, 14, , , 
2019/9/19, 10, , , 
2018/10/1, 19, 2, 2, 
2018/10/2, 17, 2, , 
2018/10/3, 18, 1, , 
2018/10/4, 16, 1, , 
2018/10/5, 8, 1, , 
2018/10/6, 12, 2, 1, 
2018/10/7, 13, 1, , 
2018/10/8, 16, 1, , 
2018/10/9, 15, 1, , 
2018/10/10, 10, 1, , 
2018/10/11, 6, , , 
2018/10/14, 9, 2, , 
2018/10/15, 15, 2, , 
2018/10/16, 10, 2, , 
2018/10/17, 13, 2, , 
2018/10/18, 14, 3, 1, 
2018/10/19, 14, 2, , 
2018/10/20, 9, 1, , 
2018/10/21, 13, 2, 2, 
2018/10/22, 12, 2, , 
2018/10/23, 15, 1, , 
2018/10/24, 12, 2, , 
2018/10/25, 11, 1, , 
2018/10/26, 11, 1, , 
2018/10/27, 12, 3, 1, 
2018/10/28, 13, 2, , 
2018/10/29, 13, 2, , 
2018/10/30, 14, 4, 1, 
2018/10/31, 16, 2, , 
2018/11/1, 14, 3, 1, 
2018/11/2, 11, 2, , 
2018/11/3, 12, 1, , 
2018/11/4, 13, 2, , 
2018/11/5, 10, 2, , 
2018/11/6, 9, 2, , 
2018/11/7, 4, 2, , 
2018/7/1, 21, 2, 1, 
2018/7/2, 17, 2, 1, 
2018/7/3, 17, 1, , 
2018/7/4, 9, 1, , 
2018/7/5, 8, 2, 3, 
2018/7/6, 15, 1, , 
2018/7/7, 13, 1, , 
2018/7/8, 16, 1, , 
2018/7/9, 18, 3, , 
2018/7/10, 28, 3, , 
2018/7/11, 24, 1, , 
2018/7/12, 20, 1, , 
2018/7/13, 16, 1, , 
2018/7/14, 14, 3, 4, 
2018/7/15, 16, 3, 1, 
2018/7/16, 16, 3, 3, 
2018/7/17, 15, 1, , 
2018/7/18, 16, 2, , 
2018/7/19, 20, 1, , 
2018/7/20, 23, 1, , 
2018/7/21, 12, 1, , 
2018/7/22, 13, 1, , 
2018/7/23, 14, , , 
2018/7/24, 11, 1, , 
2018/7/25, 13, 2, , 
2018/7/26, 17, 2, , 
2018/7/27, 13, 1, , 
2018/7/28, 15, 1, , 
2018/7/29, 16, 1, , 
2018/7/30, 13, , , 
2018/7/31, 10, 2, 2, 
2018/8/1, 12, 1, 1, 
2018/8/2, 7, 1, 1, 
2018/8/3, 7, 1, 1, 
2018/8/4, 12, 1, , 
2018/8/5, 16, 2, 2, 
2018/8/6, 14, 2, 1, 
2018/8/7, 17, 1, , 
2018/8/8, 14, 1, , 
2018/8/9, 18, 1, , 
2018/8/10, 22, 2, 2, 
2018/8/11, 18, 1, , 
2018/8/12, 15, 2, , 
2018/8/13, 14, 2, , 
2018/8/14, 16, 1, , 
2018/8/15, 19, 1, , 
2018/8/16, 18, 3, 1, 
2018/8/17, 17, 2, 3, 
2018/8/18, 11, 1, , 
2018/8/19, 12, 1, , 
2018/8/20, 14, 2, 1, 
2018/8/21, 10, 1, , 
2018/8/22, 13, 1, , 
2018/8/23, 14, 1, , 
2018/8/24, 16, 1, , 
2018/8/25, 17, 1, 1, 
2018/8/26, 17, 2, , 
2018/8/27, 21, 2, , 
2018/8/28, 15, 2, , 
2018/8/29, 17, 1, , 
2018/8/30, 19, 1, , 
2018/8/31, 16, 1, , 
2018/9/1, 13, 1, 1, 
2018/9/2, 19, 1, , 
2018/9/3, 17, 1, , 
2018/9/4, 11, 1, , 
2018/9/5, 14, 1, 3, 
2018/9/6, 15, 2, 2, 
2018/9/7, 16, 1, , 
2018/9/8, 12, 1, , 
2018/9/9, 9, 1, , 
2018/9/10, 8, 1, , 
2018/9/11, 13, 1, , 
2018/9/12, 8, , , 
2018/9/13, 5, , , 
2018/9/14, 6, , , 
2018/9/15, 7, , , 
2018/9/16, 11, , , 
2018/9/17, 8, 2, 2, 
2018/9/18, 8, 1, , 
2018/9/19, 20, 1, , 
2018/9/20, 16, 2, , 
2018/9/21, 12, 2, , 
2018/9/22, 15, 1, , 
2018/9/23, 8, 1, , 
2018/9/24, 10, 1, , 
2018/9/25, 14, 1, , 
2018/9/26, 14, 1, , 
2018/9/27, 6, 1, 1, 
2018/9/28, 11, 1, , 
2018/9/29, 18, 1, , 
2018/9/30, 17, 1, , 
2018/4/1, 18, 2, 1, 
2018/4/2, 16, 2, , 
2018/4/3, 16, 3, 3, 
2018/4/4, 19, 2, , 
2018/4/5, 19, 4, 1, 
2018/4/6, 24, 2, , 
2018/4/7, 18, 2, 1, 
2018/4/8, 20, 2, , 
2018/4/9, 19, 2, , 
2018/4/10, 19, 4, 2, 
2018/4/11, 20, 4, , 
2018/4/12, 22, 3, , 
2018/4/13, 23, 5, 2, 
2018/4/14, 18, 4, 4, 
2018/4/15, 12, 2, , 
2018/4/16, 17, 2, , 
2018/4/17, 18, 3, , 
2018/4/18, 19, 2, , 
2018/4/19, 19, 2, , 
2018/4/20, 21, 2, , 
2018/4/21, 22, 2, , 
2018/4/22, 22, 2, , 
2018/4/23, 22, 2, , 
2018/4/24, 19, 2, , 
2018/4/25, 13, 2, , 
2018/4/26, 19, 2, , 
2018/4/27, 18, 2, 2, 
2018/4/28, 23, 1, , 
2018/4/29, 19, 2, , 
2018/4/30, 21, 3, , 
2018/5/1, 23, 3, , 
2018/5/2, 26, 2, , 
2018/5/3, 23, 2, , 
2018/5/4, 23, 2, , 
2018/5/5, 20, 2, , 
2018/5/6, 19, 2, , 
2018/5/7, 16, 1, , 
2018/5/8, 19, 1, , 
2018/5/9, 20, 4, 2, 
2018/5/10, 20, 2, , 
2018/5/11, 24, 4, 2, 
2018/5/12, 25, 2, , 
2018/5/13, 19, 2, , 
2018/5/14, 23, 3, 2, 
2018/5/15, 12, 1, , 
2018/5/16, 10, 2, , 
2018/5/17, 11, 1, , 
2018/5/18, 10, 2, , 
2018/5/19, 7, 2, , 
2018/5/20, 14, 1, 1, 
2018/5/21, 16, 2, 1, 
2018/5/22, 14, 1, , 
2018/5/23, 18, 2, , 
2018/5/24, 21, 4, 1, 
2018/5/25, 21, 2, 1, 
2018/5/26, 12, 2, 1, 
2018/5/27, 9, 2, 1, 
