date, pm25, o3
2020/1/2, 33, 13
2020/1/3, 32, 13
2020/1/4, 27, 15
2020/1/5, 22, 16
2020/1/6, 21, 17
2020/1/7, 34, 18
2020/1/8, 31, 18
2020/1/9, 29, 17
2020/1/10, 44, 14
2020/1/11, 49, 13
2020/1/12, 42, 14
2020/1/13, 42, 12
2020/1/14, 27, 15
2020/1/15, 24, 
2019/10/1, 28, 15
2019/10/2, 30, 14
2019/10/3, 23, 9
2019/10/4, 24, 9
2019/10/5, 19, 16
2019/10/6, 33, 10
2019/10/7, 24, 11
2019/10/8, 22, 12
2019/10/9, 24, 13
2019/10/10, 19, 15
2019/10/11, 20, 17
2019/10/12, 22, 16
2019/10/13, 26, 14
2019/10/14, 26, 15
2019/10/15, 24, 13
2019/10/16, 28, 16
2019/10/17, 29, 14
2019/10/18, 33, 7
2019/10/19, 33, 8
2019/10/20, 28, 12
2019/10/21, 36, 12
2019/10/22, 34, 15
2019/10/23, 34, 9
2019/10/24, 28, 9
2019/10/25, 30, 10
2019/10/26, 22, 10
2019/10/27, 28, 10
2019/10/28, 29, 8
2019/10/29, 22, 7
2019/10/30, 22, 10
2019/10/31, 25, 12
2019/11/1, 30, 12
2019/11/2, 23, 17
2019/11/3, 24, 16
2019/11/4, 29, 12
2019/11/5, 26, 11
2019/11/6, 22, 11
2019/11/7, 22, 14
2019/11/8, 27, 17
2019/11/9, 18, 17
2019/11/10, 23, 16
2019/11/11, 22, 16
2019/11/12, 28, 14
2019/11/13, 22, 15
2019/11/14, 23, 12
2019/11/15, 18, 9
2019/11/16, 12, 11
2019/11/17, 16, 14
2019/11/18, 27, 18
2019/11/19, 41, 20
2019/11/20, 46, 19
2019/11/21, 29, 16
2019/11/22, 30, 6
2019/11/23, 52, 14
2019/11/24, 26, 14
2019/11/25, 20, 19
2019/11/26, 35, 20
2019/11/27, 37, 14
2019/11/28, 40, 15
2019/11/29, 24, 17
2019/11/30, 31, 15
2019/12/1, 34, 16
2019/12/2, 33, 14
2019/12/3, 21, 16
2019/12/4, 41, 18
2019/12/5, 48, 18
2019/12/6, 41, 21
2019/12/7, 48, 16
2019/12/8, 23, 15
2019/12/9, 26, 12
2019/12/10, 36, 11
2019/12/11, 37, 11
2019/12/12, 20, 11
2019/12/13, 20, 12
2019/12/14, 29, 17
2019/12/15, 24, 15
2019/12/16, 30, 11
2019/12/17, 27, 8
2019/12/18, 24, 17
2019/12/19, 25, 17
2019/12/20, 31, 16
2019/12/21, 24, 16
2019/12/22, 23, 14
2019/12/23, 18, 12
2019/12/24, 17, 15
2019/12/25, 30, 14
2019/12/26, 34, 14
2019/12/27, 27, 14
2019/12/28, 32, 
2019/7/1, 24, 15
2019/7/2, 39, 20
2019/7/3, 46, 17
2019/7/4, 66, 11
2019/7/5, 35, 11
2019/7/6, 42, 11
2019/7/7, 48, 13
2019/7/8, 32, 14
2019/7/9, 44, 14
2019/7/10, 43, 15
2019/7/11, 34, 13
2019/7/12, 50, 11
2019/7/13, 66, 6
