date, pm25, pm10, o3, no2, so2
2020/1/2, 24, 13, 28, 7, 3
2020/1/3, 32, 10, 22, 7, 3
2020/1/4, 24, 7, 26, 8, 3
2020/1/5, 19, 11, 24, 6, 3
2020/1/6, 28, 17, 18, 12, 3
2020/1/7, 37, 15, 21, 11, 4
2020/1/8, 36, 13, 25, 9, 4
2020/1/9, 28, 9, 21, 13, 4
2020/1/10, 28, 18, 25, 7, 3
2020/1/11, 38, 14, 29, 6, 4
2020/1/12, 30, 14, 26, 4, 4
2020/1/13, 31, 15, 27, 6, 4
2020/1/14, 35, 12, 26, 11, 4
2020/1/15, 24, 18, 23, 3, 
2020/1/16, 33, , , , 
2019/10/1, 25, 7, 23, 12, 3
2019/10/2, 15, 10, 30, 9, 4
2019/10/3, 23, 17, 25, 6, 5
2019/10/4, 37, 14, 8, 7, 4
2019/10/5, 48, 6, 26, 3, 4
2019/10/6, 15, 7, 22, 8, 5
2019/10/7, 15, 17, 27, 3, 6
2019/10/8, 34, 9, 27, 3, 6
2019/10/9, 16, 14, 23, 4, 6
2019/10/10, 29, 10, 26, 5, 6
2019/10/11, 23, 4, 26, 8, 6
2019/10/12, 11, 9, 30, 4, 7
2019/10/13, 20, 10, 14, 11, 6
2019/10/14, 22, , , 10, 4
2019/10/16, 28, 9, 23, 10, 5
2019/10/17, 20, 16, 27, 5, 5
2019/10/18, 32, 9, 23, 6, 5
2019/10/19, 18, 8, 19, 7, 4
2019/10/20, 25, 8, 20, 10, 3
2019/10/21, 20, 15, 8, 15, 4
2019/10/22, 39, 19, 6, 16, 5
2019/10/23, 52, , , 12, 6
2019/10/26, 38, , , 11, 4
2019/10/28, 25, 6, 24, 11, 4
2019/10/29, 15, 20, 13, 8, 4
2019/10/30, 55, , , 10, 5
2019/11/4, 36, , 13, 9, 5
2019/11/5, 45, , 17, 11, 1
2019/11/6, 47, , 18, 9, 1
2019/11/7, 15, , 12, 16, 1
2019/11/11, 29, , 20, 4, 1
2019/11/12, 19, , 18, 8, 1
2019/11/13, 20, 10, 13, 15, 2
2019/11/14, 18, 10, 19, 10, 1
2019/11/15, 31, 10, 15, 11, 2
2019/11/16, 32, 17, 16, 13, 2
2019/11/17, 55, 12, 19, 16, 2
2019/11/18, 36, 11, 22, 14, 3
2019/11/19, 34, 12, 27, 5, 3
2019/11/20, 28, 17, 19, 7, 3
2019/11/21, 51, 13, 28, 6, 2
2019/11/22, 26, 10, 20, 8, 1
2019/11/23, 29, 14, 15, 8, 
2019/11/24, 44, 10, 21, 9, 1
2019/11/25, 24, 13, 26, 6, 1
2019/11/26, 28, 7, 26, 11, 2
2019/11/27, 17, 11, 21, 11, 2
2019/11/28, 29, 13, 20, 15, 2
2019/11/29, 32, 10, 23, 9, 1
2019/11/30, 28, 8, 24, 6, 2
2019/12/1, 24, 17, 16, 17, 2
2019/12/2, 54, 20, 12, 26, 4
2019/12/3, 57, 18, 14, 21, 3
2019/12/4, 57, 23, 27, 15, 3
2019/12/5, 59, 8, 31, 3, 3
2019/12/6, 19, 10, 23, 6, 3
2019/12/7, 22, 17, 31, 2, 3
2019/12/8, 37, 12, 27, 10, 3
2019/12/9, 28, 17, 25, 6, 3
2019/12/10, 41, 12, 23, 12, 4
2019/12/11, 24, 11, 24, 7, 4
2019/12/12, 24, 16, 28, 4, 4
2019/12/13, 35, 11, 28, 3, 4
2019/12/14, 25, 16, 31, 4, 4
2019/12/15, 31, 9, 22, 12, 4
2019/12/16, 20, 10, 12, 19, 4
2019/12/17, 34, 13, 22, 11, 5
2019/12/18, 29, 26, 22, 5, 5
2019/12/19, 50, 8, 26, 10, 5
2019/12/20, 18, 17, 27, 4, 5
2019/12/21, 36, 11, 25, 4, 5
2019/12/22, 24, 17, 23, 6, 4
2019/12/23, 35, 21, 29, 2, 4
2019/12/24, 47, 11, 19, 10, 4
2019/12/25, 31, 18, 29, 3, 3
2019/12/26, 40, 11, 18, 8, 3
2019/12/27, 36, 13, 15, 7, 3
2019/12/28, 43, , , , 
2019/7/1, 15, 9, 30, 4, 1
2019/7/2, 19, 9, 28, 4, 1
2019/7/3, 20, 9, 29, 5, 1
2019/7/4, 21, 14, 39, 8, 2
2019/7/5, 33, 10, 33, 5, 3
2019/7/6, 25, 7, 20, 3, 2
2019/7/7, 23, 7, 29, 6, 2
2019/7/8, 16, 10, 33, 7, 2
2019/7/9, 24, 11, 36, 8, 2
2019/7/10, 28, 10, 33, 5, 3
2019/7/11, 23, 7, 29, 4, 3
2019/7/12, 14, 7, 31, 3, 2
2019/7/13, 16, 8, 26, 4, 2
2019/7/14, 25, 8, 27, 4, 2
2019/7/15, 15, 10, 30, 7, 3
2019/7/16, 24, 14, 35, 5, 3
2019/7/17, 29, 9, 24, 3, 3
2019/7/18, 22, 9, 15, 6, 3
2019/7/19, 25, 8, 23, 3, 4
2019/7/20, 19, 6, 20, 5, 2
2019/7/21, 15, 8, 16, 5, 2
2019/7/22, 23, 17, 46, 6, 3
2019/7/23, 31, 15, 32, 6, 4
2019/7/24, 35, 25, 57, 7, 4
2019/7/25, 47, 12, 23, 3, 4
2019/7/26, 30, 7, 24, 4, 4
2019/7/27, 20, 7, 31, 2, 4
2019/7/28, 18, 11, 36, 5, 5
2019/7/29, 20, 15, 27, 1, 5
2019/7/30, 33, 8, 23, 2, 4
