date, pm25, pm10, o3, no2, so2, co
2020/1/2, 35, 20, , , 1, 1
2020/1/3, 47, 18, , , 2, 1
2020/1/4, 47, 14, , , 1, 1
2020/1/5, 41, 27, , , 1, 2
2020/1/6, 61, 25, , , 2, 2
2020/1/7, 56, 24, , , 2, 2
2020/1/8, 47, 26, , , 4, 6
2020/1/9, 61, 25, , , 2, 3
2020/1/10, 54, 11, , , 1, 1
2020/1/11, 26, 22, , , 2, 2
2020/1/12, 60, 29, , , 2, 2
2020/1/13, 76, 22, , , 2, 2
2020/1/14, 52, 33, , , 3, 2
2020/1/15, 64, 40, , , 3, 3
2020/1/16, 70, , , , , 
2019/10/1, 61, 20, , , 3, 3
2019/10/2, 48, 35, , , 2, 3
2019/10/3, 60, 38, , , 1, 4
2019/10/4, 67, 45, , , 2, 5
2019/10/5, 74, 35, , , 3, 3
2019/10/6, 66, 55, , , 1, 4
2019/10/7, 95, 48, , , 3, 3
2019/10/8, 63, 47, , , 2, 4
2019/10/9, 83, 76, , , 2, 5
2019/10/10, 82, 26, , , 4, 3
2019/10/11, 43, 37, , , 2, 4
2019/10/12, 73, 38, , , 2, 3
2019/10/13, 78, 28, , , 3, 4
2019/10/14, 55, 62, , , 2, 3
2019/10/15, 75, 37, , , 2, 4
2019/10/16, 73, 37, , , 1, 3
2019/10/17, 69, 49, , , 3, 3
2019/10/18, 70, 49, , , 4, 4
2019/10/19, 98, 37, , , 2, 3
2019/10/20, 83, 44, , , 1, 3
2019/10/21, 74, 49, , , 3, 3
2019/10/22, 74, 32, , , 2, 4
2019/10/23, 74, 43, , , 2, 4
2019/10/24, 83, 44, , , 1, 4
2019/10/25, 86, 37, , , 2, 4
2019/10/26, 88, 34, , , 1, 3
2019/10/27, 85, 43, , , 2, 3
2019/10/28, 55, 35, , , 2, 2
2019/10/29, 37, 41, , , 2, 3
2019/10/30, 62, 38, , , 2, 3
2019/10/31, 67, 33, , , 2, 3
2019/11/1, 61, 17, , , 1, 3
2019/11/2, 34, 35, , , 1, 3
2019/11/3, 51, 37, , , 1, 3
2019/11/4, 60, 33, , , 2, 2
2019/11/5, 57, 34, , , 1, 3
2019/11/6, 57, 47, , , 1, 3
2019/11/7, 67, 57, , , 3, 3
2019/11/8, 73, 26, , , 1, 2
2019/11/9, 49, 24, , , 1, 2
2019/11/10, 53, 16, , , 1, 3
2019/11/11, 39, 20, , , 1, 2
2019/11/12, 39, 16, , , 1, 2
2019/11/13, 39, 20, , , 1, 2
2019/11/14, 36, 32, , , 6, 3
2019/11/15, 50, 38, , , 2, 3
2019/11/16, 71, 44, , , 1, 3
2019/11/17, 81, 34, , , 2, 3
2019/11/18, 60, 25, , , 1, 2
2019/11/19, 55, 26, , , 3, 5
2019/11/20, 51, 21, , , 1, 3
2019/11/21, 56, 22, , , 1, 2
2019/11/22, 51, 23, , , 1, 2
2019/11/23, 55, 18, , , 2, 1
2019/11/24, 47, 32, , , 1, 3
2019/11/25, 65, 34, , , 1, 2
2019/11/26, 63, 36, , , 1, 2
2019/11/27, 68, 41, , , 1, 2
2019/11/28, 74, 37, , , 2, 4
2019/11/29, 60, 29, , , 1, 3
2019/11/30, 47, 24, , , 1, 1
2019/12/1, 44, 30, , , 1, 2
2019/12/2, 52, 43, , , 5, 5
2019/12/3, 50, 12, , , 2, 2
2019/12/4, 34, 9, , , 1, 2
2019/12/5, 30, 20, , , 2, 3
2019/12/6, 50, 22, , , 1, 4
2019/12/7, 64, 8, , , 1, 2
2019/12/8, 28, 11, , , 1, 3
2019/12/9, 37, 8, , , 1, 2
2019/12/10, 26, 25, , , 1, 1
2019/12/11, 57, 30, , , 3, 1
2019/12/12, 62, 21, , , 2, 
2019/12/13, 47, 26, , , 2, 2
2019/12/14, 57, 34, , , 3, 1
2019/12/15, 57, 36, , , 3, 
2019/12/16, 48, 28, , , 1, 1
2019/12/17, 51, 44, , , 7, 6
2019/12/18, 69, 41, , , 1, 3
2019/12/19, 67, 43, , , 1, 2
2019/12/20, 77, 33, , , 1, 2
2019/12/21, 67, 25, , , 1, 1
2019/12/22, 52, 16, , , 1, 2
2019/12/23, 42, 30, , , 2, 2
2019/12/24, 71, 38, , , 2, 3
2019/12/25, 90, 22, , , 3, 1
2019/12/26, 52, 17, , , 1, 1
2019/12/27, 42, 12, , , 1, 1
2019/12/28, 24, , , , , 
2019/7/17, 117, 73, , , 2, 
2019/7/18, 121, 60, , , 2, 
2019/7/19, 77, 33, , , 1, 
2019/7/20, 42, 40, , , 1, 
2019/7/21, 70, 53, , , 4, 
2019/7/22, 82, 71, , , 1, 
2019/7/23, 115, 84, , , 3, 
2019/7/24, 97, 95, , , 2, 
2019/7/25, 137, 92, , , 4, 
2019/7/26, 130, 80, , , 5, 
2019/7/27, 141, 64, , , 3, 
2019/7/28, 126, 94, , , 2, 
2019/7/29, 153, 95, , , 6, 
2019/7/30, 155, 75, , , 5, 
2019/7/31, 118, 76, , , 2, 
2019/8/1, 116, 62, , , 5, 
2019/8/2, 97, 77, , , 1, 
2019/8/3, 120, 68, , , 1, 
2019/8/4, 124, 68, , , 1, 
2019/8/5, 111, 84, , , 2, 
2019/8/6, 135, 70, , , 3, 
2019/8/7, 122, 74, , , 2, 
2019/8/8, 141, 41, , , 3, 
2019/8/9, 41, 28, , , , 
2019/8/10, 53, 41, , , 1, 
2019/8/11, 79, 64, , , 3, 9
2019/8/12, 96, 71, , , 2, 8
2019/8/13, 112, 61, , , 2, 6
2019/8/14, 92, 68, , , 2, 6
2019/8/15, 104, 63, , , 3, 5
2019/8/16, 89, 59, , , 2, 6
2019/8/17, 97, 43, , , 3, 3
2019/8/18, 68, 52, , , 1, 4
2019/8/19, 78, 66, , , 4, 6
2019/8/20, 87, 52, , , 4, 5
2019/8/21, 77, 58, , , 2, 7
2019/8/22, 92, 78, , , 5, 9
2019/8/23, 114, 55, , , 8, 6
2019/8/24, 92, 43, , , 4, 3
2019/8/25, 74, 63, , , 5, 5
2019/8/26, 106, 70, , , 5, 7
2019/8/27, 118, 72, , , 10, 6
2019/8/28, 120, 62, , , 13, 6
2019/8/29, 102, 56, , , 5, 5
2019/8/30, 94, 52, , , 4, 2
2019/8/31, 67, 38, , , 2, 3
2019/9/1, 65, 54, , , 3, 5
2019/9/2, 90, 65, , , 4, 9
2019/9/3, 118, 69, , , 6, 6
2019/9/4, 122, 63, , , 4, 5
2019/9/5, 109, 39, , , 4, 3
2019/9/6, 51, 21, , , 4, 3
2019/9/7, 49, 26, , , 2, 2
2019/9/8, 47, 43, , , 1, 4
2019/9/9, 69, 46, , , 2, 5
2019/9/10, 77, 57, , , 3, 6
2019/9/11, 95, 61, , , 2, 6
2019/9/12, 112, 55, , , 3, 6
2019/9/13, 92, 37, , , 2, 4
2019/9/14, 61, 45, , , 2, 4
2019/9/15, 90, 55, , , 2, 6
2019/9/16, 109, 56, , , 3, 12
2019/9/17, 104, 56, , , 5, 6
2019/9/18, 98, 48, , , 2, 5
2019/9/19, 82, 44, , , 2, 5
2019/9/20, 80, 48, , , 1, 5
2019/9/21, 88, 39, , , 1, 3
2019/9/22, 77, 55, , , 1, 4
2019/9/23, 85, 26, , , 2, 2
2019/9/24, 53, 61, , , 1, 3
2019/9/25, 56, 31, , , 6, 3
2019/9/26, 46, 43, , , 3, 4
2019/9/27, 72, 56, , , 2, 6
2019/9/28, 100, 51, , , 5, 4
2019/9/29, 84, 41, , , 2, 3
2019/9/30, 56, 39, , , 2, 3
2020/1/1, , 13, , , 1, 1
2019/7/16, , 52, , , 2, 
2019/7/13, , , , 7, 2, 
2019/7/14, , , , 7, 1, 
2019/7/15, , , 1, 6, 3, 
2018/10/1, , , 26, , 2, 7
2018/10/2, , , 21, , 3, 7
2018/10/3, , , 16, , 6, 6
2018/10/4, , , 12, , 5, 8
2018/10/5, , , 18, , 3, 8
2018/10/6, , , 31, , 1, 7
2018/10/7, , , 28, , 1, 7
2018/10/8, , , 25, , 1, 6
2018/10/9, , , 23, 2, 7, 10
2018/10/10, , , 22, , 2, 6
2018/10/11, , , 25, , 2, 4
2018/10/12, , , 22, , 2, 4
2018/10/13, , , 14, , 1, 4
2018/10/14, , , 16, , 2, 6
2018/10/15, , , 23, 1, 2, 5
2018/10/16, , , 26, , 1, 5
2018/10/17, , , 14, , , 
2018/10/20, , , 22, 2, 2, 2
