date, pm25, o3, no2
2020/1/2, 50, 7, 13
2020/1/3, 46, 10, 12
2020/1/4, 35, 26, 11
2020/1/5, 11, 23, 3
2020/1/6, 27, 21, 7
2020/1/7, 26, 28, 15
2020/1/8, 34, 23, 5
2020/1/9, 16, 19, 9
2020/1/10, 26, 28, 15
2020/1/11, 24, 19, 4
2020/1/12, 25, 9, 2
2020/1/13, 19, 9, 19
2020/1/14, 27, 12, 13
2020/1/15, 47, 8, 11
2020/1/16, 37, , 13
2019/10/1, 29, 43, 3
2019/10/2, 40, 12, 8
2019/10/3, 26, 22, 5
2019/10/4, 19, 25, 3
2019/10/5, 10, 26, 2
2019/10/6, 21, 29, 2
2019/10/7, 23, 21, 7
2019/10/8, 18, 16, 5
2019/10/9, 17, 30, 3
2019/10/10, 10, 28, 4
2019/10/11, 8, 26, 
2019/10/12, 17, 24, 
2019/10/13, 30, 37, 
2019/10/14, 33, 28, 6
2019/10/15, 22, 32, 8
2019/10/16, 28, 19, 1
2019/10/17, 12, 21, 3
2019/10/18, 15, 27, 5
2019/10/19, 36, 23, 16
2019/10/20, 46, 29, 10
2019/10/21, 29, 21, 10
2019/10/22, 18, 29, 5
2019/10/23, 31, 28, 7
2019/10/24, 24, 26, 8
2019/10/25, 31, 24, 6
2019/10/26, 40, 26, 2
2019/10/27, 36, 20, 9
2019/10/28, 14, 19, 11
2019/10/29, 12, 6, 21
2019/10/30, 15, 22, 3
2019/10/31, 25, 23, 3
2019/11/1, 29, 22, 9
2019/11/2, 43, 25, 6
2019/11/3, 36, 26, 8
2019/11/4, 48, 23, 12
2019/11/5, 41, 27, 9
2019/11/6, 32, 23, 10
2019/11/7, 43, 23, 4
2019/11/8, 21, 21, 10
2019/11/9, 54, 21, 12
2019/11/10, 59, 20, 16
2019/11/11, 74, 25, 4
2019/11/12, 43, 26, 8
2019/11/13, 58, 23, 18
2019/11/14, 36, 23, 16
2019/11/15, 59, 27, 6
2019/11/16, 29, 22, 9
2019/11/17, 43, 21, 7
2019/11/18, 13, 16, 10
2019/11/19, 47, 26, 8
2019/11/20, 30, 25, 8
2019/11/21, 40, 20, 6
2019/11/22, 41, 20, 8
2019/11/23, 43, 20, 10
2019/11/24, 21, 18, 11
2019/11/25, 57, 13, 18
2019/11/26, 52, 24, 11
2019/11/27, 45, 20, 1
2019/11/28, 24, 24, 3
2019/11/29, 14, 23, 8
2019/11/30, 15, 20, 19
2019/12/1, 24, 26, 7
2019/12/2, 14, 29, 5
2019/12/3, 13, 17, 8
2019/12/4, 44, 26, 5
2019/12/5, 33, 22, 10
2019/12/6, 25, 23, 6
2019/12/7, 20, 21, 15
2019/12/8, 32, 15, 19
2019/12/9, 23, 20, 5
2019/12/10, 46, 21, 7
2019/12/11, 20, 23, 15
2019/12/12, 29, 2, 36
2019/12/13, 37, 20, 14
2019/12/14, 23, 24, 2
2019/12/15, 27, 16, 16
2019/12/16, 23, 15, 22
2019/12/17, 26, 26, 5
2019/12/18, 23, 27, 5
2019/12/19, 33, 24, 13
2019/12/20, 37, 13, 22
2019/12/21, 37, 15, 15
2019/12/22, 76, 16, 25
2019/12/23, 78, 23, 16
2019/12/24, 54, 20, 19
2019/12/25, 42, 3, 25
2019/12/26, 69, 17, 13
2019/12/27, 48, 17, 9
2019/12/28, 53, , 
2019/7/1, 33, 54, 
2019/7/2, 39, 35, 
2019/7/3, 30, 41, 
2019/7/4, 42, 37, 
2019/7/5, 52, 34, 
2019/7/6, 41, 28, 
2019/7/7, 32, 25, 
2019/7/8, 27, 36, 
2019/7/9, 40, 59, 
2019/7/10, 51, 30, 
2019/7/11, 33, 36, 
2019/7/12, 37, 38, 
2019/7/13, 35, 40, 
2019/7/14, 43, 33, 
2019/7/15, 22, 58, 
2019/7/16, 41, 46, 
2019/7/17, 52, 31, 
2019/7/18, 34, 47, 
2019/7/19, 44, 41, 
2019/7/20, 50, 39, 
2019/7/21, 50, 43, 
2019/7/22, 53, 20, 
2019/7/23, 17, 29, 
2019/7/24, 35, 34, 
2019/7/25, 37, 41, 
2019/7/26, 35, 48, 
2019/7/27, 42, 45, 
2019/7/28, 45, 52, 
2019/7/29, 52, 32, 
2019/7/30, 40, 39, 
2019/7/31, 45, 48, 
2019/8/1, 25, 38, 
2019/8/2, 42, 47, 
2019/8/3, 37, 38, 
2019/8/4, 34, 48, 
2019/8/5, 34, 43, 
2019/8/6, 39, 35, 
2019/8/7, 34, 42, 
2019/8/8, 41, 40, 
2019/8/9, 34, 29, 
2019/8/10, 26, 29, 
2019/8/11, 30, 41, 
2019/8/12, 32, 30, 
2019/8/13, 35, 35, 
2019/8/14, 53, 34, 
2019/8/15, 45, 35, 
2019/8/16, 34, 35, 
2019/8/17, 34, 35, 
2019/8/18, 37, 40, 
2019/8/19, 49, 42, 
2019/8/20, 36, 40, 
2019/8/21, 43, 43, 
2019/8/22, 24, 18, 
2019/8/23, 34, 23, 
2019/8/24, 19, 25, 
2019/8/25, 13, 34, 
2019/8/26, 18, 28, 
2019/8/27, 15, 27, 
2019/8/28, 16, 35, 
2019/8/29, 29, 44, 
2019/8/30, 23, 33, 
2019/8/31, 41, 32, 
2019/9/1, 18, 25, 
2019/9/2, 28, 44, 
2019/9/3, 33, 41, 
2019/9/4, 32, 23, 
2019/9/5, 24, 20, 3
2019/9/6, 20, 30, 2
2019/9/7, 19, 29, 3
2019/9/8, 29, 33, 8
2019/9/9, 33, 28, 6
2019/9/10, 27, 46, 2
2019/9/11, 37, 31, 6
2019/9/12, 45, 20, 5
2019/9/13, 18, 25, 2
2019/9/14, 19, 34, 2
2019/9/15, 33, 36, 10
2019/9/16, 29, 33, 9
2019/9/17, 33, 24, 11
2019/9/18, 17, 24, 11
2019/9/19, 17, 42, 5
2019/9/20, 32, 43, 4
2019/9/21, 41, 48, 2
2019/9/22, 49, 55, 2
2019/9/23, 50, 26, 3
2019/9/24, 22, 37, 5
2019/9/25, 18, 37, 5
2019/9/26, 44, 37, 6
2019/9/27, 28, 39, 3
2019/9/28, 32, 28, 3
2019/9/29, 40, 22, 5
2019/9/30, 17, 35, 3
2019/4/1, 19, 37, 29
2019/4/2, 26, 43, 10
2019/4/3, 27, 41, 12
2019/4/4, 23, 32, 24
2019/4/5, 16, 40, 12
2019/4/6, 44, 45, 17
2019/4/7, 39, 40, 18
2019/4/8, 35, 31, 24
2019/4/9, 45, 29, 12
2019/4/10, 24, 33, 21
2019/4/11, 15, 37, 26
2019/4/12, 17, 39, 9
2019/4/13, 29, 20, 13
2019/4/14, 20, 35, 13
2019/4/15, 32, 41, 12
2019/4/16, 12, 36, 20
2019/4/17, 19, 45, 25
2019/4/18, 32, 33, 12
2019/4/19, 26, 33, 12
2019/4/20, 35, 34, 13
2019/4/21, 27, 27, 19
2019/4/22, 26, 43, 19
2019/4/23, 26, 35, 12
2019/4/24, 28, 28, 
2019/4/25, 16, 33, 
2019/4/26, 40, 39, 
2019/4/27, 19, 26, 
2019/4/28, 26, 35, 
2019/4/29, 18, 31, 
2019/4/30, 30, 31, 
2019/5/1, 24, 41, 
2019/5/2, 27, 28, 
2019/5/3, 23, 27, 
2019/5/4, 33, 26, 
2019/5/5, 21, 33, 
2019/5/6, 21, 40, 
2019/5/7, 23, 31, 
2019/5/8, 32, 27, 
2019/5/9, 29, 33, 
2019/5/10, 20, 33, 
2019/5/11, 37, 30, 
2019/5/12, 13, 30, 
2019/5/13, 11, 25, 
2019/5/14, 13, 34, 
2019/5/15, 16, 43, 
2019/5/16, 25, 44, 
2019/5/17, 37, 40, 
2019/5/18, 32, 40, 
2019/5/19, 41, 41, 
2019/5/20, 47, 31, 
2019/5/21, 34, 38, 
2019/5/22, 27, 31, 
2019/5/23, 24, 38, 
2019/5/24, 32, 31, 
2019/5/25, 18, 37, 
2019/5/26, 30, 32, 
2019/5/27, 34, 31, 
2019/5/28, 25, 33, 
2019/5/29, 35, 32, 
2019/5/30, 24, 39, 
2019/5/31, 32, 40, 
2019/6/1, 42, 43, 
2019/6/2, 52, 31, 
2019/6/3, 38, 37, 
2019/6/4, 16, 55, 
2019/6/5, 37, 42, 
2019/6/6, 38, 38, 
2019/6/7, 41, 36, 
2019/6/8, 49, 34, 
2019/6/9, 26, 21, 
2019/6/10, 6, 32, 
2019/6/11, 32, 30, 
2019/6/12, 17, 31, 
2019/6/13, 13, 28, 
2019/6/14, 24, 46, 
2019/6/15, 26, 41, 
2019/6/16, 35, 29, 
2019/6/17, 26, 30, 
2019/6/18, 34, 22, 
2019/6/19, 26, 26, 
2019/6/20, 30, 26, 
2019/6/21, 34, 23, 
2019/6/22, 17, 32, 
2019/6/23, 17, 52, 
2019/6/24, 33, 36, 
2019/6/25, 35, 48, 
2019/6/26, 22, 54, 
2019/6/27, 47, 61, 
2019/6/28, 43, 46, 
2019/6/29, 60, 31, 
2019/6/30, 45, 33, 
2019/1/1, 39, 19, 8
