date, pm25, pm10, o3, no2, so2, co
2020/1/2, 116, 47, 14, 28, 8, 51
2020/1/3, 166, 35, 13, 25, 7, 49
2020/1/4, 145, 14, 19, 11, 6, 47
2020/1/5, 71, 15, 19, 16, 5, 47
2020/1/6, 66, 25, 18, 16, 8, 48
2020/1/7, 93, 42, 12, 23, 10, 51
2020/1/8, 145, 35, 9, 28, 13, 48
2020/1/9, 177, 116, 9, 37, 13, 
2020/1/10, 208, 68, 9, 24, 9, 
2020/1/11, 165, 38, 11, 15, 6, 
2020/1/12, 103, 37, 9, 17, 5, 22
2020/1/13, 118, 43, 9, 19, 7, 21
2020/1/14, 115, 47, 2, 26, 15, 22
2020/1/15, 118, 25, 3, 16, 12, 21
2020/1/16, 81, , , , , 
2019/10/1, 44, , , , , 
2019/10/2, 38, , , , , 
2019/10/3, 33, , , , , 
2019/10/4, 12, , , , , 
2019/10/5, 14, , , , , 
2019/10/6, 16, , , , , 
2019/10/7, 32, , , , , 
2019/10/8, 64, , , , , 
2019/10/9, 80, , , , , 
2019/10/10, 62, , , , , 
2019/10/11, 61, , , , , 
2019/10/12, 74, , , , , 
2019/10/13, 80, , , , , 
2019/10/14, 80, , , , , 
2019/10/15, 80, , , , , 
2019/10/16, 82, , , , , 
2019/10/17, 79, , , , , 
2019/10/18, 89, , , , , 
2019/10/19, 80, , , , , 
2019/10/20, 76, , , , , 
2019/10/21, 91, , , , , 
2019/10/22, 85, , , , , 
2019/10/23, 107, , , , , 
2019/10/24, 104, , , , , 
2019/10/25, 117, , , , , 
2019/10/26, 150, , , , , 
2019/10/27, 153, , , , , 
2019/10/28, 136, 49, 18, 37, 9, 15
2019/10/29, 153, 43, 16, 23, 5, 15
2019/10/30, 152, 13, 10, 13, 4, 12
2019/10/31, 60, 13, 8, 15, 4, 13
2019/11/1, 61, 17, 11, 15, 5, 13
2019/11/2, 74, 11, 18, 10, 5, 11
2019/11/3, 49, 13, 23, 18, 5, 11
2019/11/4, 50, 27, 14, 26, 5, 14
2019/11/5, 61, 17, 3, 22, 4, 15
2019/11/6, 53, 12, 5, 22, 5, 14
2019/11/7, 70, 16, 13, 21, 4, 13
2019/11/8, 61, 24, 10, 23, 4, 12
2019/11/9, 71, 10, 20, 13, 4, 10
2019/11/10, 51, 28, 7, 23, 5, 11
2019/11/11, 100, 19, 20, 18, 5, 9
2019/11/12, 71, 8, 21, 16, 5, 8
2019/11/13, 51, 42, 2, 26, 6, 13
2019/11/14, 88, 23, 10, 19, 6, 11
2019/11/15, 96, 15, 13, 20, 5, 9
2019/11/16, 63, 16, 16, 18, 6, 8
2019/11/17, 64, 22, 18, 21, 5, 10
2019/11/18, 84, 24, 12, 20, 5, 10
2019/11/19, 104, 16, 22, 20, 4, 10
2019/11/20, 80, 38, 4, 21, 5, 15
2019/11/21, 125, 31, 3, 15, 5, 17
2019/11/22, 107, 23, 9, 15, 5, 16
2019/11/23, 86, 23, 11, 17, 5, 17
2019/11/24, 84, 15, 13, 15, 5, 14
2019/11/25, 72, 10, 10, 9, 4, 14
2019/11/26, 62, 30, 4, 23, 4, 15
2019/11/27, 112, , , , , 
2019/11/28, 71, 22, 6, 30, 4, 17
2019/11/29, 51, 17, 15, 15, 5, 15
2019/11/30, 65, 29, 17, 18, 6, 17
2019/12/1, 96, 47, 6, 26, 7, 20
2019/12/2, 143, 15, 13, 15, 6, 14
2019/12/3, 68, 23, 17, 17, 6, 13
2019/12/4, 82, 47, 12, 24, 5, 22
2019/12/5, 125, 55, 7, 23, 6, 24
2019/12/6, 202, 47, 3, 22, 6, 21
2019/12/7, 166, 51, 6, 17, 7, 22
2019/12/8, 137, 35, 4, 18, 6, 17
2019/12/9, 97, 20, 6, 14, 6, 16
2019/12/10, 86, 16, 7, 12, 5, 14
2019/12/11, 55, 38, 4, 18, 6, 16
2019/12/12, 123, 37, 9, 21, 7, 15
2019/12/13, 119, 23, 17, 17, 6, 14
2019/12/14, 70, 45, 7, 18, 5, 19
2019/12/15, 157, 56, 6, 25, 6, 24
2019/12/16, 167, 50, 3, 20, 5, 21
2019/12/17, 123, 45, 3, 18, 5, 41
2019/12/18, 116, 52, 2, 20, 4, 40
2019/12/19, 143, 26, 4, 19, 5, 34
2019/12/20, 94, 20, 13, 18, 6, 32
2019/12/21, 69, 8, 18, 14, 6, 34
2019/12/22, 45, 6, 22, 14, 6, 48
2019/12/23, 44, 8, 17, 12, 6, 41
2019/12/24, 39, 17, 14, 15, 6, 41
2019/12/25, 60, 13, 12, 14, 6, 37
2019/12/26, 54, 19, 14, 18, 6, 40
2019/12/27, 76, 11, 13, 12, 5, 42
2019/12/28, 56, , , , , 
2019/7/1, 50, , , , , 
2019/7/2, 44, , , , , 
2019/7/3, 59, , , , , 
2019/7/4, 49, , , , , 
2019/7/5, 60, , , , , 
2019/7/6, 48, , , , , 
2019/7/7, 48, , , , , 
2019/7/8, 39, , , , , 
2019/7/9, 55, , , , , 
2019/7/10, 38, , , , , 
2019/7/11, 39, , , , , 
2019/7/12, 42, , , , , 
2019/7/13, 46, , , , , 
2019/7/14, 34, , , , , 
2019/7/15, 47, , , , , 
2019/7/16, 35, , , , , 
2019/7/17, 36, , , , , 
2019/7/18, 58, , , , , 
2019/7/19, 59, , , , , 
2019/7/20, 52, , , , , 
2019/7/21, 55, , , , , 
2019/7/22, 65, , , , , 
2019/7/23, 48, , , , , 
2019/7/24, 41, , , , , 
2019/7/25, 34, , , , , 
2019/7/26, 44, , , , , 
2019/7/27, 52, , , , , 
2019/7/28, 56, , , , , 
2019/7/29, 32, , , , , 
2019/7/30, 40, , , , , 
2019/7/31, 67, , , , , 
2019/8/1, 58, , , , , 
2019/8/2, 69, , , , , 
2019/8/3, 41, , , , , 
2019/8/4, 39, , , , , 
2019/8/5, 38, , , , , 
2019/8/6, 56, , , , , 
2019/8/7, 54, , , , , 
2019/8/8, 49, , , , , 
2019/8/9, 48, , , , , 
2019/8/10, 61, , , , , 
2019/8/11, 59, , , , , 
2019/8/12, 55, , , , , 
2019/8/13, 47, , , , , 
2019/8/14, 45, , , , , 
2019/8/15, 31, , , , , 
2019/8/16, 40, , , , , 
2019/8/17, 42, , , , , 
2019/8/18, 52, , , , , 
2019/8/19, 48, , , , , 
2019/8/20, 53, , , , , 
2019/8/21, 44, , , , , 
2019/8/22, 39, , , , , 
2019/8/23, 63, , , , , 
2019/8/24, 63, , , , , 
2019/8/25, 63, , , , , 
2019/8/26, 51, , , , , 
2019/8/27, 60, , , , , 
2019/8/28, 47, , , , , 
2019/8/29, 48, , , , , 
2019/8/30, 48, , , , , 
2019/8/31, 50, , , , , 
2019/9/1, 44, , , , , 
2019/9/2, 49, , , , , 
2019/9/3, 53, , , , , 
2019/9/4, 49, , , , , 
2019/9/5, 66, , , , , 
2019/9/6, 62, , , , , 
2019/9/7, 51, , , , , 
2019/9/8, 56, , , , , 
2019/9/9, 55, , , , , 
2019/9/10, 48, , , , , 
2019/9/11, 61, , , , , 
2019/9/12, 53, , , , , 
2019/9/13, 43, , , , , 
2019/9/14, 46, , , , , 
2019/9/15, 41, , , , , 
2019/9/16, 49, , , , , 
2019/9/17, 57, , , , , 
2019/9/18, 39, , , , , 
2019/9/19, 30, , , , , 
2019/9/20, 33, , , , , 
2019/9/21, 36, , , , , 
2019/9/22, 49, , , , , 
2019/9/23, 71, , , , , 
2019/9/24, 54, , , , , 
2019/9/25, 59, , , , , 
2019/9/26, 38, , , , , 
2019/9/27, 28, , , , , 
2019/9/28, 49, , , , , 
2019/9/29, 50, , , , , 
2019/9/30, 44, , , , , 
2019/4/1, 100, , , , , 
2019/4/2, 95, , , , , 
2019/4/3, 79, , , , , 
2019/4/4, 73, , , , , 
2019/4/5, 65, , , , , 
2019/4/6, 63, , , , , 
2019/4/7, 64, , , , , 
2019/4/8, 75, , , , , 
2019/4/9, 44, , , , , 
2019/4/10, 64, , , , , 
2019/4/11, 31, , , , , 
2019/4/12, 53, , , , , 
2019/4/13, 50, , , , , 
2019/4/14, 57, , , , , 
2019/4/15, 50, , , , , 
2019/4/16, 63, , , , , 
2019/4/17, 70, , , , , 
2019/4/18, 61, , , , , 
2019/4/19, 48, , , , , 
2019/4/20, 68, , , , , 
2019/4/21, 64, , , , , 
2019/4/22, 68, , , , , 
2019/4/23, 61, , , , , 
2019/4/24, 71, , , , , 
2019/4/25, 89, , , , , 
2019/4/26, 95, , , , , 
2019/4/27, 63, , , , , 
2019/4/28, 36, , , , , 
2019/4/29, 38, , , , , 
2019/4/30, 24, , , , , 
2019/5/1, 27, , , , , 
2019/5/2, 46, , , , , 
2019/5/3, 44, , , , , 
2019/5/4, 45, , , , , 
2019/5/5, 40, , , , , 
2019/5/6, 30, , , , , 
2019/5/7, 43, , , , , 
2019/5/8, 58, , , , , 
2019/5/9, 62, , , , , 
2019/5/10, 39, , , , , 
2019/5/11, 39, , , , , 
2019/5/12, 44, , , , , 
2019/5/13, 47, , , , , 
2019/5/14, 44, , , , , 
2019/5/15, 32, , , , , 
2019/5/16, 57, , , , , 
2019/5/17, 50, , , , , 
2019/5/18, 57, , , , , 
2019/5/19, 48, , , , , 
2019/5/20, 35, , , , , 
2019/5/21, 21, , , , , 
2019/5/22, 27, , , , , 
2019/5/23, 30, , , , , 
2019/5/24, 40, , , , , 
2019/5/25, 56, , , , , 
2019/5/26, 48, , , , , 
2019/5/27, 50, , , , , 
2019/5/28, 46, , , , , 
2019/5/29, 30, , , , , 
2019/5/30, 32, , , , , 
2019/5/31, 49, , , , , 
2019/6/1, 58, , , , , 
2019/6/2, 40, , , , , 
2019/6/3, 26, , , , , 
2019/6/4, 31, , , , , 
2019/6/5, 40, , , , , 
2019/6/6, 46, , , , , 
2019/6/7, 48, , , , , 
2019/6/8, 59, , , , , 
2019/6/9, 62, , , , , 
2019/6/10, 56, , , , , 
2019/6/11, 45, , , , , 
2019/6/12, 46, , , , , 
2019/6/13, 62, , , , , 
2019/6/14, 67, , , , , 
2019/6/15, 58, , , , , 
2019/6/16, 49, , , , , 
2019/6/17, 52, , , , , 
2019/6/18, 55, , , , , 
2019/6/19, 56, , , , , 
2019/6/20, 54, , , , , 
2019/6/21, 51, , , , , 
2019/6/22, 66, , , , , 
2019/6/23, 59, , , , , 
2019/6/24, 49, , , , , 
2019/6/25, 37, , , , , 
2019/6/26, 46, , , , , 
2019/6/27, 54, , , , , 
2019/6/28, 53, , , , , 
2019/6/29, 32, , , , , 
2019/6/30, 42, , , , , 
2019/1/1, 94, , , , , 
2019/1/2, 131, , , , , 
2019/1/3, 56, , , , , 
2019/1/4, 68, , , , , 
