date, pm25, pm10, o3, no2, so2, co
2020/1/2, 170, 103, 25, 31, 21, 18
2020/1/3, 172, 123, 21, 30, 22, 27
2020/1/4, 193, 88, 22, 18, 6, 19
2020/1/5, 177, 106, 24, 18, 11, 28
2020/1/6, 198, 70, 28, 11, 8, 17
2020/1/7, 160, 115, 26, 16, 10, 28
2020/1/8, 209, 87, 24, 18, 10, 13
2020/1/9, 169, 78, 24, 19, 9, 14
2020/1/10, 167, 100, 30, 17, 10, 16
2020/1/11, 185, 122, 18, 23, 7, 22
2020/1/12, 204, 147, 33, 19, 11, 27
2020/1/13, 206, 109, 29, 21, 17, 17
2020/1/14, 186, 97, 35, 10, 7, 11
2020/1/15, 183, 88, 26, 11, 10, 13
2020/1/16, 178, , , , , 
2019/10/1, 98, 67, 76, 22, 5, 5
2019/10/2, 122, 71, 67, 23, 7, 7
2019/10/3, 121, 44, 28, 12, 2, 7
2019/10/4, 99, 29, 22, 8, 2, 4
2019/10/5, 33, 31, 23, 11, 2, 3
2019/10/6, 45, 32, 31, 15, 2, 6
2019/10/7, 60, 54, 39, 21, 5, 10
2019/10/8, 87, 37, 36, 22, 3, 6
2019/10/9, 57, 39, 25, 16, 4, 9
2019/10/10, 69, 78, 31, 13, 3, 10
2019/10/11, 140, 83, 47, 13, 2, 9
2019/10/12, 155, 67, 54, 16, 3, 6
2019/10/13, 130, 46, 28, 12, 2, 5
2019/10/14, 86, 51, 23, 15, 4, 7
2019/10/15, 85, 45, 22, 16, 2, 7
2019/10/16, 96, 54, 25, 16, 4, 12
2019/10/17, 102, 73, 43, 19, 4, 11
2019/10/18, 141, 73, 49, 23, 5, 11
2019/10/19, 127, 77, 28, 23, 6, 19
2019/10/20, 136, 89, 55, 21, 8, 14
2019/10/21, 134, 100, 34, 28, 5, 13
2019/10/22, 162, 67, 47, 16, 4, 8
2019/10/23, 137, 63, 23, 17, 3, 9
2019/10/24, 104, 54, 25, 14, 6, 8
2019/10/25, 67, 59, 31, 20, 6, 10
2019/10/26, 89, 69, 34, 24, 7, 15
2019/10/27, 102, 165, 32, 13, 3, 8
2019/10/28, 129, 110, 31, 24, 12, 18
2019/10/29, 117, 109, 38, 21, 11, 23
2019/10/30, 140, 82, 32, 27, 10, 18
2019/10/31, 120, 91, 38, 25, 11, 13
2019/11/1, 146, 82, 41, 23, 7, 10
2019/11/2, 136, 85, 39, 19, 10, 17
2019/11/3, 145, 110, 35, 17, 5, 14
2019/11/4, 180, 108, 39, 26, 7, 21
2019/11/5, 172, 95, 27, 29, 14, 13
2019/11/6, 161, 109, 43, 23, 8, 18
2019/11/7, 175, 133, 35, 31, 5, 19
2019/11/8, 205, 108, 35, 27, 7, 18
2019/11/9, 177, 83, 34, 10, 3, 6
2019/11/10, 86, 79, 33, 27, 9, 12
2019/11/11, 98, 82, 33, 29, 10, 10
2019/11/12, 110, 49, 30, 10, 3, 5
2019/11/13, 42, 81, 16, 24, 12, 14
2019/11/14, 99, 94, 19, 26, 16, 21
2019/11/15, 137, 108, 21, 25, 14, 19
2019/11/16, 165, 98, 25, 16, 7, 12
2019/11/17, 132, 70, 28, 6, 3, 5
2019/11/18, 59, 92, 20, 25, 13, 15
2019/11/19, 119, 88, 22, 22, 11, 11
2019/11/20, 134, 77, 32, 20, 6, 8
2019/11/21, 127, 93, 40, 23, 9, 11
2019/11/22, 156, 108, 29, 26, 13, 14
2019/11/23, 176, 64, 23, 13, 7, 9
2019/11/24, 82, 44, 21, 8, 4, 6
2019/11/25, 51, 61, 13, 20, 11, 12
2019/11/26, 79, 75, 8, 24, 12, 14
2019/11/27, 133, 63, 23, 11, 5, 8
2019/11/28, 105, 59, 24, 9, 5, 5
2019/11/29, 111, 65, 21, 12, 6, 10
2019/11/30, 141, 62, 25, 12, 6, 8
2019/12/1, 111, 38, 29, 5, 3, 5
2019/12/2, 35, 48, 28, 13, 10, 11
2019/12/3, 64, 55, 28, 14, 9, 9
2019/12/4, 79, 79, 21, 21, 21, 19
2019/12/5, 121, 96, 21, 19, 7, 11
2019/12/6, 168, 115, 27, 24, 18, 26
2019/12/7, 184, 93, 36, 23, 19, 16
2019/12/8, 166, 79, 31, 24, 11, 14
2019/12/9, 118, 79, 28, 12, 18, 16
2019/12/10, 98, 73, 18, 21, 15, 13
2019/12/11, 85, 82, 23, 19, 10, 10
2019/12/12, 149, 92, 30, 25, 14, 17
2019/12/13, 161, 54, 27, 15, 6, 7
2019/12/14, 80, 58, 19, 17, 4, 12
2019/12/15, 115, 67, 14, 16, 5, 16
2019/12/16, 149, 68, 19, 18, 10, 14
2019/12/17, 149, 74, 15, 19, 9, 11
2019/12/18, 153, 87, 21, 21, 18, 24
2019/12/19, 146, 96, 19, 19, 6, 11
2019/12/20, 177, 113, 18, 22, 5, 16
2019/12/21, 198, 126, 22, 27, 7, 23
2019/12/22, 212, 109, 13, 28, 11, 24
2019/12/23, 193, 100, 23, 12, 4, 13
2019/12/24, 178, 92, 14, 16, 7, 16
2019/12/25, 178, 45, 24, 9, 5, 6
2019/12/26, 56, 59, 25, 18, 10, 12
2019/12/27, 82, 79, 17, 24, 24, 20
2019/12/28, 121, 87, 2, 30, 19, 15
2019/12/29, 154, , , , , 
2019/7/1, 79, 63, 102, 21, 9, 6
2019/7/2, 78, 76, 122, 19, 8, 5
2019/7/3, 85, 62, 88, 17, 6, 5
2019/7/4, 84, 51, 92, 19, 7, 4
2019/7/5, 48, 45, 65, 9, 7, 4
2019/7/6, 32, 50, 89, 8, 6, 3
2019/7/7, 47, 57, 63, 7, 5, 6
2019/7/8, 83, 69, 63, 16, 6, 6
2019/7/9, 112, 57, 52, 16, 6, 8
2019/7/10, 98, 57, 80, 16, 5, 7
2019/7/11, 97, 75, 79, 18, 6, 9
2019/7/12, 131, 79, 107, 19, 10, 17
2019/7/13, 125, 75, 103, 25, 7, 9
2019/7/14, 111, 63, 101, 17, 6, 11
2019/7/15, 99, 58, 103, 10, 5, 5
2019/7/16, 90, 63, 67, 12, 4, 7
2019/7/17, 112, 72, 87, 15, 6, 8
2019/7/18, 129, 83, 107, 16, 7, 10
2019/7/19, 152, 83, 75, 18, 6, 10
2019/7/20, 142, 89, 99, 14, 5, 19
2019/7/21, 159, 56, 68, 10, 6, 7
2019/7/22, 92, 52, 86, 8, 6, 5
2019/7/23, 71, 77, 89, 20, 12, 11
2019/7/24, 106, 56, 92, 11, 4, 6
2019/7/25, 78, 67, 99, 19, 5, 7
2019/7/26, 93, 38, 61, 5, 1, 2
2019/7/27, 60, 53, 72, 9, 2, 3
2019/7/28, 79, 38, 43, 6, 1, 2
2019/7/29, 51, 48, 99, 7, 4, 11
2019/7/30, 62, 61, 85, 17, 7, 13
2019/7/31, 85, 48, 51, 15, 1, 7
2019/8/1, 65, 42, 58, 7, 3, 9
2019/8/2, 68, 57, 63, 6, 1, 7
2019/8/3, 100, 47, 54, 5, 1, 5
2019/8/4, 77, 41, 41, 11, 1, 6
2019/8/5, 68, 62, 33, 16, 3, 8
2019/8/6, 107, 58, 56, 11, 2, 9
2019/8/7, 109, 60, 86, 15, 2, 5
2019/8/8, 99, 67, 68, 9, 2, 10
2019/8/9, 133, 53, 69, 8, 3, 8
2019/8/10, 100, 58, 62, 8, 4, 7
2019/8/11, 102, 62, 67, 10, 3, 6
2019/8/12, 105, 68, 59, 8, 2, 6
2019/8/13, 124, 65, 71, 9, 3, 6
2019/8/14, 111, 56, 98, 13, 6, 9
2019/8/15, 83, 60, 93, 16, 5, 8
2019/8/16, 89, 57, 54, 14, 4, 6
2019/8/17, 65, 60, 106, 15, 4, 6
2019/8/18, 78, 52, 98, 9, 3, 4
2019/8/19, 70, 53, 87, 7, 2, 7
2019/8/20, 77, 51, 33, 13, 2, 10
2019/8/21, 86, 62, 88, 13, 3, 10
2019/8/22, 103, 68, 84, 13, 5, 8
2019/8/23, 123, 64, 100, 15, 5, 8
2019/8/24, 115, 73, 75, 12, 3, 9
2019/8/25, 145, 57, 95, 9, 2, 6
2019/8/26, 101, 47, 39, 15, 2, 9
2019/8/27, 76, 55, 45, 14, 5, 12
2019/8/28, 82, 48, 53, 16, 6, 9
2019/8/29, 62, 54, 75, 16, 6, 8
2019/8/30, 65, 55, 91, 16, 4, 6
2019/8/31, 66, 60, 97, 18, 7, 14
2019/9/1, 85, 73, 70, 20, 8, 13
2019/9/2, 117, 71, 84, 21, 7, 14
2019/9/3, 118, 66, 90, 22, 5, 8
2019/9/4, 102, 68, 87, 27, 6, 7
2019/9/5, 113, 72, 98, 27, 7, 9
2019/9/6, 103, 73, 119, 26, 8, 11
2019/9/7, 117, 85, 129, 24, 10, 14
2019/9/8, 142, 71, 99, 16, 6, 8
2019/9/9, 123, 74, 79, 12, 3, 9
2019/9/10, 142, 36, 36, 13, 1, 6
2019/9/11, 63, 23, 22, 9, 1, 5
2019/9/12, 29, 32, 23, 8, 1, 4
2019/9/13, 46, 49, 19, 11, 2, 4
2019/9/14, 74, 33, 23, 12, 1, 4
2019/9/15, 53, 65, 51, 11, 6, 8
2019/9/16, 131, 71, 28, 19, 3, 9
2019/9/17, 139, 61, 58, 15, 3, 10
2019/9/18, 102, 73, 24, 30, 5, 10
2019/9/19, 122, 47, 43, 15, 2, 5
2019/9/20, 85, 61, 63, 20, 8, 12
2019/9/21, 106, 81, 86, 26, 8, 14
2019/9/22, 132, 77, 58, 25, 5, 14
2019/9/23, 115, 67, 69, 27, 8, 14
2019/9/24, 104, 74, 76, 26, 5, 16
2019/9/25, 119, 69, 89, 24, 5, 8
2019/9/26, 114, 68, 62, 26, 5, 9
2019/9/27, 116, 75, 67, 24, 5, 10
2019/9/28, 129, 70, 75, 23, 4, 7
2019/9/29, 124, 68, 95, 20, 4, 6
2019/9/30, 122, 61, 69, 17, 3, 4
2019/4/1, 123, 93, 69, 23, 11, 12
2019/4/2, 151, 107, 80, 27, 10, 10
2019/4/3, 166, 105, 75, 37, 11, 14
2019/4/4, 145, 89, 72, 35, 12, 15
2019/4/5, 127, 124, 68, 32, 15, 15
2019/4/6, 146, 130, 90, 19, 10, 8
2019/4/7, 139, 104, 50, 20, 9, 10
2019/4/8, 157, 50, 36, 11, 4, 9
2019/4/9, 87, 74, 40, 12, 3, 9
2019/4/10, 152, 86, 47, 19, 7, 13
2019/4/11, 151, 84, 39, 23, 7, 9
2019/4/12, 160, 63, 41, 14, 5, 9
2019/4/13, 120, 46, 45, 15, 8, 6
2019/4/14, 58, 72, 54, 25, 9, 8
2019/4/15, 82, 59, 47, 15, 4, 6
2019/4/16, 70, 93, 76, 28, 9, 10
2019/4/17, 110, 123, 86, 27, 10, 16
2019/4/18, 150, 80, 37, 14, 8, 8
2019/4/19, 90, 83, 58, 16, 7, 7
2019/4/20, 119, 52, 28, 12, 5, 12
2019/4/21, 106, 36, 31, 10, 5, 9
2019/4/22, 62, 45, 61, 9, 5, 9
2019/4/23, 77, 80, 76, 14, 4, 10
2019/4/24, 143, 59, 25, 11, 1, 8
2019/4/25, 104, 52, 35, 6, , 7
2019/4/26, 99, 57, 44, 8, 1, 4
2019/4/27, 99, 67, 36, 13, 2, 8
2019/4/28, 128, 80, 76, 15, 4, 14
2019/4/29, 149, 116, 43, 17, 4, 8
2019/4/30, 111, 88, 50, 21, 6, 14
2019/5/1, 86, 75, 77, 21, 6, 12
2019/5/2, 82, 85, 94, 21, 4, 8
2019/5/3, 91, 63, 83, 12, 3, 7
2019/5/4, 92, 87, 57, 19, 5, 14
2019/5/5, 129, 67, 50, 10, 3, 4
2019/5/6, 54, 72, 56, 21, 7, 9
2019/5/7, 87, 59, 53, 16, 4, 6
2019/5/8, 74, 57, 72, 14, 5, 8
2019/5/9, 84, 66, 64, 21, 7, 12
2019/5/10, 86, 66, 64, 22, 7, 14
2019/5/11, 73, 128, 47, 22, 6, 11
2019/5/12, 122, 107, 45, 13, 9, 12
2019/5/13, 117, 128, 70, 21, 7, 11
2019/5/14, 143, 112, 86, 22, 7, 13
2019/5/15, 142, 112, 100, 20, 8, 17
2019/5/16, 141, 100, 108, 17, 8, 12
2019/5/17, 135, 65, 61, 8, 3, 6
2019/5/18, 97, 84, 54, 9, 2, 3
2019/5/19, 77, 59, 46, 9, 3, 3
2019/5/20, 36, 58, 64, 19, 7, 9
2019/5/21, 52, 75, 70, 32, 9, 10
2019/5/22, 78, 76, 91, 32, 10, 11
2019/5/23, 78, 80, 98, 25, 6, 7
2019/5/24, 87, 90, 113, 24, 7, 13
2019/5/25, 122, 93, 80, 14, 5, 7
2019/5/26, 108, 63, 54, 6, 3, 4
2019/5/27, 33, 43, 57, 9, 6, 5
2019/5/28, 32, 63, 87, 16, 6, 7
2019/5/29, 76, 57, 95, 13, 5, 6
2019/5/30, 63, 83, 94, 28, 6, 9
2019/5/31, 108, 78, 84, 19, 5, 7
2019/6/1, 99, 93, 70, 27, 7, 9
2019/6/2, 100, 87, 93, 24, 8, 10
2019/6/3, 95, 84, 106, 20, 9, 11
2019/6/4, 94, 57, 70, 10, 6, 10
2019/6/5, 85, 57, 76, 8, 4, 10
2019/6/6, 101, 59, 98, 8, 4, 8
2019/6/7, 94, 46, 83, 10, 7, 10
2019/6/8, 54, 72, 116, 22, 10, 11
2019/6/9, 85, 51, 83, 8, 4, 4
2019/6/10, 34, 65, 95, 21, 6, 7
2019/6/11, 57, 61, 92, 19, 5, 6
2019/6/12, 54, 72, 115, 21, 8, 7
2019/6/13, 86, 75, 130, 17, 8, 9
2019/6/14, 98, 72, 110, 21, 6, 5
2019/6/15, 88, 58, 108, 12, 5, 2
2019/6/16, 63, 65, 98, 15, 5, 4
2019/6/17, 83, 76, 127, 20, 7, 7
2019/6/18, 107, 61, 99, 19, 5, 4
2019/6/19, 78, 48, 48, 10, 3, 4
2019/6/20, 66, 65, 77, 14, 7, 11
2019/6/21, 108, 90, 109, 17, 7, 15
2019/6/22, 157, 79, 93, 24, 6, 9
2019/6/23, 118, 72, 99, 28, 7, 6
2019/6/24, 91, 62, 104, 23, 6, 4
2019/6/25, 91, 75, 120, 18, 6, 6
2019/6/26, 119, 56, 94, 12, 5, 5
2019/6/27, 84, 48, 48, 10, 3, 6
2019/6/28, 76, 59, 45, 12, 5, 9
2019/6/29, 81, 45, 65, 8, 9, 5
2019/6/30, 42, 66, 109, 18, 9, 9
2019/1/1, 180, 108, 50, 25, 25, 14
2019/1/2, 177, 133, 38, 32, 24, 19
2019/1/3, 211, 153, 40, 24, 16, 20
2019/1/4, 243, 177, 17, 34, 11, 18
2019/1/5, 322, 162, 16, 32, 19, 25
2019/1/6, 287, 157, 18, 32, 22, 23
2019/1/7, 280, 164, 11, 35, 27, 29
2019/1/8, 299, 82, 14, 28, 15, 9
2019/1/9, 169, 114, 26, 23, 13, 21
2019/1/10, 215, 130, 25, 28, 15, 16
2019/1/11, 216, 132, 27, 35, 24, 27
2019/1/12, 217, 113, 24, 31, 34, 29
2019/1/13, 180, 105, 18, 35, 32, 21
2019/1/14, 175, 99, 18, 19, 14, 8
2019/1/15, 130, 79, 21, 21, 19, 9
2019/1/16, 105, 66, 23, 21, 24, 12
2019/1/17, 103, 94, 25, 26, 37, 25
2019/1/18, 155, 119, 16, 32, 19, 15
2019/1/19, 193, 199, 17, 28, 17, 25
2019/1/20, 256, 52, 31, 12, 11, 3
2019/1/21, 56, 63, 29, 20, 25, 19
2019/1/22, 92, 87, 25, 29, 34, 27
2019/1/23, 146, 123, 3, 41, 48, 44
2019/1/24, 177, 97, 26, 28, 29, 20
2019/1/25, 168, 80, 31, 21, 23, 11
2019/1/26, 156, 99, 5, 25, 30, 19
2019/1/27, 161, 113, 22, 31, 23, 18
2019/1/28, 180, 123, 24, 33, 36, 29
2019/1/29, 194, 123, 27, 26, 37, 35
2019/1/30, 194, 76, 31, 9, 8, 9
2019/1/31, 142, 62, 35, 11, 14, 15
2019/2/1, 100, 76, 36, 17, 21, 16
2019/2/2, 141, 88, 36, 5, 10, 4
2019/2/3, 92, 70, 39, 12, 21, 14
2019/2/4, 98, 114, 40, 18, 28, 23
2019/2/5, 197, 125, 24, 18, 21, 24
2019/2/6, 214, 117, 29, 8, 3, 10
2019/2/7, 192, 75, 28, 8, 4, 12
2019/2/8, 133, 89, 25, 11, 10, 15
2019/2/9, 165, 75, 32, 7, 5, 7
2019/2/10, 159, 143, 39, 14, 5, 28
2019/2/11, 233, 91, 31, 10, 3, 10
2019/2/12, 181, 115, 30, 11, 1, 11
2019/2/13, 210, 62, 24, 10, 3, 9
2019/2/14, 146, 105, 46, 14, 6, 17
2019/2/15, 171, 102, 44, 11, 5, 9
