date, pm25, pm10, o3, no2, so2, co
2020/1/14, 23, , , 12, 94, 18
2020/1/15, 107, , , 10, 79, 16
2019/7/4, 24, 62, , 46, 52, 16
2019/7/5, 50, 62, , 47, 53, 15
2019/7/6, 123, , , 57, 53, 13
2019/7/7, 40, , , 57, 53, 13
2019/7/8, 29, , , 105, 52, 13
2019/7/9, 28, , , 111, 52, 20
2019/7/10, 29, , , 109, 52, 14
2019/7/11, 30, , , 105, 52, 15
2019/7/12, 29, , , 109, 52, 18
2019/7/13, 29, , , 110, 52, 22
2019/7/14, 20, , , 114, 53, 22
2019/7/15, 33, , , 113, 52, 18
2019/7/16, 40, 91, , 103, 52, 13
2019/7/17, 31, 79, , 103, 52, 11
2019/7/18, 40, 96, , 102, 52, 10
2019/7/19, 40, 61, , 104, 52, 12
2019/7/20, 31, , , 108, 52, 15
2019/7/21, 34, , , 104, 52, 11
2019/7/22, 38, , , 103, 52, 14
2019/7/23, 34, , , 102, 52, 14
2019/7/24, 32, , , 104, 51, 13
2019/7/25, 36, , , 106, 52, 13
2019/7/26, 28, , , 108, 52, 14
2019/7/27, 31, , , 97, 51, 11
2019/7/28, 36, , , 93, 51, 11
2019/7/29, 36, , , 107, 52, 13
2019/7/30, 44, , , 115, 52, 16
2019/7/31, 42, 53, , 117, 52, 17
2019/8/1, 35, 61, , 115, 51, 21
2019/8/2, 32, 67, , 107, 51, 12
2019/8/3, 52, 138, , 103, 51, 15
2019/8/6, 44, 72, , 111, 51, 18
2019/8/11, 33, 61, , 101, 51, 14
2019/8/13, 36, 58, , 104, 51, 16
2019/8/18, 39, 40, , 112, , 14
2019/4/1, , , , , , 
2019/4/2, , , , , , 
2019/4/3, , , , , , 
2019/4/4, , , , , , 
2019/4/5, , , , , , 
2019/4/6, , , , , , 
2019/4/7, , , , , , 
2019/4/8, , , , , , 
2019/4/9, , , , , , 
2019/4/10, , , , , , 
2019/4/11, , , , , , 
2019/4/12, , , , , , 
2019/4/17, , , , , , 
2019/4/18, , , , , , 
2019/4/19, , , , , , 
2019/4/20, , , , , , 
2019/4/21, , , , , , 
2019/4/22, , , , , , 
2019/4/24, , , , , , 
2019/4/25, , , , , , 
2019/4/26, , , , , , 
2019/4/27, , , , , , 
2019/4/28, , , , , , 
2019/4/29, , , , , , 
2019/4/30, , , , , , 
2019/6/21, , , , , , 
2019/6/22, , , , , , 
2019/1/13, , , , , , 
2019/1/20, , , , , , 
2019/1/21, , , , , , 
2019/1/22, , , , , , 
2019/1/23, , , , , , 
2019/1/25, , , , , , 
2019/1/26, , , , , , 
2019/1/27, , , , , , 
2019/1/28, , , , , , 
2019/1/29, , , , , , 
2019/1/30, , , , , , 
2019/1/31, , , , , , 
2019/2/1, , , , , , 
2019/2/2, , , , , , 
2019/2/3, , , , , , 
2019/2/4, , , , , , 
2019/2/6, , , , , , 
2019/2/7, , , , , , 
2019/2/8, , , , , , 
2019/2/9, , , , , , 
2019/2/10, , , , , , 
2019/2/12, , , , , , 
2019/2/13, , , , , , 
2019/2/14, , , , , , 
2019/2/15, , , , , , 
2019/2/16, , , , , , 
2019/2/17, , , , , , 
2019/2/18, , , , , , 
2019/2/19, , , , , , 
2019/2/25, , , , , , 
2019/2/26, , , , , , 
2019/2/27, , , , , , 
2019/2/28, , , , , , 
2019/3/1, , , , , , 
2019/3/2, , , , , , 
2019/3/3, , , , , , 
2019/3/4, , , , , , 
2019/3/5, , , , , , 
2019/3/6, , , , , , 
2019/3/7, , , , , , 
2019/3/8, , , , , , 
2019/3/9, , , , , , 
2019/3/11, , , , , , 
2019/3/12, , , , , , 
2019/3/27, , , , , , 
2019/3/28, , , , , , 
2019/3/29, , , , , , 
2019/3/31, , , , , , 
2018/7/25, 31, , , 33, 53, 20
2018/7/26, 94, , , 38, 51, 27
2018/7/27, 69, , , 31, 46, 17
2018/7/28, 131, , , 36, 49, 19
2018/7/29, 84, , , 37, 54, 19
2018/7/30, 35, , , 47, 53, 21
2018/7/31, 5, , , 33, 47, 19
2018/6/20, 49, , , , 55, 18
2018/6/21, 105, , , , 56, 21
2018/6/22, 121, , , , 55, 21
2020/1/2, , 47, , , 56, 12
2020/1/3, , 38, , , 55, 13
2020/1/4, , 53, , , 52, 13
2020/1/5, , 45, , , 52, 11
2020/1/6, , 29, , , 56, 9
2020/1/7, , 29, , , 55, 12
2020/1/8, , 38, , , 55, 14
