date, pm25, pm10, o3, no2, so2, co
2020/1/2, 76, 47, 51, 18, 3, 4
2020/1/3, 92, 52, 50, 18, 3, 5
2020/1/4, 111, 49, 41, 19, 3, 6
2020/1/5, 117, 55, 44, 17, 3, 6
2020/1/6, 129, 64, 37, 27, 4, 8
2020/1/7, 136, 48, 49, 15, 5, 6
2020/1/8, 83, 44, 53, 13, 3, 6
2020/1/9, 100, 58, 42, 17, 3, 6
2020/1/10, 127, 62, 34, 19, 3, 5
2020/1/11, 153, 21, 25, 14, 2, 5
2020/1/12, 58, 36, 42, 13, 3, 4
2020/1/13, 96, 51, 49, 14, 3, 4
2020/1/14, 126, 52, 41, 13, 3, 5
2020/1/15, 149, , 35, 15, 3, 5
2020/1/16, 149, , , , , 
2019/10/1, 77, 64, 84, 16, 5, 7
2019/10/2, 152, 63, 78, 16, 4, 7
2019/10/3, 142, 58, 62, 16, 5, 6
2019/10/4, 129, 48, 52, 15, 5, 5
2019/10/5, 93, 45, 51, 13, 5, 4
2019/10/6, 79, 49, 49, 15, 5, 5
2019/10/7, 83, 49, 52, 11, 7, 6
2019/10/8, 96, 44, 56, 9, 4, 6
2019/10/9, 86, 44, 78, 10, 5, 6
2019/10/10, 77, 55, 92, 12, 5, 7
2019/10/11, 102, 54, 91, 12, 5, 7
2019/10/12, 102, 41, 72, 9, 5, 8
2019/10/13, 100, 38, 47, 8, 4, 6
2019/10/14, 67, 41, 45, 8, 4, 6
2019/10/15, 58, 44, 62, 10, 5, 6
2019/10/16, 66, 43, 84, 10, 5, 5
2019/10/17, 74, 43, 78, 9, 5, 4
2019/10/18, 86, 49, 84, 10, 6, 5
2019/10/19, 83, 45, 84, 11, 6, 4
2019/10/20, 80, 48, 90, 11, 6, 5
2019/10/21, 95, 46, 71, 11, 5, 4
2019/10/22, 94, 52, 65, 13, 8, 5
2019/10/23, 101, 51, 74, 13, 9, 5
2019/10/24, 100, 51, 81, 11, 6, 5
2019/10/25, 103, 52, 74, 11, 6, 5
2019/10/26, 108, 44, 62, 12, 5, 6
2019/10/27, 93, 38, 49, 14, 6, 6
2019/10/28, 76, 39, 54, 13, 6, 8
2019/10/29, 60, 100, 75, 12, 6, 6
2019/10/30, 128, 74, 62, 14, 6, 4
2019/10/31, 95, 55, 54, 13, 6, 3
2019/11/1, 69, 41, 51, 9, 5, 3
2019/11/2, 73, 71, 75, 11, 6, 4
2019/11/3, 114, 60, 77, 10, 6, 4
2019/11/4, 87, 55, 71, 9, 5, 5
2019/11/5, 89, 47, 65, 10, 6, 4
2019/11/6, 75, 45, 52, 13, 5, 4
2019/11/7, 74, 43, 62, 25, 5, 4
2019/11/8, 79, 52, 70, 18, 6, 4
2019/11/9, 83, 50, 64, 14, 6, 5
2019/11/10, 97, 64, 75, 17, 7, 7
2019/11/11, 128, 61, 93, 13, 6, 8
2019/11/12, 113, 65, 82, 14, 6, 8
2019/11/13, 111, 62, 71, 10, 5, 6
2019/11/14, 103, 46, 73, 10, 4, 5
2019/11/15, 60, 45, 49, 12, 3, 5
2019/11/16, 77, 55, 57, 14, 4, 6
2019/11/17, 110, 61, 61, 14, 6, 8
2019/11/18, 124, 59, 48, 10, 4, 4
2019/11/19, 73, 55, 38, 8, 3, 4
2019/11/20, 64, 44, 37, 10, 3, 3
2019/11/21, 66, 44, 34, 14, 3, 4
2019/11/22, 67, 33, 43, 12, 3, 4
2019/11/23, 61, 44, 60, 12, 3, 4
2019/11/24, 88, 37, 42, 7, 3, 3
2019/11/25, 61, 31, 37, 9, 3, 3
2019/11/26, 53, 27, 32, 9, 3, 5
2019/11/27, 58, 30, 30, 10, 2, 7
2019/11/28, 58, 35, 35, 8, 2, 6
2019/11/29, 63, 47, 35, 14, 2, 6
2019/11/30, 99, 51, 45, 14, 3, 7
2019/12/1, 100, 38, 42, 9, 3, 7
2019/12/2, 77, 51, 47, 11, 3, 8
2019/12/3, 103, 51, 49, 15, 3, 8
2019/12/4, 100, 42, 48, 12, 6, 7
2019/12/5, 100, 16, 40, 9, 2, 5
2019/12/6, 48, 27, 37, 10, 3, 3
2019/12/7, 52, 42, 44, 11, 3, 4
2019/12/8, 86, 48, 45, 14, 2, 5
2019/12/9, 86, 66, 74, 23, 6, 7
2019/12/10, 126, 59, 57, 17, 4, 7
2019/12/11, 113, 59, 57, 10, 4, 6
2019/12/12, 104, 54, 48, 14, 4, 4
2019/12/13, 89, 57, 48, 17, 4, 4
2019/12/14, 109, 45, 51, 11, 3, 4
2019/12/15, 78, 59, 51, 20, 3, 6
2019/12/16, 115, 79, 66, 31, 6, 10
2019/12/17, 160, 63, 42, 22, 4, 7
2019/12/18, 156, 33, 27, 16, 3, 5
2019/12/19, 76, 20, 25, 12, 2, 3
2019/12/20, 48, 25, 29, 13, 2, 3
2019/12/21, 63, 60, 38, 19, 4, 4
2019/12/22, 148, 31, 33, 16, 3, 4
2019/12/23, 100, 49, 48, 19, 3, 5
2019/12/24, 136, 46, 105, 17, 3, 4
2019/12/25, 91, 54, 58, 21, 3, 5
2019/12/26, 140, 33, 42, 15, 2, 6
2019/12/27, 74, 41, 41, 14, 2, 4
2019/12/28, 87, 42, , 14, 2, 3
2019/12/29, 81, , , , , 
2019/7/1, 61, 25, 41, 8, 3, 5
2019/7/2, 51, 18, 22, 8, 3, 7
2019/7/3, 36, 27, 25, 9, 4, 6
2019/7/4, 54, 31, 30, 9, 4, 3
2019/7/5, 53, 40, 57, 12, 5, 4
2019/7/6, 64, 37, 41, 10, 4, 3
2019/7/7, 61, 35, 41, 8, 4, 4
2019/7/8, 55, 39, 41, 9, 4, 5
2019/7/9, 68, 32, 55, 11, 3, 5
2019/7/10, 63, 28, 33, 10, 4, 5
2019/7/11, 57, 36, 37, 8, 4, 5
2019/7/12, 58, 49, 41, 8, 4, 3
2019/7/13, 69, 44, 47, 9, 3, 3
2019/7/14, 75, 49, 72, 10, 4, 4
2019/7/15, 85, 51, 59, 9, 4, 4
2019/7/16, 98, 32, 37, 5, 4, 3
2019/7/17, 50, 31, 38, 7, 4, 4
2019/7/18, 59, 48, 79, 11, 7, 5
2019/7/19, 95, 56, 81, 14, 5, 6
2019/7/20, 101, 42, 68, 12, 6, 4
2019/7/21, 74, 22, 34, 12, 4, 4
2019/7/22, 46, 39, 32, 13, 7, 3
2019/7/23, 59, 35, 53, 11, 6, 3
2019/7/24, 70, 40, 71, 13, 8, 3
2019/7/25, 71, 60, 91, 18, 9, 5
2019/7/26, 102, 44, 116, 12, 4, 6
2019/7/27, 85, 35, 89, 10, 4, 6
2019/7/28, 68, 39, 72, 11, 6, 6
2019/7/29, 67, 51, 98, 12, 6, 7
