date, pm25, o3, co
2020/1/2, 43, 17, 
2020/1/3, 97, 19, 
2020/1/4, 38, 21, 
2020/1/5, 16, 20, 
2020/1/6, 26, 19, 
2020/1/7, 44, 17, 
2020/1/8, 54, 22, 
2020/1/9, 28, 23, 
2020/1/10, 51, 16, 
2020/1/11, 57, 22, 
2020/1/12, 20, 23, 
2020/1/13, 30, 21, 
2020/1/14, 44, 19, 
2020/1/15, 80, 10, 
2020/1/16, 90, , 
2019/10/1, 26, 16, 
2019/10/2, 17, 16, 
2019/10/3, 21, 18, 
2019/10/4, 20, 14, 
2019/10/5, 21, 16, 
2019/10/6, 27, 19, 
2019/10/7, 26, 13, 
2019/10/8, 22, 15, 
2019/10/9, 26, 16, 
2019/10/10, 30, 15, 
2019/10/11, 32, 18, 
2019/10/12, 29, 21, 
2019/10/13, 32, 20, 
2019/10/14, 42, 16, 
2019/10/15, 27, 17, 
2019/10/16, 29, 19, 
2019/10/17, 19, 14, 
2019/10/18, 15, 16, 
2019/10/19, 23, 15, 
2019/10/20, 32, 17, 
2019/10/21, 43, 15, 
2019/10/22, 38, 16, 
2019/10/23, 25, 16, 
2019/10/24, 29, 13, 
2019/10/25, 15, 18, 
2019/10/26, 21, 15, 
2019/10/27, 26, 12, 
2019/10/28, 24, 11, 
2019/10/29, 23, 13, 
2019/10/30, 27, 14, 
2019/10/31, 18, 15, 
2019/11/1, 18, 15, 
2019/11/2, 38, 15, 
2019/11/3, 39, 15, 
2019/11/4, 30, 19, 
2019/11/5, 30, 18, 
2019/11/6, 23, 17, 
2019/11/7, 23, 17, 
2019/11/8, 19, 17, 
2019/11/9, 25, 17, 
2019/11/10, 30, 21, 
2019/11/11, 19, 21, 
2019/11/12, 20, 21, 
2019/11/13, 19, 20, 
2019/11/14, 39, 22, 
2019/11/15, 44, 21, 
2019/11/16, 21, 20, 
2019/11/17, 27, 20, 
2019/11/18, 33, 21, 
2019/11/19, 33, 19, 
2019/11/20, 47, 19, 
2019/11/21, 43, 19, 
2019/11/22, 29, 22, 
2019/11/23, 21, 19, 
2019/11/24, 41, 16, 
2019/11/25, 40, 11, 
2019/11/26, 50, 18, 
2019/11/27, 37, 19, 
2019/11/28, 18, 23, 
2019/11/29, 27, 24, 
2019/11/30, 19, 22, 
2019/12/1, 33, 22, 
2019/12/2, 35, 23, 
2019/12/3, 23, 20, 
2019/12/4, 43, 17, 
2019/12/5, 38, 19, 
2019/12/6, 21, 23, 
2019/12/7, 23, 21, 
2019/12/8, 49, 20, 
2019/12/9, 62, 21, 
2019/12/10, 24, 21, 
2019/12/11, 32, 21, 
2019/12/12, 25, 20, 
2019/12/13, 51, 21, 
2019/12/14, 20, 24, 
2019/12/15, 19, 24, 
2019/12/16, 23, 19, 
2019/12/17, 58, 19, 
2019/12/18, 55, 22, 
2019/12/19, 22, 21, 
2019/12/20, 22, 16, 
2019/12/21, 71, 17, 
2019/12/22, 103, 18, 
2019/12/23, 97, 20, 
2019/12/24, 23, 20, 
2019/12/25, 46, 21, 
2019/12/26, 41, 21, 
2019/12/27, 51, 16, 
2019/12/28, 48, , 
2019/7/1, 41, 24, 
2019/7/2, 46, 23, 
2019/7/3, 26, 29, 
2019/7/4, 47, 29, 
2019/7/5, 59, 22, 
2019/7/6, 50, 21, 
2019/7/7, 14, 22, 
2019/7/8, 18, 22, 
2019/7/9, 36, 16, 
2019/7/10, 37, 17, 
2019/7/11, 33, 24, 
2019/7/12, 34, 25, 
2019/7/13, 39, 18, 
2019/7/14, 21, 16, 
2019/7/15, 22, 20, 
2019/7/16, 34, 18, 
2019/7/17, 28, 25, 
2019/7/18, 21, 27, 
2019/7/19, 37, 30, 
2019/7/20, 35, 21, 
2019/7/21, 36, 16, 
2019/7/22, 26, 19, 
2019/7/23, 26, 14, 
2019/7/24, 20, 20, 
2019/7/25, 22, 26, 
2019/7/26, 45, 32, 
2019/7/27, 61, 32, 
2019/7/28, 52, 24, 
2019/7/29, 50, 33, 
2019/7/30, 47, 20, 
2019/7/31, 42, 20, 
2019/8/1, 25, 22, 
2019/8/2, 40, 20, 
2019/8/3, 34, 15, 
2019/8/4, 20, 19, 
2019/8/5, 25, 28, 
2019/8/6, 33, 32, 
2019/8/7, 37, 22, 
2019/8/8, 25, 19, 
2019/8/9, 27, 11, 
2019/8/10, 13, 14, 
2019/8/11, 19, 19, 
2019/8/12, 31, 15, 
2019/8/13, 22, 16, 
2019/8/14, 18, 20, 
2019/8/15, 21, 15, 
2019/8/16, 34, 15, 
2019/8/17, 40, 24, 
2019/8/18, 40, 25, 
2019/8/19, 39, 27, 
2019/8/20, 33, 17, 
2019/8/21, 34, 20, 
2019/8/22, 28, 13, 
2019/8/23, 20, 19, 
2019/8/24, 21, 19, 
2019/8/25, 23, 21, 
2019/8/26, 32, 24, 
2019/8/27, 36, 20, 
2019/8/28, 35, 24, 
2019/8/29, 31, 19, 
2019/8/30, 25, 12, 
2019/8/31, 23, 17, 
2019/9/1, 20, 15, 
2019/9/2, 22, 18, 
2019/9/3, 19, 19, 
2019/9/4, 25, 16, 
2019/9/5, 23, 18, 
2019/9/6, 22, 16, 
2019/9/7, 24, 16, 
2019/9/8, 19, 13, 
2019/9/9, 20, 14, 
2019/9/10, 24, 15, 
2019/9/11, 19, 15, 
2019/9/12, 17, 17, 
2019/9/13, 18, 14, 
2019/9/14, 17, 12, 
2019/9/15, 15, 12, 
2019/9/16, 16, 14, 
2019/9/17, 18, 19, 
2019/9/18, 24, 20, 
2019/9/19, 25, 22, 
2019/9/20, 30, 19, 
2019/9/21, 26, 26, 
2019/9/22, 41, 28, 
2019/9/23, 33, 12, 
2019/9/24, 17, 12, 
2019/9/25, 24, 13, 
2019/9/26, 29, 12, 
2019/9/27, 27, 13, 
2019/9/28, 32, 15, 
2019/9/29, 18, 17, 
2019/9/30, 25, 16, 
2019/4/1, 17, , 
2019/4/2, 19, , 
2019/4/3, 19, , 
2019/4/4, 10, , 
2019/4/5, 13, , 
2019/4/6, 23, , 
2019/4/7, 16, , 
2019/4/8, 15, , 
2019/4/9, 17, , 
2019/4/10, 11, , 
2019/4/11, 16, , 
2019/4/12, 22, , 
2019/4/13, 21, , 
2019/4/14, 9, , 
2019/4/15, 10, , 
2019/4/16, 9, , 
2019/4/17, 12, , 
2019/4/18, 18, , 
2019/4/19, 16, , 
2019/4/20, 16, , 
2019/4/21, 21, , 
2019/4/22, 18, , 
2019/4/23, 12, , 
2019/4/24, 12, , 
2019/4/25, 16, , 
2019/4/26, 21, , 
2019/4/27, 12, , 
2019/4/28, 11, , 
2019/4/29, 14, , 
2019/4/30, 16, , 
2019/5/1, 17, , 
2019/5/2, 25, , 
2019/5/3, 25, , 
2019/5/4, 19, , 
2019/5/5, 21, , 
2019/5/6, 22, , 
2019/5/7, 16, , 
2019/5/8, 9, , 
2019/5/9, 14, , 
2019/5/10, 13, , 
2019/5/11, 10, , 
2019/5/12, 17, , 
2019/5/13, 21, , 
2019/5/14, 15, , 
2019/5/15, 17, , 
2019/5/16, 18, , 
2019/5/17, 15, , 
2019/5/18, 23, , 
2019/5/19, 34, , 
2019/5/20, 26, , 
2019/5/21, 10, , 
2019/5/22, 15, , 
2019/5/23, 24, , 
2019/5/24, 19, , 
2019/5/25, 27, , 
2019/5/26, 28, , 
2019/5/27, 13, , 
2019/5/28, 17, , 
2019/5/29, 20, , 
2019/5/30, 26, , 
2019/5/31, 12, , 
2019/6/1, 19, , 
2019/6/2, 27, , 
2019/6/3, 24, , 
2019/6/4, 11, , 
2019/6/5, 21, , 
2019/6/6, 18, , 
2019/6/7, 17, , 
2019/6/8, 14, , 
2019/6/9, 24, , 
2019/6/10, 34, , 
2019/6/11, 18, , 
2019/6/12, 19, , 
2019/6/13, 26, , 
2019/6/14, 15, , 
2019/6/15, 22, , 
2019/6/16, 18, , 
2019/6/17, 17, , 
2019/6/18, 25, , 
2019/6/19, 39, , 
2019/6/20, 27, , 
2019/6/21, 21, , 
2019/6/22, 15, , 
2019/6/23, 19, , 
2019/6/24, 11, , 
2019/6/25, 25, , 
2019/6/26, 38, , 
2019/6/27, 30, 26, 
2019/6/28, 28, 23, 
2019/6/29, 34, 15, 
2019/6/30, 35, 19, 
2019/1/1, 53, , 
2019/1/2, 33, , 
2019/1/3, 44, , 
2019/1/4, 67, , 
2019/1/5, 70, , 
2019/1/6, 38, , 
2019/1/7, 33, , 
2019/1/8, 34, , 
2019/1/9, 31, , 
2019/1/10, 29, , 
2019/1/11, 36, , 
2019/1/12, 34, , 
2019/1/13, 39, , 
2019/1/14, 64, , 
2019/1/15, 76, , 
2019/1/16, 50, , 
2019/1/17, 33, , 
2019/1/18, 41, , 
2019/1/19, 32, , 
2019/1/20, 31, , 
2019/1/21, 26, , 
2019/1/22, 36, , 
2019/1/23, 37, , 
2019/1/24, 23, , 
2019/1/25, 36, , 
