date, pm25, pm10, o3, no2, so2, co
2020/1/2, 6, 11, 27, 77, 1, 219
2020/1/3, 104, 9, 22, 37, 12, 131
2020/1/4, 48, 23, 28, 57, 6, 173
2020/1/5, 90, 44, 32, 62, 8, 198
2020/1/6, 62, 18, 53, 52, 4, 215
2020/1/7, 50, 10, 68, 34, 3, 163
2020/1/8, 64, 18, 79, 54, 4, 250
2020/1/9, 52, 17, 26, 44, 5, 280
2020/1/10, 73, 6, 27, 50, 5, 155
2020/1/11, 53, 23, 27, 61, 4, 253
2020/1/12, 107, 14, 29, 56, 7, 202
2020/1/13, 72, 3, 19, 44, 3, 303
2020/1/14, 5, 18, 33, 58, 5, 236
2020/1/15, 40, 7, 16, 32, 7, 
2020/1/16, 13, , , , , 
2019/10/1, 54, 29, 31, 10, 1, 2
2019/10/2, 61, 33, 32, 18, 1, 3
2019/10/3, 66, 27, 38, 12, 1, 2
2019/10/4, 65, 25, 34, 12, 1, 2
2019/10/5, 64, 33, 30, 15, 1, 2
2019/10/6, 59, 29, 7, 25, 2, 2
2019/10/7, 44, , , , , 
2019/10/13, 77, 42, 37, 5, 1, 2
2019/10/14, 75, 57, 26, 17, 1, 3
2019/10/15, 78, 53, 33, 12, 1, 2
2019/10/16, 82, 49, 32, 13, 1, 2
2019/10/17, 88, 39, 32, 12, 1, 2
2019/10/18, 73, 35, 32, 9, 1, 2
2019/10/19, 69, 36, 27, 13, 1, 2
2019/10/20, 69, 30, 30, 7, 1, 1
2019/10/21, 68, 45, 44, 16, 2, 2
2019/10/22, 84, 39, 31, 19, 2, 2
2019/10/23, 62, 30, 37, 17, 2, 2
2019/10/24, 49, 45, 47, 18, 2, 2
2019/10/25, 76, 36, 34, 13, 1, 2
2019/10/26, 70, 44, 38, 21, 1, 2
2019/10/27, 72, 43, 31, 20, 1, 2
2019/10/28, 76, 39, 29, 18, 1, 2
2019/10/29, 66, 37, 33, 22, 2, 2
2019/10/30, 67, 39, 38, 21, 2, 3
2019/10/31, 76, 38, 32, 20, 2, 3
2019/11/1, 81, 29, 30, 11, 1, 2
2019/11/2, 62, 34, 35, 17, 2, 2
2019/11/3, 67, 51, 37, 25, 2, 3
2019/11/4, 87, 61, 33, 31, 2, 4
2019/11/5, 92, 64, 34, 31, 3, 4
2019/11/6, 103, 77, 27, 33, 4, 3
2019/11/7, 107, 77, 39, 25, 2, 5
2019/11/8, 128, 60, 37, 16, 1, 4
2019/11/9, 114, 65, 31, 32, 1, 5
2019/11/10, 119, 62, 29, 29, 2, 5
2019/11/11, 81, 50, 35, 20, 3, 2
2019/11/12, 77, 86, 29, 21, 1, 4
2019/11/13, 123, 72, 12, 34, 2, 5
2019/11/14, 102, 57, 34, 14, 1, 4
2019/11/15, 90, 32, 36, 10, , 4
2019/11/16, 57, 38, 21, 12, 1, 3
2019/11/17, 84, , , , , 
2019/11/23, 90, 50, 37, 31, 3, 5
2019/11/24, 106, 63, 18, 45, 3, 7
2019/11/25, 110, 68, 28, 29, 2, 6
2019/11/26, 99, 86, 34, 22, 2, 4
2019/11/27, 89, , 28, 25, 2, 4
2019/12/1, 41, 30, 32, 11, 1, 2
2019/12/2, 32, 46, 24, 26, 1, 4
2019/12/3, 53, 40, 25, 25, 2, 5
2019/12/4, 48, 39, 28, 17, 1, 3
2019/12/5, 48, 24, 31, 8, 1, 2
2019/12/6, 35, 30, 30, 14, 2, 4
2019/12/7, 55, 39, 21, 22, 1, 3
2019/12/8, 58, 31, 27, 15, 1, 3
2019/12/9, 45, 51, 23, 23, 1, 4
2019/12/10, 58, 55, 22, 29, 2, 5
2019/12/11, 65, 54, 29, 19, 1, 4
2019/12/12, 57, 204, 30, 9, 1, 2
2019/12/13, 117, 105, 25, 6, 1, 2
2019/12/14, 102, 61, 18, 31, 2, 6
2019/12/15, 67, 62, 24, 27, 2, 5
2019/12/16, 80, 64, 26, 29, 2, 5
2019/12/17, 86, 46, 24, 23, 2, 4
2019/12/18, 77, 59, 21, 34, 2, 7
2019/12/19, 88, 54, 33, 30, 2, 6
2019/12/20, 80, 46, 17, 25, 1, 5
2019/12/21, 80, 78, 7, 43, 2, 7
2019/12/22, 118, 70, 2, 38, 2, 6
2019/12/23, 108, 128, 17, 21, 2, 3
2019/12/24, 101, 431, 22, 10, 1, 2
2019/12/25, 163, 31, 29, 6, 1, 1
2019/12/26, 26, 31, 27, 6, 1, 2
2019/12/27, 22, 19, 15, 12, 1, 2
2019/12/28, 30, , , , , 
2019/7/1, 69, 34, 40, 16, 2, 3
2019/7/2, 44, 36, 38, 11, 1, 3
2019/7/3, 53, 34, 39, 12, 1, 3
2019/7/4, 55, 29, 40, 8, 1, 3
2019/7/5, 54, 36, 41, 4, 1, 3
2019/7/6, 72, 52, 41, 10, 1, 3
2019/7/7, 84, 49, 43, 8, 1, 3
2019/7/8, 77, 43, 38, 7, 1, 3
2019/7/9, 72, 42, 35, 11, 1, 3
2019/7/10, 77, 49, 37, 11, 1, 4
2019/7/11, 88, 45, 37, 7, 1, 3
2019/7/12, 76, 25, 41, 2, 1, 2
2019/7/13, 42, 36, 41, 8, 1, 3
2019/7/14, 53, 28, 32, 11, 1, 3
2019/7/15, 47, 28, 29, 10, 1, 2
2019/7/16, 52, 72, 67, 17, 2, 4
2019/7/17, 88, 46, 32, 7, 1, 2
2019/7/18, 64, 34, 42, 5, 1, 2
2019/7/19, 66, 24, 40, 4, 1, 2
2019/7/20, 53, 30, 40, 8, 1, 2
2019/7/21, 60, 38, 41, 10, 1, 2
2019/7/22, 73, 41, 38, 13, 1, 3
2019/7/23, 74, 39, 38, 13, 1, 2
2019/7/24, 66, 41, 40, 12, 1, 2
2019/7/25, 72, 42, 42, 10, 2, 2
2019/7/26, 78, 33, 39, 4, 1, 2
2019/7/27, 69, 35, 39, 8, 1, 2
2019/7/28, 63, 73, 39, 11, 2, 2
2019/7/29, 61, 37, 31, 13, 2, 3
2019/7/30, 67, 31, 29, 11, 1, 3
2019/7/31, 61, 29, 26, 9, 1, 2
2019/8/1, 57, 35, 39, 5, 1, 2
2019/8/2, 73, 33, 41, 4, 1, 2
2019/8/3, 74, 45, 38, 11, 1, 3
2019/8/4, 81, 42, 33, 7, 1, 2
2019/8/5, 75, 42, 41, 8, 1, 2
2019/8/6, 67, 46, 38, 11, 1, 3
2019/8/7, 69, 48, 30, 12, 1, 2
2019/8/8, 75, 41, 43, 6, 1, 3
2019/8/9, 68, 33, 37, 5, 1, 2
2019/8/10, 63, 35, 40, 5, 1, 2
2019/8/11, 63, 35, 35, 13, 1, 3
2019/8/12, 64, 40, 35, 16, 1, 4
2019/8/13, 70, 66, 36, 10, 1, 3
2019/8/14, 70, 40, 33, 17, 2, 3
2019/8/15, 70, 50, 36, 15, 1, 3
2019/8/16, 73, 29, 34, 4, 1, 1
2019/8/17, 65, 35, 34, 8, 1, 2
2019/8/18, 65, 34, 41, 11, 1, 2
2019/8/19, 59, 35, 36, 13, 1, 2
2019/8/20, 64, 25, 34, 10, 1, 2
2019/8/21, 55, 30, 36, 12, 1, 2
2019/8/22, 62, 31, 36, 8, 1, 2
2019/8/23, 67, 26, 33, 4, 1, 2
2019/8/24, 67, 29, 29, 10, 1, 3
2019/8/25, 62, 33, 26, 13, 1, 2
2019/8/26, 73, 32, 28, 12, 1, 2
2019/8/27, 70, 39, 29, 10, 1, 3
2019/8/28, 76, 45, 31, 11, 1, 2
2019/8/29, 80, 35, 34, 7, 1, 3
2019/8/30, 72, 31, 35, 4, 1, 2
2019/8/31, 65, 38, 34, 10, 1, 3
2019/9/1, 70, 30, 31, 10, 1, 2
2019/9/2, 57, 31, 32, 11, 1, 2
2019/9/3, 59, 34, 34, 13, 1, 2
2019/9/4, 61, 38, 34, 12, 1, 2
2019/9/5, 69, 33, 35, 7, 1, 2
2019/9/6, 68, 25, 36, 4, 1, 1
2019/9/7, 58, 40, 38, 11, 1, 2
2019/9/8, 73, 33, 36, 10, 1, 2
2019/9/9, 65, 32, 33, 13, 1, 2
2019/9/10, 67, 40, 31, 15, 1, 2
2019/9/11, 75, 40, 35, 9, 1, 2
2019/9/12, 81, 35, 36, 10, 1, 2
2019/9/13, 68, 34, 38, 6, 1, 1
2019/9/14, 67, 39, 40, 14, 1, 2
2019/9/15, 71, 38, 35, 12, 1, 2
2019/9/16, 82, 31, 39, 11, 1, 2
2019/9/17, 59, 32, 42, 16, 2, 2
2019/9/18, 61, 32, 37, 12, 1, 2
2019/9/19, 64, 26, 41, 6, 1, 2
2019/9/20, 56, 24, 40, 6, 1, 2
2019/9/21, 56, 44, 37, 16, 1, 2
2019/9/22, 85, 35, 37, 14, 1, 2
2019/9/23, 65, 29, 34, 16, 1, 3
2019/9/24, 52, 28, 28, 17, 1, 3
2019/9/25, 50, 31, 27, 16, 1, 3
2019/9/26, 60, 37, 26, 8, 1, 2
2019/9/27, 60, 29, 26, 6, 1, 2
2019/9/28, 58, 27, 28, 8, 1, 2
2019/9/29, 55, 20, 34, 4, 1, 1
2019/9/30, 57, 21, 34, 5, 1, 2
2019/4/1, 61, 44, 47, 18, 2, 3
2019/4/2, 62, 45, 45, 19, 2, 4
2019/4/3, 71, 50, 37, 22, 3, 2
2019/4/4, 85, , , , , 
2019/4/7, 112, 93, 62, 18, 2, 3
2019/4/8, 115, 72, 50, 14, 2, 2
2019/4/9, 96, 31, 45, 12, 1, 2
2019/4/10, 39, 41, 40, 18, 2, 2
2019/4/11, 53, 39, 46, 14, 2, 2
2019/4/12, 60, 49, 53, 20, 1, 4
2019/4/13, 80, 133, 46, 9, 1, 2
2019/4/14, 105, 51, 38, 18, 2, 2
2019/4/15, 68, 35, 40, 14, 1, 2
2019/4/16, 61, 31, 52, 9, 1, 1
2019/4/17, 44, 36, 49, 11, 1, 2
2019/4/18, 54, 39, 60, 5, 2, 2
2019/4/19, 64, 32, 54, 2, 1, 1
2019/4/20, 52, 38, 56, 5, 1, 1
2019/4/21, 48, 28, 45, 7, 1, 1
2019/4/22, 37, 34, 45, 13, 2, 2
2019/4/23, 52, 37, 52, 14, 2, 2
2019/4/24, 60, 36, 60, 17, 3, 3
2019/4/25, 66, 39, 57, 10, 2, 2
2019/4/26, 65, 53, 62, 16, 2, 4
2019/4/27, 95, 58, 54, 20, 2, 4
2019/4/28, 114, 70, 46, 32, 3, 4
2019/4/29, 109, 64, 45, 20, 2, 3
2019/4/30, 111, 72, 52, 28, 2, 4
2019/5/1, 103, 83, 45, 30, 3, 4
2019/5/2, 111, 34, 41, 4, 2, 1
2019/5/3, 52, 23, 48, 4, 2, 2
2019/5/4, 43, 50, 53, 26, 2, 4
2019/5/5, 80, 82, 57, 31, 2, 5
2019/5/6, 93, 79, 48, 6, 2, 2
2019/5/7, 80, 35, 43, 8, 2, 2
2019/5/8, 50, 24, 47, 5, 2, 2
2019/5/9, 36, 24, 45, 9, 2, 3
2019/5/10, 37, 28, 58, 9, 2, 3
2019/5/11, 55, 46, 49, 18, 3, 3
2019/5/12, 74, 51, 44, 23, 4, 4
2019/5/13, 73, 42, 54, 20, 4, 4
2019/5/14, 66, 33, 45, 17, 2, 3
2019/5/15, 57, 47, 52, 28, 2, 4
2019/5/16, 75, 65, 44, 15, 2, 8
2019/5/17, 93, 39, 39, 9, 2, 4
