date, pm25, pm10, o3, no2, so2
2020/1/1, 23, 25, 16, 24, 3
2020/1/2, 45, 14, 2, 19, 1
2020/1/3, 56, 6, 18, 9, 2
2020/1/4, 40, 4, 26, 5, 1
2020/1/5, 26, 8, 17, 5, 
2020/1/6, 28, , , , 
2020/1/11, 22, 5, 26, 3, 2
2020/1/12, 17, 17, 9, 15, 1
2020/1/13, 26, 18, , 12, 
2020/1/14, 50, 12, 17, 12, 3
2020/1/15, 46, 9, 9, 6, 
2020/1/16, 79, , , , 
2019/10/1, 27, 32, 39, 5, 2
2019/10/2, 42, 4, 6, 1, 1
2019/10/3, 12, 7, 23, 5, 1
2019/10/4, 12, 9, 28, 2, 1
2019/10/5, 19, 13, 21, 1, 1
2019/10/6, 18, 11, 24, 3, 2
2019/10/7, 17, 8, 21, 3, 1
2019/10/8, 14, 8, 20, 3, 2
2019/10/9, 4, 9, 30, 6, 2
2019/10/10, 16, 12, 34, 12, 2
2019/10/11, 17, 18, 20, 7, 2
2019/10/12, 26, 10, 27, 7, 2
2019/10/13, 21, 20, 38, 8, 2
2019/10/14, 29, 24, 29, 8, 2
2019/10/15, 33, 9, 30, 3, 2
2019/10/16, 29, 10, 20, 1, 2
2019/10/17, 11, 10, 28, 5, 2
2019/10/18, 10, 12, 29, 5, 2
2019/10/19, 34, 11, 14, 2, 2
2019/10/20, 51, 11, 34, 2, 3
2019/10/21, 22, 4, 23, 6, 3
2019/10/22, 14, 11, 28, 10, 2
2019/10/23, 22, 17, 26, 9, 2
2019/10/24, 23, 21, 23, 14, 2
2019/10/25, 51, 19, 28, 8, 2
2019/10/26, 39, 5, 29, 1, 2
2019/10/27, 15, 10, 33, 9, 2
2019/10/28, 17, 9, 25, 4, 2
2019/10/29, 17, 14, 14, 5, 2
2019/10/30, 25, 5, 23, 2, 2
2019/10/31, 16, 7, 20, 5, 2
2019/11/1, 14, 11, , 11, 
2019/11/2, 25, 13, , 12, 
