date, pm25, pm10, o3, no2, co
2020/1/2, 27, 12, 26, 8, 
2020/1/3, 23, 15, 18, 11, 
2020/1/4, 22, 9, 25, 6, 
2020/1/5, 12, 15, 24, 7, 
2020/1/6, 13, 20, 20, 7, 
2020/1/7, 14, , 21, 11, 
2020/1/13, 9, 11, 27, 4, 
2020/1/14, 15, 12, 24, 6, 
2020/1/15, 17, 15, , , 
2020/1/16, 13, , , , 
2019/10/1, 18, 10, 21, 4, 
2019/10/2, 27, 12, 21, 8, 
2019/10/3, 39, 15, 22, 8, 
2019/10/4, 32, 12, 18, 8, 
2019/10/5, 26, 9, 4, 7, 
2019/10/6, 20, 8, 24, 3, 
2019/10/7, 18, 14, 20, 5, 
2019/10/8, 24, 8, 21, 5, 
2019/10/9, 21, 11, 19, 4, 
2019/10/10, 28, 8, 23, 3, 
2019/10/11, 13, 7, 15, 6, 
2019/10/12, 18, 7, 24, 4, 
2019/10/13, 18, 11, 7, 13, 
2019/10/14, 25, 10, 16, 7, 
2019/10/15, 23, 12, 21, 9, 
2019/10/16, 28, 10, 20, 7, 
2019/10/17, 27, 11, 24, 4, 
2019/10/18, 18, 11, 21, 7, 
2019/10/19, 24, 12, 15, 6, 
2019/10/20, 29, 12, 21, 5, 
2019/10/21, 20, 15, 15, 13, 
2019/10/22, 37, 24, 1, 19, 
2019/10/23, 59, 23, 8, 11, 
2019/10/24, 47, 10, 24, 5, 
2019/10/25, 15, 11, 27, 4, 
2019/10/26, 19, 17, 16, 10, 
2019/10/27, 41, 18, 11, 12, 
2019/10/28, 52, 12, 19, 13, 
2019/10/29, 22, 16, 20, 15, 
2019/10/30, 34, 30, 7, 15, 
2019/10/31, 74, 11, 15, 6, 
2019/11/1, 34, 10, 22, 2, 
2019/11/2, 17, 13, 14, 9, 
2019/11/3, 26, 12, 12, 12, 
2019/11/4, 27, 12, 13, 8, 
2019/11/5, 31, 19, 12, 13, 
2019/11/6, 51, 14, 19, 12, 
2019/11/7, 28, 17, 11, 11, 
2019/11/8, 53, 12, 8, 13, 
2019/11/9, 41, 17, 17, 11, 
2019/11/10, 43, 12, 21, 9, 
2019/11/11, 29, 8, 22, 9, 
2019/11/12, 19, 11, 15, 12, 
2019/11/13, 25, 6, 21, 11, 
2019/11/14, 20, 11, 18, 7, 
2019/11/15, 26, 19, 10, 11, 
2019/11/16, 51, 25, 4, 11, 
2019/11/17, 73, 12, 17, 12, 
2019/11/18, 25, 26, , 18, 
2019/11/19, 71, 13, 19, 13, 
2019/11/20, 25, 23, 7, 15, 
2019/11/21, 62, 12, 14, 15, 
2019/11/22, 19, 16, 7, 16, 
2019/11/23, 36, 16, 8, 11, 
2019/11/24, 38, 8, 15, 9, 
2019/11/25, 10, 9, 20, 5, 
2019/11/26, 11, 9, 17, 12, 
2019/11/27, 13, 11, 17, 11, 
2019/11/28, 18, 16, 16, 14, 
2019/11/29, 29, 18, 4, 21, 
2019/11/30, 47, 8, 19, 8, 
2019/12/1, 18, 20, 8, 20, 
2019/12/2, 58, 18, 9, 19, 
2019/12/3, 54, 28, 1, 19, 
2019/12/4, 82, 17, 16, 12, 
2019/12/5, 50, 6, 23, 6, 
2019/12/6, 14, 9, 21, 5, 
2019/12/7, 18, 12, 28, 3, 
2019/12/8, 22, 14, 25, 9, 
2019/12/9, 29, 9, 23, 7, 
2019/12/10, 16, 9, 18, 12, 
2019/12/11, 16, 6, 21, 8, 
2019/12/12, 11, 11, 23, 7, 
2019/12/13, 23, 10, 26, 6, 
2019/12/14, 26, 8, 27, 4, 
2019/12/15, 16, 13, 18, 15, 
2019/12/16, 30, 15, 5, 20, 
2019/12/17, 37, 12, 19, 13, 
2019/12/18, 18, 16, 22, 4, 
2019/12/19, 16, 9, 22, 12, 
2019/12/20, 16, 9, 24, 6, 
2019/12/21, 14, 11, 21, 7, 
2019/12/22, 10, 15, 21, 7, 
2019/12/23, 15, 15, 24, 6, 
2019/12/24, 19, 16, 21, 10, 
2019/12/25, 29, 16, 21, 7, 
2019/12/26, 36, 17, 14, 9, 
2019/12/27, 39, 16, 13, 6, 
2019/12/28, 36, , , , 
2019/8/21, 14, 12, 28, 7, 
2019/8/22, 14, 12, 25, 4, 
2019/8/23, 14, 20, 29, 5, 
2019/8/24, 29, 25, 54, 12, 
2019/8/25, 43, 21, 54, 10, 
2019/8/26, 36, 22, 65, 10, 
2019/8/27, 31, , 59, 12, 
2019/9/6, 18, 13, 19, 7, 
2019/9/7, 13, 11, 20, 7, 
2019/9/8, 20, 12, 28, 7, 
2019/9/9, 12, 14, 20, 8, 
2019/9/10, 19, 11, 17, 9, 
2019/9/11, 13, 9, 16, 3, 
2019/9/12, 10, 11, 15, 2, 
2019/9/13, 21, 15, 25, , 
2019/9/14, 32, 12, 25, , 
2019/9/15, 23, 11, 22, , 
2019/9/16, 14, 14, 10, 6, 
2019/9/17, 19, 16, 24, 6, 
2019/9/18, 23, 17, 26, 9, 
2019/9/19, 24, 18, 24, 12, 
2019/9/20, 22, 20, 28, 12, 
2019/9/21, 27, 15, 42, 10, 
2019/9/22, 46, 8, 21, 8, 
2019/9/26, 7, 9, 21, 3, 
2019/9/27, 9, 8, 21, 3, 
2019/9/28, 13, 6, 23, 2, 
2019/9/29, 11, 8, 22, 1, 
2019/9/30, 14, 12, 18, 5, 
2019/4/10, 38, , 30, 16, 
2019/4/11, 14, , 33, 13, 
2019/4/15, 82, , 36, 14, 
2019/4/16, 127, , 19, 21, 
2019/4/17, 117, , 32, 20, 
2019/4/18, 108, , 36, 22, 
2019/4/19, 78, , 45, 22, 
2019/4/20, 76, , 57, 21, 
2019/4/21, 77, , 63, 20, 
2019/4/22, 78, , 52, 20, 
2019/4/23, 73, 27, 25, 27, 
2019/4/24, 62, 23, 33, 15, 
2019/4/25, 10, 4, 34, 6, 
2019/4/26, 35, 4, 29, 25, 
2019/4/27, 71, 67, 26, 38, 
2019/4/30, 38, 10, 37, 8, 
2019/5/1, 48, 12, 33, 9, 
2019/5/2, 22, 4, 26, 9, 
2019/5/3, 30, 4, 23, 10, 
2019/5/4, 16, 5, 28, 5, 
2019/5/5, 61, 24, 28, 27, 
2019/5/6, 102, 69, 15, 42, 
2019/1/1, 24, 9, 21, 16, 
2019/1/2, 25, 8, 25, 18, 
2019/1/3, 30, 29, 9, 26, 
2019/1/4, 83, 19, 15, 17, 
2019/1/5, 62, 17, 13, 17, 
2019/1/6, 53, 11, 20, 12, 
2019/1/7, 34, 8, 22, 10, 
2019/1/8, 19, , 20, 14, 
2019/1/10, 64, 14, 13, 19, 
2019/1/11, 48, 5, 19, 10, 
2019/1/12, 19, 5, 25, 7, 
2019/1/13, 17, 9, 24, 15, 
2019/1/14, 20, 6, 19, 14, 
2019/1/15, 19, 3, 23, 12, 
2019/1/16, 13, 7, 22, 17, 
2019/1/17, 25, 14, 20, 20, 
2019/1/18, 40, 12, 18, 13, 
2019/1/19, 37, 25, 13, 20, 
2019/1/20, 72, 24, 1, 23, 
2019/1/21, 73, 5, 2, 28, 
2019/1/22, 21, 13, 18, 18, 
2019/1/23, 45, 27, 1, 26, 
2019/1/24, 84, 16, 10, 18, 
2019/1/25, 49, 3, 26, 4, 
2019/1/26, 13, 7, 26, 3, 
2019/1/27, 14, 7, 25, 13, 
2019/1/28, 17, 11, 17, 18, 
2019/1/29, 27, 8, 19, 21, 
2019/1/30, 24, 19, 16, 22, 
2019/1/31, 59, 9, 18, 15, 
2019/2/1, 36, 12, 20, 11, 
2019/2/2, 43, 9, 18, 17, 
2019/2/3, 23, 8, 23, 16, 
2019/2/4, 21, 8, 15, 14, 
2019/2/5, 28, 9, 20, 14, 
2019/2/6, 26, 4, 27, 7, 
2019/2/7, 7, 6, 27, 6, 
2019/2/8, 10, 8, 29, 6, 
2019/2/9, 16, 3, 26, 8, 
2019/2/10, 11, 6, 21, 17, 
2019/2/11, 17, 12, 19, 19, 
2019/2/12, 34, 14, 20, 14, 
2019/2/13, 36, 19, 10, 25, 
2019/2/14, 62, 27, 17, 22, 
2019/2/15, 79, 27, 15, 16, 
2019/2/16, 78, 23, 23, 10, 
2019/2/17, 59, 8, 22, 11, 
2019/2/18, 15, 8, 23, 13, 
2019/2/19, 19, 14, 17, 20, 
2019/2/20, 45, 28, 13, 38, 
2019/2/21, 71, , , , 
2019/2/26, 36, , , , 
2019/2/27, 48, , , , 
2019/2/28, 52, , , , 
2019/3/1, 44, , , , 
2019/3/2, 40, , , , 
2019/3/3, 40, , , , 
2018/10/1, 15, 7, 19, 10, 
2018/10/2, 12, 5, 16, 12, 
2018/10/3, 18, 7, 13, 7, 
2018/10/4, 23, 12, 17, 15, 
2018/10/5, 59, 25, 23, 8, 
2018/10/6, 27, 3, 21, 11, 
2018/10/7, 20, 6, 21, 10, 
2018/10/8, 16, 4, 26, 13, 
2018/10/9, 25, 17, 20, 23, 
2018/10/10, 75, 21, 24, 6, 
2018/10/11, 26, 8, 26, 4, 
2018/10/12, 12, 6, 25, 4, 
2018/10/13, 26, 5, 24, 5, 
2018/10/14, 9, 2, 16, 12, 
2018/10/15, 16, 11, 15, 10, 
2018/10/16, 42, 2, 13, 12, 
2018/10/17, 20, 13, 18, 13, 
2018/10/18, 25, 9, 16, 18, 
2018/10/19, 48, 19, 17, 14, 
2018/10/20, 57, 13, 20, 10, 
2018/10/21, 41, 8, 22, 13, 
2018/10/22, 20, 10, 14, 14, 
2018/10/23, 28, 10, 14, 12, 
2018/10/24, 26, 8, 18, 13, 
2018/10/25, 25, 4, 23, 9, 
2018/10/26, 14, 3, 20, 7, 
2018/10/27, 9, 2, 24, 6, 
2018/10/28, 10, 4, 19, 12, 
2018/10/29, 8, 7, 13, 10, 
2018/10/30, 25, 12, 16, 15, 
2018/10/31, 35, 11, 9, 16, 
2018/11/1, 44, 13, 11, 22, 
2018/11/2, 41, 12, 24, 9, 
2018/11/3, 37, 16, 21, 7, 
2018/11/4, 44, 30, 4, 17, 
2018/11/5, 85, 18, 18, 9, 
2018/11/6, 57, 5, 21, 6, 
2018/11/7, 12, 8, 25, 8, 
2018/11/8, 16, 8, 26, 7, 
2018/11/9, 17, 3, 22, 5, 
2018/11/10, 12, 6, 24, 6, 
2018/11/11, 12, 7, 22, 8, 
2018/11/12, 13, 8, 23, 11, 
2018/11/13, 17, 11, 22, 13, 
2018/11/14, 28, 17, 12, 13, 
2018/11/15, 56, 10, 4, 14, 
2018/11/16, 39, 19, 5, 19, 
2018/11/17, 61, 14, 14, 15, 
2018/11/18, 43, 5, 19, 12, 
2018/11/19, 15, 7, 16, 13, 
2018/11/20, 27, 14, 10, 16, 
2018/11/21, 52, 36, 1, 22, 
2018/11/22, 101, 34, 1, 22, 
2018/11/23, 92, 22, 11, 20, 
2018/11/24, 68, 13, 12, 13, 
2018/11/25, 45, 9, 13, 15, 
2018/11/26, 33, 9, 12, 13, 
2018/11/27, 36, 4, 25, 6, 
2018/11/28, 16, 6, 28, 5, 
2018/11/29, 17, 7, 21, 11, 
2018/11/30, 18, 3, 23, 7, 
2018/12/1, 12, 2, 22, 5, 
2018/12/2, 10, 7, 22, 9, 
2018/12/3, 22, 8, 7, 20, 
2018/12/4, 31, 5, 17, 12, 
2018/12/5, 22, 4, 22, 7, 
2018/12/6, 12, 4, 26, 7, 
2018/12/7, 15, 7, 29, 5, 
2018/12/8, 21, 5, 28, 7, 
2018/12/9, 19, 7, 18, 17, 
2018/12/10, 23, 21, 1, 23, 
2018/12/11, 65, 15, 16, 18, 
2018/12/12, 48, 17, 9, 20, 
2018/12/13, 59, 33, 1, 27, 
2018/12/14, 96, 15, 14, 11, 
2018/12/15, 50, 8, 20, 17, 
2018/12/16, 23, 7, 18, 14, 
2018/12/17, 13, 9, 25, 6, 
2018/12/18, 22, 3, 21, 11, 
2018/12/19, 10, 6, 22, 9, 
2018/12/20, 12, 14, 26, 7, 
2018/12/21, 29, 10, 24, 11, 
2018/12/22, 22, 4, 17, 11, 
2018/12/23, 10, 18, 9, 21, 
2018/12/24, 61, 20, 1, 20, 
2018/12/25, 71, 12, 8, 14, 
2018/12/26, 52, 19, 1, 17, 
2018/12/27, 71, 17, 5, 17, 
2018/12/28, 60, 8, 20, 12, 
2018/12/29, 29, 5, 17, 12, 
2018/12/30, 25, , , , 
2018/7/1, 47, 14, 55, 11, 
2018/7/2, 36, 10, 48, 10, 
2018/7/3, 25, 14, 44, 10, 
2018/7/4, 39, 19, 63, 10, 
2018/7/5, 53, 17, 48, 7, 
2018/7/6, 54, , 43, 7, 
2018/7/10, 25, 11, 29, 8, 
2018/7/11, 33, 14, 38, 8, 
2018/7/12, 42, 15, 39, 10, 
2018/7/13, 46, 12, 50, 4, 
2018/7/14, 41, 11, 38, 6, 
2018/7/15, 35, 10, 40, 7, 
2018/7/16, 30, 6, 25, 5, 
2018/7/17, 18, 7, 31, 8, 
2018/7/18, 23, 12, 43, 10, 
2018/7/19, 37, 12, 44, 10, 
2018/7/20, 39, 18, 46, 8, 
2018/7/21, 58, 9, 32, 6, 
2018/7/22, 29, 9, 38, 5, 
2018/7/23, 23, 9, 36, 6, 
2018/7/24, 27, 9, 37, 7, 
2018/7/25, 26, 13, 54, 10, 
2018/7/26, 42, 15, 37, 8, 
2018/7/27, 37, 9, 25, 4, 
2018/7/28, 19, 6, 18, 3, 
2018/7/29, 11, 9, 8, 5, 
2018/7/30, 13, 6, 29, 4, 
2018/7/31, 15, 6, 33, 7, 
2018/8/1, 22, 8, 26, 5, 
2018/8/2, 20, 7, 33, 7, 
2018/8/3, 20, 6, 36, 5, 
2018/8/4, 21, 9, 43, 6, 
2018/8/5, 28, 8, 46, 8, 
2018/8/6, 31, 11, 40, 9, 
2018/8/7, 29, 6, 28, 5, 
2018/8/8, 15, 6, 18, 10, 
2018/8/9, 20, 3, 20, 8, 
2018/8/10, 12, 3, 25, 8, 
2018/8/11, 18, 6, 20, 5, 
2018/8/12, 16, 6, 21, 7, 
2018/8/13, 17, 5, 24, 7, 
2018/8/14, 20, 6, 22, 4, 
2018/8/15, 16, 5, 17, 7, 
2018/8/16, 12, 6, 22, 7, 
2018/8/17, 20, 7, 17, 5, 
2018/8/18, 25, 5, 15, 4, 
2018/8/19, 16, 5, 20, 6, 
2018/8/20, 20, 4, 28, 7, 
2018/8/21, 14, 4, 15, 7, 
2018/8/22, 16, 5, 22, 7, 
2018/8/23, 22, 4, 21, 7, 
2018/8/24, 12, 3, 22, 10, 
2018/8/25, 16, 3, 18, 6, 
2018/8/26, 14, 4, 17, 6, 
2018/8/27, 15, 5, 23, 8, 
2018/8/28, 19, 6, 20, 10, 
2018/8/29, 22, 6, 21, 12, 
2018/8/30, 21, 11, 30, 11, 
2018/8/31, 38, 12, 39, 9, 
2018/9/1, 41, 11, 44, 11, 
2018/9/2, 44, 15, 39, 15, 
2018/9/3, 51, 14, 30, 10, 
2018/9/4, 50, 11, 30, 9, 
2018/9/5, 37, 6, 25, 10, 
2018/9/6, 22, 4, 22, 10, 
2018/9/7, 14, 3, 24, 6, 
2018/9/8, 13, 5, 26, 5, 
2018/9/9, 16, 7, 28, 5, 
2018/9/10, 15, 5, 20, 5, 
2018/9/11, 14, 4, 19, 10, 
2018/9/12, 15, 6, 21, 13, 
2018/9/13, 26, 3, 22, 9, 
2018/9/14, 12, 6, 24, 7, 
2018/9/15, 19, 6, 29, 4, 
2018/9/16, 19, 5, 38, 5, 
2018/9/17, 22, 8, 28, 4, 
2018/9/18, 20, 11, 27, 4, 
2018/9/19, 22, 10, 25, 4, 
2018/9/20, 23, 6, 23, 6, 
2018/9/21, 10, 5, 16, 10, 
2018/9/22, 15, 2, 21, 8, 
2018/9/23, 12, 6, 24, 14, 
2018/9/24, 24, 9, 26, 13, 
2018/9/25, 29, 9, 25, 18, 
2018/9/26, 35, 10, 28, 21, 
2018/9/27, 38, 6, 20, 12, 
2018/9/28, 18, 9, 25, 16, 
2018/9/29, 28, 7, 22, 9, 
2018/9/30, 23, 5, 22, 9, 
2018/4/1, 22, 8, 26, 7, 
2018/4/2, 26, 9, 33, 7, 
2018/4/3, 21, 7, 32, 7, 
2018/4/4, 17, 3, 33, 8, 
2018/4/5, 13, 10, 33, 13, 
2018/4/6, 37, 28, 26, 16, 
2018/4/7, 62, 16, 17, 14, 
2018/4/8, 59, 16, 15, 19, 
2018/4/9, 54, 13, 18, 21, 
2018/4/10, 57, 30, 15, 16, 
2018/4/11, 88, 21, 16, 14, 
2018/4/12, 71, 17, 17, 13, 
2018/4/13, 61, 21, 36, 12, 
2018/4/14, 68, 21, 30, 8, 
2018/4/15, 58, 11, 36, 7, 
2018/4/16, 23, 9, 33, 6, 
2018/4/17, 28, 10, 41, 9, 
2018/4/18, 32, 24, 48, 19, 
2018/4/19, 59, 17, 30, 13, 
2018/4/20, 52, 32, 43, 12, 
2018/4/21, 79, 14, 38, 7, 
2018/4/22, 39, 6, 34, 6, 
2018/4/23, 17, 5, 26, 5, 
2018/4/24, 18, 5, 32, 7, 
2018/4/25, 15, 8, 33, 8, 
2018/4/26, 15, 10, 20, 15, 
2018/4/27, 30, 5, 26, 12, 
2018/4/28, 19, 5, 31, 8, 
2018/4/29, 18, 10, 30, 11, 
2018/4/30, 28, 8, 34, 9, 
2018/5/1, 27, 5, 31, 10, 
2018/5/2, 15, 10, 34, 12, 
2018/5/3, 53, 11, 30, 13, 
2018/5/4, 30, 19, 41, 17, 
2018/5/5, 61, 27, 67, 15, 
2018/5/6, 75, 32, 63, 15, 
2018/5/7, 80, 25, 44, 13, 
2018/5/8, 61, 13, 29, 9, 
2018/5/9, 32, 10, 34, 10, 
2018/5/10, 26, 14, 35, 9, 
2018/5/11, 41, 14, 25, 13, 
2018/5/12, 55, 11, 34, 13, 
2018/5/13, 49, 11, 34, 10, 
2018/5/14, 31, 9, 39, 11, 
2018/5/15, 28, 12, 25, 10, 
2018/5/16, 34, 12, 31, 11, 
2018/5/17, 28, 9, 30, 10, 
2018/5/18, 25, 16, 43, 15, 
2018/5/19, 52, 17, 43, 12, 
2018/5/20, 53, 22, 43, 13, 
2018/5/21, 65, 20, 41, 10, 
2018/5/22, 51, 21, 37, 10, 
2018/5/23, 60, 22, 26, 15, 
2018/5/24, 68, 15, 22, 11, 
2018/5/25, 59, 24, 49, 10, 
2018/5/26, 75, 24, 42, 8, 
2018/5/27, 72, 24, 42, 8, 
2018/5/28, 74, 17, 37, 9, 
2018/5/29, 61, 19, 21, 15, 
2018/5/30, 61, 22, 18, 16, 
2018/5/31, 65, 12, 24, 8, 
2018/6/1, 42, 5, 31, 5, 
2018/6/2, 20, 9, 35, 8, 
2018/6/3, 32, 16, 28, 12, 
2018/6/4, 49, 10, 28, 11, 
2018/6/5, 28, 16, 35, 10, 
2018/6/6, 39, 14, 23, 12, 
2018/6/7, 40, 13, 32, 11, 
2018/6/8, 37, 12, 28, 10, 
2018/6/9, 45, 14, 36, 8, 
2018/6/10, 47, 9, 33, 11, 
2018/6/11, 27, 8, 22, 11, 
2018/6/12, 30, 9, 34, 9, 
2018/6/13, 27, 11, 30, 7, 
2018/6/14, 32, 10, 30, 9, 
2018/6/15, 28, 6, 26, 6, 
2018/6/16, 18, 5, 25, 4, 
2018/6/17, 16, 11, 24, 5, 
2018/6/18, 19, 9, 14, 5, 
2018/6/19, 16, 5, 11, 5, 
2018/6/20, 14, 7, 29, 7, 
2018/6/21, 15, 13, 32, 9, 
2018/6/22, 44, 8, 33, 10, 
2018/6/23, 28, 7, 44, 8, 
2018/6/25, 34, 16, 49, 16, 
2018/6/26, 49, 11, 37, 13, 
2018/6/27, 34, 16, 42, 11, 
2018/6/28, 45, 13, 41, 10, 
2018/6/29, 35, 13, 39, 9, 
2018/6/30, 35, 17, 80, 10, 
2018/1/1, 16, 14, 21, 11, 
2018/1/2, 28, 17, 28, 7, 
2018/1/3, 40, 7, 25, 11, 
2018/1/4, 19, , 24, 17, 
2018/1/9, 73, 18, 17, 23, 
2018/1/10, 49, 22, 1, 23, 
2018/1/11, 67, 27, 10, 22, 
2018/1/12, 77, 17, 15, 12, 
2018/1/13, 61, 23, 11, 17, 
2018/1/14, 73, 8, 20, 9, 
2018/1/15, 30, 6, 26, 10, 
2018/1/16, 21, 10, 29, 10, 
2018/1/17, 26, 10, 30, 14, 
2018/1/18, 40, 9, 24, 19, 
2018/1/19, 21, 8, 18, 24, 
2018/1/20, 31, 11, 19, 20, 
2018/1/21, 58, 12, 22, 17, 
2018/1/22, 24, 7, 25, 9, 
2018/1/23, 14, 7, 28, 8, 
2018/1/24, 11, 10, 24, 13, 
2018/1/25, 15, 14, 13, 23, 
2018/1/26, 47, 10, 22, 14, 
2018/1/27, 37, 4, 28, 6, 
2018/1/28, 14, 6, 28, 14, 
2018/1/29, 20, 12, 18, 22, 
2018/1/30, 42, 6, 27, 10, 
2018/1/31, 16, 7, 24, 12, 
2018/2/1, 16, 12, 20, 18, 
2018/2/2, 31, 10, 13, 24, 
2018/2/3, 36, 6, 22, 11, 
2018/2/4, 16, 9, 19, 17, 
2018/2/5, 28, 13, 17, 18, 
2018/2/6, 49, 12, 17, 22, 
2018/2/7, 36, 12, 22, 19, 
2018/2/8, 37, 5, 27, 13, 
2018/2/9, 15, 6, 24, 12, 
2018/2/10, 16, 3, 28, 8, 
2018/2/11, 12, 6, 17, 14, 
2018/2/12, 13, 6, 29, 11, 
2018/2/13, 16, 7, 25, 14, 
2018/2/14, 16, 9, 26, 12, 
2018/2/15, 16, 11, 22, 19, 
2018/2/16, 31, 21, 21, 20, 
2018/2/17, 56, 12, 24, 13, 
2018/2/18, 36, 10, 15, 15, 
2018/2/19, 37, 8, 25, 10, 
2018/2/20, 25, 30, 19, 19, 
2018/2/21, 88, 23, 19, 23, 
2018/2/22, 69, 22, 19, 23, 
2018/2/23, 65, 26, 21, 21, 
2018/2/24, 74, 15, 23, 17, 
2018/2/25, 41, 8, 24, 15, 
2018/2/26, 23, 10, 26, 21, 3
2018/2/27, 29, 16, 25, 19, 3
2018/2/28, 53, 34, 20, 16, 4
2018/3/1, 85, 36, 19, 20, 5
2018/3/2, 100, 52, 13, 24, 6
2018/3/3, 140, 19, 27, 14, 5
2018/3/4, 45, 11, 25, 14, 4
2018/3/5, 30, 7, 25, 14, 
2018/3/6, 27, 13, 23, 19, 
2018/3/7, 42, 3, 29, 10, 
2018/3/8, 9, , 14, 22, 
2018/3/14, 44, 7, 32, 11, 
2018/3/15, 17, 12, 30, 14, 
2018/3/16, 27, 13, 26, 10, 
2018/3/17, 40, 20, 25, 9, 
2018/3/18, 59, 15, 34, 10, 
2018/3/19, 40, 12, 31, 16, 
2018/3/20, 25, 18, 25, 20, 
2018/3/21, 51, 13, 32, 11, 
2018/3/22, 29, 12, 33, 8, 
2018/3/23, 23, 17, 16, 19, 
