date, pm25, o3, no2, so2, co
2020/1/1, 12, , 5, , 
2020/1/2, 33, , 4, , 
2020/1/3, 4, , 2, , 
2020/1/4, 6, , , , 
2020/1/7, 16, , 2, 1, 
2020/1/8, 11, , 3, 2, 
2020/1/9, 11, , 7, 1, 
2020/1/10, 11, , 3, 3, 
2020/1/11, 16, , 3, 4, 
2020/1/12, 12, , 5, 6, 
2020/1/13, 11, , 9, 3, 
2020/1/14, 15, , 9, 2, 
2020/1/15, 18, , , , 
2019/10/1, 13, , 2, , 
2019/10/2, 14, , 1, , 
2019/10/3, 11, , , , 
2019/10/11, 11, , , , 
2019/10/12, 8, , , , 
2019/10/28, 10, , 3, 1, 
2019/10/29, 6, , 6, 1, 
2019/10/30, 14, , 4, 1, 
2019/10/31, 12, , 5, 3, 
2019/11/1, 8, , 5, , 
2019/11/2, 19, , 6, , 
2019/11/3, 30, , 5, 2, 
2019/11/4, 8, , 4, , 
2019/11/5, 18, , 10, 1, 
2019/11/6, 17, , 3, , 
2019/11/7, 14, , 3, , 
2019/11/8, 18, , 2, , 
2019/11/9, 21, , , , 
2019/11/10, 3, , , , 
2019/11/13, 28, , 7, , 
2019/11/14, 29, , 3, , 
2019/11/15, 26, , 3, , 
2019/11/16, 17, , 2, , 
2019/11/17, 13, , 4, 1, 
2019/11/18, 3, , 4, 1, 
2019/11/19, 5, , 3, , 
2019/11/20, 12, , 5, , 
2019/11/21, 19, , 4, , 
2019/11/22, 12, , 5, , 
2019/11/23, 8, , 3, , 
2019/11/24, 8, , 2, , 
2019/11/25, 12, , 5, , 
2019/11/26, 15, , 4, , 
2019/11/27, 17, , 1, , 
2019/11/28, 6, , 1, , 
2019/11/29, 18, , , , 
2019/11/30, 6, , 1, , 
2019/12/1, 13, , 7, , 
2019/12/2, 11, , 7, , 
2019/12/3, 10, , 6, , 
2019/12/4, 9, , , , 
2019/12/8, 14, , 4, , 
2019/12/9, 19, , 9, , 
2019/12/10, 18, , 5, 1, 
2019/12/11, 15, , , , 
2019/12/21, 3, , 3, , 
2019/12/22, 24, , 3, , 
2019/12/23, 25, , 1, , 
2019/12/24, 20, , , , 
2019/7/1, 17, , 2, 5, 
2019/7/2, 8, , 4, 10, 
2019/7/3, 12, , , , 
2019/7/5, 25, , 2, 3, 
2019/7/6, 21, , 3, 3, 
2019/7/7, 20, , 2, 5, 
2019/7/8, 23, , 1, 3, 
2019/7/9, 25, , 2, 3, 
2019/7/10, 21, , 2, 4, 
2019/7/11, 27, , 3, 5, 
2019/7/12, 32, , 2, 3, 
2019/7/13, 23, , 1, 3, 
2019/7/14, 14, , 2, 4, 
2019/7/15, 27, , 2, , 
2019/7/16, 42, , 2, , 
2019/7/17, 20, , 2, 1, 
2019/7/18, 13, 10, 2, , 
2019/7/19, 11, 10, 4, 2, 
2019/7/20, 22, 13, 2, 1, 
2019/7/21, 32, 16, 4, 1, 
2019/7/22, 41, 17, 3, 1, 
2019/7/23, 38, 12, 2, 1, 
2019/7/24, 35, 12, 5, , 
2019/7/25, 33, , , , 
2019/8/18, 15, , 2, , 
2019/8/19, 29, , , , 
2019/8/23, 49, , 1, , 
2019/8/24, 20, , 2, 1, 
2019/8/25, 17, , 2, 2, 
2019/8/26, 10, , 2, 1, 
2019/8/27, 7, , 3, 3, 
2019/8/28, 13, , 3, 3, 
2019/8/29, 14, , 2, 1, 
2019/8/30, 19, , 1, , 
2019/8/31, 15, , 1, , 
2019/9/1, 14, , 1, 1, 
2019/9/2, 12, , 2, 1, 
2019/9/3, 10, , 1, , 
2019/9/4, 11, , , , 
2019/9/18, 24, , 1, , 
2019/9/19, 27, , 2, 1, 
2019/9/20, 18, , , , 
2019/9/23, 27, , 2, 5, 
2019/9/24, 11, , 7, , 
2019/9/25, 11, , 2, , 
2019/9/26, 8, , 1, , 
