date, pm25, o3, no2
2020/1/2, 51, 2, 
2020/1/3, 40, 13, 
2020/1/4, 18, 36, 
2020/1/5, 31, 36, 
2020/1/6, 24, 35, 
2020/1/7, 19, 39, 
2020/1/8, 29, 31, 
2020/1/9, 23, 27, 
2020/1/10, 33, 28, 
2020/1/11, 15, 31, 
2020/1/12, 28, 15, 
2020/1/13, 28, 19, 
2020/1/14, 37, 21, 
2020/1/15, 41, , 
2019/10/1, 26, 36, 
2019/10/2, 28, 34, 
2019/10/3, 26, 34, 
2019/10/4, 24, 35, 
2019/10/5, 27, 44, 
2019/10/6, 35, 38, 
2019/10/7, 24, 42, 
2019/10/8, 22, 34, 
2019/10/9, 38, 26, 
2019/10/10, 22, 23, 
2019/10/11, 15, 32, 
2019/10/12, 20, 35, 
2019/10/13, 18, 28, 
2019/10/14, 31, 25, 
2019/10/15, 30, 28, 
2019/10/16, 17, 36, 
2019/10/17, 19, 45, 
2019/10/18, 32, 39, 
2019/10/19, 30, 27, 
2019/10/20, 34, 38, 
2019/10/21, 24, 39, 
2019/10/22, 22, 40, 
2019/10/23, 27, 29, 
2019/10/24, 28, 23, 
2019/10/25, 11, 30, 
2019/10/26, 21, 40, 
2019/10/27, 30, 30, 
2019/10/28, 32, 16, 
2019/10/29, 20, 11, 
2019/10/30, 11, 24, 
2019/10/31, 23, 32, 
2019/11/1, 35, 41, 
2019/11/2, 33, 42, 
2019/11/3, 40, 32, 
2019/11/4, 28, 26, 
2019/11/5, 27, 30, 
2019/11/6, 24, 23, 
2019/11/7, 44, 11, 
2019/11/8, 22, 29, 
2019/11/9, 39, 32, 
2019/11/10, 42, 24, 
2019/11/11, 25, 26, 
2019/11/12, 14, 22, 
2019/11/13, 23, 18, 
2019/11/14, 44, 31, 
2019/11/15, 41, 35, 
2019/11/16, 48, 37, 
2019/11/17, 47, 40, 
2019/11/18, 41, 36, 
2019/11/19, 46, 26, 
2019/11/20, 37, 30, 
2019/11/21, 23, 14, 
2019/11/22, 21, 23, 
2019/11/23, 32, 36, 
2019/11/24, 37, 33, 
2019/11/25, 47, 23, 
2019/11/26, 64, 28, 
2019/11/27, 22, 22, 
2019/11/28, 38, 8, 
2019/11/29, 51, 19, 
2019/11/30, 42, 31, 
2019/12/1, 16, 30, 
2019/12/2, 35, 37, 
2019/12/3, 38, 45, 
2019/12/4, 36, 29, 
2019/12/5, 49, 35, 
2019/12/6, 25, 37, 
2019/12/7, 36, 41, 
2019/12/8, 57, 24, 
2019/12/9, 59, 21, 
2019/12/10, 14, 26, 
2019/12/11, 33, 28, 
2019/12/12, 36, 30, 
2019/12/13, 41, 35, 
2019/12/14, 40, 28, 
2019/12/15, 50, 21, 
2019/12/16, 37, 31, 
2019/12/17, 18, 33, 
2019/12/18, 32, 39, 
2019/12/19, 36, 30, 
2019/12/20, 25, 24, 
2019/12/21, 44, 30, 
2019/12/22, 52, 36, 
2019/12/23, 53, 45, 
2019/12/24, 46, 40, 
2019/12/25, 39, 29, 
2019/12/26, 20, 31, 
2019/12/27, 21, 19, 
2019/12/28, 15, , 
2019/7/13, 40, 39, 
2019/7/14, 49, 28, 
2019/7/15, 41, 22, 
2019/7/16, 28, 21, 
2019/7/17, 28, 24, 
2019/7/18, 27, 25, 
2019/7/19, 32, 23, 
2019/7/20, 46, 23, 
2019/7/21, 52, 23, 
2019/7/22, 38, 42, 
2019/7/23, 27, 45, 
2019/7/24, 42, 46, 
2019/7/25, 34, 52, 
2019/7/26, 41, 46, 
2019/7/27, 35, 20, 
2019/7/28, 48, 22, 
2019/7/29, 44, 25, 
2019/7/30, 44, 28, 
2019/7/31, 56, 34, 
2019/8/1, 40, 38, 
2019/8/2, 29, 38, 
2019/8/3, 27, 34, 
2019/8/4, 21, 30, 
2019/8/5, 22, 28, 
2019/8/6, 33, 22, 
2019/8/7, 41, 27, 
2019/8/8, 48, 24, 
2019/8/9, 41, 25, 
2019/8/10, 38, 24, 
2019/8/11, 35, 26, 
2019/8/12, 28, 26, 
2019/8/13, 32, 34, 
2019/8/14, 39, 45, 
2019/8/15, 30, 39, 
2019/8/16, 41, 24, 
2019/8/17, 38, 24, 
2019/8/18, 41, 23, 
2019/8/19, 34, 23, 
2019/8/20, 65, 24, 
2019/8/21, 50, 27, 
2019/8/22, 37, 29, 
2019/8/23, 23, 29, 
2019/8/24, 37, 35, 
2019/8/25, 51, 32, 
2019/8/26, 56, 28, 
2019/8/27, 42, 29, 
2019/8/28, 36, 31, 
2019/8/29, 34, 29, 
2019/8/30, 33, 26, 
2019/8/31, 25, 37, 
2019/9/1, 30, 40, 
2019/9/2, 45, 36, 
2019/9/3, 40, 40, 
2019/9/4, 37, 30, 
2019/9/5, 31, 39, 
2019/9/6, 37, 32, 
2019/9/7, 36, 26, 
2019/9/8, 26, 26, 
2019/9/9, 22, 31, 
2019/9/10, 23, 25, 
2019/9/11, 27, 30, 
2019/9/12, 22, 40, 
2019/9/13, 26, 46, 
2019/9/14, 44, 39, 
2019/9/15, 38, 40, 
2019/9/16, 35, 39, 
2019/9/17, 23, 42, 
2019/9/18, 24, 27, 
2019/9/19, 41, 26, 
2019/9/20, 24, 31, 
2019/9/21, 36, 28, 
2019/9/22, 23, 27, 
2019/9/23, 22, 26, 
2019/9/24, 23, 29, 
2019/9/25, 18, 35, 
2019/9/26, 20, 34, 
2019/9/27, 20, 26, 
2019/9/28, 19, 26, 
2019/9/29, 26, 17, 
2019/9/30, 29, 27, 
2019/6/15, 36, 21, 
2019/6/16, 37, 43, 
2019/6/17, 20, 34, 
2019/6/18, 25, 24, 
2019/6/19, 41, 22, 
2019/6/20, 62, 17, 
2019/6/21, 56, , 
2018/10/1, 23, 23, 
2018/10/2, 23, 21, 
2018/10/3, 16, 26, 
2018/10/4, 16, 22, 
2018/10/5, 17, 27, 
2018/10/6, 20, 22, 
2018/10/7, 20, 21, 
2018/10/8, 22, 21, 
2018/10/9, 18, 35, 
2018/10/10, 21, 31, 
2018/10/11, 19, 34, 
2018/10/12, 21, 23, 
2018/10/13, 21, 22, 
2018/10/14, 23, 15, 
2018/10/15, 9, 14, 
2018/10/16, 8, 15, 
2018/10/17, 12, 19, 
2018/10/18, 30, 13, 
2018/10/19, 31, 20, 
2018/10/20, 18, 32, 
2018/10/21, 22, 28, 
2018/10/22, 23, 30, 
2018/10/23, 15, 18, 
2018/10/24, 21, 26, 
2018/10/25, 16, 32, 
2018/10/26, 32, 32, 
2018/10/27, 36, 36, 
2018/10/28, 29, 32, 
2018/10/29, 23, 27, 
2018/10/30, 22, 21, 
2018/10/31, 17, 28, 
2018/11/1, 12, 32, 
2018/11/2, 19, 34, 
