date, pm25, pm10, o3, no2, so2, co
2020/1/2, 34, , 13, 22, 1, 6
2020/1/3, 58, , 25, 10, 1, 3
2020/1/4, 28, , 27, 10, 1, 2
2020/1/5, 23, , 16, 20, 1, 4
2020/1/6, 29, , 29, 14, 1, 3
2020/1/7, 32, , 29, 11, 1, 3
2020/1/8, 21, , 28, 10, , 3
2020/1/9, 20, , 26, 13, 1, 4
2020/1/10, 32, , 30, 8, , 2
2020/1/11, 23, , 29, 9, , 3
2020/1/12, 23, , 30, 10, , 3
2020/1/13, 15, , 30, 8, , 3
2020/1/14, 26, , 26, 14, , 4
2020/1/15, 26, , , , , 
2019/10/1, 17, , 19, 12, 2, 3
2019/10/2, 28, , 24, 6, 1, 2
2019/10/3, 27, , 24, 11, 1, 3
2019/10/4, 25, , 23, 14, 2, 4
2019/10/5, 27, , 31, 16, 1, 4
2019/10/6, 34, , 31, 22, 2, 5
2019/10/7, 41, , 22, 13, , 4
2019/10/8, 44, , 28, 13, 1, 3
2019/10/9, 43, , 29, 15, 1, 3
2019/10/10, 25, , 33, 25, 1, 5
2019/10/11, 35, , 43, 20, 2, 4
2019/10/12, 45, , 30, 7, , 3
2019/10/13, 25, 43, 28, 9, 1, 3
2019/10/14, 40, 32, 26, 11, 1, 3
2019/10/15, 46, 22, 26, 9, 3, 3
2019/10/16, 16, 16, 27, 7, , 3
2019/10/17, 25, 17, 25, 15, 1, 4
2019/10/18, 40, 20, 27, 9, , 3
2019/10/19, 40, 22, 25, 11, 1, 4
2019/10/20, 34, , 20, 20, 1, 5
2019/10/21, 41, , 25, 23, 2, 7
2019/10/22, 45, , 22, 22, 2, 7
2019/10/23, 46, , 24, 23, 1, 5
2019/10/24, 31, , 32, 28, 1, 7
2019/10/25, 61, , 22, 12, , 5
2019/10/26, 62, , 27, 6, , 3
2019/10/27, 30, , 35, 12, 1, 4
2019/10/28, 54, , 26, 15, 1, 5
2019/10/29, 45, , 28, 19, 1, 4
2019/10/30, 28, , 29, 25, 4, 6
2019/10/31, 44, , 27, 28, 2, 7
2019/11/1, 52, , 38, 28, 1, 7
2019/11/2, 56, , 36, 18, 2, 6
2019/11/3, 51, , 24, 15, 2, 4
2019/11/4, 43, , 22, 16, 2, 4
2019/11/5, 39, , 22, 8, 1, 3
2019/11/6, 42, , 26, 10, 1, 3
2019/11/7, 49, , 26, 13, 1, 4
2019/11/8, 71, , 24, 11, 1, 4
2019/11/9, 63, , 24, 8, , 3
2019/11/10, 43, , 18, 23, 2, 5
2019/11/11, 49, , 26, 19, 2, 5
2019/11/12, 45, , 28, 10, 1, 4
2019/11/13, 37, , 25, 11, , 3
2019/11/14, 35, , 21, 10, , 3
2019/11/15, 14, , 13, 11, 1, 4
2019/11/16, 37, , 29, 19, 1, 7
2019/11/17, 49, , 31, 23, 2, 6
2019/11/18, 62, , 26, 7, , 3
2019/11/19, 33, , 23, 15, 1, 4
2019/11/20, 34, , 23, 13, 1, 4
2019/11/21, 45, , 22, 21, 2, 5
2019/11/22, 53, , 25, 20, 1, 4
2019/11/23, 56, , 21, 16, 2, 4
2019/11/24, 51, , 28, 12, 1, 3
2019/11/25, 39, , 29, 9, 1, 2
2019/11/26, 25, , 30, 9, , 2
2019/11/27, 26, , 24, 9, 1, 2
2019/11/28, 28, , 26, 13, 1, 3
2019/11/29, 22, , 26, 6, 1, 2
2019/11/30, 16, , 27, 3, , 2
2019/12/1, 10, , 25, 14, , 3
2019/12/2, 16, , 15, 16, , 4
2019/12/3, 23, , 6, 17, , 4
2019/12/4, 35, , 9, 18, 1, 4
2019/12/5, 43, , 27, 10, , 3
2019/12/6, 19, , 30, 6, , 2
2019/12/7, 17, , 33, 6, , 3
2019/12/8, 18, , 23, 14, 1, 3
2019/12/9, 29, , 21, 12, 1, 3
2019/12/10, 37, , 13, 18, , 4
2019/12/11, 34, , 16, 9, , 3
2019/12/12, 13, , 21, 11, , 3
2019/12/13, 22, , 32, 4, , 2
2019/12/14, 18, , 29, 6, , 3
2019/12/15, 18, , 17, 14, 1, 4
2019/12/16, 23, , 15, 20, 1, 5
2019/12/17, 42, , 27, 9, , 3
2019/12/18, 17, , 26, 15, , 4
2019/12/19, 30, , 12, 20, 2, 6
2019/12/20, 52, , 23, 15, 1, 5
2019/12/21, 48, , 32, 6, , 3
2019/12/22, 20, , 20, 15, 1, 4
2019/12/23, 24, , 28, 12, , 4
2019/12/24, 22, , 27, 4, , 3
2019/12/25, 16, , 23, 15, , 4
2019/12/26, 27, , 17, 20, , 6
2019/12/27, 33, , 3, 22, , 7
2019/12/28, 40, , , , , 
2019/7/1, 35, , 20, 4, 1, 2
2019/7/2, 42, , 21, 4, 2, 2
2019/7/3, 41, , 21, 2, 1, 2
2019/7/4, 36, , 23, 3, 1, 2
2019/7/5, 35, , 23, 2, 1, 2
2019/7/6, 44, , 22, 1, 1, 2
2019/7/7, 42, , 22, 3, 1, 2
2019/7/8, 32, , 20, 4, 1, 2
2019/7/9, 19, , 10, 4, 1, 2
2019/7/10, 18, , 13, 3, 3, 2
2019/7/11, 11, , 12, 3, 2, 2
2019/7/12, 20, , 14, 2, 1, 2
2019/7/13, 24, , 18, 3, 1, 2
2019/7/14, 25, , 16, 5, 2, 2
2019/7/15, 33, , 16, 3, 1, 2
2019/7/16, 26, , 21, 4, 3, 2
2019/7/17, 36, , 16, 2, 1, 2
2019/7/18, 18, , 21, 5, 1, 2
2019/7/19, 42, , 21, 2, 1, 2
2019/7/20, 23, , 21, 3, 1, 2
2019/7/21, 27, , 20, 4, 1, 2
2019/7/22, 29, , 14, 3, 1, 2
2019/7/23, 26, , 21, 9, 2, 3
2019/7/24, 48, , 21, 4, 3, 2
2019/7/25, 42, , 19, 3, 1, 2
2019/7/26, 15, , 20, 6, 1, 3
2019/7/27, 26, , 21, 4, 1, 2
2019/7/28, 46, , 19, 3, 1, 2
2019/7/29, 51, , 22, 4, 1, 2
2019/7/30, 38, , 22, 4, 1, 2
2019/7/31, 36, , 13, 3, 1, 2
2019/8/1, 13, , 11, 3, 1, 2
2019/8/2, 14, , 13, 2, 1, 2
2019/8/3, 10, , 22, 2, 1, 2
2019/8/4, 27, , 23, 4, 1, 3
2019/8/5, 43, , 22, 4, 1, 2
2019/8/6, 42, , 25, 3, 3, 2
2019/8/7, 38, , 24, 4, 1, 2
2019/8/8, 27, , 21, 4, 1, 2
2019/8/9, 20, , 17, 2, , 1
2019/8/10, 9, , 19, 3, , 1
2019/8/11, 17, , 19, 6, 1, 2
2019/8/12, 31, , 19, 7, 1, 2
2019/8/13, 34, , 24, 12, 1, 3
2019/8/14, 47, , 23, 11, 1, 3
2019/8/15, 55, , 21, 5, 1, 2
2019/8/16, 57, , 24, 4, , 2
2019/8/17, 45, , 23, 5, , 2
2019/8/18, 22, , 21, 3, , 1
2019/8/19, 17, , 20, 4, , 2
2019/8/20, 24, , 20, 4, 3, 2
2019/8/21, 23, , 18, 4, 3, 2
2019/8/22, 27, , 20, 4, 1, 2
2019/8/23, 32, , 25, 3, , 2
2019/8/24, 29, , 28, 4, , 2
2019/8/25, 21, , 24, 8, 1, 2
2019/8/26, 18, , 24, 6, , 2
2019/8/27, 19, , 25, 2, , 2
2019/8/28, 26, , 21, 2, , 2
2019/8/29, 41, , 18, 4, 1, 2
2019/8/30, 29, , 19, 4, 1, 2
2019/8/31, 29, , 19, 3, 1, 1
2019/9/1, 19, , 20, 3, , 1
2019/9/2, 26, , 19, 3, , 1
2019/9/3, 21, , 18, 4, 1, 2
2019/9/4, 21, , 21, 3, 1, 1
2019/9/5, 15, , 21, 3, 1, 1
2019/9/6, 15, , 21, 2, , 1
2019/9/7, 15, , 21, 3, 1, 1
2019/9/8, 24, , 23, 5, , 2
2019/9/9, 23, , 24, 6, , 2
2019/9/10, 28, , 24, 10, 1, 3
2019/9/11, 38, , 26, 17, 1, 4
2019/9/12, 39, , 38, 17, 2, 4
2019/9/13, 45, , 19, 5, 1, 2
2019/9/17, 22, , 21, 5, 1, 2
2019/9/18, 14, , 22, 8, 2, 2
2019/9/19, 22, , 22, 12, 5, 3
2019/9/20, 30, , 27, 10, 2, 3
2019/9/21, 31, , 17, 4, , 2
2019/9/22, 26, , 19, 8, 1, 2
2019/9/23, 26, , 28, 17, 4, 4
2019/9/24, 47, , 30, 18, 2, 4
2019/9/25, 46, , 28, 7, 1, 2
2019/9/26, 48, , 23, 5, 1, 2
2019/9/27, 18, , 26, 4, 1, 1
2019/9/28, 38, , 24, 5, 1, 2
2019/9/29, 26, , 25, 7, , 2
2019/9/30, 18, , 21, 12, 1, 3
2019/4/1, 25, , 32, 6, 1, 2
2019/4/2, 14, , 28, 6, 4, 3
2019/4/3, 11, , 30, 4, 2, 2
2019/4/4, 6, , 37, 5, , 2
2019/4/5, 13, , 36, 4, , 2
2019/4/6, 19, , 28, 3, , 3
2019/4/7, 25, , 23, 5, 2, 3
2019/4/8, 24, , 36, 5, 1, 3
2019/4/9, 25, , 30, 6, 1, 3
2019/4/10, 29, , 32, 8, , 3
2019/4/11, 37, , 30, 8, 1, 4
2019/4/12, 27, , 35, 6, 1, 4
2019/4/13, 41, , 38, 3, , 3
2019/4/14, 28, , 37, 4, , 3
2019/4/15, 31, , 32, 4, 2, 3
2019/4/16, 19, , 29, 7, 8, 5
2019/4/17, 27, , 36, 11, 2, 4
2019/4/18, 33, , 24, 7, 1, 3
2019/4/19, 18, , 39, 2, 1, 2
2019/4/20, 28, , 31, 5, , 3
2019/4/21, 48, , 28, 10, 2, 3
2019/4/22, 54, , 31, 17, 1, 4
2019/4/23, 56, , 29, 11, 1, 3
2019/4/24, 61, , 34, 4, , 2
2019/4/25, 56, , 36, 6, , 2
2019/4/26, 54, , 39, 2, , 2
2019/4/27, 56, , 37, 2, , 2
2019/4/28, 55, , 34, 4, 2, 2
2019/4/29, 48, , 36, 3, , 2
2019/4/30, 49, , 36, 6, 1, 2
2019/5/1, 51, , 37, 7, 1, 2
2019/5/2, 46, , 34, 5, 1, 2
2019/5/3, 46, , 36, 2, , 2
2019/5/4, 37, , 36, 2, , 2
2019/5/5, 17, , 30, 4, , 2
2019/5/6, 12, , 28, 4, 2, 2
2019/5/7, 12, , 28, 3, 1, 2
2019/5/8, 19, , 29, 3, , 2
2019/5/9, 21, , 28, 4, , 2
2019/5/10, 21, , 32, 2, , 2
2019/5/11, 24, , 30, 2, , 2
2019/5/12, 27, , 25, 3, , 2
2019/5/13, 20, , 27, 4, , 2
2019/5/14, 19, 17, 26, 5, , 2
2019/5/15, 19, 10, 36, 4, 1, 2
2019/5/16, 31, 12, 32, 3, 1, 2
2019/5/17, 28, 9, 30, 5, , 2
2019/5/18, 16, 6, 40, 3, , 2
2019/5/19, 17, 11, 36, 5, 1, 3
2019/5/20, 18, 7, 33, 3, , 2
2019/5/21, 26, , 28, 5, 1, 2
2019/5/22, 33, , 24, 4, , 2
2019/5/23, 49, , 26, 3, 1, 2
2019/5/24, 18, , 31, 2, , 2
2019/5/25, 38, , 36, 2, , 2
2019/5/26, 26, , 26, 3, , 2
2019/5/27, 28, , 27, 4, , 2
2019/5/28, 34, , 24, 4, 2, 2
2019/5/29, 48, , 22, 3, 2, 2
2019/5/30, 19, , 22, 5, 1, 2
2019/5/31, 28, , 25, 3, 1, 2
2019/6/1, 30, , 24, 2, , 2
2019/6/2, 12, , 24, 4, 1, 2
2019/6/3, 33, , 26, 7, 1, 2
2019/6/4, 56, , 26, 5, 1, 2
2019/6/5, 50, , 24, 2, , 2
2019/6/6, 35, , 23, 7, 1, 2
2019/6/7, 37, , 28, 8, 1, 3
2019/6/8, 30, , 39, 15, 2, 5
2019/6/9, 47, , 65, 16, 2, 4
2019/6/10, 48, , 57, 17, 1, 4
2019/6/11, 54, , 29, 7, 1, 2
2019/6/12, 45, , 24, 2, , 2
2019/6/13, 18, , 20, 2, 1, 2
2019/6/14, 25, , 20, 2, , 1
2019/6/15, 21, , 20, 2, , 1
2019/6/16, 25, , 18, 4, 1, 2
2019/6/17, 40, , 21, 4, 1, 2
2019/6/18, 27, , 20, 4, 1, 2
2019/6/19, 21, , 24, 3, 1, 2
2019/6/20, 39, , 22, 6, 1, 2
2019/6/21, 46, , 21, 4, 1, 2
2019/6/22, 60, , 22, 3, 1, 2
2019/6/23, 50, , 24, 4, 1, 2
2019/6/24, 39, , 24, 3, 1, 2
2019/6/25, 38, , 22, 3, 1, 2
2019/6/26, 22, , 21, 3, 2, 2
2019/6/27, 22, , 19, 4, 3, 2
2019/6/28, 25, , 19, 3, 1, 2
2019/6/29, 30, , 22, 2, , 2
2019/6/30, 28, , 22, 4, 1, 2
2019/1/1, 17, , 14, 24, 2, 5
2019/1/2, 45, , 15, 25, 1, 5
2019/1/3, 69, , 14, 27, 1, 5
2019/1/4, 80, , 32, 6, 1, 2
2019/1/5, 27, , 29, 4, 1, 2
2019/1/6, 18, , 26, 18, 1, 4
2019/1/7, 26, , 22, 15, 1, 4
2019/1/8, 29, , 30, 8, , 3
2019/1/9, 25, , 13, 21, 1, 5
2019/1/10, 46, , 8, 20, 1, 4
2019/1/11, 41, , 25, 13, 1, 3
2019/1/12, 30, , 19, 15, 1, 4
2019/1/13, 40, , 23, 15, 1, 3
2019/1/14, 29, , 29, 9, , 3
2019/1/15, 12, , 28, 5, 1, 2
2019/1/16, 13, , 33, 4, , 3
2019/1/17, 49, , 26, 16, 1, 4
2019/1/18, 52, , 22, 14, 1, 4
2019/1/19, 47, , 34, 4, , 3
2019/1/20, 21, , 31, 7, , 3
2019/1/21, 21, , 24, 16, 1, 4
2019/1/22, 22, , 16, 23, 2, 7
2019/1/23, 43, , 17, 22, 2, 6
2019/1/24, 42, , 19, 21, 3, 6
2019/1/25, 55, , 23, 23, 1, 6
2019/1/26, 51, , 24, 17, 1, 5
2019/1/27, 72, , 13, 16, 1, 5
2019/1/28, 46, , 18, 8, 1, 3
2019/1/29, 30, , 19, 11, 2, 3
2019/1/30, 42, , 26, 12, , 3
2019/1/31, 43, , 30, 8, , 3
2019/2/1, 20, , 36, 3, , 2
2019/2/2, 19, , 34, 2, , 3
2019/2/3, 15, , 33, 5, , 2
2019/2/4, 17, , 28, 9, 1, 2
2019/2/5, 18, , 23, 15, 1, 3
2019/2/6, 26, , 26, 15, 1, 3
2019/2/7, 26, , 23, 11, 1, 3
2019/2/8, 29, , 33, 7, 1, 3
2019/2/9, 25, , 34, 6, , 3
2019/2/10, 14, , 26, 17, 1, 4
2019/2/11, 26, , 16, 20, 1, 4
2019/2/12, 29, , 32, 8, , 3
2019/2/13, 13, , 34, 4, , 3
2019/2/14, 17, , 34, 5, 1, 3
2019/2/15, 22, , 32, 6, , 3
2019/2/16, 24, , 32, 5, 1, 3
2019/2/17, 15, , 29, 11, 1, 4
2019/2/18, 18, , 28, 14, 1, 4
2019/2/19, 24, , 29, 5, , 3
2019/2/20, 16, , 28, 7, , 3
2019/2/21, 17, , 30, 9, 1, 3
2019/2/22, 14, , 29, 13, 1, 4
2019/2/23, 25, , 32, 9, 2, 4
2019/2/24, 24, , 30, 6, 1, 3
2019/2/25, 23, , 29, 4, , 3
2019/2/26, 16, , 31, 5, 1, 3
2019/2/27, 16, , 31, 8, , 3
2019/2/28, 21, , 18, 20, 1, 4
2019/3/1, 29, , 15, 14, , 4
2019/3/2, 26, , 28, 6, 1, 3
2019/3/3, 21, , 28, 8, , 3
2019/3/4, 23, , 25, 13, 1, 3
2019/3/5, 30, , 33, 4, , 2
2019/3/6, 17, , 33, 5, 1, 2
2019/3/7, 18, , 34, 5, , 3
2019/3/8, 14, , 35, 5, , 3
2019/3/9, 18, , 34, 6, , 3
2019/3/10, 14, , 27, 12, 2, 4
2019/3/11, 28, , 32, 7, 1, 3
2019/3/12, 33, , 30, 8, 1, 3
2019/3/13, 24, , 30, 13, 1, 4
2019/3/14, 23, , 35, 12, 2, 4
2019/3/15, 25, , 34, 10, 2, 4
2019/3/16, 33, , 38, 12, 5, 5
2019/3/17, 40, , 36, 17, 1, 6
2019/3/18, 49, , 39, 10, 2, 3
2019/3/19, 37, , 41, 5, 1, 2
2019/3/20, 23, , 37, 7, 1, 3
2019/3/21, 27, , 32, 9, , 3
2019/3/22, 23, , 42, 5, 1, 2
2019/3/23, 26, , 42, 9, 1, 3
2019/3/24, 25, , 36, 8, 1, 3
2019/3/25, 21, , 38, 10, 1, 3
2019/3/26, 17, , 39, 4, 1, 2
2019/3/27, 15, , 37, 5, 1, 2
2019/3/28, 23, , 36, 9, 1, 3
2019/3/29, 23, , 31, 9, 1, 3
2019/3/30, 22, , 28, 8, 2, 3
2019/3/31, 32, , 27, 11, 2, 3
2018/10/1, 35, , 20, 13, 1, 3
2018/10/2, 30, , 20, 9, , 3
2018/10/3, 9, , 27, 5, 1, 2
2018/10/4, 20, , 24, 9, 1, 3
2018/10/5, 27, , 24, 8, 1, 3
2018/10/6, 26, , 29, 8, 1, 3
2018/10/7, 33, , 25, 10, 1, 3
2018/10/8, 32, , 25, 5, 1, 3
2018/10/9, 31, , 26, 6, 3, 3
2018/10/10, 35, , 27, 9, 1, 3
2018/10/11, 33, , 24, 13, 1, 4
2018/10/12, 30, , 28, 8, 1, 3
2018/10/13, 39, , 28, 6, 1, 3
2018/10/14, 44, , 33, 15, 1, 3
2018/10/15, 30, , 26, 18, 1, 5
2018/10/16, 38, , 31, 9, 1, 4
2018/10/17, 62, , 28, 10, 1, 4
2018/10/18, 51, , 29, 15, 3, 5
2018/10/19, 56, , 31, 7, 1, 4
2018/10/20, 52, , 32, 4, 1, 3
2018/10/21, 44, , 33, 5, 1, 2
2018/10/22, 49, , 29, 8, 1, 2
2018/10/25, 27, , 22, 10, 1, 3
2018/10/26, 29, , 13, 5, 1, 2
2018/10/27, 11, , 25, 5, 1, 2
2018/10/28, 22, , 26, 11, , 2
2018/10/29, 30, , 22, 16, 1, 4
2018/10/30, 36, , 17, 23, 1, 6
2018/10/31, 48, , 20, 22, 2, 6
2018/11/1, 44, , 15, 17, 1, 5
2018/11/2, 45, , 17, 18, 1, 5
2018/11/3, 45, , 27, 7, 1, 3
2018/11/4, 47, , 23, 15, 1, 4
2018/11/5, 40, , 19, 23, 2, 6
2018/11/6, 43, , 23, 25, 3, 6
2018/11/7, 50, , 23, 27, 1, 6
2018/11/8, 69, , 29, 27, 2, 9
2018/11/9, 130, , 25, 29, 2, 11
2018/11/10, 168, , 40, 21, 1, 9
2018/11/11, 164, , 39, 33, 2, 10
2018/11/12, 165, , 28, 39, 2, 11
2018/11/13, 162, , 28, 37, 3, 11
2018/11/14, 171, , 31, 36, 3, 14
2018/11/15, 204, , 23, 40, 3, 16
2018/11/16, 227, , 35, 16, 1, 8
2018/11/17, 152, , 26, 21, 2, 7
2018/11/18, 140, , 21, 40, 4, 12
2018/11/19, 171, , 23, 35, 2, 10
2018/11/20, 147, , 25, 15, 1, 5
2018/11/21, 57, , 30, 3, , 3
2018/11/22, 12, , 29, 5, , 3
2018/11/23, 14, , 28, 7, 1, 4
2018/11/24, 24, , 11, 15, 1, 5
2018/11/25, 39, , 9, 18, 2, 6
2018/11/26, 42, , 19, 14, , 5
2018/11/27, 41, , 22, 10, 1, 3
2018/11/28, 25, , 32, 3, 1, 2
2018/11/29, 26, , 27, 6, , 2
