date, pm25
2020/1/2, 34
2020/1/3, 29
2020/1/4, 31
2020/1/5, 19
2020/1/6, 20
2020/1/7, 29
2020/1/8, 15
2020/1/9, 21
2020/1/10, 27
2020/1/11, 41
2020/1/12, 26
2020/1/13, 24
2020/1/14, 21
2020/1/15, 27
2020/1/16, 17
2019/12/4, 31
2019/12/5, 24
2019/12/6, 33
2019/12/7, 31
2019/12/8, 16
2019/12/9, 22
2019/12/10, 29
2019/12/11, 29
2019/12/12, 23
2019/12/13, 33
2019/12/14, 42
2019/12/15, 26
2019/12/16, 29
2019/12/17, 42
2019/12/18, 34
2019/12/19, 39
2019/12/20, 32
2019/12/21, 20
2019/12/22, 30
2019/12/23, 27
2019/12/24, 27
2019/12/25, 14
2019/12/26, 21
2019/12/27, 21
2019/12/28, 25
