date, pm25, aqi
2020/1/1, 43, 
2020/1/2, 15, 
2020/1/3, 16, 
2020/1/4, 28, 22
2020/1/5, 23, 
2020/1/6, 16, 
2020/1/7, 22, 
2019/10/2, 55, 
2019/10/3, 70, 
2019/10/4, 75, 
2019/10/7, 91, 
2019/10/8, 80, 
2019/10/9, 90, 
2019/10/10, 85, 
2019/10/11, 59, 
2019/10/12, 54, 22
2019/10/13, 38, 
2019/10/14, 45, 
2019/10/15, 34, 
2019/10/16, 45, 
2019/10/17, 42, 
2019/10/18, 30, 
2019/10/19, 31, 
2019/10/20, 32, 
2019/10/21, 33, 
2019/10/22, 31, 
2019/10/23, 37, 
2019/10/24, 35, 
2019/10/25, 24, 
2019/10/26, 36, 22
2019/10/27, 34, 
2019/10/28, 36, 
2019/10/29, 26, 
2019/10/30, 34, 
2019/10/31, 31, 
2019/11/1, 38, 
2019/11/2, 31, 22
2019/11/3, 31, 
2019/11/4, 45, 
2019/11/5, 48, 
2019/11/6, 49, 
2019/11/7, 51, 
2019/11/8, 42, 
2019/11/9, 52, 22
2019/11/10, 37, 
2019/11/11, 42, 
2019/11/12, 34, 
2019/11/13, 31, 
2019/11/14, 30, 
2019/11/15, 28, 
2019/11/16, 24, 22
2019/11/17, 22, 
2019/11/18, 26, 
2019/11/19, 30, 
2019/11/20, 30, 
2019/11/21, 22, 
2019/11/22, 33, 
2019/11/23, 26, 22
2019/11/24, 24, 
2019/11/25, 35, 
2019/11/26, 25, 
2019/12/4, 32, 
2019/12/5, 34, 
2019/12/6, 40, 
2019/12/7, 36, 22
2019/12/8, 30, 
2019/12/9, 22, 
2019/12/10, 33, 
2019/12/11, 27, 
2019/12/22, 20, 
2019/12/23, 27, 
2019/12/24, 42, 
2019/12/25, 44, 
2019/12/26, 39, 
2019/12/27, 31, 
2019/12/28, 27, 
2019/7/2, 13, 
2019/7/3, 13, 
2019/7/4, 13, 
2019/7/5, 13, 
2019/7/6, 13, 22
2019/7/7, 13, 
2019/7/8, 13, 
2019/7/9, 67, 
2019/7/10, 132, 
2019/7/12, 57, 
2019/7/13, 55, 
2019/7/14, 87, 
2019/7/15, 85, 
2019/7/16, 95, 
2019/7/17, 93, 
2019/7/18, 81, 
2019/7/19, 97, 
2019/7/20, 103, 22
2019/7/21, 83, 
2019/7/22, 102, 
2019/7/23, 58, 
2019/7/24, 98, 
2019/7/25, 80, 
2019/7/29, 57, 
2019/7/30, 139, 
2019/7/31, 71, 
2019/8/1, 50, 
2019/8/2, 47, 
2019/8/3, 106, 22
2019/8/4, 95, 
2019/8/5, 73, 
2019/8/6, 197, 
2019/8/13, 1, 
2019/8/15, 76, 
2019/8/16, 71, 
2019/8/17, 31, 22
2019/8/18, 38, 
2019/8/19, 45, 
2019/8/20, 25, 
2019/8/21, 25, 
2019/8/22, 32, 
2019/8/23, 25, 
2019/8/26, 68, 
2019/8/27, 55, 
2019/8/28, 41, 
2019/8/29, 27, 
2019/8/30, 39, 
2019/8/31, 66, 22
2019/9/1, 70, 
2019/9/2, 75, 
2019/9/3, 59, 
2019/9/4, 27, 
2019/9/5, 38, 
2019/9/6, 30, 
2019/9/7, 55, 
2019/9/18, 153, 
2019/9/19, 140, 
2019/4/1, 39, 
2019/4/2, 23, 
2019/4/3, 29, 
2019/4/4, 35, 
2019/4/5, 33, 
2019/4/6, 28, 
2019/4/7, 30, 
2019/4/8, 31, 
2019/4/9, 29, 
2019/4/10, 31, 
2019/4/11, 29, 
2019/4/12, 29, 
2019/4/13, 30, 
2019/4/14, 25, 
2019/4/15, 33, 
2019/4/16, 23, 
2019/4/17, 26, 
2019/4/18, 33, 
2019/4/19, 21, 
2019/4/20, 23, 
2019/4/21, 23, 
2019/4/22, 31, 
2019/4/23, 30, 
2019/4/24, 27, 
2019/4/25, 35, 
2019/4/26, 33, 
2019/4/27, 31, 
2019/4/28, 31, 
2019/4/29, 27, 
2019/4/30, 31, 
2019/5/1, 31, 
2019/5/2, 29, 
2019/5/3, 23, 
2019/5/4, 28, 
2019/5/5, 26, 
2019/5/6, 27, 
2019/5/7, 29, 
2019/5/8, 26, 
2019/5/9, 38, 
2019/5/10, 29, 
2019/5/11, 42, 11
2019/5/12, 42, 
2019/5/13, 51, 
2019/5/14, 52, 
2019/5/15, 51, 
2019/5/16, 62, 
2019/5/17, 46, 
2019/5/18, 45, 
2019/5/19, 43, 
2019/5/20, 38, 
2019/5/21, 44, 
2019/5/22, 45, 
2019/5/23, 42, 
2019/5/24, 37, 
2019/5/25, 44, 
2019/5/26, 40, 
2019/5/27, 34, 
2019/5/28, 35, 
2019/5/29, 43, 
2019/5/30, 36, 
2019/5/31, 48, 
2019/6/1, 43, 
2019/6/2, 43, 
2019/6/3, 55, 
2019/6/4, 33, 
2019/6/5, 70, 
2019/6/9, 70, 
2019/6/10, 68, 
2019/6/11, 65, 
2019/6/12, 47, 
2019/6/13, 40, 
2019/6/14, 46, 
2019/6/15, 40, 
2019/6/16, 47, 
2019/6/17, 62, 
2019/6/18, 56, 
2019/6/19, 41, 
2019/6/20, 53, 
2019/6/21, 74, 
2019/6/22, 63, 
2019/6/23, 46, 
2019/6/24, 43, 
2019/6/25, 25, 
2019/6/30, 53, 
2019/1/1, 58, 
2019/1/2, 56, 
2019/1/3, 55, 
2019/1/4, 65, 
2019/1/5, 67, 
2019/1/6, 62, 
2019/1/7, 78, 
2019/1/8, 80, 
2019/1/9, 79, 
2019/1/10, 83, 
2019/1/11, 82, 
2019/1/12, 52, 11
2019/1/13, 61, 
2019/1/14, 51, 
2019/1/15, 15, 
2019/1/16, 35, 
2019/1/17, 36, 
2019/1/22, 75, 
2019/1/30, 13, 
2019/1/31, 13, 
2019/2/5, 13, 
2019/2/14, 13, 
2019/2/15, 13, 
2019/2/16, 13, 
2019/2/17, 13, 
2019/2/18, 13, 
2019/2/19, 13, 
2019/2/20, 13, 
2019/2/21, 13, 
2019/2/22, 13, 
2019/2/23, 13, 
2019/2/24, 13, 
2019/2/25, 13, 
2019/2/26, 13, 
2019/2/27, 13, 
2019/2/28, 13, 
2019/3/1, 13, 
2019/3/2, 13, 
2019/3/3, 13, 
2019/3/4, 13, 
2019/3/5, 13, 
2019/3/6, 13, 
2019/3/7, 13, 
2019/3/8, 23, 
2019/3/9, 21, 
2019/3/10, 17, 
2019/3/11, 15, 
2019/3/12, 26, 
2019/3/13, 26, 
2019/3/14, 20, 
2019/3/15, 30, 
2019/3/16, 13, 
2019/3/17, 26, 
2019/3/18, 20, 
2019/3/19, 23, 
2019/3/20, 24, 
2019/3/21, 25, 
2019/3/22, 20, 
2019/3/27, 13, 
2019/3/28, 18, 
2019/3/29, 36, 
2019/3/30, 32, 
2019/3/31, 32, 
