date, pm25
2020/1/2, 41
2020/1/3, 26
2020/1/7, 36
2020/1/8, 57
2020/1/9, 83
2020/1/10, 74
2020/1/11, 60
2020/1/12, 59
2020/1/13, 54
2020/1/14, 48
2020/1/15, 50
2020/1/16, 49
2019/10/1, 35
2019/10/2, 35
2019/10/3, 33
2019/10/4, 49
2019/10/5, 32
2019/10/6, 33
2019/10/7, 38
2019/10/8, 26
2019/10/9, 32
2019/10/10, 36
2019/10/11, 44
2019/10/12, 35
2019/10/13, 23
2019/10/14, 25
2019/10/15, 26
2019/10/16, 32
2019/10/18, 23
2019/10/19, 22
2019/10/20, 27
2019/10/21, 21
2019/10/22, 19
2019/10/23, 28
2019/10/24, 35
2019/10/28, 55
2019/10/29, 50
2019/10/30, 53
2019/10/31, 35
2019/11/1, 36
2019/11/2, 30
2019/11/3, 22
2019/11/4, 29
2019/11/5, 29
2019/11/6, 28
2019/11/7, 26
2019/11/8, 38
2019/11/9, 33
2019/11/10, 33
2019/11/11, 44
2019/11/12, 42
2019/11/13, 36
2019/11/14, 45
2019/11/15, 33
2019/11/16, 39
2019/11/17, 43
2019/11/18, 42
2019/11/19, 45
2019/11/20, 60
2019/11/21, 56
2019/11/22, 50
2019/11/23, 55
2019/11/24, 58
2019/11/25, 67
2019/11/26, 64
2019/11/27, 75
2019/11/28, 73
2019/11/29, 80
2019/11/30, 73
2019/12/1, 62
2019/12/2, 55
2019/12/3, 56
2019/12/4, 73
2019/12/5, 55
2019/12/6, 48
2019/12/7, 54
2019/12/8, 57
2019/12/9, 67
2019/12/10, 71
2019/12/11, 51
2019/12/12, 57
2019/12/13, 60
2019/12/14, 70
2019/12/15, 80
2019/12/16, 50
2019/12/17, 72
2019/12/18, 49
2019/12/19, 57
2019/12/20, 61
2019/12/25, 56
2019/12/26, 69
2019/12/27, 73
2019/12/28, 53
2019/7/1, 21
2019/7/2, 23
2019/7/3, 15
2019/7/4, 24
2019/7/5, 52
2019/7/6, 46
2019/7/7, 38
2019/7/8, 31
2019/7/9, 36
2019/7/10, 31
2019/7/11, 23
2019/7/12, 42
2019/7/13, 36
2019/7/14, 14
2019/7/15, 46
2019/7/16, 29
2019/7/17, 26
2019/7/18, 16
2019/7/19, 35
2019/7/20, 42
2019/7/21, 34
2019/7/22, 25
2019/7/23, 27
2019/7/24, 32
2019/7/25, 24
2019/7/26, 22
2019/7/27, 24
2019/7/28, 35
2019/7/29, 34
2019/7/30, 39
2019/7/31, 56
2019/8/1, 38
2019/8/2, 29
2019/8/3, 29
2019/8/4, 37
2019/8/5, 26
2019/8/6, 41
2019/8/7, 54
2019/8/8, 44
2019/8/9, 38
2019/8/10, 40
2019/8/11, 26
2019/8/12, 38
2019/8/13, 27
2019/8/14, 44
2019/8/19, 38
2019/8/20, 36
2019/8/21, 34
2019/8/22, 37
2019/8/23, 25
2019/8/24, 30
2019/8/25, 32
2019/8/26, 38
2019/8/27, 44
2019/8/28, 55
2019/8/29, 48
2019/8/30, 49
2019/8/31, 49
2019/9/1, 52
2019/9/2, 29
2019/9/3, 28
