date, pm25, o3, no2, so2, co
2019/7/16, 35, 14, 3, , 
2019/7/17, 27, 14, 4, , 
2019/7/18, 18, 9, 2, , 
2019/7/19, 12, 11, 3, , 
2019/7/20, 26, 10, 3, , 
2019/7/21, 43, 16, 3, , 
2019/7/22, 30, 16, 3, , 
2019/7/23, 32, 13, 4, , 
2019/7/24, 34, 13, 1, , 
2019/7/25, 16, , , , 
2019/4/1, 43, 15, 5, , 
2019/4/2, 22, 15, 4, , 
2019/4/3, 39, 13, 4, , 
2019/4/4, 45, 13, 3, , 
2019/4/5, 49, 8, 2, , 
2019/4/6, 30, 16, 3, , 
2019/4/7, 41, 16, 3, , 
2019/4/8, 38, 9, 3, , 
2019/4/9, 33, 14, 3, , 
2019/4/10, 37, 14, 3, , 
2019/4/11, 34, 17, 9, , 
2019/4/12, 63, 17, 4, , 
2019/4/13, 36, 16, 2, , 
2019/4/14, 17, 15, 3, , 
2019/4/15, 30, 16, 6, , 
2019/4/16, 48, 18, 3, , 
2019/4/17, 27, 16, 3, , 
2019/4/18, 23, 17, 2, , 
2019/4/19, 23, 17, 1, , 
2019/4/20, 35, 16, 3, , 
2019/4/21, 30, 18, 3, , 
2019/4/22, 34, 19, 1, , 
2019/4/23, 42, 20, 2, 1, 
2019/4/24, 44, 17, 2, , 
2019/4/25, 23, 18, 10, , 
2019/4/26, 42, 14, 3, , 
2019/4/27, 27, 15, 4, , 
2019/4/28, 26, 16, 9, , 11
2019/4/29, 42, 16, 3, , 
2019/4/30, 36, 15, 4, , 
2019/5/1, 27, 13, 6, , 
2019/5/2, 39, 16, 4, , 
2019/5/3, 33, 14, 2, , 
2019/5/4, 23, 15, 3, , 
2019/5/5, 22, 15, 6, , 
2019/5/6, 34, 17, 4, , 
2019/5/7, 44, 17, 4, , 
2019/5/8, 28, 17, 7, , 
2019/5/9, 31, 15, 3, , 
2019/5/10, 21, 16, 2, , 
2019/5/11, 14, 19, 3, , 
2019/5/12, 18, 19, 4, , 
2019/5/13, 35, 16, 4, , 
2019/5/14, 32, 14, 4, , 11
2019/5/15, 35, 16, 5, , 
2019/5/16, 21, 16, 4, , 
2019/5/17, 26, 15, 2, , 
2019/5/18, 16, 15, 3, , 
2019/5/19, 22, 16, 3, , 
2019/5/20, 32, 20, 4, , 
2019/5/21, 43, 17, 6, , 
2019/5/22, 51, 17, 5, , 
2019/5/23, 42, 20, 5, , 
2019/5/24, 44, 11, 2, , 
2019/5/25, 34, 18, 4, , 
2019/5/26, 45, 21, 5, , 
2019/5/27, 42, 21, 9, , 
2019/5/28, 73, 24, 5, , 
2019/5/29, 64, 20, 4, 1, 
2019/5/30, 68, 15, 3, , 
2019/5/31, 55, 17, 6, , 
2019/6/1, 48, 21, 3, , 
2019/6/2, 53, 19, 4, , 
2019/6/3, 46, 18, 3, , 
2019/6/4, 52, 17, 3, , 
2019/6/5, 21, 15, 4, , 
2019/6/6, 23, 14, 4, , 
2019/6/7, 33, 11, 2, , 
2019/6/8, 17, 14, 3, , 
2019/6/9, 40, 16, 3, , 
2019/6/10, 33, 15, 5, , 
2019/6/11, 38, 16, 7, , 
2019/6/12, 43, 17, 5, , 
2019/6/13, 25, 16, 6, , 
2019/6/14, 43, 11, 3, , 
2019/6/15, 34, 15, 4, , 
2019/6/16, 16, 16, 5, , 
2019/6/17, 25, 20, 5, , 
2019/6/18, 29, 20, 4, , 
2019/6/19, 29, 17, 5, , 
2019/6/20, 15, 18, 4, , 
2019/6/21, 23, 14, 1, , 
2019/6/22, 20, 83, 1, , 
2019/6/23, 33, 10, , , 
2019/6/24, 30, 10, , , 
2019/6/25, 22, 11, 10, , 
2019/6/26, 25, 16, 8, , 
2019/6/27, 34, 17, 4, , 
2019/6/28, 21, 12, 3, , 
2019/6/29, 17, , , , 
2019/1/1, 20, 9, 16, , 
2019/1/2, 20, 7, 14, , 
2019/1/3, 28, 222, 166, 214, 11
2019/1/4, 40, 11, 5, , 
2019/1/5, 25, 11, 6, , 
2019/1/6, 39, 11, 5, , 
2019/1/7, 31, 12, 6, , 
