date, pm25, o3, no2, co
2020/1/2, 38, 17, , 
2020/1/3, 51, 21, , 
2020/1/4, 48, 30, , 
2020/1/5, 12, 26, , 
2020/1/6, 29, 29, , 
2020/1/7, 28, 28, , 
2020/1/8, 32, 25, , 
2020/1/9, 16, 21, , 
2020/1/10, 31, 28, , 
2020/1/11, 35, 23, , 
2020/1/12, 18, 20, , 
2020/1/13, 29, 14, , 
2020/1/14, 51, 23, , 
2020/1/15, 43, 13, , 
2020/1/16, 45, , , 
2019/10/1, 26, 25, , 
2019/10/2, 18, 11, , 
2019/10/3, 14, 25, , 
2019/10/4, 9, 22, , 
2019/10/5, 23, 24, , 
2019/10/6, 19, 23, , 
2019/10/7, 19, 20, , 
2019/10/8, 23, 17, , 
2019/10/9, 27, 23, , 
2019/10/10, 25, 26, , 
2019/10/11, 24, 22, , 
2019/10/12, 22, 28, , 
2019/10/13, 22, 32, , 
2019/10/14, 33, 25, , 
2019/10/15, 29, 28, , 
2019/10/16, 27, 27, , 
2019/10/17, 4, 19, , 
2019/10/18, 10, 22, , 
2019/10/19, 23, 14, , 
2019/10/20, 51, 19, , 
2019/10/21, 53, 23, , 
2019/10/22, 30, 26, , 
2019/10/23, 19, 31, , 
2019/10/24, 27, 22, , 
2019/10/25, 35, 26, , 
2019/10/26, 35, 22, , 
2019/10/27, 19, 20, , 
2019/10/28, 20, 26, , 
2019/10/29, 13, 23, , 
2019/10/30, 22, 24, , 
2019/10/31, 16, 27, , 
2019/11/1, 11, 25, , 
2019/11/2, 26, 25, , 
2019/11/3, 31, 26, , 
2019/11/4, 30, 28, , 
2019/11/5, 27, 28, , 
2019/11/6, 34, 20, , 
2019/11/7, 35, 24, , 
2019/11/8, 11, 22, , 
2019/11/9, 17, 21, , 
2019/11/10, 31, 19, , 
2019/11/11, 35, 29, , 
2019/11/12, 21, 28, , 
2019/11/13, 13, 23, , 
2019/11/14, 34, 27, , 
2019/11/15, 49, 29, , 
2019/11/16, 13, 27, , 
2019/11/17, 25, 25, , 
2019/11/18, 29, 22, , 
2019/11/19, 38, 21, , 
2019/11/20, 53, 21, , 
2019/11/21, 54, 20, , 
2019/11/22, 35, 28, , 
2019/11/23, 18, 21, , 
2019/11/24, 38, 19, , 
2019/11/25, 67, 21, , 
2019/11/26, 61, 24, , 
2019/11/27, 62, 22, , 
2019/11/28, 11, 24, , 
2019/11/29, 8, 25, , 
2019/11/30, 20, 24, , 
2019/12/1, 37, 28, , 
2019/12/2, 20, 29, , 
2019/12/3, 21, 24, , 
2019/12/4, 43, 25, , 
2019/12/5, 31, 20, , 
2019/12/6, 31, 27, , 
2019/12/7, 20, 24, , 
2019/12/8, 40, 27, , 
2019/12/9, 27, 20, , 
2019/12/10, 34, 30, , 
2019/12/11, 17, 28, , 
2019/12/12, 33, 22, , 
2019/12/13, 43, 20, , 
2019/12/14, 37, 27, , 
2019/12/15, 15, 29, , 
2019/12/16, 23, 25, , 
2019/12/17, 42, 29, , 
2019/12/18, 24, 27, , 
2019/12/19, 22, 28, , 
2019/12/20, 39, 21, , 
2019/12/21, 59, 16, , 
2019/12/22, 87, 28, , 
2019/12/23, 76, 25, , 
2019/12/24, 35, 23, , 
2019/12/25, 49, 19, , 
2019/12/26, 65, 23, , 
2019/12/27, 51, 24, , 
2019/12/28, 32, , , 
2019/7/1, 1, 31, , 
2019/7/2, 1, 35, , 
2019/7/3, 1, 36, , 
2019/7/4, 1, 49, , 
2019/7/5, 1, 38, , 
2019/7/6, 1, 24, , 
2019/7/7, 1, 37, , 
2019/7/8, 1, 32, 1, 
2019/7/9, 1, 41, , 
2019/7/10, 1, 42, , 
2019/7/11, 43, 23, , 
2019/7/12, 23, 32, , 
2019/7/13, 31, 29, , 
2019/7/14, 32, 22, , 
2019/7/15, 24, 42, , 
2019/7/16, 34, 23, , 
2019/7/17, 24, 17, , 
2019/7/18, 24, 34, , 
2019/7/19, 28, 33, , 
2019/7/20, 33, 31, , 
2019/7/21, 19, 16, , 
2019/7/22, 23, 22, , 
2019/7/23, 25, 24, , 
2019/7/24, 27, 24, , 
2019/7/25, 28, 30, , 
2019/7/26, 42, 42, , 
2019/7/27, 47, 40, , 
2019/7/28, 40, 40, , 
2019/7/29, 40, 45, , 
2019/7/30, 47, 27, , 
2019/7/31, 34, 24, , 
2019/8/1, 29, 36, , 
2019/8/2, 29, 41, , 
2019/8/3, 29, 24, , 
2019/8/4, 33, 31, , 
2019/8/5, 25, 41, , 
2019/8/6, 35, 41, , 
2019/8/7, 31, 33, , 
2019/8/8, 25, 24, , 
2019/8/9, 19, 21, , 
2019/8/10, 14, 22, , 
2019/8/11, 20, 34, , 
2019/8/12, 28, 31, , 
2019/8/13, 31, 25, , 
2019/8/14, 29, 25, , 
2019/8/15, 26, 26, , 
