date, pm10, o3, no2, so2, co
2020/1/1, 29, 14, 18, 4, 
2020/1/6, 26, 16, 17, 3, 4
2020/1/7, 26, 15, 40, 3, 4
2020/1/8, 33, 19, 32, 3, 4
2020/1/9, 36, 21, 22, 3, 4
2020/1/10, 30, 16, 12, 3, 3
2020/1/11, 16, , , 3, 4
2020/1/12, 20, 17, 28, 3, 4
2020/1/13, 27, 20, 25, 19, 5
2020/1/14, 32, 19, 23, 51, 
2020/1/15, 57, 9, 18, 49, 
2019/10/1, 24, 35, 2, 2, 4
2019/10/2, 26, 35, 3, 2, 4
2019/10/3, 30, 31, 3, 2, 5
2019/10/4, 31, 33, 5, 2, 4
2019/10/5, 30, 38, 4, 2, 4
2019/10/6, 27, 34, 13, 2, 5
2019/10/7, 34, 49, 13, 3, 5
2019/10/8, 43, 47, 20, 2, 5
2019/10/9, 45, 42, 16, 2, 4
2019/10/10, 41, 21, 16, 2, 3
2019/10/11, 34, 38, 9, 2, 3
2019/10/12, 32, 38, 7, 2, 3
2019/10/13, 33, 26, 6, 2, 2
2019/10/14, 14, 27, 12, 2, 2
2019/10/15, 14, 32, 11, 2, 2
2019/10/16, 22, 33, 10, 2, 2
2019/10/17, 28, 14, 8, 2, 2
2019/10/18, 38, 20, 4, 2, 2
2019/10/19, 19, 32, 4, 2, 2
2019/10/20, 7, 27, 11, 2, 2
2019/10/21, 11, 27, 11, 2, 2
2019/10/22, 17, 25, 10, 2, 2
2019/10/23, 14, 28, 16, 2, 2
2019/10/24, 16, 26, 18, 3, 3
2019/10/25, 25, 28, 20, 3, 3
2019/10/26, 39, 37, 10, 3, 2
2019/10/27, 34, 30, 12, 2, 3
2019/10/28, 29, 24, 9, 2, 2
2019/10/29, 29, 19, 11, 2, 3
2019/10/30, 27, 13, 7, 2, 2
2019/10/31, 20, 16, 3, 2, 2
2019/11/1, 11, 22, 3, 2, 2
2019/11/2, 27, 29, 3, 2, 2
2019/11/3, 10, 29, 5, 2, 2
2019/11/4, 11, 29, 5, 2, 2
2019/11/5, 12, 24, 7, 2, 2
2019/11/6, 14, 27, 10, 2, 2
2019/11/7, 12, 27, 6, 2, 2
2019/11/8, 10, 27, 5, 1, 2
2019/11/9, 16, 29, 2, 2, 2
2019/11/10, 14, 22, 6, 2, 3
2019/11/11, 11, 21, 12, 1, 3
2019/11/12, 18, 24, 8, 2, 2
2019/11/13, 17, 26, 7, 2, 3
2019/11/14, 11, 25, 8, 2, 3
2019/11/15, 14, 26, 8, 2, 3
2019/11/16, 16, 21, 11, 2, 3
2019/11/17, 26, 27, 11, 2, 3
2019/11/18, 9, 17, 15, 2, 4
2019/11/19, 19, 4, 14, 2, 4
2019/11/20, 30, 13, 14, 2, 5
2019/11/21, 23, 23, 7, 2, 3
2019/11/22, 13, 30, 6, 2, 3
2019/11/23, 13, 28, 8, 2, 3
2019/11/24, 13, 17, 8, 2, 3
2019/11/25, 12, 15, 7, 2, 3
2019/11/26, 11, 19, 10, 2, 4
2019/11/27, 13, 14, 15, 2, 5
2019/11/28, 24, 17, 15, 3, 5
2019/11/29, 21, 23, 8, 3, 3
2019/11/30, 14, 25, 4, 2, 3
2019/12/1, 10, 22, 13, 3, 4
2019/12/2, 11, 22, 13, 3, 4
2019/12/3, 10, 17, 12, 3, 3
2019/12/4, 13, 17, 14, 3, 4
2019/12/5, 19, 23, 12, 3, 
2019/12/6, 13, 19, 15, 2, 5
2019/12/7, 26, 18, 11, 2, 4
2019/12/8, 32, 13, 15, 3, 5
2019/12/9, 32, 14, 16, 3, 5
2019/12/10, 20, 8, 15, 3, 5
2019/12/11, 27, 22, 10, 3, 4
2019/12/12, 16, 25, 8, 2, 4
2019/12/13, 15, 30, 5, 2, 4
2019/12/14, 10, 23, 8, 2, 4
2019/12/15, 16, 28, 5, 2, 3
2019/12/16, 16, 28, 3, 2, 2
2019/12/17, 8, 19, 10, 2, 3
2019/12/18, 21, 27, 2, 2, 2
2019/12/19, 12, 29, 2, 2, 2
