date, pm25, pm10, o3, no2, so2, co
2020/1/2, 177, 76, 1, 27, 4, 8
2020/1/3, 160, 34, 12, 17, 2, 4
2020/1/4, 83, 32, 31, 8, 2, 5
2020/1/5, 85, 16, 33, 8, 2, 3
2020/1/6, 35, 35, 15, 15, 3, 8
2020/1/7, 76, 49, 24, 14, 2, 9
2020/1/8, 105, 63, 13, 20, 2, 9
2020/1/9, 150, 37, 1, 23, 2, 8
2020/1/10, 91, 13, 9, 18, 2, 7
2020/1/11, 39, , , , , 
2020/1/15, 136, 22, 21, 17, 2, 6
2020/1/16, 52, , , , , 
2019/10/10, 131, 81, 91, 16, 4, 12
2019/10/11, 164, 61, 22, 19, 5, 8
2019/10/12, 133, 45, 45, 17, 3, 4
2019/10/13, 99, 29, 32, 13, 2, 2
2019/10/14, 65, 24, 36, 8, 3, 3
2019/10/15, 26, 44, 37, 13, 3, 4
2019/10/16, 81, 50, 43, 16, 3, 5
2019/10/17, 98, 52, 52, 15, 3, 5
2019/10/18, 103, 61, 71, 15, 3, 6
2019/10/19, 124, 48, 80, 10, 3, 5
2019/10/20, 107, , , , , 
2019/10/22, 101, 58, 61, 15, 3, 6
2019/10/23, 133, 63, 58, 16, 2, 6
2019/10/24, 116, 82, 73, 18, 3, 8
2019/10/25, 157, 68, 16, 16, 2, 7
2019/10/26, 134, 53, 14, 16, 1, 6
2019/10/27, 125, 8, 11, 9, 1, 6
2019/10/28, 26, 74, 36, 15, 2, 5
2019/10/29, 103, 114, 33, 19, 2, 5
2019/10/30, 140, 107, 63, 19, 2, 5
2019/10/31, 148, 95, 66, 19, 2, 5
2019/11/1, 146, 90, 73, 10, 2, 5
2019/11/2, 137, 109, 45, , 2, 7
2019/11/3, 172, 61, 50, 21, 2, 5
2019/11/4, 119, 54, 42, 14, 3, 5
2019/11/5, 107, 48, 44, 15, 2, 4
2019/11/6, 105, 62, 11, 21, 3, 5
2019/11/7, 134, 51, 34, 16, 3, 5
2019/11/8, 97, 54, 40, 17, 3, 5
2019/11/9, 107, 50, 58, 16, 2, 5
2019/11/10, 107, 65, 65, 17, 3, 6
2019/11/11, 136, 81, 24, 21, 2, 7
2019/11/12, 148, 60, 37, 13, 2, 6
2019/11/13, 125, 49, 35, 13, 4, 4
2019/11/14, 74, 50, 44, 11, 2, 4
2019/11/15, 74, 60, 51, 18, 3, 4
2019/11/16, 106, 62, 33, 16, 3, 5
2019/11/17, 106, 43, 21, 11, 2, 5
2019/11/18, 82, 78, 28, 16, 4, 5
2019/11/19, 98, 69, 25, 18, 3, 5
2019/11/20, 96, 58, 25, 14, 3, 4
2019/11/21, 91, 58, 20, 14, 3, 4
2019/11/22, 110, 68, 27, 16, 3, 5
2019/11/23, 139, 73, 33, 16, 2, 6
2019/11/24, 143, 20, 21, 8, 2, 4
2019/11/25, 51, 58, 7, 18, 3, 7
2019/11/26, 124, 31, 13, 14, 3, 5
2019/11/27, 71, 33, 23, 10, 3, 5
2019/11/28, 70, 48, 9, 18, 3, 6
2019/11/29, 87, 61, 4, 23, 3, 6
2019/11/30, 122, 26, 11, 16, 2, 7
2019/12/1, 72, 62, 31, 15, 3, 7
2019/12/2, 145, 85, 36, 20, 4, 9
2019/12/3, 168, 67, 30, 21, 3, 7
2019/12/4, 137, 87, 9, 34, 5, 9
2019/12/5, 156, 46, 19, 20, 2, 6
2019/12/6, 86, 62, 23, 25, 3, 7
2019/12/7, 130, 69, 38, 21, 3, 7
2019/12/8, 153, 52, 39, 23, 2, 6
2019/12/9, 104, 50, 37, 22, 2, 6
2019/12/10, 91, 77, 31, 26, 4, 9
2019/12/11, 142, 77, 22, 22, 2, 9
2019/12/12, 133, 54, 27, 18, 2, 6
2019/12/13, 94, 80, 10, 29, 4, 7
2019/12/14, 135, 85, 25, 25, 2, 7
2019/12/15, 168, 64, 24, 19, 2, 6
2019/12/16, 131, 89, 6, 23, 3, 9
2019/12/17, 151, 43, 10, 17, 2, 8
2019/12/18, 108, 33, 11, 17, 2, 5
2019/12/19, 88, 56, 1, 25, 3, 7
2019/12/20, 132, 33, 1, 26, 2, 8
2019/12/21, 87, 21, 6, 22, 2, 6
2019/12/22, 62, 40, 13, 21, 3, 7
2019/12/23, 102, 20, 24, 12, 2, 4
2019/12/24, 57, 53, 6, 19, 2, 6
