date, pm25, pm10, o3, no2, so2, co
2020/1/2, 189, 155, 9, 51, 27, 27
2020/1/3, 230, 174, 8, 55, 25, 31
2020/1/4, 253, 141, 5, 47, 13, 24
2020/1/5, 228, 91, 18, 33, 6, 17
2020/1/6, 183, 89, 19, 29, 7, 13
2020/1/7, 183, 100, 28, 34, 11, 18
2020/1/8, 193, 142, 10, 36, 7, 30
2020/1/9, 228, 169, 10, 43, 7, 33
2020/1/10, 263, 143, 13, 42, 9, 26
2020/1/11, 231, 126, 22, 40, 9, 15
2020/1/12, 206, 168, 13, 49, 10, 
2020/1/13, 272, 128, 21, 41, 11, 1
2020/1/14, 214, 212, 7, 47, 10, 9
2020/1/15, 311, 261, 7, 44, 11, 11
2020/1/16, 313, , , , , 
2019/10/1, 123, 72, 100, 19, 5, 7
2019/10/2, 131, 79, 113, 20, 8, 8
2019/10/3, 143, 54, 40, 12, 4, 6
2019/10/4, 117, 20, 32, 12, 2, 3
2019/10/5, 60, 48, 22, 22, 5, 5
2019/10/6, 105, 53, 27, 24, 5, 8
2019/10/7, 123, 48, 30, 22, 5, 5
2019/10/8, 83, 61, 26, 26, 6, 10
2019/10/9, 90, 69, 28, 23, 4, 9
2019/10/10, 154, 79, 39, 27, 4, 8
2019/10/11, 160, 82, 19, 29, 5, 7
2019/10/12, 149, 62, 18, 26, 5, 7
2019/10/13, 110, 39, 20, 22, 3, 4
2019/10/14, 84, 58, 23, 28, 6, 6
2019/10/15, 100, 56, 9, 25, 5, 11
2019/10/16, 121, 75, 8, 25, 4, 13
2019/10/17, 165, 102, 31, 26, 7, 13
2019/10/18, 185, 136, 52, 32, 8, 16
2019/10/19, 221, 133, 54, 27, 6, 14
2019/10/20, 210, 108, 42, 35, 6, 11
2019/10/21, 162, 113, 45, 38, 8, 10
2019/10/22, 166, 120, 57, 38, 7, 12
2019/10/23, 174, 100, 23, 31, 5, 11
2019/10/24, 149, 42, 24, 19, 4, 4
2019/10/25, 75, 75, 19, 30, 12, 7
2019/10/26, 122, 83, 28, 32, 12, 9
2019/10/27, 135, 191, 37, 19, 5, 3
2019/10/28, 125, 113, 28, 30, 14, 6
2019/10/29, 130, 110, 24, 38, 15, 10
2019/10/30, 146, 72, 33, 33, 11, 7
2019/10/31, 105, 100, 13, 43, 12, 12
2019/11/1, 144, 82, 26, 31, 6, 7
2019/11/2, 133, 70, 13, 28, 5, 10
2019/11/3, 143, 75, 29, 21, 8, 7
2019/11/4, 153, 98, 36, 38, 7, 15
2019/11/5, 165, 127, 24, 35, 6, 15
2019/11/6, 201, 92, 5, 27, 6, 10
2019/11/7, 158, 105, 11, 36, 11, 18
2019/11/8, 174, 145, 21, 41, 8, 22
2019/11/9, 226, 78, 31, 16, 4, 5
2019/11/10, 99, 90, 24, 31, 10, 8
2019/11/11, 115, 106, 17, 37, 11, 11
2019/11/12, 147, 87, 29, 13, 4, 1
2019/11/13, 81, 92, 16, 28, 8, 1
2019/11/14, 115, 114, 14, 36, 11, 5
2019/11/15, 157, 122, 5, 42, 9, 6
2019/11/16, 161, 111, 29, 20, 5, 6
2019/11/17, 142, 134, 23, 16, 6, 
2019/11/18, 117, 126, 16, 29, 13, 
2019/11/19, 154, 136, 8, 34, 14, 
2019/11/20, 168, 139, 7, 41, 13, 
2019/11/21, 186, 156, 5, 46, 10, 
2019/11/22, 205, 177, 17, 39, 7, 
2019/11/23, 244, 88, 24, 21, 6, 
2019/11/24, 123, 50, 19, 20, 7, 
2019/11/25, 86, 88, 5, 34, 15, 11
2019/11/26, 146, 76, 17, 26, 8, 
2019/11/27, 117, 83, 14, 30, 10, 1
2019/11/28, 146, 103, 6, 32, 11, 9
2019/11/29, 174, 108, 5, 31, 5, 
2019/11/30, 190, 102, 19, 28, 6, 
2019/12/1, 184, 51, 23, 20, 6, 
2019/12/2, 82, 57, 21, 28, 11, 
2019/12/3, 97, 71, 8, 40, 12, 
2019/12/4, 105, 81, 9, 33, 6, 3
2019/12/5, 153, 86, 11, 35, 9, 11
2019/12/6, 167, 150, 7, 36, 8, 22
2019/12/7, 231, 150, 3, 34, 3, 27
2019/12/8, 237, 169, 5, 38, 6, 36
2019/12/9, 243, 133, 16, 34, 7, 23
2019/12/10, 190, 76, 21, 25, 8, 11
2019/12/11, 135, 82, 15, 29, 10, 11
2019/12/12, 129, 104, 8, 37, 11, 19
2019/12/13, 167, 83, 16, 34, 8, 13
2019/12/14, 141, 78, 3, 31, 9, 11
2019/12/15, 157, 93, 6, 27, 6, 16
2019/12/16, 179, 67, 16, 25, 7, 13
2019/12/17, 145, 43, 22, 22, 6, 7
2019/12/18, 86, 74, 13, 29, 8, 11
2019/12/19, 145, 68, 15, 27, 9, 12
2019/12/20, 135, 107, 7, 34, 10, 20
2019/12/21, 182, 138, 7, 38, 10, 22
2019/12/22, 217, 107, 15, 35, 8, 18
2019/12/23, 185, 158, 3, 38, 6, 25
2019/12/24, 240, 140, 6, 32, 5, 20
2019/12/25, 217, 91, 23, 22, 5, 9
2019/12/26, 129, 97, 11, 31, 11, 15
2019/12/27, 156, 116, 9, 39, 13, 20
2019/12/28, 182, 131, 3, 44, 15, 19
2019/12/29, 193, , , , , 
2019/7/1, 82, 69, 144, 17, 8, 8
2019/7/2, 102, 65, 126, 17, 6, 8
2019/7/3, 119, 77, 163, 27, 11, 12
2019/7/4, 130, 75, 123, 22, 8, 12
2019/7/5, 137, 39, 43, 10, 6, 8
