date, pm25, o3, no2, so2, co
2020/1/2, 61, , 91, 33, 22
2020/1/3, 59, , 54, 27, 16
2020/1/4, 75, , 63, 23, 20
2020/1/5, 56, , 73, 27, 19
2020/1/6, 55, , 100, 45, 28
2020/1/7, 68, , 104, 42, 27
2020/1/8, 87, , 83, 46, 19
2020/1/9, 78, , 61, 21, 18
2020/1/10, 63, , 60, 20, 19
2020/1/11, 54, , 86, 28, 20
2020/1/12, 55, , 95, 31, 21
2020/1/13, 60, , 75, 32, 17
2020/1/14, 74, , 87, 30, 16
2020/1/15, 66, , , , 
2019/10/1, 116, , 84, 35, 26
2019/10/2, 109, , 83, 33, 23
2019/10/3, 92, , 73, 30, 24
2019/10/4, 89, , 57, 32, 29
2019/10/5, 90, , 47, 17, 18
2019/10/6, 100, , 54, 21, 21
2019/10/7, 96, , 61, 26, 20
2019/10/8, 95, , , , 
2019/10/14, 104, , 64, 30, 22
2019/10/15, 90, , 73, 30, 21
2019/10/16, 98, , 63, 27, 21
2019/12/25, 116, , 95, 65, 35
2019/12/26, 107, , 73, 40, 23
2019/12/27, 81, , 97, 47, 29
2019/12/28, 85, , , , 
2019/7/3, 128, , 92, 16, 24
2019/7/4, 123, , 80, 16, 22
2019/7/5, 101, , 76, 12, 21
2019/7/6, 100, , 76, 11, 18
2019/7/7, 102, , 85, 16, 26
2019/7/8, 95, , 93, 16, 23
2019/7/9, 83, , 85, 14, 20
2019/7/10, 104, , 73, 16, 21
2019/7/11, 122, , 74, 14, 23
2019/7/12, 107, , 50, 13, 18
2019/7/13, 101, , 73, 14, 19
2019/7/14, 93, , 88, 16, 22
2019/7/15, 102, , 81, 16, 21
2019/7/16, 96, , 82, 16, 23
2019/7/17, 103, , 89, 18, 22
2019/7/18, 121, , 74, 16, 21
2019/7/19, 161, , 58, 14, 22
2019/7/20, 107, , 49, 14, 18
2019/7/21, 103, , 89, 19, 27
2019/7/22, 112, , 94, 17, 31
2019/7/23, 118, , 102, 19, 34
2019/7/24, 111, , 84, 16, 23
2019/7/25, 115, , 77, 14, 22
2019/7/26, 112, , 56, 14, 19
2019/7/27, 106, , 80, 15, 22
2019/7/28, 119, , 75, 16, 23
2019/7/29, 122, , 60, 16, 22
2019/7/30, 105, , 50, 14, 21
2019/8/1, 102, , 56, 16, 22
2019/8/2, 106, , 51, 15, 22
2019/8/3, 113, , 56, 15, 18
2019/8/4, 106, , 61, 17, 24
2019/8/5, 109, , 55, 17, 24
2019/8/6, 100, , 66, 18, 24
2019/8/7, 110, , 74, 17, 24
2019/8/8, 114, , 60, 16, 25
2019/8/9, 102, , 61, 14, 26
2019/8/10, 100, , 63, 16, 31
2019/8/11, 105, , 102, 16, 31
2019/8/12, 92, , 59, 14, 25
2019/8/13, 87, , 107, 18, 35
2019/8/14, 102, , 85, 16, 31
2019/8/15, 88, , 46, 13, 21
2019/8/16, 76, , 39, 10, 20
2019/8/17, 58, , 55, 12, 23
2019/8/18, 76, , 57, 14, 27
2019/8/19, 100, , 48, 13, 23
2019/8/20, 107, , 49, 15, 24
2019/8/21, 95, , 57, 14, 21
2019/8/22, 75, , 62, 18, 34
2019/8/23, 73, , 64, 16, 31
2019/8/24, 83, , 89, 14, 22
2019/8/25, 66, , 81, 17, 31
2019/8/26, 85, , 85, 18, 33
2019/8/27, 88, , 95, 19, 30
2019/8/28, 82, , 101, 19, 29
2019/8/29, 96, , 97, 18, 32
2019/8/30, 98, , 83, 16, 31
2019/8/31, 111, , 76, 16, 20
2019/9/1, 193, , 83, 18, 29
2019/9/2, 98, , 85, 16, 28
2019/9/3, 101, , 85, 16, 27
2019/9/4, 101, , 86, 16, 25
2019/9/5, 97, , 88, 17, 31
2019/9/6, 107, , 85, 17, 40
2019/9/7, 104, , 91, 16, 28
2019/9/8, 108, , 96, 18, 36
2019/9/9, 114, , 92, 16, 40
2019/4/10, , , , , 
2019/4/11, , , , , 
2019/4/12, , , , , 
2019/4/13, , , , , 
2019/4/14, , , , , 
2019/4/15, , , , , 
2019/4/16, , , , , 
2019/4/17, , , , , 
2019/4/18, , , , , 
2019/4/19, , , , , 
2019/4/20, , , , , 
2019/4/21, , , , , 
2019/4/22, , , , , 
2019/4/23, , , , , 
2019/4/24, , , , , 
2019/4/25, , , , , 
2019/4/26, , , , , 
2019/4/27, , , , , 
2019/4/28, , , , , 
2019/4/29, , , , , 
2019/4/30, , , , , 
2019/5/1, , , , , 
2019/5/2, , , , , 
2019/5/3, , , , , 
2019/5/4, , , , , 
2019/5/5, , , , , 
2019/5/6, , , , , 
2019/5/7, , , , , 
2019/5/8, , , , , 
2019/5/9, , , , , 
2019/5/10, , , , , 
2019/5/11, , , , , 
2019/5/12, , , , , 
2019/5/13, , , , , 
2019/5/14, , , , , 
2019/5/15, , , , , 
2019/5/16, , , , , 
2019/5/17, , , , , 
2019/5/18, , , , , 
2019/5/19, , , , , 
2019/5/20, , , , , 
2019/5/21, , , , , 
2019/5/22, , , , , 
2019/5/23, , , , , 
2019/5/24, , , , , 
2019/5/25, , , , , 
2019/5/26, , , , , 
2019/5/27, , , , , 
2019/5/28, , , , , 
2019/5/29, , , , , 
2019/5/30, , , , , 
2019/5/31, , , , , 
2019/6/1, , , , , 
2019/6/2, , , , , 
2019/6/3, , , , , 
2019/6/4, , , , , 
2019/6/5, , , , , 
2019/6/6, , , , , 
2019/6/7, , , , , 
2019/6/8, , , , , 
2019/6/9, , , , , 
2019/1/2, , , , , 
2019/1/3, , , , , 
2019/1/4, , , , , 
2019/1/5, , , , , 
2019/1/6, , , , , 
2019/1/7, , , , , 
2019/1/8, , , , , 
2019/1/9, , , , , 
2019/1/10, , , , , 
2019/1/11, , , , , 
2019/1/12, , , , , 
2019/1/13, , , , , 
2019/1/14, , , , , 
2019/1/15, , , , , 
2019/1/16, , , , , 
2019/1/17, , , , , 
2019/1/18, , , , , 
2019/1/19, , , , , 
2019/1/20, , , , , 
2019/1/21, , , , , 
2019/1/22, , , , , 
2019/1/23, , , , , 
2019/1/24, , , , , 
2019/1/25, , , , , 
2019/1/26, , , , , 
2019/1/27, , , , , 
2019/1/28, , , , , 
2019/1/29, , , , , 
2019/1/30, , , , , 
2019/1/31, , , , , 
2019/2/1, , , , , 
2019/2/2, , , , , 
2019/2/3, , , , , 
2019/2/4, , , , , 
2019/2/5, , , , , 
2019/2/6, , , , , 
2019/2/7, , , , , 
2019/2/8, , , , , 
2019/2/9, , , , , 
2019/2/10, , , , , 
2019/2/11, , , , , 
2019/2/12, , , , , 
2019/2/13, , , , , 
2019/2/14, , , , , 
2019/2/15, , , , , 
2019/2/16, , , , , 
2019/2/17, , , , , 
2019/2/18, , , , , 
2019/2/19, , , , , 
2019/2/20, , , , , 
2019/2/21, , , , , 
2019/2/22, , , , , 
2019/2/23, , , , , 
2019/2/24, , , , , 
2019/2/25, , , , , 
2019/2/26, , , , , 
2019/2/27, , , , , 
2019/2/28, , , , , 
2019/3/1, , , , , 
2019/3/2, , , , , 
2019/3/3, , , , , 
2019/3/4, , , , , 
2019/3/5, , , , , 
2019/3/6, , , , , 
2019/3/7, , , , , 
2019/3/8, , , , , 
2019/3/9, , , , , 
2019/3/10, , , , , 
2019/3/11, , , , , 
2019/3/12, , , , , 
2019/3/13, , , , , 
2019/3/14, , , , , 
2019/3/15, , , , , 
2019/3/16, , , , , 
2019/3/17, , , , , 
2019/3/18, , , , , 
2019/3/19, , , , , 
2019/3/20, , , , , 
2018/10/8, 117, 74, 82, , 58
2018/10/9, 102, 73, 104, , 64
2018/10/10, 103, , 80, , 62
2018/10/11, 106, 71, 53, , 55
2018/10/12, 90, 73, 64, , 55
2018/10/13, 87, 74, 72, , 57
2018/10/14, 82, 75, 64, , 56
2018/10/15, 88, 77, 70, , 58
2018/10/16, 113, , , , 
2018/10/20, 85, 77, 76, , 58
2018/10/21, 95, , , , 
