date, pm25, pm10, o3, so2
2020/1/2, 23, 12, 13, 
2020/1/3, 19, 8, 21, 
2020/1/4, 9, 14, 23, 
2020/1/5, 23, 12, 24, 
2020/1/6, 16, 13, 24, 
2020/1/7, 10, 26, 22, 
2020/1/8, 52, 15, 12, 
2020/1/9, 17, , 10, 
2020/1/10, 14, , 12, 
2020/1/11, 6, , 9, 
2020/1/12, 10, , 6, 
2020/1/13, 19, , 1, 
2020/1/14, 11, , 1, 
2020/1/15, 11, , , 
2019/10/1, 23, 22, 28, 
2019/10/2, 39, 28, 17, 
2019/10/3, 57, , 18, 
2019/10/4, 25, , 34, 
2019/10/5, 70, , 29, 
2019/10/8, 14, , 26, 
2019/10/9, 25, , 25, 
2019/10/10, 33, 10, 14, 
2019/10/11, 19, 7, 21, 
2019/10/12, 7, 12, 17, 
2019/10/13, 27, 15, 9, 
2019/10/14, 34, 10, 4, 
2019/10/15, 19, 14, 18, 
2019/10/16, 16, 14, 19, 
2019/10/17, 28, 14, 21, 
2019/10/18, 25, 15, 22, 
2019/10/19, 37, 21, 23, 
2019/10/20, 44, 12, 20, 
2019/10/21, 18, 15, 21, 
2019/10/22, 22, 13, 21, 
2019/10/23, 27, 15, 21, 
2019/10/24, 35, 9, 16, 
2019/10/25, 30, 6, 12, 
2019/10/26, 11, 12, 18, 
2019/10/27, 106, 11, 8, 
2019/10/29, 31, 8, 6, 
2019/10/30, 12, 7, 19, 
2019/10/31, 8, 46, 17, 
2019/11/1, 19, 14, 24, 
2019/11/2, 27, 13, 17, 
2019/11/3, 24, 14, 16, 
2019/11/4, 27, 27, 12, 
2019/11/5, 62, 24, 20, 
2019/11/6, 74, 21, 11, 
2019/11/7, 78, 12, 15, 
2019/11/8, 17, 14, 16, 
2019/11/9, 25, 14, 24, 
2019/11/10, 30, 63, 13, 
2019/11/11, 37, 9, 19, 
2019/11/12, 8, 13, 17, 
2019/11/13, 19, 12, 16, 
2019/11/14, 23, 17, 17, 
2019/11/15, 30, 16, 17, 
2019/11/16, 32, 23, 19, 
2019/11/17, 50, 37, , 
2019/11/18, 73, , , 
2019/12/8, 51, 23, 19, 
2019/12/9, 43, 7, 14, 
2019/12/10, 9, 11, 18, 
2019/12/11, 18, 14, 14, 
2019/12/12, 22, 18, 19, 
2019/12/13, 29, 22, 16, 
2019/12/14, 45, 21, 14, 
2019/12/15, 37, 13, 4, 
2019/12/16, 24, 8, 20, 
2019/12/17, 6, 13, 21, 
2019/12/18, 15, 19, 21, 
2019/12/19, 28, 18, 11, 
2019/12/20, 32, 16, 14, 
2019/12/21, 32, 15, 23, 
2019/12/22, 32, 14, 22, 
2019/12/23, 21, 19, 20, 
2019/12/24, 42, 14, 13, 
2019/12/25, 29, 16, 21, 
2019/12/26, 33, 18, 5, 
2019/12/27, 35, 13, 3, 
2019/12/28, 8, , , 
2019/7/3, 27, , 21, 
2019/7/4, 50, 32, 20, 
2019/7/5, 44, 43, 34, 
2019/7/6, 57, , 24, 
2019/7/7, 40, 25, 31, 
2019/7/8, 47, 20, 26, 1
2019/7/9, 33, 27, 36, 1
2019/7/10, 36, 13, 28, 
2019/7/11, 24, 18, 34, 1
2019/7/12, 29, 18, 24, 
2019/7/13, 27, , 22, 
2019/7/14, 2, 7, 30, 
2019/7/15, 15, 18, 21, 
2019/7/16, 30, 18, 21, 
2019/7/17, 30, 15, 25, 
2019/7/18, 25, 15, 23, 1
2019/7/19, 25, 14, 24, 
2019/7/20, 24, 12, 27, 
2019/7/21, 23, 20, 24, 
2019/7/22, 33, 14, 32, 
2019/7/23, 23, 16, 35, 
2019/7/24, 32, 18, 38, 
2019/7/25, 44, 19, 44, 
2019/7/26, 43, 18, 40, 
2019/7/27, 41, 15, 32, 
2019/7/28, 24, 31, 16, 
2019/7/29, 38, 19, 27, 1
2019/7/30, 32, 15, 36, 
2019/7/31, 27, 21, 31, 1
2019/8/1, 45, 21, 36, 
2019/8/2, 44, 22, 44, 
2019/8/3, 50, 22, 37, 
2019/8/4, 53, 23, 31, 1
2019/8/5, 58, , , 
2019/8/20, 46, , 27, 
2019/8/21, 52, 4, 22, 
2019/8/22, 61, 11, 18, 
2019/8/23, 30, 10, 14, 
2019/8/24, 18, 10, 16, 
2019/8/25, 19, 20, 18, 
2019/8/26, 43, 16, 23, 
2019/8/27, 37, 14, 34, 
2019/8/28, 37, 20, 28, 
2019/8/29, 48, 21, 32, 
2019/8/30, 52, 20, 27, 
2019/8/31, 64, 18, 31, 
2019/9/1, 250, 15, 21, 
2019/9/3, 31, 23, 33, 
2019/9/4, 46, 32, 41, 
2019/9/5, 60, 39, 54, 
2019/9/6, 87, 26, 47, 
2019/9/7, 57, 20, 35, 
2019/9/8, 55, 17, 32, 
2019/9/9, 69, 231, 33, 
2019/9/10, 60, 16, 22, 
2019/9/11, 38, 21, 22, 
2019/9/12, 41, 25, 28, 
2019/9/13, 46, 27, 28, 
2019/9/14, 56, 23, 27, 
2019/9/15, 56, 22, 26, 
2019/9/16, 45, 15, 19, 
2019/9/17, 21, 11, 12, 
2019/9/18, 17, 11, 13, 
2019/9/19, 11, 9, 17, 
2019/9/20, 22, 16, 20, 
2019/9/21, 34, 14, 16, 
2019/9/22, 25, 14, 21, 
2019/9/23, 41, 16, 21, 
2019/9/24, 30, 17, 25, 
2019/9/25, 23, 19, 27, 
2019/9/26, 37, 14, 25, 
2019/9/27, 19, 16, 20, 
2019/9/28, 25, 17, 20, 
2019/9/29, 30, 15, 16, 
2019/9/30, 21, 19, 23, 
2019/4/1, 15, 15, 44, 
2019/4/2, 29, 18, 45, 
2019/4/3, 31, 10, 35, 
2019/4/4, 26, 9, 33, 
2019/4/5, 19, 11, 17, 
