date, pm25, pm10, o3, no2, so2
2020/1/2, 17, 11, 29, 5, 4
2020/1/3, 28, 5, 29, 3, 5
2020/1/4, 15, 3, 28, 2, 5
2020/1/5, 11, 8, 27, 3, 4
2020/1/6, 21, 9, 24, 4, 4
2020/1/7, 22, 18, 27, 9, 4
2020/1/8, 44, 6, 24, 7, 5
2020/1/9, 18, 9, 25, 6, 5
2020/1/10, 22, 4, 30, 4, 4
2020/1/11, 13, 4, 28, 5, 5
2020/1/12, 13, 8, 28, 6, 6
2020/1/13, 20, 6, 29, 6, 6
2020/1/14, 17, 9, 30, 5, 5
2020/1/15, 21, 8, 21, 2, 4
2020/1/16, 20, , , , 
2019/10/1, 18, 6, 21, 11, 
2019/10/2, 14, 8, 16, 9, 
2019/10/3, 24, 11, 17, 12, 
2019/10/4, 29, 13, 12, 4, 
2019/10/5, 38, 8, 23, 4, 
2019/10/6, 18, 11, 19, 8, 
2019/10/7, 27, 12, 27, 5, 
2019/10/8, 28, 9, 24, 5, 
2019/10/9, 20, 9, 23, 4, 
2019/10/10, 20, 7, 25, 6, 
2019/10/11, 15, 9, 16, 9, 
2019/10/12, 22, 6, 23, 7, 
2019/10/13, 18, 11, 14, 13, 1
2019/10/14, 30, 10, 18, 12, 1
2019/10/15, 33, 7, 23, 6, 
2019/10/16, 17, 9, 21, 11, 1
2019/10/17, 20, 6, 23, 12, 1
2019/10/18, 16, 3, 22, 5, 1
2019/10/19, 9, 6, 21, 6, 2
2019/10/20, 15, 7, 18, 10, 2
2019/10/21, 17, 12, 16, 13, 2
2019/10/22, 28, 16, 19, 12, 2
2019/10/23, 45, 12, 18, 6, 2
2019/10/24, 34, 7, 11, 12, 3
2019/10/25, 21, 4, 21, 7, 3
2019/10/26, 12, 8, 27, 4, 3
2019/10/27, 18, 11, 13, 16, 3
2019/10/28, 28, 13, 17, 17, 4
2019/10/29, 35, 17, 18, 14, 3
2019/10/30, 49, 25, 15, 12, 3
2019/10/31, 71, 7, 16, 9, 3
2019/11/1, 24, 11, 23, 8, 3
2019/11/2, 29, 14, 22, 7, 3
2019/11/3, 44, 11, 13, 13, 5
2019/11/4, 37, 15, 17, 10, 4
2019/11/5, 38, 15, 9, 11, 4
2019/11/6, 48, 8, 13, 14, 4
2019/11/7, 31, 8, 22, 7, 4
2019/11/8, 19, 10, 18, 11, 5
2019/11/9, 34, 8, 21, 9, 5
2019/11/10, 23, 8, 27, 2, 5
2019/11/11, 22, 6, 28, 4, 5
2019/11/12, 15, 8, 19, 10, 5
2019/11/13, 22, 8, 18, 10, 4
2019/11/14, 27, 6, 18, 10, 1
2019/11/15, 18, 8, 16, 8, 1
2019/11/16, 24, 7, 9, 7, 1
2019/11/17, 23, 10, 14, 14, 2
2019/11/18, 33, 18, 4, 13, 2
2019/11/19, 57, 14, 18, 8, 1
2019/11/20, 46, 26, 17, 12, 2
2019/11/21, 76, 15, 16, 14, 2
2019/11/22, 51, 18, 10, 16, 2
2019/11/23, 57, 25, 3, 12, 2
2019/11/24, 73, 10, 13, 11, 2
2019/11/25, 34, 9, 20, 11, 2
2019/11/26, 26, 18, 13, 12, 4
2019/11/27, 48, 8, 15, 12, 3
2019/11/28, 22, 13, 10, 18, 4
2019/11/29, 37, 22, 11, 17, 2
2019/11/30, 69, 14, 15, 18, 3
2019/12/1, 47, 8, 11, 11, 2
2019/12/2, 25, 14, 10, 17, 1
2019/12/3, 44, 16, 15, 13, 1
2019/12/4, 53, 6, 28, 8, 2
2019/12/5, 15, 3, 26, 2, 2
2019/12/6, 8, 5, 24, 3, 3
2019/12/7, 14, 8, 31, 1, 3
2019/12/8, 21, 13, 26, 6, 4
2019/12/9, 32, 6, 27, 4, 3
2019/12/10, 17, 10, 22, 11, 5
2019/12/11, 27, 8, 21, 11, 2
2019/12/12, 25, 6, 26, 2, 1
2019/12/13, 15, 9, 31, 3, 1
2019/12/14, 24, 6, 29, 6, 1
2019/12/15, 16, 11, 24, 14, 2
2019/12/16, 31, 18, 9, 20, 2
2019/12/17, 55, 11, 18, 12, 1
2019/12/18, 38, 6, 24, 9, 1
2019/12/19, 19, 6, 24, 10, 2
2019/12/20, 20, 10, 22, 13, 2
2019/12/21, 34, 8, 23, 7, 3
2019/12/22, 25, 10, 25, 5, 3
2019/12/23, 25, 7, 26, 5, 3
2019/12/24, 19, 13, 24, 5, 2
2019/12/25, 34, 16, 20, 8, 3
2019/12/26, 52, 15, 14, 9, 4
2019/12/27, 55, 11, 16, 8, 3
2019/12/28, 35, , , , 
2019/7/1, 13, 7, 23, 4, 
2019/7/2, 17, 10, 27, 5, 
2019/7/3, 23, 11, 20, 8, 
2019/7/4, 24, 8, 22, 5, 
2019/7/5, 17, 6, 22, 4, 
2019/7/6, 16, 9, 27, 4, 
2019/7/7, 26, 15, 29, 9, 
2019/7/8, 42, 16, 20, 11, 
2019/7/9, 46, 5, 19, 2, 
2019/7/10, 11, 3, 19, 3, 
2019/7/11, 8, 6, 20, 2, 
2019/7/12, 16, 6, 21, 3, 
2019/7/13, 16, 10, 23, 4, 
2019/7/14, 28, 14, 35, 9, 
2019/7/15, 37, 13, 35, 12, 
2019/7/16, 38, 10, 25, 8, 
2019/7/17, 28, 6, 24, 2, 
2019/7/18, 14, 8, 17, 5, 
2019/7/19, 20, 7, 22, 2, 
2019/7/20, 16, 6, 20, 3, 
2019/7/21, 13, 7, 15, 1, 
2019/7/22, 15, 13, 44, 5, 
2019/7/23, 28, 12, 31, 5, 
2019/7/24, 30, 18, 44, 6, 
2019/7/25, 40, 11, 21, 5, 
2019/7/26, 27, 7, 18, 3, 
2019/7/27, 17, 5, 22, 2, 
2019/7/28, 13, 8, 27, 4, 
2019/7/29, 18, 10, 25, 6, 
2019/7/30, 24, 8, 25, 1, 
2019/7/31, 22, 9, 26, 2, 
2019/8/1, 28, 13, 35, 11, 4
2019/8/2, 38, 16, 34, 8, 
2019/8/3, 47, 13, 30, 4, 
2019/8/4, 37, 7, 24, 1, 
2019/8/5, 18, 8, 18, 1, 
2019/8/6, 19, 6, , 1, 
2019/8/7, 15, 9, 31, 7, 1
