date, pm25, pm10, o3, no2, co
2020/1/1, 155, 55, 5, 24, 
2020/1/2, 151, 50, 8, 37, 
2020/1/3, 102, 50, 9, 33, 
2020/1/4, 102, 45, 5, 22, 
2020/1/5, 99, 39, 4, 17, 
2020/1/6, 95, 43, 6, 14, 
2020/1/7, 74, 36, 6, 20, 
2020/1/8, 74, 47, 5, 31, 
2020/1/9, 95, 53, 3, 32, 
2020/1/10, 129, 54, 10, 26, 
2020/1/11, 147, 52, 6, 30, 
2020/1/12, 109, 56, 3, 29, 
2020/1/13, 104, 69, 3, 25, 
2019/10/1, 55, 17, 24, 24, 
2019/10/2, 38, 8, 24, 23, 
2019/10/3, 21, 12, 20, 29, 
2019/10/4, 34, 29, 27, 27, 
2019/10/5, 59, 28, 23, 11, 
2019/10/6, 59, 11, 19, 23, 
2019/10/7, 38, 20, 18, 27, 
2019/10/8, 46, 25, 22, 19, 
2019/10/9, 68, 41, 23, 22, 
2019/10/10, 93, 47, 21, 33, 
2019/10/11, 104, 51, 18, 29, 
2019/10/12, 117, 55, 26, 20, 
2019/10/13, 104, 59, 19, 24, 
2019/10/14, 134, 27, 19, 13, 
2019/10/15, 74, 12, 28, 30, 
2019/10/16, 42, 21, 17, 25, 
2019/10/17, 59, 22, 20, 20, 
2019/10/18, 65, 32, 11, 15, 
2019/10/19, 72, 19, 24, 9, 
2019/10/20, 46, 28, 21, 8, 
2019/10/21, 61, 36, 19, 17, 
2019/10/22, 80, 41, 17, 25, 
2019/10/23, 95, 40, 15, 15, 
2019/10/24, 82, 34, 15, 23, 
2019/10/25, 68, 42, 17, , 
2019/10/26, 85, 32, 22, , 
2019/10/27, 74, 51, 10, 22, 
2019/10/28, 102, 53, , 17, 
2019/10/29, 117, 19, 7, 14, 
2019/10/30, 53, 16, 9, 20, 
2019/10/31, 53, 17, 14, 15, 
2019/11/1, 53, 24, 9, 13, 
2019/11/2, 74, 7, 8, 11, 
2019/11/3, 42, 13, 9, 21, 
2019/11/4, 57, 18, 7, 25, 
2019/11/5, 65, 15, 9, 29, 
2019/11/6, 42, 25, 9, 19, 
2019/11/7, 68, 17, 10, 22, 
2019/11/8, 42, 21, 15, 25, 
2019/11/9, 42, 31, 15, 28, 
2019/11/10, 82, 23, 4, 20, 
2019/11/11, 70, 10, 9, 18, 
2019/11/12, 38, 19, 13, 34, 
2019/11/13, 57, 17, 9, 25, 
2019/11/14, 61, 12, 14, 35, 
2019/11/15, 42, 26, 7, 19, 
2019/11/16, 72, 10, 21, 23, 
2019/11/17, 34, 21, 4, 24, 
2019/11/18, 59, 11, 17, 19, 
2019/11/19, 46, 20, 11, 22, 
2019/11/20, 55, 28, 6, 21, 
2019/11/21, 68, 23, 7, 22, 
2019/11/22, 63, 10, 18, 14, 
2019/11/23, 50, 11, 21, 8, 
2019/11/24, 38, 9, 19, 26, 
