date, pm25, pm10, o3, no2, so2, co
2020/1/2, 40, 26, 17, , 1, 3
2020/1/3, 44, 25, 17, , 1, 3
2020/1/4, 44, 26, 19, , 1, 3
2020/1/5, 41, 24, 18, , 1, 3
2020/1/6, 36, 15, 15, , 1, 3
2020/1/7, 28, 15, 15, , 1, 3
2020/1/8, 37, 22, 16, , 1, 
2020/1/9, 46, 24, 13, , 1, 4
2020/1/10, 49, 24, 16, , 1, 4
2020/1/11, 50, 24, 28, , 2, 4
2020/1/12, 59, 25, 22, , 1, 4
2020/1/13, 53, 24, 19, , 1, 3
2020/1/14, 45, 25, 20, , 1, 3
2020/1/15, 47, 26, 18, , 1, 4
2020/1/16, 55, , , , , 
2019/10/1, 69, 32, 13, , 3, 5
2019/10/2, 68, 31, 14, , 4, 4
2019/10/3, 61, 23, 12, , 5, 3
2019/10/4, 41, 17, 18, , 3, 2
2019/10/5, 42, 22, 20, , 3, 3
2019/10/6, 52, 27, 7, , 3, 4
2019/10/7, 54, 22, 12, , 3, 4
2019/10/8, 58, 29, 11, , 5, 5
2019/10/9, 59, 30, 34, , 2, 5
2019/10/10, 80, 36, 15, , 3, 5
2019/10/11, 63, 23, 13, , 3, 3
2019/10/12, 55, 32, 13, , 3, 5
2019/10/13, 65, 27, 17, , 4, 3
2019/10/14, 62, 32, 15, , 3, 5
2019/10/15, 62, 29, 21, , 3, 3
2019/10/16, 50, 23, 7, , 2, 4
2019/10/17, 58, 31, 10, , 3, 5
2019/10/18, 64, 33, 19, , 3, 5
2019/10/19, 73, 36, 16, , 3, 4
2019/10/20, 63, 22, 7, , 3, 4
2019/10/21, 47, 30, 4, , 4, 6
2019/10/22, 48, 21, 13, , 5, 6
2019/10/23, 57, 36, 11, , 4, 7
2019/10/24, 75, 33, 14, , 3, 5
2019/10/25, 60, 23, 8, , 3, 4
2019/10/26, 51, 22, 19, , 3, 5
2019/10/27, 53, 21, 9, , 4, 3
2019/10/28, 37, 20, 17, , 5, 5
2019/10/29, 71, 33, 21, , 7, 5
2019/10/30, 74, 38, 4, , 3, 8
2019/10/31, 91, 39, 12, , 4, 6
2019/11/1, 54, 32, 4, , 4, 6
2019/11/2, 91, 34, 17, , 8, 3
2019/11/3, 61, 27, 5, , 16, 5
2019/11/4, 83, 45, 8, , 7, 6
2019/11/5, 89, 41, 18, , 4, 4
2019/11/6, 86, 44, 27, , 2, 5
2019/11/7, 101, 35, 21, , 2, 2
2019/11/8, 43, 25, 29, , 3, 3
2019/11/9, 78, 39, 27, , 7, 3
