date, pm25, pm10, o3
2020/1/2, 25, , 29
2020/1/3, 27, , 25
2020/1/4, 15, , 31
2020/1/5, 11, , 24
2020/1/6, 9, , 28
2020/1/7, 13, , 28
2020/1/8, 11, , 21
2020/1/9, 25, , 24
2020/1/10, 37, , 26
2020/1/11, 16, , 19
2020/1/12, 33, 58, 19
2020/1/13, 37, , 22
2020/1/15, 26, 6, 24
2020/1/16, 36, , 
2019/10/15, 20, 16, 26
2019/10/16, 19, 34, 31
2019/10/17, 30, 42, 36
2019/10/18, 31, 27, 28
2019/10/19, 22, 16, 28
2019/10/20, 20, 6, 23
2019/10/21, 15, 9, 26
2019/10/22, 17, 5, 21
2019/10/23, 13, 5, 25
2019/10/24, 15, 15, 28
2019/10/25, 16, 25, 30
2019/10/26, 17, 13, 18
2019/10/27, 14, 19, 27
2019/10/28, 16, 20, 21
2019/10/29, 19, 17, 23
2019/10/30, 12, 29, 25
2019/10/31, 20, 11, 21
2019/11/1, 16, 13, 26
2019/11/2, 9, 12, 15
2019/11/3, 21, 7, 21
2019/11/4, 16, 12, 21
2019/11/5, 14, 14, 23
2019/11/6, 25, 13, 25
2019/11/7, 16, 34, 24
2019/11/8, 24, 24, 27
2019/11/9, 22, 13, 23
2019/11/10, 22, 15, 25
2019/11/11, 16, 12, 26
2019/11/12, 17, 9, 22
2019/11/13, 22, 16, 23
2019/11/14, 33, 25, 21
2019/11/15, 29, 22, 27
2019/11/16, 26, 12, 19
2019/11/17, 19, 6, 17
2019/11/18, 19, 5, 25
2019/11/19, 14, 22, 27
2019/11/20, 26, 5, 15
2019/11/21, 19, 7, 19
2019/11/22, 20, 7, 20
2019/11/23, 14, 5, 23
2019/11/24, 13, 10, 26
2019/11/25, 15, 9, 22
2019/11/26, 19, 13, 25
2019/11/27, 15, 17, 23
2019/11/28, 20, 18, 15
2019/11/29, 13, 20, 11
2019/11/30, 8, 26, 26
2019/12/1, 15, 32, 25
2019/12/2, 20, 33, 30
2019/12/3, 12, 37, 26
2019/12/4, 11, 44, 24
2019/12/5, 22, 44, 25
2019/12/6, 13, 50, 22
2019/12/7, 23, 51, 17
2019/12/8, 25, 61, 31
