date, no2, so2
2020/1/14, 28, 2
2020/1/15, 14, 
2019/10/1, 15, 
2019/10/2, 5, 
2019/10/3, 5, 
2019/10/4, 6, 
2019/10/5, 10, 
2019/10/6, 5, 
2019/10/7, 6, 1
2019/10/8, 8, 1
2019/10/9, 6, 
2019/10/10, 10, 
2019/10/11, 8, 
2019/10/14, 21, 
2019/10/15, 10, 
2019/10/16, 5, 
2019/10/17, 17, 
2019/10/18, 18, 
2019/10/19, 8, 
2019/10/20, 5, 
2019/10/21, 12, 
2019/10/22, 19, 
2019/10/23, 22, 1
2019/10/24, 23, 1
2019/10/25, 17, 1
2019/10/26, 20, 1
2019/10/27, 20, 
2019/10/28, 23, 
2019/10/29, 18, 
2019/10/30, 10, 
2019/10/31, 8, 
2019/11/1, 8, 
2019/11/2, 3, 
2019/11/3, 1, 
2019/11/4, 7, 
2019/11/5, 2, 
2019/11/6, 6, 
2019/11/7, 6, 
2019/11/13, 23, 
2019/11/14, 7, 
2019/11/15, 1, 
2019/11/16, 1, 1
2019/11/17, 2, 1
2019/11/18, 4, 1
2019/11/19, 5, 1
2019/11/20, 8, 1
2019/11/21, 8, 1
2019/11/22, 5, 1
2019/11/23, 1, 1
2019/11/24, 3, 2
2019/11/25, 9, 2
2019/11/26, 13, 1
2019/11/27, 6, 1
2019/11/28, 7, 2
2019/11/29, 13, 2
2019/11/30, 5, 2
2019/12/1, 4, 2
2019/12/2, 2, 2
2019/12/3, 3, 4
2019/12/4, 12, 3
2019/12/5, 12, 2
2019/12/6, 11, 2
2019/12/7, 15, 2
2019/12/8, 12, 2
2019/12/9, 6, 2
2019/12/10, 3, 3
2019/12/11, 6, 3
2019/12/12, 10, 3
2019/12/13, 5, 3
2019/12/14, 10, 3
2019/12/15, 7, 3
2019/12/16, 2, 3
2019/12/17, 1, 
2019/12/23, 9, 3
2019/12/24, 3, 
2019/7/1, 22, 2
2019/7/2, 36, 
2019/7/3, 15, 
2019/7/4, 13, 
2019/7/5, 13, 
2019/7/6, 17, 
2019/7/7, 18, 
2019/7/8, 11, 
2019/7/9, 9, 
2019/7/10, 8, 
2019/7/11, 8, 
2019/7/12, 11, 
2019/7/13, 12, 
2019/7/14, 8, 
2019/7/15, 10, 1
2019/7/16, 8, 1
2019/7/17, 12, 1
2019/7/18, 17, 
2019/7/19, 13, 1
2019/7/20, 12, 1
2019/7/21, 21, 
2019/7/22, 22, 1
2019/7/23, 10, 1
2019/7/24, 11, 1
2019/7/25, 15, 1
2019/7/26, 18, 1
2019/7/27, 8, 
2019/7/28, 4, 
2019/7/29, 15, 1
2019/7/30, 17, 1
2019/7/31, 21, 1
2019/8/1, 20, 1
2019/8/2, 17, 1
2019/8/3, 10, 1
2019/8/4, 6, 1
2019/8/5, 8, 1
2019/8/6, 20, 1
2019/8/7, 13, 1
2019/8/8, 5, 1
2019/8/9, 20, 1
2019/8/10, 24, 1
2019/8/11, 25, 1
2019/8/12, 28, 2
2019/8/13, 33, 1
2019/8/14, 9, 
2019/8/15, 2, 1
2019/8/16, 12, 2
2019/8/17, 11, 1
2019/8/18, 17, 1
2019/8/19, 19, 1
2019/8/20, 23, 1
2019/8/21, 18, 1
2019/8/22, 21, 1
2019/8/23, 17, 2
2019/8/24, 13, 1
2019/8/25, 11, 1
2019/8/26, 13, 1
2019/8/27, 15, 
2019/8/28, 23, 
2019/8/29, 21, 
2019/8/30, 17, 1
2019/8/31, 19, 1
2019/9/1, 13, 
2019/9/2, 13, 
2019/9/3, 5, 
2019/9/4, 8, 
2019/9/5, 16, 
2019/9/6, 15, 
2019/9/7, 9, 
2019/9/9, 15, 
2019/9/10, 14, 1
2019/9/11, 19, 
2019/9/12, 12, 
2019/9/13, 9, 
2019/9/14, 7, 
2019/9/15, 14, 
2019/9/16, 17, 
2019/9/17, 14, 
2019/9/18, 15, 1
2019/9/19, 6, 1
2019/9/20, 4, 2
2019/9/21, 10, 1
2019/9/22, 5, 
2019/9/23, 6, 
2019/9/24, 19, 
2019/9/25, 9, 
2019/9/26, 12, 
2019/9/27, 14, 
2019/9/28, 17, 
2019/9/29, 19, 
2019/9/30, 19, 
2019/4/1, 23, 5
2019/4/2, 14, 3
2019/4/3, 6, 2
2019/4/4, 2, 2
2019/4/5, 11, 2
2019/4/6, 12, 2
2019/4/7, 14, 2
2019/4/8, 13, 2
2019/4/9, 15, 2
2019/4/10, 13, 2
2019/4/11, 7, 2
2019/4/12, 9, 2
2019/4/13, 7, 2
2019/4/14, 6, 3
2019/4/15, 5, 2
2019/4/16, 10, 2
2019/4/17, 12, 3
2019/4/18, 7, 4
2019/4/19, 8, 2
2019/4/20, 8, 5
2019/4/21, 3, 2
2019/4/22, 2, 2
2019/4/23, 2, 2
2019/4/24, 2, 2
2019/4/25, 2, 2
2019/4/26, 2, 
2019/4/29, 9, 2
2019/4/30, 6, 2
2019/5/1, 13, 2
2019/5/2, 16, 2
2019/5/3, 8, 2
2019/5/4, 4, 2
2019/5/5, 5, 2
2019/5/6, 6, 2
2019/5/7, 8, 2
2019/5/8, 8, 2
2019/5/9, 7, 2
2019/5/10, 17, 2
2019/5/11, 16, 2
2019/5/12, 4, 2
2019/5/13, 7, 2
2019/5/14, 3, 2
2019/5/15, 11, 2
2019/5/16, 10, 2
2019/5/17, 12, 2
2019/5/18, 8, 2
2019/5/19, 5, 2
2019/5/20, 7, 2
2019/5/21, 5, 2
2019/5/22, 10, 2
2019/5/23, 16, 2
2019/5/24, 12, 2
2019/5/25, 10, 2
2019/5/26, 6, 2
2019/5/27, 3, 2
2019/5/28, 2, 2
2019/5/29, 4, 2
2019/5/30, 8, 2
2019/5/31, 6, 2
2019/6/1, 12, 2
2019/6/2, 14, 2
2019/6/3, 12, 2
2019/6/4, 14, 2
2019/6/5, 5, 3
2019/6/6, 3, 3
2019/6/7, 10, 3
2019/6/8, 20, 3
2019/6/9, 22, 3
2019/6/10, 13, 4
2019/6/11, 18, 3
2019/6/12, 8, 3
2019/6/13, 10, 3
2019/6/14, 17, 3
2019/6/15, 25, 3
2019/6/16, 19, 3
2019/6/17, 9, 3
2019/6/18, 14, 3
2019/6/19, 11, 3
2019/6/20, 13, 3
2019/6/21, 18, 3
2019/6/22, 18, 3
2019/6/23, 10, 3
2019/6/24, 6, 3
2019/6/25, 10, 3
2019/6/26, 13, 4
2019/6/27, 10, 3
2019/6/28, 8, 3
2019/6/29, 8, 4
2019/6/30, 15, 4
2019/1/1, 7, 1
2019/1/2, 9, 
2019/1/3, 2, 
2019/1/4, 5, 
2019/1/5, 6, 1
2019/1/6, 5, 1
2019/1/7, 5, 1
2019/1/8, 13, 2
2019/1/9, 12, 1
2019/1/10, 4, 1
2019/1/11, 5, 
2019/1/14, 15, 1
2019/1/15, 12, 1
2019/1/16, 10, 2
2019/1/17, 7, 2
2019/1/18, 5, 1
2019/1/19, 7, 2
2019/1/20, 9, 1
2019/1/21, 11, 1
2019/1/22, 8, 2
2019/1/23, 10, 2
2019/1/24, 7, 1
2019/1/25, 4, 2
2019/1/26, 7, 2
2019/1/27, 6, 2
2019/1/28, 10, 1
2019/1/29, 12, 2
2019/1/30, 11, 2
2019/1/31, 13, 2
2019/2/1, 3, 2
2019/2/2, 1, 2
2019/2/3, 2, 2
2019/2/4, 3, 4
2019/2/5, 6, 3
2019/2/6, 4, 2
2019/2/7, 15, 2
2019/2/8, 15, 3
2019/2/9, 16, 3
2019/2/10, 7, 2
2019/2/11, 5, 2
2019/2/12, 4, 2
2019/2/13, 6, 2
2019/2/14, 8, 2
2019/2/15, 10, 3
2019/2/16, 12, 2
2019/2/17, 19, 3
2019/2/18, 24, 2
2019/2/19, 23, 2
2019/2/20, 22, 3
2019/2/21, 25, 2
2019/2/22, 17, 2
2019/2/23, 3, 5
2019/2/24, 3, 3
2019/2/25, 10, 3
2019/2/26, 12, 2
2019/2/27, 7, 2
2019/2/28, 17, 3
2019/3/1, 13, 2
2019/3/2, 16, 2
2019/3/3, 14, 2
2019/3/4, 11, 2
2019/3/5, 11, 2
2019/3/6, 9, 2
2019/3/7, 2, 2
2019/3/8, 3, 2
2019/3/9, 8, 2
2019/3/10, 8, 2
2019/3/11, 6, 2
2019/3/12, 4, 2
2019/3/13, 8, 2
2019/3/14, 11, 2
2019/3/15, 11, 2
2019/3/16, 8, 2
2019/3/17, 2, 2
2019/3/18, 2, 2
2019/3/19, 6, 3
2019/3/20, 4, 6
2019/3/21, 6, 5
2019/3/22, 14, 6
2019/3/23, 13, 6
2019/3/24, 15, 3
2019/3/25, 15, 2
2019/3/26, 4, 2
2019/3/27, 5, 5
2019/3/28, 5, 3
2019/3/29, 7, 3
2019/3/30, 15, 3
2019/3/31, 17, 6
2018/10/1, 7, 
2018/10/3, 14, 
2018/10/11, 30, 3
2018/10/12, 17, 5
2018/10/13, 14, 6
2018/10/14, 15, 4
2018/10/15, 23, 3
2018/10/16, 20, 3
2018/10/17, 20, 3
2018/10/18, 11, 
2018/10/21, 3, 4
2018/10/22, 4, 4
2018/10/23, 6, 3
2018/10/24, 15, 3
2018/10/25, 10, 3
2018/10/26, 4, 3
2018/10/27, 1, 3
2018/10/28, , 3
2018/10/29, , 3
2018/10/30, 4, 3
2018/10/31, 3, 3
2018/11/1, 1, 3
2018/11/2, 3, 3
2018/11/3, 14, 3
2018/11/4, 9, 3
2018/11/5, , 3
2018/11/12, 25, 
2018/11/13, 20, 
2018/11/14, 7, 
2018/11/15, 6, 
2018/11/16, 5, 
2018/11/17, 4, 
2018/11/18, 3, 
2018/11/19, 8, 5
2018/11/20, 4, 5
2018/11/21, 14, 5
2018/11/22, 14, 5
