date, pm25, pm10
2020/1/2, 14, 8
2020/1/3, 13, 15
2020/1/4, 13, 8
2020/1/5, 10, 7
2020/1/6, 11, 8
2020/1/7, 11, 14
2020/1/8, 10, 24
2020/1/9, 24, 8
2020/1/10, 20, 4
2020/1/11, 14, 4
2020/1/12, 8, 7
2020/1/13, 13, 6
2020/1/14, 22, 8
2020/1/15, 24, 
2019/10/1, 32, 16
2019/10/2, 31, 20
2019/10/3, 52, 16
2019/10/4, 41, 11
2019/10/5, 23, 14
2019/10/6, 31, 30
2019/10/7, 27, 15
2019/10/8, 15, 14
2019/10/9, 26, 15
2019/10/10, 37, 17
2019/10/11, 48, 22
2019/10/12, 56, 21
2019/10/13, 64, 25
2019/10/14, 58, 30
2019/10/15, 54, 37
2019/10/16, 58, 12
2019/10/17, 22, 10
2019/10/18, 15, 6
2019/10/19, 17, 4
2019/10/20, 13, 9
2019/10/21, 22, 8
2019/10/22, 17, 21
2019/10/23, 34, 24
2019/10/24, 46, 22
2019/10/25, 42, 11
2019/10/26, 30, 13
2019/10/27, 48, 8
2019/10/28, 20, 19
2019/10/29, 33, 34
2019/10/30, 60, 42
2019/10/31, 90, 42
2019/11/1, 77, 39
2019/11/2, 73, 29
2019/11/3, 65, 35
2019/11/4, 56, 45
2019/11/5, 61, 30
2019/11/6, 48, 39
2019/11/7, 48, 41
2019/11/8, 67, 32
2019/11/9, 77, 21
2019/11/10, 68, 23
2019/11/11, 26, 22
2019/11/12, 48, 19
2019/11/13, 61, 26
2019/11/14, 69, 12
2019/11/15, 41, 15
2019/11/16, 38, 12
2019/11/17, 36, 14
2019/11/18, 39, 7
2019/11/19, 29, 18
2019/11/20, 40, 30
2019/11/21, 61, 31
2019/11/22, 72, 28
2019/11/23, 84, 14
2019/11/24, 40, 17
2019/11/25, 50, 13
2019/11/26, 41, 12
2019/11/27, 19, 13
2019/11/28, 29, 19
2019/11/29, 45, 20
2019/11/30, 51, 22
2019/12/1, 57, 14
2019/12/2, 50, 12
2019/12/3, 29, 16
2019/12/4, 37, 27
2019/12/5, 76, 18
2019/12/6, 58, 12
2019/12/7, 38, 11
2019/12/8, 23, 12
2019/12/9, 41, 21
2019/12/10, 60, 7
2019/12/11, 29, 7
2019/12/12, 24, 10
2019/12/13, 30, 11
2019/12/14, 37, 4
2019/12/15, 20, 11
2019/12/16, 46, 21
2019/12/17, 61, 35
2019/12/18, 54, 16
2019/12/19, 36, 4
2019/12/20, 9, 14
2019/12/21, 10, 8
2019/12/22, 15, 12
2019/12/23, 20, 8
