date, pm25
2020/1/2, 10
2020/1/3, 16
2020/1/4, 6
2020/1/5, 9
2020/1/6, 6
2020/1/7, 4
2020/1/8, 4
2020/1/9, 11
2020/1/10, 31
2020/1/13, 8
2020/1/14, 13
2019/10/1, 17
2019/10/2, 20
2019/10/3, 27
2019/10/4, 26
2019/10/5, 6
2019/10/6, 8
2019/10/7, 14
2019/10/8, 3
2019/10/9, 6
2019/10/10, 25
2019/10/11, 30
2019/10/12, 61
2019/10/13, 70
2019/10/14, 47
2019/10/15, 38
2019/10/16, 43
2019/10/17, 15
2019/10/18, 9
2019/10/19, 10
2019/10/20, 8
2019/10/21, 14
2019/10/22, 11
2019/10/23, 9
2019/10/24, 18
2019/10/25, 26
2019/10/26, 7
2019/10/27, 11
2019/10/28, 10
2019/10/29, 14
2019/10/30, 39
2019/10/31, 44
2019/11/1, 38
2019/11/2, 42
2019/11/3, 39
2019/11/4, 44
2019/11/5, 36
2019/11/6, 18
2019/11/7, 28
2019/11/8, 34
2019/11/9, 52
2019/11/10, 37
2019/11/11, 17
2019/11/12, 33
2019/11/13, 45
2019/11/14, 41
2019/11/15, 33
2019/11/16, 31
2019/11/17, 32
2019/11/18, 25
2019/11/19, 15
2019/11/20, 25
2019/11/21, 25
2019/11/22, 49
2019/11/23, 56
2019/11/24, 34
2019/11/25, 28
2019/11/26, 30
2019/11/27, 11
2019/11/28, 12
2019/11/29, 26
2019/11/30, 34
2019/12/1, 35
2019/12/2, 34
2019/12/3, 40
2019/12/4, 36
2019/12/5, 50
2019/12/6, 43
2019/12/7, 35
2019/12/8, 12
2019/12/9, 24
2019/12/10, 37
2019/12/11, 20
2019/12/12, 21
2019/12/13, 18
2019/12/14, 25
2019/12/15, 10
2019/12/16, 20
2019/12/17, 22
2019/12/18, 28
2019/12/19, 33
2019/12/20, 2
2019/12/21, 6
2019/12/22, 9
2019/12/23, 25
2019/12/24, 25
2019/12/25, 23
2019/12/26, 25
2019/12/27, 20
2019/12/28, 15
2019/7/1, 11
2019/7/2, 15
2019/7/3, 15
2019/7/4, 15
2019/7/5, 34
2019/7/6, 36
2019/7/7, 20
2019/7/8, 17
2019/7/9, 17
2019/7/10, 14
2019/7/11, 4
2019/7/12, 7
2019/7/13, 9
2019/7/14, 11
2019/7/15, 15
2019/7/16, 14
2019/7/17, 11
2019/7/18, 5
2019/7/19, 6
2019/7/20, 5
2019/7/21, 9
2019/7/22, 17
2019/7/23, 23
2019/7/24, 12
2019/7/25, 20
2019/7/26, 27
2019/7/27, 10
2019/7/28, 11
2019/7/29, 15
2019/7/30, 18
2019/7/31, 19
2019/8/1, 18
2019/8/2, 15
2019/8/3, 123
2019/8/4, 42
2019/8/5, 55
2019/8/6, 73
2019/8/7, 65
2019/8/8, 84
2019/8/9, 49
2019/8/10, 55
2019/8/11, 20
2019/8/12, 13
2019/8/13, 15
2019/8/14, 17
2019/8/15, 18
2019/8/16, 22
2019/8/17, 15
2019/8/18, 16
2019/8/19, 13
2019/8/20, 12
2019/8/21, 15
2019/8/22, 10
2019/8/23, 10
2019/8/24, 13
2019/8/25, 6
2019/8/26, 9
2019/8/27, 21
2019/8/28, 18
2019/8/29, 19
2019/8/30, 24
2019/8/31, 17
2019/9/1, 9
2019/9/2, 10
2019/9/3, 12
2019/9/4, 12
2019/9/5, 14
2019/9/6, 18
2019/9/7, 20
2019/9/8, 17
2019/9/9, 5
2019/9/10, 3
2019/9/11, 6
2019/9/12, 8
2019/9/13, 4
2019/9/14, 6
2019/9/15, 8
2019/9/16, 5
2019/9/17, 7
2019/9/18, 13
2019/9/19, 25
2019/9/20, 19
2019/9/21, 20
2019/9/22, 14
2019/9/23, 6
2019/9/24, 6
2019/9/25, 11
2019/9/26, 8
2019/9/27, 6
2019/9/28, 2
2019/9/29, 3
2019/9/30, 3
2019/4/1, 21
2019/4/2, 30
2019/4/3, 16
2019/4/4, 17
2019/4/5, 12
2019/4/6, 12
2019/4/7, 14
2019/4/8, 12
2019/4/9, 16
2019/4/10, 8
2019/4/11, 13
2019/4/12, 9
2019/4/13, 11
2019/4/14, 7
2019/4/15, 11
2019/4/16, 10
2019/4/17, 5
2019/4/18, 19
2019/4/19, 13
2019/4/20, 10
2019/4/21, 14
2019/4/22, 17
2019/4/23, 11
2019/4/24, 25
2019/4/25, 26
2019/4/26, 25
2019/4/27, 11
2019/4/28, 18
2019/4/29, 21
2019/4/30, 20
2019/5/1, 14
2019/5/2, 22
2019/5/3, 13
2019/5/4, 21
2019/5/5, 20
2019/5/6, 25
2019/5/7, 32
2019/5/8, 18
2019/5/9, 14
2019/5/10, 15
2019/5/11, 17
2019/5/12, 18
2019/5/13, 16
2019/5/14, 16
2019/5/15, 17
2019/5/16, 14
2019/5/20, 7
2019/5/21, 8
2019/5/22, 11
2019/5/23, 15
2019/5/24, 13
2019/5/25, 10
2019/5/26, 12
2019/5/27, 22
2019/5/28, 20
2019/5/29, 31
2019/5/30, 37
2019/5/31, 51
2019/6/1, 49
2019/6/2, 30
2019/6/3, 11
2019/6/4, 18
2019/6/5, 9
2019/6/6, 5
2019/6/7, 2
2019/6/8, 3
2019/6/9, 8
2019/6/10, 3
2019/6/11, 3
2019/6/12, 6
2019/6/13, 11
2019/6/14, 12
2019/6/15, 14
2019/6/16, 16
2019/6/17, 17
2019/6/18, 8
2019/6/19, 4
2019/6/20, 2
2019/6/21, 3
2019/6/22, 12
2019/6/23, 12
2019/6/24, 13
2019/6/25, 11
2019/6/26, 10
2019/6/27, 8
2019/6/28, 7
2019/6/29, 6
2019/6/30, 8
2019/1/1, 32
2019/1/2, 32
2019/1/3, 26
2019/1/4, 15
2019/1/5, 20
2019/1/6, 17
2019/1/7, 24
2019/1/8, 17
2019/1/9, 21
2019/1/10, 36
2019/1/11, 18
2019/1/12, 16
2019/1/13, 20
2019/1/14, 24
2019/1/15, 27
2019/1/16, 26
2019/1/17, 23
2019/1/18, 26
2019/1/19, 18
2019/1/20, 21
2019/1/21, 25
2019/1/22, 26
2019/1/23, 22
2019/1/24, 24
2019/1/25, 37
2019/1/26, 26
2019/1/27, 18
2019/1/28, 23
2019/1/29, 30
2019/1/30, 38
2019/1/31, 45
2019/2/1, 47
2019/2/2, 27
2019/2/3, 24
2019/2/4, 15
2019/2/5, 20
2019/2/6, 22
2019/2/7, 34
2019/2/8, 25
2019/2/9, 18
2019/2/10, 23
2019/2/11, 25
2019/2/12, 24
2019/2/13, 24
2019/2/14, 14
2019/2/15, 21
2019/2/16, 13
2019/2/17, 20
2019/2/18, 35
2019/2/19, 41
2019/2/20, 30
2019/2/21, 26
2019/2/22, 35
2019/2/25, 14
2019/2/26, 15
2019/2/27, 12
2019/2/28, 21
2019/3/1, 28
2019/3/2, 20
2019/3/3, 15
2019/3/4, 19
2019/3/5, 16
2019/3/6, 10
2019/3/7, 29
2019/3/8, 22
2019/3/9, 32
2019/3/10, 28
2019/3/11, 20
2019/3/12, 18
2019/3/13, 23
2019/3/14, 21
2019/3/15, 21
2019/3/16, 28
2019/3/17, 26
2019/3/18, 19
2019/3/19, 22
2019/3/20, 20
2019/3/21, 20
2019/3/22, 27
2019/3/23, 23
2019/3/24, 27
2019/3/25, 23
2019/3/26, 9
2019/3/27, 15
2019/3/28, 14
2019/3/29, 20
2019/3/30, 19
2019/3/31, 21
2018/10/1, 19
2018/10/2, 15
2018/10/3, 12
2018/10/4, 17
2018/10/5, 30
2018/10/6, 21
2018/10/7, 47
2018/10/8, 31
2018/10/9, 13
2018/10/10, 16
2018/10/11, 19
2018/10/12, 26
2018/10/13, 17
2018/10/14, 29
2018/10/15, 25
2018/10/16, 35
2018/10/17, 43
2018/10/18, 55
2018/10/19, 50
2018/10/20, 50
2018/10/21, 52
2018/10/22, 45
2018/10/23, 48
2018/10/24, 43
2018/10/25, 42
2018/10/29, 36
2018/10/30, 28
2018/10/31, 23
2018/11/1, 23
2018/11/2, 10
2018/11/3, 11
2018/11/4, 24
2018/11/5, 14
2018/11/6, 34
2018/11/7, 36
2018/11/8, 40
2018/11/9, 56
2018/11/10, 56
2018/11/11, 56
2018/11/12, 53
2018/11/13, 63
2018/11/14, 56
2018/11/15, 72
2018/11/16, 51
2018/11/17, 38
2018/11/18, 52
2018/11/19, 52
2018/11/20, 50
2018/11/21, 56
2018/11/22, 44
2018/11/23, 17
2018/11/24, 23
2018/11/25, 40
2018/11/26, 32
2018/11/27, 28
2018/11/28, 29
2018/11/29, 30
2018/11/30, 37
2018/12/1, 32
2018/12/2, 30
2018/12/3, 32
2018/12/4, 42
2018/12/5, 40
2018/12/6, 49
2018/12/7, 40
2018/12/8, 41
2018/12/9, 37
2018/12/10, 20
2018/12/11, 20
2018/12/12, 15
2018/12/13, 16
2018/12/14, 23
2018/12/15, 15
2018/12/16, 15
2018/12/17, 25
2018/12/18, 7
2018/12/19, 16
2018/12/20, 17
2018/12/21, 9
2018/12/22, 23
2018/12/23, 20
2018/12/24, 22
2018/12/25, 25
2018/12/26, 22
2018/12/27, 24
2018/12/28, 19
2018/12/29, 15
2018/12/30, 16
2018/7/1, 7
2018/7/2, 5
2018/7/3, 5
2018/7/4, 8
2018/7/5, 18
2018/7/6, 25
2018/7/7, 8
2018/7/8, 12
2018/7/9, 18
2018/7/10, 21
2018/7/11, 11
2018/7/12, 16
2018/7/13, 17
2018/7/14, 13
2018/7/15, 16
2018/7/16, 23
2018/7/17, 27
2018/7/18, 27
2018/7/19, 18
2018/7/20, 35
2018/7/21, 24
2018/7/22, 11
2018/7/23, 16
2018/7/24, 24
2018/7/25, 29
2018/7/26, 58
2018/7/27, 57
2018/7/28, 53
2018/7/29, 53
2018/7/30, 52
2018/7/31, 58
2018/8/1, 50
2018/8/2, 62
2018/8/3, 105
2018/8/4, 78
2018/8/5, 44
2018/8/6, 57
2018/8/7, 124
2018/8/8, 106
2018/8/9, 83
2018/8/10, 88
2018/8/11, 89
2018/8/12, 109
2018/8/13, 159
2018/8/14, 125
2018/8/15, 142
2018/8/16, 126
2018/8/17, 97
2018/8/18, 76
2018/8/19, 202
2018/8/20, 156
2018/8/21, 96
2018/8/22, 89
2018/8/23, 127
2018/8/24, 111
2018/8/25, 98
2018/8/26, 94
2018/8/27, 32
2018/8/28, 33
2018/8/29, 37
2018/8/30, 41
2018/8/31, 33
2018/9/1, 25
2018/9/2, 49
2018/9/3, 32
2018/9/4, 77
2018/9/5, 68
2018/9/6, 64
2018/9/7, 51
2018/9/8, 29
2018/9/9, 18
2018/9/10, 13
2018/9/11, 12
2018/9/12, 14
2018/9/13, 12
2018/9/14, 21
2018/9/15, 33
2018/9/16, 17
2018/9/17, 8
2018/9/18, 11
2018/9/19, 13
2018/9/20, 15
2018/9/21, 11
2018/9/22, 9
2018/9/23, 13
2018/9/24, 9
2018/9/25, 10
2018/9/26, 14
2018/9/27, 13
2018/9/28, 12
2018/9/29, 11
2018/9/30, 12
2018/4/1, 17
2018/4/2, 7
2018/4/3, 12
2018/4/4, 21
2018/4/5, 13
2018/4/6, 10
2018/4/7, 11
2018/4/8, 4
2018/4/9, 7
2018/4/10, 10
2018/4/11, 7
2018/4/12, 10
2018/4/13, 9
2018/4/14, 14
2018/4/15, 11
2018/4/16, 7
2018/4/17, 4
2018/4/18, 8
2018/4/19, 13
2018/4/20, 11
2018/4/21, 7
2018/4/22, 32
2018/4/23, 19
2018/4/24, 16
2018/4/25, 21
2018/4/26, 22
2018/4/27, 30
2018/4/28, 25
2018/4/29, 22
2018/4/30, 18
2018/5/1, 31
2018/5/2, 24
2018/5/3, 23
2018/5/4, 44
2018/5/5, 83
2018/5/6, 28
2018/5/7, 21
2018/5/8, 29
2018/5/9, 15
2018/5/10, 7
2018/5/11, 10
2018/5/12, 15
2018/5/13, 19
2018/5/14, 21
2018/5/15, 27
2018/5/16, 23
2018/5/17, 17
2018/5/18, 9
2018/5/19, 7
2018/5/20, 12
2018/5/21, 16
2018/5/22, 26
2018/5/23, 17
2018/5/24, 17
2018/5/25, 19
2018/5/26, 17
2018/5/27, 24
2018/5/28, 14
2018/5/29, 12
2018/5/30, 11
2018/5/31, 14
2018/6/1, 10
2018/6/2, 9
2018/6/3, 11
2018/6/4, 7
2018/6/5, 8
2018/6/6, 13
2018/6/7, 21
2018/6/8, 41
2018/6/9, 12
2018/6/10, 6
2018/6/11, 5
2018/6/12, 7
2018/6/13, 11
2018/6/14, 5
2018/6/15, 7
2018/6/19, 14
2018/6/20, 20
2018/6/21, 20
2018/6/22, 23
2018/6/23, 21
2018/6/24, 23
2018/6/26, 6
2018/6/27, 9
2018/6/28, 11
2018/6/29, 10
2018/6/30, 8
2018/1/1, 26
2018/1/2, 16
2018/1/3, 21
2018/1/4, 18
2018/1/5, 26
2018/1/6, 31
2018/1/7, 31
2018/1/8, 19
2018/1/9, 19
2018/1/10, 13
2018/1/11, 19
2018/1/12, 24
2018/1/13, 29
2018/1/14, 17
2018/1/15, 15
2018/1/16, 21
2018/1/17, 20
2018/1/18, 20
2018/1/19, 11
2018/1/20, 16
2018/1/21, 10
2018/1/22, 11
2018/1/23, 21
2018/1/24, 15
2018/1/25, 9
2018/1/26, 13
2018/1/27, 10
2018/1/28, 21
2018/1/29, 30
2018/1/30, 7
2018/1/31, 9
2018/2/1, 26
2018/2/2, 15
2018/2/3, 11
2018/2/4, 8
2018/2/5, 14
2018/2/6, 10
