date, pm25, o3
2020/1/2, 44, 14
2020/1/3, 42, 29
2020/1/4, 20, 29
2020/1/5, 23, 28
2020/1/6, 24, 28
2020/1/7, 21, 35
2020/1/8, 28, 33
2020/1/9, 32, 24
2020/1/10, 22, 21
2020/1/11, 18, 25
2020/1/12, 19, 25
2020/1/13, 25, 20
2020/1/14, 33, 18
2020/1/15, 37, 16
2020/1/16, 30, 
2019/10/1, 51, 32
2019/10/2, 37, 24
2019/10/3, 32, 23
2019/10/4, 26, 38
2019/10/5, 47, 29
2019/10/6, 17, 27
2019/10/7, 23, 27
2019/10/8, 26, 33
2019/10/9, 36, 31
2019/10/10, 37, 24
2019/10/11, 14, 31
2019/10/12, 23, 37
2019/10/13, 32, 28
2019/10/14, 40, 24
2019/10/15, 36, 28
2019/10/16, 29, 29
2019/10/17, 30, 33
2019/10/18, 32, 32
2019/10/19, 43, 36
2019/10/20, 42, 31
2019/10/21, 21, 29
2019/10/22, 22, 35
2019/10/23, 25, 22
2019/10/24, 22, 19
2019/10/25, 20, 20
2019/10/26, 29, 31
2019/10/27, 32, 28
2019/10/28, 40, 7
2019/10/29, 10, 14
2019/10/30, 12, 25
2019/10/31, 20, 30
2019/11/1, 25, 26
2019/11/2, 34, 32
2019/11/3, 22, 36
2019/11/4, 43, 26
2019/11/5, 38, 27
2019/11/6, 47, 18
2019/11/7, 22, 24
2019/11/8, 25, 26
2019/11/9, 32, 29
2019/11/10, 36, 24
2019/11/11, 28, 25
2019/11/12, 17, 28
2019/11/13, 21, 28
2019/11/14, 35, 28
2019/11/15, 38, 30
2019/11/16, 27, 32
2019/11/17, 47, 27
2019/11/18, 36, 30
2019/11/19, 33, 38
2019/11/20, 36, 34
2019/11/21, 34, 8
2019/11/22, 12, 22
2019/11/23, 18, 31
2019/11/24, 23, 34
2019/11/25, 37, 23
2019/11/26, 44, 24
2019/11/27, 25, 21
2019/11/28, 18, 20
2019/11/29, 21, 32
2019/11/30, 22, 24
2019/12/1, 17, 26
2019/12/2, 23, 26
2019/12/3, 25, 27
2019/12/4, 34, 30
2019/12/5, 27, 22
2019/12/6, 37, 21
2019/12/7, 37, 28
2019/12/8, 45, 26
2019/12/9, 42, 25
2019/12/10, 30, 27
2019/12/11, 27, 31
2019/12/12, 14, 27
2019/12/13, 30, 15
