date, pm25
2020/1/2, 28
2020/1/3, 38
2020/1/4, 35
2020/1/5, 24
2020/1/6, 23
2020/1/7, 25
2020/1/8, 12
2020/1/9, 26
2020/1/10, 19
2020/1/11, 20
2020/1/12, 25
2020/1/13, 27
2020/1/14, 43
2020/1/15, 41
2020/1/16, 21
2019/10/1, 34
2019/10/2, 33
2019/10/3, 20
2019/10/4, 17
2019/10/5, 24
2019/10/6, 24
2019/10/7, 32
2019/10/8, 44
2019/10/9, 36
2019/10/10, 25
2019/10/11, 23
2019/10/12, 18
2019/10/13, 22
2019/10/14, 33
2019/10/15, 32
2019/10/16, 25
2019/10/17, 26
2019/10/18, 25
2019/10/19, 32
2019/10/20, 36
2019/10/21, 25
2019/10/22, 18
2019/10/23, 19
2019/10/24, 29
2019/10/25, 32
2019/10/26, 32
2019/10/27, 41
2019/10/28, 35
2019/10/29, 12
2019/11/1, 18
2019/11/2, 40
2019/11/3, 18
2019/11/4, 24
2019/11/5, 35
2019/11/6, 40
2019/11/7, 25
2019/11/8, 22
2019/11/9, 27
2019/11/10, 56
2019/11/11, 28
2019/11/12, 27
2019/11/13, 20
2019/11/14, 42
2019/11/15, 52
2019/11/16, 71
2019/11/17, 71
2019/11/18, 29
2019/11/19, 40
2019/11/20, 40
2019/11/21, 27
2019/11/22, 27
2019/11/23, 28
2019/11/24, 27
2019/11/25, 36
2019/11/26, 47
2019/11/27, 18
2019/11/28, 18
2019/11/29, 29
2019/11/30, 19
2019/12/1, 13
2019/12/2, 18
2019/12/3, 22
2019/12/4, 15
2019/12/5, 25
2019/12/6, 37
2019/12/7, 40
2019/12/8, 52
2019/12/9, 48
2019/12/10, 22
2019/12/11, 54
2019/12/12, 26
2019/12/13, 34
2019/12/14, 63
2019/12/15, 39
2019/12/16, 54
2019/12/17, 38
2019/12/18, 68
2019/12/19, 61
2019/12/20, 55
2019/12/21, 48
2019/12/22, 50
2019/12/23, 52
2019/12/24, 41
2019/12/25, 18
2019/12/26, 35
2019/12/27, 52
2019/12/28, 56
2019/7/1, 34
2019/7/2, 44
2019/7/3, 35
2019/7/4, 42
2019/7/5, 49
2019/7/6, 31
2019/7/7, 70
2019/7/8, 58
2019/7/9, 59
2019/7/10, 39
2019/7/11, 27
2019/7/12, 47
2019/7/13, 36
2019/7/14, 46
2019/7/15, 41
2019/7/16, 27
2019/7/17, 21
2019/7/18, 24
2019/7/19, 45
2019/7/20, 37
2019/7/21, 31
2019/7/22, 33
2019/7/23, 26
2019/7/24, 51
2019/7/25, 47
2019/7/26, 53
2019/7/27, 46
2019/7/28, 50
2019/7/29, 30
2019/7/30, 29
2019/7/31, 26
2019/8/1, 31
2019/8/2, 41
2019/8/3, 39
2019/8/4, 44
2019/8/5, 41
2019/8/6, 32
2019/8/7, 33
2019/8/8, 23
2019/8/9, 37
2019/8/10, 41
2019/8/11, 40
2019/8/12, 17
2019/8/13, 27
2019/8/14, 26
2019/8/15, 28
2019/8/16, 28
2019/8/17, 24
2019/8/18, 44
2019/8/19, 36
2019/8/20, 30
2019/8/21, 29
2019/8/22, 29
2019/8/23, 28
2019/8/24, 20
2019/8/25, 23
2019/8/26, 18
2019/8/27, 26
2019/8/28, 21
2019/8/29, 18
2019/8/30, 30
2019/8/31, 27
2019/9/1, 38
2019/9/2, 38
2019/9/3, 43
2019/9/4, 32
2019/9/5, 19
2019/9/6, 27
2019/9/7, 24
2019/9/8, 25
2019/9/9, 35
2019/9/10, 52
2019/9/11, 52
2019/9/12, 54
2019/9/13, 28
2019/9/14, 15
2019/9/15, 34
2019/9/16, 54
2019/9/17, 45
2019/9/18, 46
2019/9/19, 51
2019/9/20, 51
2019/9/21, 39
2019/9/22, 29
2019/9/23, 24
2019/9/24, 24
2019/9/25, 36
2019/9/26, 23
2019/9/27, 29
2019/9/28, 27
2019/9/29, 24
2019/9/30, 41
2019/4/1, 31
2019/4/2, 48
2019/4/3, 34
2019/4/4, 41
2019/4/5, 37
2019/4/6, 37
2019/4/7, 33
2019/4/8, 21
2019/4/9, 16
2019/4/10, 23
2019/4/11, 29
2019/4/12, 14
2019/4/13, 20
2019/4/14, 20
2019/4/15, 26
2019/4/16, 32
2019/4/17, 30
2019/4/18, 22
2019/4/19, 17
2019/4/20, 19
2019/4/21, 31
2019/4/22, 34
2019/4/23, 44
2019/4/24, 37
2019/4/25, 61
2019/4/26, 20
2019/4/27, 30
2019/4/28, 16
2019/4/29, 31
2019/4/30, 41
2019/5/1, 16
2019/5/2, 18
2019/5/3, 18
2019/5/4, 22
2019/5/5, 39
2019/5/6, 35
2019/5/7, 38
2019/5/8, 37
2019/5/9, 22
2019/5/10, 20
2019/5/11, 26
2019/5/12, 30
2019/5/13, 25
2019/5/14, 29
2019/5/15, 40
2019/5/16, 42
2019/5/17, 39
2019/5/18, 49
2019/5/19, 20
2019/5/20, 15
2019/5/21, 23
2019/5/22, 26
2019/5/23, 22
2019/5/24, 36
2019/5/25, 22
2019/5/26, 24
2019/5/27, 34
2019/5/28, 44
2019/5/29, 23
2019/5/30, 29
2019/5/31, 21
2019/6/1, 27
2019/6/2, 37
2019/6/3, 35
2019/6/4, 41
2019/6/5, 27
2019/6/6, 35
2019/6/7, 37
2019/6/8, 35
2019/6/9, 40
2019/6/10, 24
2019/6/11, 43
2019/6/12, 27
2019/6/13, 14
2019/6/14, 22
2019/6/15, 43
2019/6/16, 27
2019/6/17, 51
2019/6/18, 45
2019/6/19, 36
2019/6/20, 22
2019/6/21, 26
2019/6/22, 24
2019/6/23, 19
2019/6/24, 16
2019/6/25, 21
2019/6/26, 35
2019/6/27, 29
2019/6/28, 33
2019/6/29, 37
2019/6/30, 40
2019/1/1, 51
2019/1/2, 30
2019/1/3, 38
2019/1/4, 50
2019/1/5, 33
2019/1/6, 50
2019/1/7, 34
2019/1/8, 33
2019/1/9, 23
2019/1/10, 31
2019/1/11, 53
2019/1/12, 53
2019/1/13, 47
2019/1/14, 52
2019/1/15, 27
2019/1/16, 45
2019/1/17, 46
2019/1/18, 65
2019/1/19, 34
2019/1/20, 69
2019/1/21, 72
2019/1/22, 38
2019/1/23, 37
2019/2/4, 46
2019/2/5, 43
2019/2/6, 36
2019/2/7, 22
2019/2/8, 22
2019/2/9, 20
2019/2/10, 42
2019/2/11, 33
2019/2/12, 31
2019/2/13, 33
2019/2/14, 29
2019/2/15, 37
2019/2/16, 32
2019/2/17, 39
2019/2/18, 35
2019/2/19, 38
2019/2/20, 31
2019/2/21, 57
2019/2/22, 61
2019/2/23, 52
2019/2/24, 39
2019/2/25, 25
2019/2/26, 35
2019/2/27, 48
2019/2/28, 61
2019/3/1, 56
2019/3/2, 62
2019/3/3, 39
2019/3/4, 32
2019/3/5, 28
2019/3/6, 23
2019/3/7, 45
2019/3/8, 60
2019/3/9, 42
2019/3/10, 34
2019/3/11, 28
2019/3/12, 32
2019/3/13, 30
2019/3/14, 27
2019/3/15, 12
2019/3/16, 32
2019/3/17, 25
2019/3/18, 39
2019/3/19, 45
2019/3/20, 52
2019/3/21, 34
2019/3/22, 28
2019/3/23, 33
2019/3/24, 54
2019/3/25, 30
2019/3/26, 20
2019/3/27, 37
2019/3/28, 63
2019/3/29, 64
2019/3/30, 21
2019/3/31, 15
2018/10/1, 32
2018/10/2, 37
2018/10/3, 31
2018/10/4, 27
2018/10/5, 39
2018/10/6, 42
2018/10/7, 37
2018/10/8, 35
2018/10/9, 36
2018/10/10, 22
2018/10/11, 22
2018/10/12, 18
2018/10/13, 26
2018/10/14, 45
2018/10/15, 24
