date, pm10, o3, no2
2020/1/2, 11, 25, 2
2020/1/3, 8, 33, 1
2020/1/4, 7, 25, 3
2020/1/5, 9, 21, 3
2020/1/6, 5, 20, 3
2020/1/7, 4, 29, 3
2020/1/8, 10, 29, 9
2020/1/9, 15, 16, 13
2020/1/10, 16, 23, 5
2020/1/11, 11, 29, 1
2020/1/12, 3, 23, 6
2020/1/13, 9, 23, 3
2020/1/14, 8, 23, 3
2020/1/15, 4, , 
2019/10/1, 6, 19, 5
2019/10/2, 4, 16, 4
2019/10/3, 4, 21, 5
2019/10/4, 5, 25, 3
2019/10/5, 5, 26, 4
2019/10/6, 5, 21, 9
2019/10/7, 9, 19, 16
2019/10/8, 12, 21, 10
2019/10/9, 9, 15, 7
2019/10/10, 8, 23, 5
2019/10/11, 7, 34, 2
2019/10/12, 8, 17, 4
2019/10/13, 4, 14, 4
2019/10/16, 7, 6, 6
2019/10/17, 5, 16, 6
2019/10/18, 8, 21, 2
2019/10/19, 7, 16, 5
2019/10/20, 8, 17, 5
2019/10/21, 6, 25, 3
2019/10/22, 8, 27, 6
2019/10/23, 12, 21, 6
2019/10/24, 12, 24, 4
2019/10/25, 16, 26, 4
2019/10/26, 6, 23, 3
2019/10/27, 3, 18, 6
2019/10/28, 5, 22, 5
2019/10/29, 7, 21, 13
2019/10/30, 11, 20, 5
2019/10/31, 11, 12, 12
2019/11/1, 12, 20, 6
2019/11/2, 13, 22, 2
2019/11/3, 10, 27, 4
2019/11/4, 6, 25, 3
2019/11/5, 7, 24, 6
2019/11/6, 10, 19, 7
2019/11/7, 11, 11, 7
2019/11/8, 8, 7, 3
2019/11/9, 7, 15, 2
2019/11/10, 3, 16, 7
2019/11/11, 5, 21, 4
2019/11/12, 8, 15, 12
2019/11/13, 8, 11, 8
2019/11/14, 6, 14, 7
2019/11/15, 8, 19, 2
2019/11/16, 10, 16, 1
2019/11/17, 11, 14, 5
2019/11/18, 12, 15, 3
2019/11/19, 13, 11, 3
2019/11/20, 7, , 
2019/11/22, 11, , 
2019/11/24, 15, 14, 5
2019/11/25, 17, 12, 6
2019/11/26, 14, 8, 6
2019/11/27, 10, 7, 6
2019/11/28, 5, 18, 6
2019/11/29, 2, 28, 3
2019/11/30, 4, 25, 3
2019/12/1, 5, 23, 7
2019/12/2, 4, 25, 10
2019/12/3, 6, 17, 6
2019/12/4, 4, 23, 4
2019/12/5, 11, 22, 5
2019/12/6, 5, 22, 3
2019/12/7, 1, 23, 2
2019/12/8, 3, 28, 4
2019/12/9, 8, 21, 12
2019/12/10, 7, 28, 6
2019/12/11, 8, 16, 4
2019/12/12, 8, 15, 6
2019/12/13, 10, 15, 2
2019/12/14, 4, 21, 3
2019/12/15, 3, 24, 6
2019/12/16, 6, 21, 9
2019/12/17, 11, 23, 6
2019/12/18, 4, 19, 12
2019/12/19, 8, 18, 4
2019/12/20, 11, 11, 3
2019/12/21, 21, 12, 4
2019/12/22, 5, 16, 14
2019/12/23, 17, 12, 13
2019/12/24, 15, 11, 5
2019/12/25, 5, 14, 2
2019/12/26, 4, 24, 3
2019/12/27, 7, 20, 6
2019/12/28, 7, , 
2019/7/1, 11, 23, 4
2019/7/2, 7, 23, 3
2019/7/3, 6, 25, 3
2019/7/4, 5, 19, 3
2019/7/5, 5, 23, 1
2019/7/6, 5, 21, 1
2019/7/7, 6, 18, 3
2019/7/8, 6, 16, 2
2019/7/9, 6, 24, 2
2019/7/10, 5, 24, 2
2019/7/11, 9, 23, 5
2019/7/12, 10, 29, 4
2019/7/13, 10, 31, 4
2019/7/14, 6, 24, 4
2019/7/15, 8, 19, 3
2019/7/16, 4, 26, 4
2019/7/17, 6, 31, 6
2019/7/18, 9, 31, 6
2019/7/19, 10, 32, 1
2019/7/20, 9, 33, 2
2019/7/21, 12, 28, 3
2019/7/22, 9, 28, 2
2019/7/23, 5, 32, 3
2019/7/24, 6, 29, 4
2019/7/25, 7, 31, 5
2019/7/26, 10, 48, 6
2019/7/27, 14, 38, 6
2019/7/28, 14, 24, 2
2019/7/29, 12, 27, 1
2019/7/30, 5, 21, 1
2019/7/31, 4, 25, 1
2019/8/1, 5, 27, 3
2019/8/2, 8, 26, 1
2019/8/3, 7, 23, 3
2019/8/4, 5, 27, 2
2019/8/5, 9, 26, 7
2019/8/6, 9, 29, 3
2019/8/7, 9, 23, 6
2019/8/8, 10, 26, 8
2019/8/9, 10, 22, 2
2019/8/10, 7, , 1
2019/8/11, 7, , 2
2019/8/12, 10, , 3
2019/8/13, 10, , 3
2019/8/14, 8, 29, 2
2019/8/15, 6, 35, 2
2019/8/16, 12, 33, 1
2019/8/17, 10, 34, 1
2019/8/18, 10, 29, 3
2019/8/19, 6, 23, 3
2019/8/20, 9, 24, 6
2019/8/21, 10, 28, 3
2019/8/22, 10, 31, 4
2019/8/23, 11, 21, 2
2019/8/24, 10, 27, 4
2019/8/25, 10, 46, 6
