date, pm25, pm10, o3, no2, so2, co
2020/1/2, 9, 5, 16, 1, , 
2020/1/3, 8, 7, 16, 1, , 
2020/1/4, 9, 5, 15, 2, , 
2020/1/5, 15, 3, 11, 4, , 
2020/1/6, 13, 3, 14, 1, , 
2020/1/7, 5, 7, 13, 4, , 
2020/1/8, 10, 8, 6, 9, , 
2020/1/9, 28, 3, 9, 4, , 
2020/1/10, 11, 6, 16, 3, , 
2020/1/11, 16, 4, 13, 2, , 
2020/1/12, 12, 4, 14, 2, , 
2020/1/13, 10, 5, 14, 2, , 
2020/1/14, 14, 9, 12, 2, , 
2020/1/15, 15, , , , , 
2019/10/1, 28, 12, 8, 5, , 
2019/10/2, 33, 6, 9, 3, , 
2019/10/3, 25, 7, 7, 4, , 
2019/10/4, 24, 10, 10, 3, , 
2019/10/5, 20, 16, 6, 4, , 
2019/10/6, 28, 5, 10, 4, , 
2019/10/7, 19, 5, 11, 2, , 
2019/10/8, 6, 10, 12, 3, , 
2019/10/9, 11, 11, 7, 7, , 
2019/10/10, 39, 14, 7, 6, , 
2019/10/11, 39, 16, 6, 6, , 
2019/10/12, 39, 12, 9, 4, , 
2019/10/13, 40, 19, 10, 4, , 
2019/10/14, 37, 10, 8, 5, , 
2019/10/15, 26, 6, 11, 4, , 
2019/10/16, 23, 7, 12, 2, , 
2019/10/17, 20, 8, 11, 2, , 
2019/10/18, 12, 8, 8, 4, , 
2019/10/19, 15, 9, 6, 2, , 
2019/10/20, 27, 4, 10, 3, , 
2019/10/21, 13, 7, 11, 3, , 
2019/10/22, 16, 11, 6, 6, , 
2019/10/23, 15, 15, 4, 5, , 
2019/10/24, 32, 5, 11, 2, , 
2019/10/25, 22, 35, 8, 3, , 
2019/10/26, 29, 23, 9, 5, , 
2019/10/27, 20, 12, 9, 6, , 
2019/10/28, 30, 10, 15, 5, , 
2019/10/29, 29, 19, 5, 10, , 
2019/10/30, 43, 24, 7, 8, , 
2019/10/31, 65, 20, 3, 9, , 
2019/11/1, 58, 18, 4, 7, , 
2019/11/2, 56, 17, 4, 6, , 
2019/11/3, 66, 17, 3, 7, , 
2019/11/4, 63, 18, , 8, , 
2019/11/5, 52, 15, 1, 8, , 
2019/11/6, 34, , , , , 
2019/11/8, 50, 9, 5, 3, , 
2019/11/9, 34, 7, 3, 4, , 
2019/11/10, 27, 10, 5, 6, , 
2019/11/11, 12, 7, 3, 6, , 
2019/11/12, 30, 10, 1, 6, , 
2019/11/13, 32, 6, , 5, , 
2019/11/14, 12, 9, 9, 4, , 
2019/11/16, 20, 6, 12, 1, , 
2019/11/17, 20, 6, 8, 5, , 
2019/11/18, 11, 7, 5, 6, , 
2019/11/19, 15, 9, 3, 9, , 
2019/11/20, 13, 13, 2, 8, , 
2019/11/21, 36, 14, 2, 7, , 
2019/11/22, 46, 9, 9, 4, , 
2019/11/23, 33, 9, 14, 5, , 
2019/11/24, 28, 7, 10, 7, , 
2019/11/25, 28, 5, 14, 3, , 
2019/11/26, 15, 6, 15, , , 
2019/11/27, 11, 8, 12, 3, , 
2019/11/28, 18, 12, 8, 8, , 
2019/11/29, 30, 11, 4, 9, , 
2019/11/30, 44, 12, 4, 8, , 
2019/12/1, 47, 5, 4, 7, , 
2019/12/2, 28, 6, 1, 8, , 
2019/12/3, 40, 8, 7, 6, , 
2019/12/4, 34, 6, 1, 7, , 
2019/12/5, 13, 6, 1, 5, , 
2019/12/6, 31, 6, 6, 5, , 
2019/12/7, 29, 7, 2, 5, , 
2019/12/8, 21, 6, 1, 4, , 
2019/12/9, 17, 6, , 5, , 
2019/12/10, 18, 4, 7, 4, , 
2019/12/11, 16, 7, 12, 5, , 
2019/12/12, 24, 4, 11, 4, , 
2019/12/13, 11, 6, 8, 5, , 
2019/12/14, 31, 7, 5, 6, , 
2019/12/15, 24, 5, 6, 4, , 
2019/12/16, 13, 4, 6, 7, , 
2019/12/17, 21, 5, 11, 4, , 
2019/12/18, 17, 4, 11, 4, , 
2019/12/19, 15, 4, 11, 5, , 
2019/12/20, 19, 4, 10, 4, , 
2019/12/21, 13, 4, 9, 4, , 
2019/12/22, 18, 5, 5, 5, , 
2019/12/23, 20, 5, 6, 3, , 
2019/12/24, 18, 6, 7, 4, , 
2019/12/25, 23, 4, 8, 3, , 
2019/12/26, 17, 6, 6, 5, , 
2019/12/27, 22, 5, 3, 3, , 
2019/12/28, 25, , , , , 
2019/7/1, 21, 4, 10, 1, , 
2019/7/2, 16, 5, 10, 1, , 
2019/7/3, 17, 6, 11, 1, , 
2019/7/4, 19, 9, 8, 3, , 
2019/7/5, 38, 5, 11, 1, , 
2019/7/6, 10, 7, 9, 2, , 
2019/7/7, 19, 8, 14, 2, , 
2019/7/8, 22, 9, 16, 2, , 
2019/7/9, 16, 7, 8, 2, , 
2019/7/10, 20, 5, 10, 2, , 
2019/7/11, 10, 7, 12, 2, , 
2019/7/12, 16, 9, 10, 2, , 
2019/7/13, 21, 7, 13, 1, , 
2019/7/14, 12, 10, 13, 2, , 
2019/7/15, 17, 7, 11, 2, , 
2019/7/16, 13, 5, 7, 1, , 
2019/7/17, 12, 7, 12, 1, , 
2019/7/18, 9, 7, 11, 2, , 
2019/7/19, 7, 10, 12, 2, , 
2019/7/20, 17, 12, 19, 3, , 
2019/7/21, 28, 11, 15, 2, , 
2019/7/22, 20, 7, 11, 1, , 
2019/7/23, 18, 15, 13, 1, , 
2019/7/24, 10, 9, 15, 2, , 
2019/7/25, 14, 10, 14, 3, , 
2019/7/26, 24, 6, 13, 1, , 
2019/7/27, 7, 8, 13, 2, , 
2019/7/28, 12, 9, 13, 2, , 
2019/7/29, 23, 11, 14, 1, , 
2019/7/30, 12, 10, 13, 4, , 
2019/7/31, 49, 10, 13, 3, , 
2019/8/1, 33, 8, 15, 1, , 
2019/8/2, 19, 14, 15, 3, , 
2019/8/3, 31, 13, 16, 4, , 
2019/8/4, 32, 16, 21, 3, , 
2019/8/5, 31, 14, 19, 3, , 
2019/8/6, 34, 10, 16, 2, , 
2019/8/7, 22, 8, 14, 1, , 
2019/8/8, 20, 6, 14, 1, , 
2019/8/9, 10, 8, 11, 2, , 
2019/8/10, 15, 7, 8, 2, , 
2019/8/11, 22, 7, 12, 3, , 
2019/8/12, 14, 9, 13, 4, , 
2019/8/13, 11, 11, 14, 4, , 
2019/8/14, 47, 8, 13, 2, , 
2019/8/15, 28, 11, 13, 2, , 
2019/8/16, 22, 12, 12, 2, , 
2019/8/17, 28, 6, 12, 1, , 
2019/8/18, 15, 8, 15, 2, , 
2019/8/19, 10, 11, 13, 3, , 
2019/8/20, 20, 6, 7, 2, , 
2019/8/22, 14, 10, 11, 4, , 
2019/8/23, 23, 9, 12, 3, , 
2019/8/24, 20, 9, 14, 2, , 
2019/8/25, 22, 10, 13, 4, , 
2019/8/26, 22, 12, 9, 6, , 
2019/8/27, 28, 14, 16, 5, , 
2019/8/28, 34, 12, 17, 3, , 
2019/8/29, 28, 10, 11, 3, , 
2019/8/30, 30, 11, 15, 3, , 
2019/8/31, 31, 8, 13, 2, , 
2019/9/1, 19, 11, 12, 3, , 
2019/9/2, 23, 8, 12, 3, , 
2019/9/3, 14, 9, 12, 3, , 
2019/9/4, 16, 13, 10, 6, , 
2019/9/5, 32, 9, 16, 3, , 
2019/9/6, 18, 8, 10, 2, , 
2019/9/7, 16, 3, 7, 2, , 
2019/9/8, 8, 4, 8, 3, , 
2019/9/9, 17, 5, 13, 3, , 
2019/9/10, 13, 7, 10, 3, , 
2019/9/11, 11, 6, 8, 3, , 
2019/9/12, 16, 5, 9, 2, , 
2019/9/13, 19, 4, 11, 1, , 
2019/9/14, 10, 3, 13, 1, , 
2019/9/15, 9, 5, 7, 3, , 
2019/9/16, 10, 3, 6, 3, , 
2019/9/17, 5, 5, 8, 4, , 
2019/9/18, 7, 8, 5, 4, , 
2019/9/19, 19, 9, 7, 4, , 
2019/9/20, 24, 11, 9, 2, , 
2019/9/21, 18, 6, 5, 2, , 
2019/9/22, 22, 7, 12, 2, , 
2019/9/23, 11, 9, 12, 3, , 
2019/9/24, 12, 12, 11, 3, , 
2019/9/25, 15, 7, 9, 2, , 
2019/9/26, 12, 9, 12, 2, , 
2019/9/27, 8, 6, 11, 2, , 
2019/9/28, 11, 5, 12, 1, , 
2019/9/29, 7, 10, 11, 4, , 
2019/9/30, 16, 15, 9, 4, , 
2019/4/1, 22, 11, 19, 5, , 
2019/4/2, 27, 8, 15, 3, , 
2019/4/3, 28, 8, 17, 3, , 
2019/4/4, 15, 6, 15, 2, , 
2019/4/5, 25, 7, 18, 1, , 
2019/4/6, 10, 7, 19, 1, , 
2019/4/7, 13, 6, 12, 5, , 
2019/4/8, 22, 8, 15, 3, , 
2019/4/9, 27, 6, 15, 3, , 
2019/4/10, 14, 5, 16, 3, , 
2019/4/11, 19, 6, 16, 3, , 
2019/4/12, 17, 4, 17, 1, , 
2019/4/13, 16, 6, 18, 1, , 
2019/4/14, 11, 6, 18, 2, , 
2019/4/15, 17, 12, 15, 3, , 
2019/4/16, 22, 8, 13, 3, , 
2019/4/17, 22, 4, 10, 5, , 
2019/4/18, 21, 9, 15, 3, , 
2019/4/19, 15, 10, 14, 3, , 
2019/4/20, 10, 14, 16, 1, , 
2019/4/21, 24, 10, 13, 3, , 
2019/4/22, 28, 5, 17, 2, , 
2019/4/23, 15, 13, 19, 4, , 
2019/4/24, 16, 13, 14, 5, , 
2019/4/25, 26, 13, 18, 3, , 
2019/4/26, 35, 12, 17, 1, , 
2019/4/27, 19, 10, 16, 2, , 
2019/4/28, 26, 11, 17, 4, , 
