date, pm25, pm10, o3, no2, so2, co
2020/1/2, 107, 43, , 60, 9, 102
2020/1/3, 94, 29, , 62, 8, 96
2020/1/4, 74, 28, , 57, 8, 92
2020/1/5, 82, 42, , 70, 8, 106
2020/1/6, 97, 55, , 68, 9, 103
2020/1/7, 114, 51, , 59, 10, 
2020/1/8, 111, 44, , 59, 9, 97
2020/1/9, 111, 41, , 57, 7, 108
2020/1/10, 109, 33, , 57, 5, 102
2020/1/11, 79, 47, , 62, 15, 
2020/1/12, 92, 49, , 60, 19, 99
2020/1/13, 107, 28, , 54, 7, 87
2020/1/14, 60, 44, , 64, 29, 98
2020/1/15, 74, , , , , 
2019/10/1, 61, 57, , 78, 15, 97
2019/10/2, 64, 53, , 71, 10, 89
2019/10/3, 57, 54, , 76, 10, 92
2019/10/4, 60, 47, , 63, 10, 80
2019/10/5, 64, 64, , 75, 13, 93
2019/10/6, 80, 71, , 55, 14, 79
2019/10/7, 76, 70, , 58, 13, 80
2019/10/8, 75, 64, , 58, 13, 92
2019/10/9, 72, 61, , 64, 24, 91
2019/10/10, 71, 58, , 79, 16, 97
2019/10/11, 71, 61, , 70, 16, 94
2019/10/12, 73, 36, , 57, 9, 82
2019/10/13, 51, 24, , 53, 7, 69
2019/10/14, 45, 49, , 83, 16, 97
2019/10/15, 68, 54, , 82, 17, 96
2019/10/16, 74, 56, , 83, 14, 95
2019/10/17, 70, 62, , 87, 15, 102
2019/10/18, 75, 60, , 66, 19, 95
2019/10/19, 77, 50, , 54, 18, 83
2019/10/20, 79, 24, , 41, 7, 75
2019/10/21, 57, 19, , 35, 3, 71
2019/10/22, 54, 19, , 33, 4, 75
2019/10/23, 49, 27, , 45, 7, 78
2019/10/24, 53, 33, , 55, 8, 
2019/10/25, 72, 27, , 44, , 85
2019/10/26, 64, 24, , 47, 6, 86
2019/10/27, 59, 22, , 43, 5, 73
2019/10/28, 54, 38, , 57, 11, 94
2019/10/29, 73, 41, , 55, 14, 86
2019/10/30, 78, 42, , 61, 12, 97
2019/10/31, 76, 50, , 62, 11, 102
2019/11/1, 84, 56, , 58, 13, 97
2019/11/2, 81, 34, , 52, 11, 84
2019/11/3, 54, 39, , 63, 11, 95
2019/11/4, 69, 52, , 69, 24, 99
2019/11/5, 96, 61, , 73, 19, 103
2019/11/6, 121, 57, , 72, 12, 100
2019/11/7, 108, 53, , 76, 11, 109
2019/11/8, 87, 48, , 73, 10, 97
2019/11/9, 70, 54, , 82, 13, 107
2019/11/10, 71, 62, , 92, 18, 112
2019/11/11, 89, 65, , 87, 23, 98
