date, pm25, pm10, o3, no2, so2, co
2020/1/2, 67, 43, 48, 15, 4, 5
2020/1/3, 75, 56, 51, 15, 3, 5
2020/1/4, 107, 52, 47, 13, 2, 5
2020/1/5, 106, 57, 44, 16, 4, 6
2020/1/6, 113, 58, 43, 24, 4, 8
2020/1/7, 119, 59, 55, 19, 4, 7
2020/1/8, 100, 58, 50, 21, 4, 8
2020/1/9, 93, 55, 59, 18, 5, 6
2020/1/10, 91, 55, 55, 17, 3, 6
2020/1/11, 111, 41, 34, 11, 3, 4
2020/1/12, 68, 42, 40, 13, 3, 5
2020/1/13, 76, 48, 43, 16, 3, 5
2020/1/14, 81, 49, 45, 15, 3, 6
2020/1/15, 86, 54, 11, 19, 4, 6
2020/1/16, 95, , , , , 
2019/10/1, 37, 50, 88, 7, 3, 4
2019/10/2, 103, 48, 55, 9, 3, 5
2019/10/3, 110, 37, 45, 9, 4, 4
2019/10/4, 87, 45, 52, 8, 4, 4
2019/10/5, 104, 42, 50, 8, 3, 3
2019/10/6, 85, 47, 43, 9, 3, 4
2019/10/7, 87, 48, 53, 9, 3, 4
2019/10/8, 88, 43, 57, 7, 4, 3
2019/10/9, 81, 46, 70, 10, 4, 4
2019/10/10, 81, 44, 77, 10, 5, 5
2019/10/11, 84, 37, 57, 6, 5, 3
2019/10/12, 78, 53, 70, 8, 5, 4
2019/10/13, 88, 56, 48, 11, 4, 4
2019/10/14, 80, 67, 58, 14, 5, 4
2019/10/15, 78, 55, 78, 14, 5, 4
2019/10/16, 82, 53, 68, 12, 4, 3
2019/10/17, 72, 53, 68, 12, 3, 3
2019/10/18, 73, 60, 62, 12, 4, 4
2019/10/19, 92, 58, 59, 11, 4, 3
2019/10/20, 80, 52, 60, 14, 5, 4
2019/10/21, 77, 49, 55, 16, 5, 5
2019/10/22, 83, 53, 55, 17, 5, 5
2019/10/23, 83, 58, 66, 14, 4, 5
2019/10/24, 91, 55, 70, 14, 4, 5
2019/10/25, 91, 54, 77, 14, 5, 4
2019/10/26, 94, 50, 72, 11, 4, 4
2019/10/27, 86, 39, 41, 10, 3, 4
2019/10/28, 62, 41, 46, 11, 3, 4
2019/10/29, 59, 85, 77, 11, 4, 5
2019/10/30, 113, 68, 73, 12, 4, 5
2019/10/31, 109, 59, 60, 10, 3, 4
2019/11/1, 88, 46, 59, 10, 5, 3
2019/11/2, 66, 58, 51, 9, 3, 3
2019/11/3, 87, 65, 43, 10, 3, 3
2019/11/4, 86, 51, 55, 11, 4, 3
2019/11/5, 73, 52, 67, 13, 4, 4
2019/11/6, 82, 50, 52, 14, 3, 4
2019/11/7, 73, 52, 54, 10, 2, 3
2019/11/8, 69, 52, 53, 13, 3, 4
2019/11/9, 77, 44, 68, 15, 4, 4
2019/11/10, 74, 50, 60, 17, 5, 5
2019/11/11, 82, 55, 77, 19, 6, 6
2019/11/12, 107, 57, 84, 15, 4, 5
2019/11/13, 110, 64, 63, 15, 4, 5
2019/11/14, 105, 59, 58, 19, 4, 5
2019/11/15, 96, 51, 53, 16, 4, 4
2019/11/16, 87, 49, 50, 13, 3, 4
2019/11/17, 85, 65, 53, 15, 4, 5
2019/11/18, 120, 55, 28, 12, 2, 4
2019/11/19, 62, 46, 44, 13, 4, 4
