date, pm25, pm10, o3, no2, so2, co
2020/1/2, 193, 143, 4, 44, 29, 26
2020/1/3, 217, 89, 9, 35, 18, 17
2020/1/4, 172, 85, 20, 28, 13, 14
2020/1/5, 174, 95, 18, 25, 12, 17
2020/1/6, 198, 64, 45, 21, 18, 12
2020/1/7, 168, 73, 17, 22, 11, 11
2020/1/8, 170, 125, 9, 27, 13, 16
2020/1/9, 233, 114, 25, 29, 16, 18
2020/1/10, 222, 133, 12, 32, 28, 16
2020/1/11, 231, 166, 14, 40, 22, 19
2020/1/12, 280, 81, 22, 27, 15, 13
2020/1/13, 179, 61, 17, 28, 12, 10
2020/1/14, 141, 106, 12, 37, 16, 16
2020/1/15, 190, 101, 3, 38, 20, 16
2020/1/16, 191, , , , , 
2019/10/1, 126, 56, 75, 19, 5, 7
2019/10/2, 117, 68, 71, 22, 8, 9
2019/10/3, 132, 38, 21, 18, 7, 9
2019/10/4, 81, 28, 16, 15, 5, 6
2019/10/5, 52, 47, 6, 20, 6, 6
2019/10/6, 82, 55, 37, 22, 6, 9
2019/10/7, 136, 58, 35, 25, 7, 8
2019/10/8, 107, 91, 23, 31, 8, 10
2019/10/9, 131, 113, 43, 37, 10, 16
2019/10/10, 186, 85, 36, 33, 9, 11
2019/10/11, 154, 97, 27, 28, 7, 13
2019/10/12, 162, 44, 30, 22, 4, 9
2019/10/13, 100, 42, 11, 19, 5, 8
2019/10/14, 85, 41, 12, 24, 7, 8
2019/10/15, 88, 40, 5, 22, 4, 8
2019/10/16, 88, 76, 28, 26, 4, 11
2019/10/17, 150, 73, 20, 22, 7, 10
2019/10/18, 147, 80, 36, 24, 7, 8
2019/10/19, 152, 80, 23, 27, 7, 7
2019/10/20, 128, 91, 34, 27, 9, 9
2019/10/21, 138, 101, 33, 29, 9, 11
2019/10/22, 161, 106, 39, 27, 8, 11
2019/10/23, 162, 51, 26, 17, 9, 5
2019/10/24, 92, 60, 17, 23, 7, 6
2019/10/25, 98, 71, 22, 28, 10, 7
2019/10/26, 118, 94, 27, 35, 12, 9
2019/10/27, 145, 249, 32, 13, 3, 4
2019/10/28, 190, 140, 20, 35, 12, 10
2019/10/29, 163, 100, 28, 34, 10, 9
2019/10/30, 136, 96, 16, 37, 17, 14
2019/10/31, 134, 91, 5, 36, 14, 10
2019/11/1, 149, 97, 13, 35, 14, 10
2019/11/2, 159, 67, 20, 23, 8, 9
2019/11/3, 146, 75, 19, 26, 7, 12
2019/11/4, 160, 64, 31, 29, 9, 13
2019/11/5, 140, 74, 19, 34, 8, 14
2019/11/6, 147, 78, 14, 27, 5, 10
2019/11/7, 152, 111, 19, 32, 11, 11
2019/11/8, 190, 107, 20, 30, 17, 12
2019/11/9, 187, 65, 31, 11, 3, 3
2019/11/10, 98, 92, 18, 33, 12, 8
2019/11/11, 131, 91, 28, 28, 16, 9
2019/11/12, 123, 71, 31, 9, 3, 3
2019/11/13, 74, 89, 23, 27, 18, 7
2019/11/14, 123, 88, 15, 33, 15, 9
2019/11/15, 131, 89, 14, 34, 15, 10
2019/11/16, 146, 107, 29, 18, 7, 6
2019/11/17, 143, 111, 26, 14, 7, 4
2019/11/18, 130, 112, 16, 32, 17, 9
2019/11/19, 151, 122, 4, 38, 26, 14
2019/11/20, 178, 93, 22, 28, 27, 11
2019/11/21, 166, 100, 19, 32, 9, 11
2019/11/22, 173, 125, 11, 41, 17, 15
2019/11/23, 193, 41, 25, 11, 5, 3
2019/11/24, 71, 66, 13, 24, 11, 7
2019/11/25, 94, 103, 5, 34, 23, 18
2019/11/26, 158, 77, 11, 28, 13, 9
2019/11/27, 131, 96, 4, 30, 20, 14
2019/11/28, 155, 97, 6, 29, 16, 12
2019/11/29, 172, 110, 13, 26, 16, 12
2019/11/30, 218, 33, 32, 13, 7, 3
2019/12/1, 70, 30, 29, 8, 5, 3
2019/12/2, 53, 77, 24, 27, 23, 10
2019/12/3, 129, 74, 23, 28, 23, 10
2019/12/4, 128, 64, 14, 29, 13, 10
2019/12/5, 113, 102, 6, 32, 17, 16
2019/12/6, 178, 109, 9, 38, 20, 16
2019/12/7, 185, 108, 19, 37, 20, 14
2019/12/8, 178, 92, 21, 31, 21, 13
2019/12/9, 154, 71, 26, 19, 6, 6
2019/12/10, 100, 62, 14, 25, 14, 10
2019/12/11, 93, 87, 7, 32, 28, 13
2019/12/12, 135, 102, 10, 33, 25, 16
2019/12/13, 172, 65, 9, 25, 12, 9
2019/12/14, 129, 75, 6, 25, 10, 11
2019/12/15, 163, 81, 19, 21, 12, 12
2019/12/16, 177, 42, 21, 19, 9, 8
2019/12/17, 112, 61, 18, 23, 12, 6
2019/12/18, 120, 53, 25, 22, 9, 7
2019/12/19, 115, 87, 7, 31, 19, 11
2019/12/20, 141, 121, 8, 37, 19, 15
2019/12/21, 201, 113, 12, 35, 18, 15
2019/12/22, 204, 73, 16, 30, 14, 10
2019/12/23, 147, 121, 2, 32, 19, 18
2019/12/24, 205, 96, 22, 23, 16, 15
2019/12/25, 172, 44, 26, 7, 3, 4
2019/12/26, 66, 66, 17, 27, 11, 8
2019/12/27, 111, 98, 8, 34, 29, 13
2019/12/28, 151, 112, 1, 40, 18, 16
2019/12/29, 175, , , , , 
2019/7/1, 80, 61, 117, 18, 9, 10
2019/7/2, 89, 52, 107, 17, 8, 13
2019/7/3, 85, 75, 114, 23, 7, 10
2019/7/4, 124, 63, 86, 22, 9, 9
2019/7/5, 90, 34, 50, 9, 7, 8
2019/7/6, 49, 48, 60, 17, 7, 7
2019/7/7, 69, 53, 73, 13, 5, 7
2019/7/8, 85, 36, 62, 12, 5, 7
2019/7/9, 76, 41, 66, 15, 4, 8
2019/7/10, 80, 43, 76, 19, 6, 10
2019/7/11, 102, 41, 85, 22, 6, 9
2019/7/12, 97, 52, 91, 27, 5, 7
2019/7/13, 83, 51, 105, 22, 9, 10
2019/7/14, 79, 68, 112, 18, 5, 10
2019/7/15, 130, 53, 66, 18, 6, 14
2019/7/16, 104, 54, 103, 13, 4, 9
2019/7/17, 125, 65, 101, 17, 7, 10
2019/7/18, 125, 80, 114, 16, 4, 11
2019/7/19, 155, 60, 69, 21, 3, 9
2019/7/20, 125, 43, 92, 20, 6, 8
2019/7/21, 80, 57, 43, 24, 2, 10
2019/7/22, 113, 43, 110, 18, 3, 9
2019/7/23, 92, 58, 86, 23, 6, 7
2019/7/24, 90, 67, 129, 23, 5, 7
2019/7/25, 101, 71, 116, 27, 6, 10
2019/7/26, 120, 68, 92, 14, 4, 9
2019/7/27, 128, 57, 102, 15, 3, 11
2019/7/28, 115, 30, 70, 15, 3, 11
2019/7/29, 70, 56, 84, 21, 5, 10
2019/7/30, 139, 60, 82, 26, 7, 9
2019/7/31, 103, 57, 90, 21, 5, 10
2019/8/1, 96, 44, 78, 15, 4, 8
2019/8/2, 82, 46, 53, 10, 4, 8
2019/8/3, 89, 25, 41, 11, 1, 7
2019/8/4, 65, 46, 87, 13, 4, 9
2019/8/5, 108, 37, 85, 15, 5, 7
2019/8/6, 77, 41, 86, 16, 7, 8
2019/8/7, 80, 61, 106, 13, 3, 9
2019/8/8, 133, 57, 61, 17, 8, 10
2019/8/9, 125, 31, 80, 13, 3, 7
2019/8/10, 65, 38, 57, 11, 4, 7
2019/8/11, 74, 33, 53, 13, 4, 6
2019/8/12, 48, 39, 56, 14, 4, 5
2019/8/13, 52, 43, 51, 16, 4, 5
2019/8/14, 60, 57, 94, 20, 7, 6
2019/8/15, 86, 41, 45, 12, 6, 6
2019/8/16, 56, 39, 47, 15, 5, 5
2019/8/17, 55, 46, 71, 19, 7, 8
2019/8/18, 70, 66, 110, 17, 5, 9
2019/8/19, 108, 72, 60, 16, 2, 10
