date, pm25, pm10, o3, no2, so2
2020/1/2, 26, 12, 23, 2, 
2020/1/3, 41, 7, 29, 2, 1
2020/1/4, 23, 9, 26, 2, 
2020/1/5, 21, 10, 24, 5, 1
2020/1/6, 31, 7, 20, 4, 1
2020/1/7, 19, 7, 24, 2, 1
2020/1/8, 41, 15, 29, 3, 1
2020/1/9, 35, 15, 24, 7, 1
2020/1/10, 24, 12, 19, 4, 1
2020/1/11, 41, 8, 27, 2, 1
2020/1/12, 30, 8, 27, 3, 1
2020/1/13, 25, 8, 25, 3, 
2020/1/14, 18, 9, 21, 3, 
2020/1/15, 32, , , , 
2019/10/1, 7, 6, 30, 1, 
2019/10/2, 12, 7, 21, 3, 
2019/10/4, 3, 4, 28, 3, 
2019/10/5, 16, 6, 24, 3, 
2019/10/6, 13, 10, 26, 7, 
2019/10/7, 33, 10, 23, 5, 1
2019/10/8, 24, 9, 27, 4, 1
2019/10/9, 30, 13, 18, 8, 1
2019/10/10, 35, 8, 27, 3, 1
2019/10/11, 22, 3, 35, 1, 
2019/10/12, 8, 6, 31, 1, 
2019/10/13, 9, 5, 29, 3, 
2019/10/14, 9, 6, 22, 3, 
2019/10/15, 7, 8, 16, 4, 
2019/10/16, 12, 16, 17, 6, 1
2019/10/17, 47, 7, 10, 4, 
2019/10/18, 15, 14, 20, 4, 
2019/10/19, 41, 10, 17, 4, 
2019/10/20, 23, 8, 21, 3, 
2019/10/21, 26, 9, 23, 3, 
2019/10/22, 19, 8, 24, 2, 
2019/10/23, 12, 11, 24, 4, 
2019/10/24, 22, 18, 21, 3, 
2019/10/25, 40, 8, 24, 1, 
2019/10/26, 22, 2, 26, 1, 
2019/10/27, 12, 10, 22, 5, 
2019/10/28, 13, 5, 20, 4, 
2019/10/29, 15, 11, 16, 9, 
2019/10/30, 35, 12, 17, 5, 1
2019/10/31, 33, 11, 22, 9, 1
2019/11/1, 31, 16, 22, 4, 2
2019/11/2, 43, 12, 18, 5, 1
2019/11/3, 46, 4, 28, 1, 1
2019/11/4, 13, 6, 24, 4, 
2019/11/5, 9, 4, 23, 3, 
2019/11/6, 9, 4, 18, 6, 1
2019/11/7, 10, 8, 9, 5, 1
2019/11/8, 24, 8, 15, 3, 
2019/11/9, 26, 10, 16, 3, 1
2019/11/10, 38, 4, 16, 3, 1
2019/11/11, 11, 23, 18, 4, 1
2019/11/12, 13, 12, 18, 3, 
2019/11/13, 31, 24, 21, 3, 1
2019/11/14, 57, 13, 22, 5, 
2019/11/15, 16, 21, 13, 2, 
2019/11/16, 36, 25, 12, 6, 1
2019/11/17, 55, 13, 16, 4, 1
2019/11/18, 41, 22, 19, 3, 
2019/11/19, 33, 16, 13, 3, 
2019/11/20, 29, 18, 19, 2, 
2019/11/21, 19, 19, 19, 2, 
2019/11/22, 28, 15, 14, 2, 
2019/11/23, 26, 25, 11, 5, 
2019/11/24, 47, 34, 10, 6, 
2019/11/25, 55, 19, 16, 5, 
2019/11/26, 47, 15, 11, 4, 1
2019/11/27, 52, 19, 11, 4, 
2019/11/28, 64, 10, 11, 4, 1
2019/11/29, 34, 7, 28, 4, 
2019/11/30, 31, 11, 25, 3, 1
2019/12/1, 38, 12, 23, 9, 1
2019/12/2, 40, 13, 22, 8, 1
2019/12/3, 46, 12, 25, 3, 1
2019/12/4, 18, 8, 25, 2, 1
2019/12/5, 25, 10, 25, 3, 
2019/12/6, 37, 5, 12, 4, 
2019/12/7, 20, 5, 31, 1, 
2019/12/8, 15, 5, 31, 2, 
2019/12/9, 13, 8, 28, 4, 
2019/12/10, 18, 8, 23, 5, 
2019/12/11, 13, 6, 20, 3, 
2019/12/12, 16, 14, 19, 5, 
2019/12/13, 45, 9, 21, 1, 
2019/12/14, 29, 6, 16, 2, 
2019/12/15, 20, 6, 26, 4, 1
2019/12/16, 17, 13, 24, 5, 1
2019/12/17, 33, 12, 26, 3, 1
2019/12/18, 43, 8, 28, 4, 1
2019/12/19, 22, 17, 21, 5, 1
2019/12/20, 20, 13, 17, 2, 
2019/12/21, 43, 17, 10, 6, 2
2019/12/22, 57, 6, 8, 3, 1
2019/12/23, 20, 5, 4, 3, 1
2019/12/24, 17, 2, 9, 3, 1
2019/12/25, 12, 3, 19, 2, 1
2019/12/26, 6, 2, 15, 1, 1
2019/12/27, 8, 6, 26, 1, 
2019/12/28, 8, , , , 
2019/7/1, 23, 5, 39, , 
2019/7/2, 7, 2, 33, 1, 
2019/7/3, 4, 1, 35, 1, 
2019/7/4, 3, 1, 36, 1, 
2019/7/5, 5, 1, 39, 1, 
2019/7/6, 6, 5, 37, 1, 
2019/7/7, 8, 2, 41, 1, 
2019/7/8, 8, 2, 28, 1, 
2019/7/9, 6, 2, 28, 1, 
2019/7/10, 7, 5, 35, 2, 
2019/7/11, 8, 2, 37, 2, 
2019/7/12, 3, 3, 39, 2, 
2019/7/13, 7, 7, 36, 4, 
2019/7/14, 15, 5, 35, 2, 
2019/7/15, 15, 9, 27, 3, 
2019/7/16, 19, 4, 35, 1, 
2019/7/17, 4, 7, 34, 2, 
2019/7/18, 15, 5, 27, 3, 
2019/7/19, 11, 5, 27, 1, 
2019/7/20, 11, 11, 29, 2, 
2019/7/21, 36, 11, 27, 4, 
2019/7/22, 36, 10, 36, 2, 
2019/7/23, 30, 9, 33, 3, 
2019/7/24, 28, 6, 33, 1, 
2019/7/25, 12, 7, 37, 2, 
2019/7/26, 24, 12, 38, 1, 
2019/7/27, 40, 13, 39, 2, 
2019/7/28, 41, 5, 31, 1, 
2019/7/29, 16, 6, 24, 3, 
2019/7/30, 9, 3, 22, 1, 
2019/8/5, 3, 4, 32, 2, 
2019/8/6, 5, 8, 35, 3, 
2019/8/7, 14, 7, 31, 3, 
2019/8/8, 5, 6, 34, 2, 
2019/8/9, 9, 8, 33, 3, 
2019/8/10, 20, 10, 31, 2, 1
2019/8/11, 48, 9, 36, 2, 1
2019/8/12, 14, 4, 36, 2, 
2019/8/13, 7, 5, 34, 2, 
2019/8/14, 8, 4, 34, 2, 
2019/8/15, 8, 7, 39, 3, 1
2019/8/16, 7, 9, 38, 3, 1
2019/8/17, 12, 9, 39, 2, 1
2019/8/18, 14, 12, 36, 2, 
2019/8/19, 15, 4, 37, 2, 
2019/8/20, 8, , 21, 8, 
2019/8/21, 22, , 36, 1, 
2019/8/22, 11, , 44, 2, 
2019/8/23, 8, 5, 48, 1, 
2019/8/24, 16, 6, 33, 4, 
2019/8/25, 13, 12, 36, 3, 
2019/8/26, 14, 14, 40, 3, 
2019/8/27, 22, 18, 41, 4, 
2019/8/28, 29, 13, 33, 2, 
2019/8/29, 8, 15, 34, 3, 
2019/8/30, 25, 7, 35, 3, 
2019/8/31, 21, 13, 33, 3, 
2019/9/1, 31, 13, 39, 2, 
2019/9/2, 22, 6, 28, 4, 
2019/9/3, 7, 7, 36, 3, 
2019/9/4, 5, 11, 38, 3, 
2019/9/5, 9, 6, 37, 2, 
2019/9/6, 12, 7, 35, 3, 
2019/9/7, 18, 11, 32, 2, 
2019/9/8, 17, 14, 39, 2, 
2019/9/9, 24, 24, 43, 2, 
2019/9/10, 35, 19, 42, 2, 
2019/9/11, 21, 11, 47, 2, 
2019/9/12, 18, 4, 27, 2, 
2019/9/13, 8, 1, 31, 1, 
2019/9/14, 4, 5, 33, 1, 1
2019/9/15, 261, 3, 29, 1, 1
2019/9/16, 3, 8, 28, 4, 
2019/9/17, 24, 12, 19, 4, 1
2019/9/18, 37, 9, 26, 5, 
2019/9/19, 24, 14, 28, 3, 
2019/9/20, 44, 4, 26, 2, 
2019/9/21, 31, 2, 29, 1, 
2019/9/22, 4, 8, 26, 4, 
2019/9/23, 8, 10, 28, 6, 
2019/9/24, 22, 11, 29, 5, 
2019/9/25, 37, 27, 29, 10, 1
2019/9/26, 54, 27, 32, 8, 1
2019/9/27, 55, 19, 27, 5, 1
2019/9/28, 50, 11, 25, 3, 1
2019/9/29, 43, 7, 25, 3, 
2019/9/30, 16, 5, 34, 1, 
2019/4/1, 3, 16, 35, 8, 
2019/4/2, 23, 39, 36, 9, 
2019/4/3, 56, 36, 42, 9, 
2019/4/4, 60, 37, 24, 13, 
2019/4/5, 64, 26, 45, 8, 
2019/4/6, 43, 30, 34, 5, 1
2019/4/7, 65, 26, 40, 4, 
2019/4/8, 55, 7, 31, 3, 
2019/4/9, 24, 5, 27, 3, 
2019/4/10, 17, 7, 30, 3, 
2019/4/11, 18, 8, 36, 2, 
2019/4/12, 9, 9, 39, 3, 
2019/4/13, 11, 7, 41, 1, 
2019/4/14, 8, 10, 41, 2, 
2019/4/15, 6, 16, 45, 4, 
2019/4/16, 11, 15, 42, 6, 
2019/4/17, 20, 39, 46, 8, 1
2019/4/18, 41, 22, 46, 8, 
2019/4/19, 21, 24, 49, 4, 1
2019/4/20, 29, 11, 47, 2, 
2019/4/21, 19, 28, 56, 9, 
2019/4/22, 35, 48, 62, 11, 
2019/4/24, 59, 47, 70, 9, 
2019/4/27, 69, 12, 43, , 
2019/4/28, 30, 9, 39, 1, 
2019/4/29, 25, 12, 44, 4, 
2019/4/30, 29, 37, 50, 9, 
2019/5/1, 75, 19, 40, 6, 
2019/5/2, 52, 4, 41, 2, 
2019/5/3, 22, 5, 39, 1, 
2019/5/4, 26, 5, 34, 4, 
2019/5/5, 28, 11, 37, 6, 
2019/5/6, 25, 9, 40, 5, 
2019/5/7, 14, 8, 38, 3, 
2019/5/8, 13, 18, 43, 6, 
2019/5/9, 20, 8, 35, 4, 
2019/5/10, 17, 10, 32, 4, 
2019/5/11, 22, 10, 40, 2, 
2019/5/12, 33, 13, 33, 4, 
2019/5/13, 26, 5, 33, 2, 
2019/5/14, 3, 8, 41, 2, 
2019/5/15, 9, 9, 42, 2, 
2019/5/16, 10, 13, 41, 4, 
2019/5/17, 9, 13, 48, 3, 
2019/5/18, 18, 14, 42, 3, 
2019/5/19, 26, 19, 47, 5, 
2019/5/20, 21, 24, 45, 5, 
2019/5/21, 38, 18, 46, 3, 
2019/5/22, 35, 21, 37, 4, 
2019/5/23, 45, 9, 24, 4, 
2019/5/24, 15, 10, 39, 3, 
2019/5/25, 24, 7, 38, 1, 
2019/5/26, 12, 6, 35, 2, 
2019/5/27, 11, 7, 31, 3, 
2019/5/28, 11, 8, 38, 2, 
2019/5/29, 20, 6, 38, 2, 
2019/5/30, 8, 10, 37, 3, 
2019/5/31, 17, 6, 36, 2, 
2019/6/1, 8, 8, 36, 1, 
2019/6/2, 12, 5, 40, 2, 
2019/6/3, 5, 14, 43, 2, 
2019/6/4, 15, 20, 48, 4, 
2019/6/5, 28, 21, 44, 5, 
2019/6/6, 37, 21, 51, 4, 
2019/6/7, 36, 9, 55, 4, 
2019/6/8, 37, 1, 44, 3, 
2019/6/9, 21, 8, 45, 2, 
2019/6/10, 13, 10, 36, 4, 
2019/6/11, 17, 8, 41, 1, 
2019/6/12, 17, 9, 42, 3, 
2019/6/13, 16, 8, 45, 2, 
2019/6/14, 19, 4, 40, 1, 
2019/6/15, 11, 9, 55, 3, 1
2019/6/16, 28, 11, 46, 5, 1
2019/6/17, 23, 6, 40, 1, 
2019/6/18, 11, 8, 44, 2, 
2019/6/19, 16, 15, 56, 5, 1
2019/6/20, 27, 16, 54, 3, 
2019/6/21, 24, 8, 46, 1, 
2019/6/22, 13, 3, 42, 1, 
2019/6/23, 9, 7, 41, 1, 
2019/6/24, 28, 5, 39, 3, 
2019/6/25, 13, 9, 40, 5, 1
2019/6/26, 16, 2, 38, 2, 
2019/6/27, 9, 4, 40, 1, 
2019/6/28, 5, 2, 37, , 
2019/6/29, 8, 6, 40, 1, 1
2019/6/30, 19, 16, 55, 1, 1
2019/1/2, 13, 3, 31, 2, 
2019/1/3, 5, 9, 27, 8, 
2019/1/4, 25, 7, 23, 6, 
2019/1/5, 30, 31, 10, 17, 
2019/1/6, 93, 13, 20, 5, 
2019/1/7, 43, 11, 17, 7, 
2019/1/8, 44, 18, 20, 9, 
2019/1/9, 62, 26, 16, 14, 3
2019/1/10, 80, 18, 21, 6, 
2019/1/11, 59, 12, 28, 7, 
2019/1/12, 30, 11, 26, 5, 
2019/1/13, 32, 5, 23, 8, 
2019/1/14, 23, 10, 26, 9, 
2019/1/15, 32, 12, 25, 10, 
2019/1/16, 45, 5, 26, 4, 
2019/1/17, 19, 9, 27, 9, 
2019/1/18, 38, 12, 24, 6, 
2019/1/19, 42, 4, 30, 2, 
2019/1/20, 15, 13, 22, 14, 
2019/1/21, 44, 30, 7, 24, 
2019/1/22, 87, 25, 18, 10, 
2019/1/23, 73, 23, 20, 12, 1
2019/1/24, 63, 17, 13, 13, 
2019/1/25, 57, 13, 20, 12, 
2019/1/26, 48, 25, 11, 17, 
2019/1/27, 82, 12, 22, 4, 
2019/1/28, 46, 15, 19, 7, 
