date, pm25, pm10, o3, no2, so2, co
2020/1/2, 39, 9, 27, 57, 6, 111
2020/1/3, 77, 11, 23, 36, 12, 28
2020/1/4, 55, 16, 29, 54, 20, 17
2020/1/5, 57, 34, 36, 58, 30, 82
2020/1/6, 58, 14, 53, 51, 15, 83
2020/1/7, 67, 9, 68, 34, 12, 60
2020/1/8, 55, 15, 80, 37, 23, 140
2020/1/9, 51, 18, 27, 30, 19, 84
2020/1/10, 72, 12, 30, 48, 14, 63
2020/1/11, 84, 19, 31, 58, 35, 20
2020/1/12, 90, 14, 36, 53, 30, 80
2020/1/13, 89, 11, 26, 46, 33, 56
2020/1/14, 71, 19, 38, 60, 51, 110
2020/1/15, 85, 14, 18, 25, 17, 5
2020/1/16, 45, , , , , 
2019/10/1, 82, 29, 31, 16, 1, 2
2019/10/2, 72, 33, 35, 21, 1, 3
2019/10/3, 79, 27, 38, 17, 1, 3
2019/10/4, 77, 25, 34, 14, 1, 4
2019/10/5, 82, 33, 30, 18, 1, 2
2019/10/6, 72, 29, 11, 18, 2, 5
2019/10/7, 23, , , , , 
2019/10/12, 38, 41, 37, 10, 1, 2
2019/10/13, 98, 42, 38, 6, 1, 2
2019/10/14, 127, 57, 29, 22, 1, 5
2019/10/15, 129, 53, 36, 14, 1, 6
2019/10/16, 107, 49, 33, 17, 1, 6
2019/10/17, 123, 39, 34, 15, 1, 7
2019/10/18, 90, 35, 34, 11, 1, 6
2019/10/19, 77, 36, 30, 15, 1, 7
2019/10/20, 86, 30, 32, 11, 1, 6
2019/10/21, 77, 45, 45, 21, 2, 7
2019/10/22, 113, 39, 36, 20, 2, 6
2019/10/23, 66, 30, 41, 18, 2, 5
2019/10/24, 59, 45, 51, 22, 2, 6
2019/10/25, 84, 36, 37, 19, 1, 7
2019/10/26, 84, 44, 40, 26, 1, 8
2019/10/27, 92, 43, 37, 23, 1, 6
2019/10/28, 90, 39, 31, 23, 1, 8
2019/10/29, 71, 37, 36, 28, 1, 9
2019/10/30, 84, 39, 41, 26, 2, 8
2019/10/31, 103, 38, 36, 22, 2, 9
2019/11/1, 100, 29, 31, 14, 1, 8
2019/11/2, 69, 34, 38, 22, 2, 8
2019/11/3, 79, 51, 40, 33, 2, 10
2019/11/4, 101, 61, 38, 38, 2, 10
2019/11/5, 118, 64, 39, 38, 3, 10
2019/11/6, 122, 77, 32, 42, 4, 7
2019/11/7, 122, 77, 41, 32, 2, 7
2019/11/8, 136, 60, 39, 22, 1, 6
2019/11/9, 131, 65, 33, 40, 1, 8
2019/11/10, 149, 62, 29, 42, 2, 6
2019/11/11, 96, 50, 37, 37, 3, 3
2019/11/12, 95, 86, 32, 32, 1, 4
2019/11/13, 134, 72, 17, 41, 2, 6
2019/11/14, 125, 57, 37, 18, 1, 5
2019/11/15, 104, 32, 37, 13, 1, 4
2019/11/16, 66, 38, 23, 19, 1, 4
2019/11/17, 92, , , , , 
2019/11/23, 87, 50, 39, 33, 3, 5
2019/11/24, 106, 63, 23, 51, 3, 8
2019/11/25, 121, 68, 33, 35, 2, 5
2019/11/26, 100, 86, 38, 25, 2, 4
2019/11/27, 96, , 34, 28, 2, 3
2019/11/28, 81, , 35, 23, 1, 4
2019/11/29, 71, , 24, 16, 1, 3
2019/11/30, 74, 36, 28, 23, 1, 4
2019/12/1, 73, 30, 33, 14, 1, 2
2019/12/2, 52, 46, 28, 31, 1, 4
2019/12/3, 60, 40, 28, 26, 1, 5
2019/12/4, 58, 39, 32, 19, 1, 3
2019/12/5, 59, 24, 33, 11, 1, 2
2019/12/6, 48, 30, 31, 17, 2, 3
2019/12/7, 63, 39, 24, 23, 1, 3
2019/12/8, 117, 31, 29, 18, 1, 2
2019/12/9, 57, 51, 25, 23, 1, 4
2019/12/10, 60, 55, 24, 37, 2, 5
2019/12/11, 73, 54, 31, 22, 1, 4
2019/12/12, 75, 204, 31, 9, 1, 2
2019/12/13, 128, 105, 26, 6, 1, 2
2019/12/14, 120, 61, 23, 36, 2, 6
2019/12/15, 68, 62, 25, 32, 2, 5
2019/12/16, 84, 64, 28, 35, 2, 8
2019/12/17, 97, 46, 25, 29, 2, 5
2019/12/18, 89, 59, 21, 39, 2, 6
2019/12/19, 88, 54, 35, 32, 2, 6
2019/12/20, 65, 46, 20, 27, 1, 5
2019/12/21, 77, 78, 12, 44, 2, 11
2019/12/22, 123, 70, 5, 39, 2, 7
2019/12/23, 110, 128, 18, 21, 2, 3
2019/12/24, 94, 431, 23, 8, 1, 2
2019/12/25, 171, 31, 29, 8, 1, 1
2019/12/26, 65, 31, 28, 7, 1, 2
2019/12/27, 49, 20, 17, 10, 1, 3
2019/12/28, 40, , , , , 
2019/7/1, 78, 34, 42, 19, 2, 5
2019/7/2, 56, 36, 38, 12, 1, 4
2019/7/3, 63, 34, 39, 14, 1, 4
2019/7/4, 65, 29, 40, 9, 1, 3
2019/7/5, 66, 36, 41, 5, 1, 4
2019/7/6, 84, 52, 41, 11, 1, 4
2019/7/7, 94, 49, 43, 9, 1, 3
2019/7/8, 90, 43, 38, 11, 1, 4
2019/7/9, 82, 42, 36, 12, 1, 3
2019/7/10, 84, 49, 37, 13, 1, 5
2019/7/11, 100, 45, 37, 8, 1, 4
2019/7/12, 86, 25, 41, 3, 1, 3
2019/7/13, 48, 36, 41, 10, 1, 3
2019/7/14, 63, 28, 35, 11, 1, 4
2019/7/15, 60, 28, 29, 11, 1, 3
2019/7/16, 61, 72, 68, 20, 2, 5
2019/7/17, 102, 46, 32, 9, 1, 3
2019/7/18, 72, 34, 43, 7, 1, 3
2019/7/19, 75, 24, 40, 5, 1, 4
2019/7/20, 62, 30, 40, 10, 1, 4
2019/7/21, 68, 38, 41, 11, 1, 4
2019/7/22, 83, 41, 38, 14, 1, 4
2019/7/23, 85, 39, 38, 16, 1, 4
2019/7/24, 77, 41, 40, 13, 1, 4
2019/7/25, 82, 42, 42, 11, 2, 4
2019/7/26, 91, 33, 40, 5, 1, 4
2019/7/27, 77, 35, 39, 10, 1, 4
2019/7/28, 69, 73, 40, 13, 2, 4
2019/7/29, 69, 37, 31, 16, 1, 5
2019/7/30, 76, 31, 29, 13, 1, 5
2019/7/31, 73, 29, 27, 10, 1, 4
2019/8/1, 65, 35, 39, 7, 1, 4
2019/8/2, 81, 33, 41, 5, 1, 3
2019/8/3, 81, 45, 39, 13, 1, 4
2019/8/4, 85, 42, 33, 11, 1, 4
2019/8/5, 81, 42, 41, 13, 1, 5
2019/8/6, 71, 46, 38, 13, 1, 4
2019/8/7, 80, 48, 33, 13, 1, 4
2019/8/8, 86, 41, 43, 9, 1, 4
2019/8/9, 81, 33, 39, 5, 1, 4
2019/8/10, 62, 35, 38, 6, 1, 4
2019/8/11, 60, 35, 35, 16, 1, 5
2019/8/12, 71, 40, 36, 18, 1, 6
2019/8/13, 82, 66, 36, 12, 1, 5
2019/8/14, 79, 40, 34, 20, 2, 5
2019/8/15, 83, 50, 36, 17, 1, 3
2019/8/16, 81, 29, 34, 4, 1, 1
2019/8/17, 69, 35, 36, 10, 1, 4
2019/8/18, 79, 34, 47, 12, 1, 5
2019/8/19, 67, 35, 41, 14, 1, 5
