date, pm25, pm10, o3, no2, so2, co
2020/1/2, 73, 23, 31, 10, 10, 
2020/1/3, 46, 16, 35, 10, 10, 
2020/1/4, 36, 10, 32, 8, 9, 
2020/1/5, 34, 4, 35, 3, 9, 
2020/1/6, 16, 11, 36, 8, 10, 
2020/1/7, 30, 12, 32, 8, 10, 
2020/1/8, 35, 8, 35, 3, 10, 
2020/1/9, 27, 8, 31, 6, 10, 
2020/1/10, 24, 7, 37, 3, 10, 
2020/1/11, 19, 11, 37, 5, 10, 
2020/1/12, 25, 34, 33, 13, 6, 
2020/1/13, 49, 19, 27, 23, 1, 
2020/1/14, 34, 62, 30, 22, 1, 
2020/1/15, 114, , , , , 
2019/10/1, 55, 37, 18, 18, 6, 
2019/10/2, 57, 18, 14, 10, 6, 
2019/10/3, 38, 16, 17, 4, 6, 
2019/10/4, 40, 10, 20, 1, 5, 
2019/10/5, 21, 12, 29, 1, 5, 
2019/10/6, 27, 20, 26, 4, 5, 
2019/10/7, 37, 19, 27, 3, 5, 
2019/10/8, 32, 12, 31, 2, 6, 
2019/10/9, 27, 18, 30, 3, 6, 
2019/10/10, 40, 15, 32, 2, 6, 
2019/10/11, 36, 7, 26, 2, 6, 
2019/10/12, 24, 8, 29, 5, 6, 
2019/10/13, 20, 8, 29, 6, 6, 
2019/10/14, 20, 5, 30, 3, 5, 
2019/10/15, 20, 8, 28, 6, 6, 
2019/10/16, 18, 6, 31, 9, 6, 
2019/10/17, 26, 5, 29, 2, 5, 
2019/10/18, 18, , 24, 1, 5, 
2019/10/21, 16, 3, 32, 2, 7, 
2019/10/22, 15, 5, 31, 4, 6, 
2019/10/23, 9, 7, 35, 6, 8, 
2019/10/24, 10, 17, 30, 17, 7, 
2019/10/25, 9, 20, 20, 16, 7, 
2019/10/27, 10, 21, 18, 18, 8, 
2019/10/28, 10, 23, 16, 16, 9, 
2019/10/29, 11, 26, 22, 15, 8, 
2019/10/30, 10, 14, 18, 8, 7, 
2019/10/31, 11, 14, 19, 4, 6, 
2019/11/1, 10, 21, 18, 11, 9, 
2019/11/2, 11, 31, 22, 5, 7, 
2019/11/3, 11, 6, 32, 1, 7, 
2019/11/4, 11, 9, 32, 3, 7, 
2019/11/5, 11, 8, 33, 2, 7, 
2019/11/6, 10, 9, 30, 4, 8, 
2019/11/7, 10, 12, 32, 5, 9, 
2019/11/8, 9, 9, 33, , 7, 
2019/11/9, 9, 12, 33, 2, 7, 
2019/11/10, 9, 13, 31, 1, 8, 
2019/11/11, 9, 10, 31, 1, 8, 
2019/11/12, 9, 17, 30, 1, 8, 
2019/11/13, 9, 10, 30, 2, 8, 
2019/11/14, 9, 9, 35, 1, 8, 
2019/11/15, 9, 9, 33, 1, 8, 
2019/11/16, 9, 7, 34, 1, 8, 
2019/11/18, 9, 4, 29, 4, 8, 
2019/11/19, 9, 6, 27, 9, 9, 
2019/11/20, 9, 10, 30, 8, 10, 
2019/11/22, 10, 7, 23, 2, 8, 
2019/11/23, 10, 6, 27, 2, 8, 
2019/11/24, 9, 8, 29, 4, 8, 
2019/11/25, 10, 9, 24, 6, 9, 
2019/11/26, 9, 14, 21, 6, 9, 
2019/11/27, 9, 18, 20, 11, 9, 
2019/11/28, 9, 22, 24, 12, 10, 
2019/11/29, 10, 23, 28, 10, 9, 
2019/11/30, 9, 14, 26, 7, 9, 
2019/12/1, 13, 7, 33, 1, 9, 
2019/12/2, 9, 8, 34, 1, 9, 
2019/12/5, 19, 11, 32, , 8, 
2019/12/6, 24, 13, 32, 1, 8, 
2019/12/7, 26, 13, 32, 1, 8, 
2019/12/8, 29, 15, 32, 6, 8, 
2019/12/9, 34, 11, 27, 5, 8, 
2019/12/10, 30, 10, 28, 4, 8, 
2019/12/11, 20, 13, 31, 4, 8, 
2019/12/12, 26, 10, 33, 1, 8, 
2019/12/13, 28, 7, 30, 4, 8, 
2019/12/14, 15, 8, 30, 8, 9, 
2019/12/15, 12, 8, 32, 2, 9, 
2019/12/16, 22, 10, 33, 8, 9, 
2019/12/17, 15, 11, 27, 11, 9, 
2019/12/18, 24, 10, 26, 10, 9, 
2019/12/19, 28, 10, 23, 12, 9, 
2019/12/20, 26, 11, 26, 7, 9, 
2019/12/21, 22, 11, 24, 3, 8, 
2019/12/22, 24, 19, 23, 7, 9, 
2019/12/23, 27, 20, 3, 17, 9, 
2019/12/24, 51, 31, 21, 9, 10, 
2019/12/25, 53, 60, 24, 16, 11, 
2019/12/26, 81, 28, 23, 25, 11, 
2019/12/27, 51, 25, 25, 20, 10, 
2019/12/28, 49, , , , , 
2019/7/1, 23, , 31, 3, 1, 
2019/7/2, 22, , 33, 3, , 
2019/7/3, 24, , 28, 2, , 
2019/7/4, 17, , 17, 3, , 
2019/7/5, 19, , 25, 2, , 
2019/7/6, 16, , 35, 2, , 
2019/7/7, 29, , 33, 3, , 
2019/7/8, 24, , 35, 2, , 
2019/7/9, 24, , 30, 2, 1, 
2019/7/10, 21, , 32, 1, , 
2019/7/11, 21, , 30, 2, 1, 
2019/7/12, 24, , 24, 3, 1, 
2019/7/13, 25, , 20, , , 
2019/7/14, 16, , 28, 1, 1, 
2019/7/15, 28, , 28, 1, 1, 
2019/7/16, 21, , 25, 3, 1, 
2019/7/17, 23, , 31, , , 
2019/7/18, 47, , 28, 1, 1, 
2019/7/19, 23, , 21, 1, , 
