date, pm25, pm10, o3, no2, so2, co
2020/1/2, 208, 129, 25, 28, 16, 
2020/1/3, 225, 134, 36, 28, 15, 
2020/1/4, 238, 53, 29, 22, 10, 
2020/1/5, 175, 60, 16, 23, 8, 
2020/1/6, 137, 34, 14, 22, 5, 
2020/1/7, 88, 74, 20, 19, 5, 
2020/1/8, 155, 65, 24, 23, 8, 
2020/1/9, 140, 86, 23, 26, 10, 
2020/1/10, 169, 117, 13, 34, 12, 
2020/1/11, 209, 92, 22, 31, 12, 
2020/1/12, 173, 112, 7, 32, 14, 
2020/1/13, 196, 96, 34, 25, 7, 
2020/1/14, 170, 76, 21, 22, 8, 
2020/1/15, 159, 94, 10, 26, 7, 
2020/1/16, 179, , , , , 
2019/10/1, 100, 58, 81, 8, 3, 
2019/10/2, 113, 69, 100, 20, 10, 
2019/10/3, 134, 75, 40, 20, 22, 
2019/10/4, 149, 32, 37, 5, 2, 
2019/10/5, 43, 37, 27, 9, 2, 
2019/10/6, 55, 43, 26, 11, 2, 
2019/10/7, 103, 81, 61, 18, 9, 
2019/10/8, 154, 77, 40, 18, 13, 
2019/10/9, 178, 42, 36, 11, 3, 
2019/10/10, 135, 39, 27, 11, 3, 
2019/10/11, 109, 39, 40, 11, 3, 
2019/10/12, 110, 66, 57, 18, 8, 
2019/10/13, 145, 46, 30, 10, 2, 
2019/10/14, 79, 36, 24, 15, 4, 
2019/10/15, 54, 62, 18, 23, 10, 
2019/10/16, 119, 99, 39, 21, 9, 
2019/10/17, 156, 128, 55, 25, 7, 
2019/10/18, 179, 96, 75, 22, 16, 
2019/10/19, 179, 82, 84, 20, 20, 
2019/10/20, 161, 86, 82, 18, 4, 
2019/10/21, 165, 95, 38, 25, 6, 
2019/10/22, 175, 108, 68, 26, 7, 
2019/10/23, 184, 118, 67, 27, 11, 
2019/10/24, 188, 67, 23, 14, 3, 
2019/10/25, 86, 62, 22, 21, 11, 
2019/10/26, 101, 85, 37, 21, 13, 
2019/10/27, 150, 194, 25, 20, 11, 
2019/10/28, 163, 180, 29, 24, 8, 
2019/10/29, 154, 174, 45, 22, 15, 
2019/10/30, 165, 126, 40, 34, 17, 
2019/10/31, 171, 113, 73, 22, 13, 
2019/11/1, 165, 74, 61, 14, 18, 
2019/11/2, 120, 86, 34, 22, 15, 
2019/11/3, 151, 75, 31, 21, 14, 
2019/11/4, 140, 95, 50, 26, 12, 
2019/11/5, 169, 104, 48, 29, 14, 
2019/11/6, 178, 114, 57, 24, 12, 
2019/11/7, 188, 88, 29, 26, 5, 
2019/11/8, 149, 116, 48, 24, 6, 
2019/11/9, 190, 100, 33, 16, 7, 
2019/11/10, 133, 124, 32, 25, 12, 
2019/11/11, 157, 131, 37, 27, 18, 
2019/11/12, 166, 106, 26, 17, 7, 
2019/11/13, 123, 106, 27, 16, 13, 
2019/11/14, 114, 86, 25, 24, 12, 
2019/11/15, 139, 117, 40, 28, 14, 
2019/11/16, 183, 121, 18, 26, 7, 
2019/11/17, 192, 146, 22, 11, 4, 
2019/11/18, 117, 123, 20, 20, 16, 
2019/11/19, 148, 96, 27, 20, 21, 
2019/11/20, 145, 80, 26, 12, 7, 
2019/11/21, 100, 64, 35, 14, 11, 
2019/11/22, 118, 82, 14, 16, 9, 
2019/11/23, 164, 83, 22, 17, 3, 
2019/11/24, 143, 56, 20, 14, 7, 
2019/11/25, 84, 70, 25, 16, 10, 
2019/11/26, 138, 75, 16, 16, 7, 
2019/11/27, 137, 60, 24, 14, 9, 
2019/11/28, 103, 71, 22, 18, 12, 
2019/11/29, 131, 59, 15, 17, 12, 
2019/11/30, 133, 68, 22, 19, 14, 
2019/12/1, 143, 76, 8, 29, 20, 
2019/12/2, 143, 94, 15, 30, 23, 
2019/12/3, 167, 97, 18, 29, 24, 
2019/12/4, 171, 83, 23, 24, 17, 
2019/12/5, 152, 78, 15, 23, 22, 
2019/12/6, 155, 99, 24, 31, 26, 
2019/12/7, 177, 110, 24, 30, 32, 
2019/12/8, 189, 94, 22, 39, 24, 
2019/12/9, 246, 104, 25, 30, 20, 
2019/12/10, 258, 104, 24, 27, 20, 
2019/12/11, 202, 70, 21, 22, 18, 
2019/12/12, 143, 100, 16, 25, 21, 
2019/12/13, 180, 69, 20, 20, 14, 
2019/12/14, 125, 29, 16, 16, 10, 
2019/12/15, 74, 33, 15, 17, 9, 
2019/12/16, 122, 71, 17, 20, 8, 
2019/12/17, 165, 50, 19, 13, 9, 
2019/12/18, 96, 86, 16, 23, 8, 
2019/12/19, 166, 105, 16, 28, 11, 
2019/12/20, 189, 110, 13, 27, 20, 
2019/12/21, 195, 87, 21, 24, 6, 
2019/12/22, 183, 94, 26, 21, 7, 
2019/12/23, 185, 74, 23, 20, 9, 
2019/12/24, 158, 68, 11, 21, 6, 
2019/12/25, 157, 63, 19, 21, 6, 
2019/12/26, 143, 78, 22, 23, 13, 
2019/12/27, 151, 80, 25, 22, 17, 
2019/12/28, 156, 75, 14, 22, 29, 
2019/12/29, 159, , , , , 
2019/7/1, 61, 54, 116, 8, 11, 
2019/7/2, 105, 61, 120, 9, 12, 
2019/7/3, 127, 62, 82, 14, 14, 
2019/7/4, 131, 68, 121, 12, 10, 
2019/7/5, 134, 51, 53, 9, 7, 
2019/7/6, 108, 38, 69, 8, 4, 
2019/7/7, 94, 31, 58, 7, 3, 
2019/7/8, 63, 46, 65, 7, 5, 
2019/7/9, 89, 43, 53, 9, 3, 
2019/7/10, 119, 63, 79, 13, 4, 
2019/7/11, 153, 67, 66, 15, 10, 
2019/7/12, 135, 47, 93, 8, 3, 
2019/7/13, 107, 53, 90, 10, 8, 
2019/7/14, 104, 57, 92, 9, 9, 
2019/7/15, 112, 100, 104, 10, 9, 
2019/7/16, 150, 58, 49, 6, 3, 
2019/7/17, 111, 32, 56, 6, 3, 
2019/7/18, 61, 12, 26, 5, 2, 
2019/7/19, 26, 24, 69, 10, 13, 
2019/7/20, 81, 32, 79, 10, 6, 
2019/7/21, 120, 31, 101, 8, 12, 
2019/7/22, 117, 22, 55, 9, 10, 
2019/7/23, 94, 31, 71, 7, 3, 
2019/7/24, 93, 46, 70, 7, 3, 
2019/7/25, 85, 49, 94, 7, 8, 
