date, pm25, pm10, o3, no2
2020/1/2, 59, 12, 23, 8
2020/1/3, 32, 17, 22, 9
2020/1/4, 31, 13, 19, 12
2020/1/5, 41, 13, 19, 16
2020/1/6, 43, 20, 15, 14
2020/1/7, 55, 10, 15, 12
2020/1/8, 29, 11, 14, 10
2020/1/9, 29, 13, 26, 14
2020/1/10, 20, 12, 20, 11
2020/1/11, 38, 12, 23, 5
2020/1/12, 31, 15, 19, 13
2020/1/13, 33, 7, 22, 7
2020/1/14, 14, 10, 25, 11
2020/1/15, 21, 9, 12, 15
2020/1/16, 41, , , 
2019/10/1, 15, 11, 21, 9
2019/10/2, 7, 14, 16, 16
2019/10/3, 15, 15, 17, 12
2019/10/4, 22, 13, 17, 9
2019/10/5, 28, 9, 8, 9
2019/10/6, 20, 18, 12, 13
2019/10/7, 52, 18, 14, 11
2019/10/8, 26, 16, 19, 10
2019/10/9, 16, 13, 16, 10
2019/10/10, 18, 11, 16, 8
2019/10/11, 18, 12, 18, 10
2019/10/12, 19, 16, 22, 7
2019/10/13, 29, 21, 17, 17
2019/10/14, 26, 16, 18, 17
2019/10/15, 24, 11, 13, 11
2019/10/16, 15, 17, 17, 15
2019/10/17, 24, 12, 22, 11
2019/10/18, 12, 11, 18, 10
2019/10/19, 16, 17, 12, 11
2019/10/20, 36, 12, 14, 12
2019/10/21, 20, 16, 17, 16
2019/10/22, 28, 25, 6, 15
2019/10/23, 55, 23, 15, 13
2019/10/24, 41, 14, 17, 10
2019/10/25, 19, 11, 19, 5
2019/10/26, 12, 16, 22, 9
2019/10/27, 20, 19, 15, 19
2019/10/28, 34, 17, 21, 20
2019/10/29, 31, 20, 9, 16
2019/10/30, 59, 25, 8, 20
2019/10/31, 65, 21, 6, 16
2019/11/1, 47, 12, 21, 4
2019/11/2, 13, 9, 15, 9
2019/11/3, 13, 16, 13, 18
2019/11/4, 22, 20, 11, 19
2019/11/5, 30, 17, 16, 17
2019/11/6, 29, 12, 12, 16
2019/11/7, 32, 23, 9, 22
2019/11/8, 37, 21, 14, 17
2019/11/9, 45, 22, 12, 15
2019/11/10, 57, 12, 15, 13
2019/11/11, 35, 13, 17, 13
2019/11/12, 19, 14, 14, 16
2019/11/13, 27, 11, 11, 16
2019/11/14, 23, 23, 7, 15
2019/11/15, 60, 18, 7, 20
2019/11/16, 50, 21, 7, 13
2019/11/17, 58, 15, 19, 15
2019/11/18, 40, 14, 19, 21
2019/11/19, 22, 31, 7, 24
2019/11/20, 74, 35, 3, 17
2019/11/21, 82, 21, 13, 18
2019/11/22, 47, 15, 3, 13
2019/11/23, 51, 24, 2, 16
2019/11/24, 65, 21, 10, 18
2019/11/25, 51, 12, 13, 15
2019/11/26, 26, 11, 17, 11
2019/11/27, 18, 10, 17, 10
2019/11/28, 17, 18, 21, 20
2019/11/29, 26, 22, 9, 23
2019/11/30, 60, 22, 10, 17
2019/12/1, 65, 19, 9, 29
2019/12/2, 50, 24, 6, 25
2019/12/3, 60, 26, 3, 24
2019/12/4, 72, 31, 1, 21
2019/12/5, 87, 13, 12, 13
2019/12/6, 45, 13, 18, 9
2019/12/7, 21, 15, 24, 4
2019/12/8, 19, 19, 23, 9
2019/12/9, 19, 18, 19, 15
2019/12/10, 33, 15, 15, 16
2019/12/11, 38, 12, 20, 14
2019/12/12, 32, 9, 19, 13
2019/12/13, 19, 19, 25, 7
2019/12/14, 22, 14, 20, 6
2019/12/15, 22, 17, , 21
2019/12/16, 30, 14, 14, 16
2019/12/17, 37, 14, 16, 18
2019/12/18, 35, 19, 16, 16
2019/12/19, 33, 11, 23, 11
2019/12/20, 15, 11, 21, 9
2019/12/21, 16, 10, 22, 7
2019/12/22, 16, 13, 17, 10
2019/12/23, 20, 19, 25, 8
2019/12/24, 38, 14, 22, 8
2019/12/25, 26, 14, 10, 15
2019/12/26, 51, 16, 10, 11
2019/12/27, 56, 19, 8, 16
2019/12/28, 69, , , 
2019/7/1, 21, 12, 30, 6
2019/7/2, 19, 14, 29, 4
2019/7/3, 16, 15, 30, 8
2019/7/4, 26, 16, 33, 13
2019/7/5, 31, 15, 27, 11
2019/7/6, 38, 10, 27, 3
2019/7/7, 13, 9, 25, 7
2019/7/8, 12, 13, 30, 9
2019/7/9, 22, 16, 24, 18
2019/7/10, 36, 21, 35, 15
2019/7/11, 51, 18, 21, 16
2019/7/12, 43, 13, 26, 5
2019/7/13, 25, 8, 24, 2
2019/7/14, 13, 9, 21, 7
2019/7/15, 14, 10, 24, 8
2019/7/16, 29, 15, 33, 13
2019/7/17, 44, 23, 28, 16
2019/7/18, 50, 15, 33, 12
2019/7/19, 33, 16, 28, 10
2019/7/20, 29, 11, 28, 5
2019/7/21, 16, 14, 30, 14
2019/7/22, 26, 18, 58, 18
2019/7/23, 42, 31, 71, 15
2019/7/24, 56, 40, 94, 20
2019/7/25, 69, 37, 81, 11
2019/7/26, 63, 25, 33, 8
2019/7/27, 53, 12, 18, 6
2019/7/28, 26, 17, 39, 12
2019/7/29, 39, 17, 35, 13
2019/7/30, 33, 15, 21, 6
2019/7/31, 21, 16, 30, 9
2019/8/1, 32, 16, 30, 7
2019/8/2, 32, 15, 30, 4
2019/8/3, 23, 16, 39, 10
2019/8/4, 36, 23, 29, 12
2019/8/5, 43, 14, 28, 8
2019/8/6, 22, 15, 26, 7
2019/8/7, 20, 13, 29, 8
2019/8/8, 18, 17, 20, 14
2019/8/9, 26, 15, 27, 3
2019/8/10, 21, 19, 24, 4
2019/8/11, 20, 16, 22, 13
2019/8/12, 21, 11, 25, 11
2019/8/13, 21, 14, 24, 14
2019/8/14, 28, 11, 21, 7
2019/8/15, 18, 18, 21, 13
2019/8/16, 26, 10, 15, 6
2019/8/17, 18, 16, 23, 7
2019/8/18, 21, 18, 24, 10
2019/8/19, 22, 20, 30, 12
2019/8/20, 27, 22, 39, 22
2019/8/21, 43, 23, 36, 23
2019/8/22, 54, 23, 40, 18
2019/8/23, 55, 27, 60, 17
2019/8/24, 54, 31, 58, 14
2019/8/25, 67, 38, 56, 17
2019/8/26, 73, 44, 59, 27
2019/8/27, 79, 36, 43, 21
2019/8/28, 72, 14, 27, 10
2019/8/29, 32, 19, 31, 21
2019/8/30, 42, 25, 40, 18
2019/8/31, 48, 10, 26, 4
2019/9/1, 13, 14, 27, 11
2019/9/2, 25, 15, 24, 13
2019/9/3, 28, 15, 18, 12
2019/9/4, 22, 14, 22, 9
2019/9/5, 18, 16, 23, 15
2019/9/6, 30, 13, 18, 8
2019/9/7, 22, 16, 26, 6
2019/9/8, 14, 18, 27, 20
2019/9/9, 24, 21, 31, 19
2019/9/10, 36, 17, 11, 18
2019/9/11, 42, 15, 19, 9
2019/9/12, 29, 15, 22, 6
2019/9/13, 19, 13, 28, 12
2019/9/14, 25, 16, 28, 15
2019/9/15, 40, 20, 15, 15
2019/9/16, 38, 18, 24, 12
2019/9/17, 22, 21, 22, 14
2019/9/18, 24, 14, 21, 14
2019/9/19, 25, 23, 23, 17
2019/9/20, 36, 20, 27, 13
2019/9/21, 29, 17, 31, 9
2019/9/22, 21, 19, 17, 14
2019/9/23, 25, 11, 14, 13
2019/9/24, 20, 15, 13, 11
2019/9/25, 16, 14, 15, 10
2019/9/26, 21, 16, 16, 10
2019/9/27, 17, 12, 19, 5
2019/9/28, 15, 10, 18, 4
2019/9/29, 13, 13, 22, 11
2019/9/30, 15, 12, 16, 11
2019/4/1, 20, 31, 25, 21
2019/4/3, 14, 15, 25, 21
2019/4/4, 36, 26, 31, 17
2019/4/5, 63, 31, 21, 10
2019/4/6, 74, 35, 39, 10
2019/4/7, 92, 52, 26, 19
2019/4/8, 115, 31, 30, 12
2019/4/9, 83, 16, 31, 6
2019/4/10, 34, 12, 29, 7
2019/4/11, 31, 16, 27, 10
2019/4/12, 32, 11, 30, 5
2019/4/13, 32, 16, 30, 6
2019/4/14, 50, 24, 29, 14
2019/4/15, 61, 24, 32, 16
2019/4/16, 53, 20, 22, 19
2019/4/17, 47, 27, 38, 16
2019/4/18, 54, 24, 41, 12
2019/4/19, 46, 26, 47, 9
2019/4/20, 53, 32, 52, 9
2019/4/21, 71, 33, 46, 10
2019/4/22, 69, 31, 39, 12
2019/4/23, 41, 34, 33, 16
2019/4/24, 41, 11, 27, 13
2019/4/25, 13, 14, 27, 14
2019/4/26, 24, 14, 27, 7
2019/4/27, 22, 11, 23, 8
2019/4/28, 22, 15, 29, 11
2019/4/29, 43, 15, 29, 7
2019/4/30, 43, 31, 32, 14
2019/5/1, 76, 28, 23, 18
2019/5/2, 69, 14, 30, 8
2019/5/3, 13, 10, 28, 4
2019/5/4, 12, 13, 30, 5
2019/5/5, 18, 15, 24, 18
2019/5/6, 35, 22, 28, 21
2019/5/7, 52, 16, 24, 16
2019/5/8, 36, 12, 23, 15
2019/5/9, 21, 13, 31, 13
2019/5/10, 22, 12, 33, 6
2019/5/11, 32, 9, 31, 5
2019/5/12, 16, 9, 29, 6
2019/5/13, 17, 13, 33, 7
2019/5/14, 26, 12, 33, 10
2019/5/15, 28, 14, 30, 8
2019/5/16, 22, 22, 20, 11
2019/5/17, 50, 21, 31, 11
2019/5/18, 61, 34, 32, 7
2019/5/19, 97, 18, 29, 9
2019/5/20, 55, 16, 31, 6
2019/5/21, 37, 13, 31, 11
2019/5/22, 30, 18, 38, 21
2019/5/23, 35, 20, 33, 19
2019/5/24, 39, 20, 28, 10
2019/5/25, 37, 16, 23, 9
2019/5/26, 50, 13, 27, 9
2019/5/27, 21, 11, 27, 8
2019/5/28, 16, 13, 30, 15
2019/5/29, 33, 12, 20, 6
2019/5/30, 26, 14, 20, 8
2019/5/31, 28, 16, 39, 13
2019/6/1, 38, 20, 38, 12
2019/6/2, 41, 16, 25, 11
2019/6/3, 25, 20, 34, 16
2019/6/4, 32, 16, 23, 13
2019/6/5, 38, 13, 29, 11
2019/6/6, 29, 14, 31, 14
2019/6/7, 24, 11, 26, 3
2019/6/8, 11, 13, 29, 6
2019/6/9, 16, 15, 32, 7
2019/6/10, 33, 13, 33, 11
2019/6/11, 36, 13, 23, 16
2019/6/12, 34, 10, 26, 13
2019/6/13, 15, 14, 36, 15
2019/6/14, 26, 13, 27, 10
2019/6/15, 24, 16, 22, 10
2019/6/16, 29, 16, 31, 16
2019/6/17, 19, 18, 42, 10
2019/6/18, 41, 22, 35, 17
2019/6/19, 45, 25, 30, 10
2019/6/20, 46, 14, 29, 9
2019/6/21, 25, 13, 38, 5
2019/6/22, 33, 15, 43, 7
2019/6/23, 40, 20, 46, 16
2019/6/24, 46, 32, 64, 20
2019/6/25, 65, 26, 45, 7
2019/6/26, 71, 15, 30, 3
2019/6/27, 25, 15, 37, 6
2019/6/28, 34, 20, 59, 12
2019/6/29, 38, 21, 39, 9
2019/6/30, 46, 14, 29, 7
2019/1/1, 63, 22, 28, 9
2019/1/2, 28, 12, 22, 19
2019/1/3, 20, 19, 15, 19
2019/1/4, 50, 10, 21, 7
2019/1/5, 15, 15, 18, 13
2019/1/6, 41, 20, 16, 16
2019/1/7, 59, 18, 27, 5
2019/1/8, 27, 16, 26, 8
2019/1/9, 20, 19, 16, 26
2019/1/10, 27, 12, 21, 18
2019/1/11, 34, 10, 21, 8
2019/1/12, 22, 10, 23, 4
2019/1/13, 14, 15, 23, 12
2019/1/14, 20, 13, 18, 14
2019/1/15, 27, 13, 18, 10
2019/1/16, 34, 10, 24, 14
2019/1/17, 22, 21, 15, 28
2019/1/18, 46, 24, 12, 19
2019/1/19, 62, 23, 9, 20
2019/1/20, 64, 44, 2, 34
2019/1/21, 109, 37, 8, 23
2019/1/22, 94, 30, 13, 15
2019/1/23, 87, 42, 12, 19
2019/1/24, 105, 39, 4, 23
2019/1/25, 103, 10, 21, 11
2019/1/26, 30, 8, 24, 5
2019/1/27, 9, 9, 22, 8
2019/1/28, 14, 15, 21, 19
2019/1/29, 39, 18, 14, 18
2019/1/30, 50, 26, 13, 23
2019/1/31, 71, 26, 7, 23
2019/2/1, 71, 24, 6, 16
2019/2/2, 78, 19, 17, 15
2019/2/3, 46, 13, 16, 14
2019/2/4, 37, 24, 12, 18
2019/2/5, 67, 14, 13, 16
2019/2/6, 50, 15, 24, 7
2019/2/7, 24, 10, 22, 8
2019/2/8, 20, 13, 27, 4
2019/2/9, 20, 8, 25, 5
2019/2/10, 11, 19, 22, 15
2019/2/11, 24, 22, 10, 24
2019/2/12, 53, 24, 11, 22
2019/2/13, 69, 29, 13, 30
2019/2/14, 72, 31, 14, 35
2019/2/15, 63, 34, 15, 29
2019/2/16, 83, 33, 21, 23
2019/2/17, 87, 34, 13, 32
2019/2/18, 69, 16, 21, 14
2019/2/19, 36, 23, 19, 21
2019/2/20, 53, 30, 18, 19
2019/2/21, 73, 22, 12, 15
2019/2/22, 66, 22, 13, 17
2019/2/23, 65, 23, 18, 18
2019/2/24, 64, 31, 14, 30
2019/2/25, 67, 35, 15, 32
2019/2/26, 71, 40, 14, 34
2019/2/27, 82, 41, 22, 22
2019/2/28, 99, 24, 23, 11
2019/3/1, 58, 20, 20, 13
2019/3/2, 56, 10, 23, 4
2019/3/3, 26, 8, 30, 5
2019/3/4, 11, 12, 27, 10
2019/3/5, 17, 8, 20, 12
2019/3/6, 24, 10, 29, 6
2019/3/7, 18, 12, 27, 8
2019/3/8, 21, 11, 31, 5
2019/3/9, 26, 13, 29, 5
2019/3/10, 23, 11, 29, 7
2019/3/11, 15, 13, 28, 11
2019/3/12, 26, 16, 27, 8
2019/3/13, 21, 14, 30, 7
2019/3/14, 24, 13, 23, 9
2019/3/15, 22, 10, 28, 6
2019/3/16, 19, 11, 30, 4
2019/3/17, 14, 14, 28, 16
2019/3/18, 26, 26, 21, 29
2019/3/19, 57, 29, 16, 23
2019/3/20, 73, 26, 22, 16
2019/3/21, 71, 35, 22, 20
2019/3/22, 93, 27, 23, 9
2019/3/23, 79, 17, 28, 6
2019/3/24, 30, 18, 32, 5
2019/3/25, 26, 25, 31, 12
2019/3/26, 34, 20, 24, 16
2019/3/27, 50, 23, 22, 20
2019/3/28, 56, 33, 25, 21
2019/3/29, 81, 34, 29, 19
2019/3/30, 80, 31, 28, 5
2019/3/31, 64, 18, 26, 10
2018/10/1, 16, 17, 21, 14
2018/10/2, 25, 27, 26, 14
2018/10/3, 34, 24, 15, 21
2018/10/4, 50, 27, 22, 26
2018/10/5, 54, 29, 25, 19
2018/10/6, 59, 19, 28, 4
2018/10/7, 23, 25, 17, 24
2018/10/8, 43, 32, 21, 28
2018/10/9, 56, 40, 24, 27
2018/10/10, 71, 23, 29, 20
2018/10/11, 41, 16, 23, 14
2018/10/12, 26, 17, 31, 14
2018/10/13, 26, 19, 34, 16
2018/10/14, 35, 27, 27, 28
2018/10/15, 45, 32, 29, 32
2018/10/16, 62, 25, 20, 22
2018/10/17, 58, 17, 21, 11
2018/10/18, 39, 14, 16, 13
2018/10/19, 34, 21, 21, 21
2018/10/20, 49, 34, 22, 20
2018/10/21, 74, 21, 25, 14
2018/10/22, 38, 24, 21, 12
2018/10/23, 36, 15, 18, 8
2018/10/24, 26, 17, 19, 14
2018/10/25, 37, 14, 19, 15
2018/10/26, 44, 9, 25, 9
2018/10/27, 16, 6, 22, 5
2018/10/28, 16, 11, 14, 7
2018/10/29, 26, 7, 11, 10
2018/10/30, 20, 14, 16, 17
2018/10/31, 35, 19, 11, 19
2018/11/1, 30, 15, 24, 17
2018/11/2, 27, 24, 14, 23
2018/11/3, 63, 28, 10, 17
2018/11/4, 77, 26, 3, 16
2018/11/5, 66, 23, 10, 22
2018/11/6, 56, 11, 19, 15
2018/11/7, 22, 22, 18, 20
2018/11/8, 35, 22, 6, 23
2018/11/9, 53, 11, 18, 10
2018/11/10, 19, 10, 20, 8
2018/11/11, 18, 19, 11, 22
2018/11/12, 32, 16, 15, 14
