date, pm10, no2, so2
2019/10/1, 15, 27, 
2019/10/2, 16, 14, 
2019/10/3, 29, 20, 5
2019/10/4, 9, 21, 5
2019/10/5, 44, 16, 5
2019/10/6, 57, 20, 5
2019/10/7, 41, 24, 7
2019/10/8, 27, 25, 7
2019/10/9, 39, 28, 3
2019/10/10, 59, 26, 3
2019/10/11, 26, 27, 8
2019/10/12, 33, 32, 6
2019/10/13, 66, 37, 8
2019/10/14, 54, 32, 10
2019/10/15, 43, 40, 11
2019/10/16, 50, 41, 13
2019/10/17, 61, 37, 8
2019/10/18, 68, 33, 13
2019/10/19, 90, 31, 14
2019/10/20, 84, 39, 11
2019/10/21, 61, 46, 10
2019/10/22, 79, 37, 6
2019/10/23, 67, 30, 5
2019/10/24, 47, 35, 4
2019/10/25, 42, 34, 8
2019/10/26, 65, 39, 10
2019/10/27, 93, 28, 4
2019/11/6, 7, 21, 6
2019/11/7, 22, 16, 4
2019/11/8, 31, 10, 4
2019/11/9, 9, 13, 4
2019/11/10, 6, 19, 4
2019/11/11, 7, 13, 4
2019/11/12, 7, 10, 5
2019/11/13, 5, 20, 6
2019/11/14, 8, 16, 5
2019/11/15, 19, 12, 4
2019/11/16, 9, 12, 4
2019/11/17, 9, 20, 7
2019/11/18, 8, 19, 4
2019/11/19, 29, 19, 4
2019/11/20, 15, 28, 4
2019/11/21, 7, 30, 4
2019/11/22, 9, 29, 4
2019/11/23, 12, 27, 4
2019/11/24, 14, 35, 5
2019/11/25, 9, 47, 5
2019/11/26, 38, 31, 4
2019/11/27, 55, 27, 6
2019/7/1, 21, 22, 4
2019/7/2, 23, 24, 3
2019/7/3, 24, 23, 4
2019/7/4, 19, 28, 4
2019/7/9, 999, 26, 3
2019/7/10, 999, 24, 3
2019/9/13, 14, 22, 
2019/9/14, 2, 22, 
2019/9/16, 11, 32, 
2019/9/17, 22, 23, 
2019/9/18, 12, 18, 
2019/9/19, 10, 21, 
2019/9/20, 10, 26, 
2019/9/21, 18, 25, 
2019/9/22, 29, 31, 
2019/9/23, 41, 35, 
2019/9/24, 41, 21, 
2019/9/25, 51, 23, 
2019/9/26, 30, 25, 
2019/9/27, 21, 21, 
2019/9/28, 13, 20, 
2019/9/29, 16, 25, 
2019/9/30, 14, 25, 
2019/4/1, 17, 22, 11
2019/4/2, 15, 17, 4
2019/4/3, 15, 18, 4
2019/4/4, 15, 14, 4
2019/4/5, 13, 21, 12
2019/4/6, 10, 15, 13
2019/4/7, 12, 27, 6
2019/4/8, 12, 25, 5
2019/4/9, 14, 20, 17
2019/4/10, 6, 25, 11
2019/4/11, 7, 28, 8
2019/4/12, 10, 31, 7
2019/4/13, 11, 31, 5
2019/4/14, 11, 36, 6
2019/4/15, 9, 38, 6
2019/4/16, 14, 36, 5
2019/4/17, 12, 37, 5
2019/4/18, 9, 35, 5
2019/4/19, 9, 31, 4
2019/4/20, 12, , 
2019/5/4, 15, 22, 7
2019/5/5, 15, 25, 6
2019/5/6, 12, 28, 4
2019/5/7, 13, 39, 4
2019/5/8, 21, 27, 6
2019/5/9, 23, , 
2019/5/10, 16, , 
2019/5/11, 13, , 
2019/5/12, 12, , 
2019/5/13, 12, , 
2019/5/14, 16, , 
2019/5/15, 10, , 
2019/5/16, 8, , 
2019/5/17, 10, , 
2019/5/18, 16, , 
2019/5/19, 15, , 
2019/5/20, 12, , 
2019/5/21, 9, , 
2019/5/22, 9, 28, 1
2019/5/23, 9, 24, 3
2019/5/24, 13, 18, 2
2019/5/25, 13, 18, 3
2019/5/26, 12, 25, 4
2019/5/27, 16, 21, 4
2019/5/28, 15, 20, 3
2019/5/29, 14, 24, 3
2019/5/30, 11, 14, 4
2019/5/31, 12, , 
2019/6/1, 14, 17, 3
2019/6/2, 18, 20, 4
2019/6/3, 15, 21, 4
2019/6/4, 17, 15, 5
2019/6/5, 14, 18, 4
2019/6/6, 14, 20, 4
2019/6/7, 18, 18, 4
2019/6/8, 19, 14, 4
2019/6/9, 18, 16, 3
2019/6/10, 16, 16, 3
2019/6/11, 13, 18, 4
2019/6/12, 12, 18, 3
2019/6/13, 13, 22, 3
2019/6/14, 15, 15, 4
2019/6/15, 18, 11, 3
2019/6/16, 15, 11, 3
2019/6/17, 12, 19, 3
2019/6/18, 11, 19, 3
2019/6/19, 14, 21, 3
2019/6/20, 13, 23, 4
2019/6/21, 16, 20, 3
2019/6/22, 13, 13, 3
2019/6/23, 11, 20, 3
2019/6/24, 10, 18, 3
2019/6/25, 15, 17, 4
2019/6/26, 22, 27, 4
2019/6/27, 28, 20, 3
2019/6/28, 22, 16, 3
2019/6/29, 15, 18, 3
2019/6/30, 19, 22, 4
2019/1/1, 25, 13, 5
2019/1/2, 30, 12, 5
2019/1/3, 19, 16, 5
2019/1/4, 21, 15, 7
