date, pm25, pm10, o3
2020/1/2, 30, 7, 27
2020/1/3, 29, 6, 30
2020/1/4, 9, 10, 30
2020/1/5, 12, 11, 25
2020/1/6, 18, 12, 27
2020/1/7, 9, 24, 30
2020/1/8, 19, 25, 31
2020/1/9, 36, 12, 16
2020/1/14, 57, 10, 14
2020/1/15, 59, 9, 18
2020/1/16, 36, , 
2019/10/1, 31, 20, 10
2019/10/2, 15, 7, 14
2019/10/3, 11, 9, 11
2019/10/4, 16, 16, 27
2019/10/5, 20, 14, 18
2019/10/6, 29, 13, 26
2019/10/7, 22, 13, 31
2019/10/8, 18, 12, 27
2019/10/9, 22, 18, 25
2019/10/10, 24, 7, 25
2019/10/11, 13, 14, 32
2019/10/12, 18, 18, 31
2019/10/13, 29, 21, 38
2019/10/14, 33, 22, 28
2019/10/15, 46, 14, 27
2019/10/16, 30, 25, 33
2019/10/17, 30, 25, 35
2019/10/18, 28, 15, 26
2019/10/19, 31, 16, 29
2019/10/20, 48, 17, 23
2019/10/21, 16, 12, 25
2019/10/22, 14, 19, 25
2019/10/23, 17, 12, 20
2019/10/24, 19, 14, 24
2019/10/25, 27, 21, 28
2019/10/26, 47, 23, 16
2019/10/27, 36, 16, 15
2019/10/28, 27, 11, 20
2019/10/29, 42, 14, 17
2019/10/30, 30, 6, 23
2019/10/31, 21, 14, 25
2019/11/1, 24, 12, 24
2019/11/2, 23, 19, 34
2019/11/3, 23, 17, 24
2019/11/4, 24, 22, 24
2019/11/5, 34, 28, 32
2019/11/6, 45, 17, 24
2019/11/7, 31, 29, 24
2019/11/8, 40, 23, 29
2019/11/9, 31, 33, 26
2019/11/10, 48, 19, 22
2019/11/11, 30, 11, 24
2019/11/12, 34, 23, 22
2019/11/13, 36, 19, 27
2019/11/14, 47, 28, 28
2019/11/15, 43, 25, 32
2019/11/16, 45, 15, 26
2019/11/17, 32, 23, 23
2019/11/18, 32, 22, 25
2019/11/19, 24, 26, 33
2019/11/20, 42, 6, 16
2019/11/21, 27, 6, 17
2019/11/22, 30, 6, 28
2019/11/23, 29, 10, 26
2019/11/24, 28, 12, 27
2019/11/25, 25, 18, 18
2019/11/26, 45, 8, 25
2019/11/27, 24, 5, 16
2019/11/28, 32, 2, 10
2019/11/29, 20, 5, 21
2019/11/30, 13, 7, 23
2019/12/1, 9, 8, 24
2019/12/2, 23, 10, 26
2019/12/3, 16, 13, 22
2019/12/4, 25, 22, 24
2019/12/5, 42, 13, 21
2019/12/6, 43, 16, 24
2019/12/7, 47, 18, 23
2019/12/8, 72, 12, 25
2019/12/9, 44, 11, 22
2019/12/10, 28, 19, 24
2019/12/11, 27, 16, 24
2019/12/12, 25, 23, 20
2019/12/13, 44, 15, 21
2019/12/14, 60, 11, 18
2019/12/15, 51, 10, 22
2019/12/16, 48, 12, 25
2019/12/17, 66, 9, 24
2019/12/18, 46, 12, 25
2019/12/19, 22, 15, 28
2019/12/20, 43, 12, 20
2019/12/21, 56, 8, 19
2019/12/22, 52, 9, 26
2019/12/23, 40, 12, 25
2019/12/24, 29, 12, 
2019/12/25, 27, 14, 
2019/12/26, 64, 18, 
2019/12/27, 70, 9, 
2019/12/28, 54, , 
2019/7/1, 45, 27, 35
2019/7/2, 49, 28, 35
2019/7/3, 41, 27, 27
2019/7/4, 44, 17, 29
2019/7/5, 39, 14, 31
2019/7/6, 32, 14, 35
2019/7/7, 36, 19, 30
2019/7/8, 49, 15, 26
2019/7/9, 29, 15, 33
2019/7/10, 26, 15, 36
2019/7/11, 33, 20, 38
2019/7/12, 35, 21, 37
2019/7/13, 43, 20, 33
2019/7/14, 43, 13, 31
2019/7/15, 24, 22, 29
2019/7/16, 24, 31, 32
2019/7/17, 43, 27, 33
2019/7/18, 41, 26, 32
2019/7/19, 37, 25, 31
2019/7/20, 38, 10, 37
2019/7/21, 20, 11, 28
2019/7/22, 25, 11, 34
2019/7/23, 30, 16, 38
2019/7/24, 38, 29, 40
2019/7/25, 46, 31, 43
2019/7/26, 57, 30, 46
2019/7/27, 58, 28, 41
2019/7/28, 61, 17, 36
2019/7/29, 37, 10, 42
2019/7/30, 29, 3, 36
2019/7/31, 27, 3, 38
2019/8/1, 20, 3, 31
2019/8/2, 35, 3, 47
2019/8/3, 49, 3, 42
2019/8/4, 58, 3, 31
2019/8/5, 52, 16, 33
2019/8/6, 41, 12, 31
2019/8/7, 28, 12, 37
2019/8/8, 34, 15, 39
2019/8/9, 34, 17, 31
2019/8/10, 34, 14, 35
2019/8/11, 30, 23, 37
2019/8/12, 30, 14, 37
2019/8/13, 23, 18, 29
2019/8/14, 23, 23, 30
2019/8/15, 25, 17, 32
2019/8/16, 32, 16, 34
2019/8/17, 29, 17, 37
2019/8/18, 24, 22, 28
2019/8/19, 43, 25, 28
2019/8/20, 43, 15, 33
2019/8/21, 26, 14, 32
2019/8/22, 30, 17, 34
2019/8/23, 39, 13, 24
2019/8/24, 39, 10, 34
2019/8/25, 19, 9, 24
2019/8/26, 15, 12, 26
2019/8/27, 19, 15, 31
2019/8/28, 20, 22, 35
2019/8/29, 37, 10, 31
2019/8/30, 17, 15, 26
2019/8/31, 25, 11, 28
2019/9/1, 27, 18, 31
2019/9/2, 40, 25, 38
2019/9/3, 59, 26, 34
2019/9/4, 36, 33, 39
2019/9/5, 54, 25, 30
2019/9/6, 45, 32, 28
2019/9/7, 40, 21, 24
2019/9/8, 46, 24, 31
2019/9/9, 48, 24, 27
2019/9/10, 44, 23, 32
