date, pm25, o3, no2, so2, co
2020/1/2, 32, 18, 20, , 3
2020/1/3, 59, 21, 14, , 2
2020/1/4, 23, 24, 9, , 2
2020/1/5, 17, 25, 14, , 2
2020/1/6, 24, 19, 25, 1, 2
2020/1/7, 48, 23, 14, , 2
2020/1/8, 29, 24, 20, , 2
2020/1/9, 25, 21, 18, , 3
2020/1/10, 45, 21, 14, , 2
2020/1/11, 24, 24, 10, , 2
2020/1/12, 23, 20, 21, , 3
2020/1/13, 53, 18, 20, , 2
2020/1/14, 55, 16, 19, , 2
2020/1/15, 28, , , , 
2019/10/1, 42, 13, 10, , 2
2019/10/2, 30, 16, 12, , 2
2019/10/3, 30, 21, 10, , 2
2019/10/4, 29, 23, 10, , 
2019/10/5, 20, 27, 8, , 
2019/10/6, 36, 20, 17, , 2
2019/10/7, 34, 23, 20, , 3
2019/10/8, 27, 22, 16, , 3
2019/10/9, 29, 20, 15, , 2
2019/10/10, 36, 29, 14, , 2
2019/10/11, 29, 26, 7, , 1
2019/10/12, 23, 32, 9, 1, 1
2019/10/13, 29, 22, 6, , 1
2019/10/14, 15, 25, 15, , 2
2019/10/15, 32, 26, 14, , 2
2019/10/16, 33, 18, 7, , 1
2019/10/17, 18, 21, 11, , 2
2019/10/18, 21, 23, 16, , 3
2019/10/19, 32, 24, 18, , 4
2019/10/20, 41, 29, 17, , 4
2019/10/21, 54, 26, 8, , 2
2019/10/22, 27, 23, 14, , 2
2019/10/23, 24, 24, 17, , 2
2019/10/24, 29, 17, 19, , 2
2019/10/25, 37, 25, 14, , 2
2019/10/26, 26, 23, 7, , 2
2019/10/27, 24, 25, 21, 1, 3
2019/10/28, 49, 19, 26, , 4
2019/10/29, 65, 15, 15, , 2
2019/10/30, 26, 10, 13, , 2
2019/10/31, 27, 19, 11, , 1
2019/11/1, 22, 17, 14, , 2
2019/11/2, 39, 21, 10, , 2
2019/11/3, 30, 24, 13, , 2
2019/11/4, 33, 21, 17, , 2
2019/11/5, 37, 22, 17, , 2
2019/11/6, 40, 21, 17, , 2
2019/11/7, 27, 18, 18, , 2
2019/11/8, 25, 20, 14, 1, 2
2019/11/9, 33, 18, 12, , 2
2019/11/10, 50, 20, 12, , 1
2019/11/11, 30, 21, 16, , 1
2019/11/12, 21, 22, 21, , 2
2019/11/13, 30, 20, 21, 1, 2
2019/11/14, 60, 24, 14, , 2
2019/11/15, 54, 25, 14, , 2
2019/11/16, 16, 25, 20, , 3
2019/11/17, 25, 16, 30, , 4
2019/11/18, 41, 18, 26, , 3
2019/11/19, 51, 14, 26, , 4
2019/11/20, 83, 17, 19, , 3
2019/11/21, 58, 21, 11, , 2
2019/11/22, 21, 18, 17, , 2
2019/11/23, 38, 14, 18, , 3
2019/11/24, 69, 11, 20, , 3
2019/11/25, 72, 16, 26, , 5
2019/11/26, 63, 16, 12, , 2
2019/11/27, 61, 21, 9, , 2
2019/11/28, 24, 21, 15, , 2
2019/11/29, 25, 21, 15, , 2
2019/11/30, 22, 24, 10, , 1
2019/12/1, 24, 24, 19, , 2
2019/12/2, 22, 17, 35, , 3
2019/12/3, 61, 17, 19, , 2
2019/12/4, 54, 21, 17, , 2
2019/12/5, 25, 20, 22, , 2
2019/12/6, 31, 22, 19, , 2
2019/12/7, 32, 21, 19, 1, 2
2019/12/8, 40, 20, 17, , 2
2019/12/9, 40, 22, 13, , 2
2019/12/10, 41, 23, 17, , 2
2019/12/11, 37, 20, 20, , 2
2019/12/12, 40, 20, 22, , 3
2019/12/13, 47, 15, 20, , 3
2019/12/14, 56, 26, 8, , 2
2019/12/15, 21, 19, 30, 1, 4
2019/12/16, 47, 22, 27, , 3
2019/12/17, 61, 24, 16, , 2
2019/12/18, 30, 14, 29, , 3
2019/12/19, 43, 19, 29, , 3
2019/12/20, 48, 21, 27, , 3
2019/12/21, 55, 18, 19, 1, 3
2019/12/22, 81, 21, 20, , 3
2019/12/23, 60, 22, 17, , 2
2019/12/24, 15, 19, 14, , 2
2019/12/25, 68, 15, 11, , 2
2019/12/26, 39, 19, 19, , 3
2019/12/27, 65, 21, 10, , 2
2019/12/28, 40, , , , 
2019/7/1, 18, 31, 17, , 2
2019/7/2, 53, 52, 19, , 2
2019/7/3, 48, 41, 23, , 3
2019/7/4, 64, 44, 17, , 3
2019/7/5, 62, 48, 12, , 2
2019/7/6, 62, 22, 31, , 1
2019/7/7, 34, 31, 15, , 2
2019/7/8, 38, 41, 19, , 2
2019/7/9, 55, 52, 25, , 3
2019/7/10, 60, 38, 12, , 2
2019/7/11, 48, 23, 9, , 2
2019/7/12, 28, 43, 14, , 3
2019/7/13, 45, 25, 10, , 2
2019/7/14, 26, 40, 10, 1, 2
2019/7/15, 28, 30, 13, 1, 2
2019/7/16, 42, 28, 14, , 2
2019/7/17, 38, 37, 13, , 1
2019/7/18, 37, 34, 15, , 2
2019/7/19, 43, 37, 10, , 2
2019/7/20, 44, 28, 8, , 2
2019/7/21, 32, 28, 16, , 2
2019/7/22, 34, 27, 14, , 2
2019/7/23, 48, 28, 12, , 2
2019/7/24, 35, 35, 18, , 3
2019/7/25, 50, 46, 19, 2, 3
2019/7/26, 72, 47, 14, 2, 3
2019/7/27, 61, 41, 12, , 2
2019/7/28, 53, 40, 18, , 3
2019/7/29, 57, 31, 12, 5, 3
2019/7/30, 37, 35, 11, , 2
2019/7/31, 30, 28, 14, , 2
2019/8/1, 33, 39, 20, , 2
2019/8/2, 40, 43, 15, 1, 2
2019/8/3, 42, 32, 6, , 2
2019/8/4, 41, 40, 13, 2, 2
2019/8/5, 42, 36, 16, , 2
2019/8/6, 50, 50, 16, , 2
2019/8/7, 43, 27, 18, , 3
2019/8/8, 41, 21, 10, , 2
2019/8/9, 24, 22, 8, , 2
2019/8/10, 17, 33, 11, , 2
2019/8/11, 30, 40, 19, , 3
2019/8/12, 47, 42, 23, , 3
2019/8/13, 59, 22, 11, , 2
2019/8/14, 25, 18, 12, , 2
2019/8/15, 27, 32, 17, , 2
2019/8/16, 29, 35, 18, , 2
2019/8/17, 50, 38, 13, , 3
2019/8/18, 39, 29, 9, , 2
2019/8/19, 32, 36, 20, , 3
2019/8/20, 31, 37, 14, , 2
2019/8/21, 39, 23, 10, , 2
2019/8/22, 38, 19, 8, , 2
2019/8/23, 22, 20, 6, , 2
2019/8/24, 20, 19, 9, , 5
2019/8/25, 26, 29, 11, , 1
2019/8/26, 27, 22, 6, , 2
2019/8/27, 28, 30, 15, , 2
2019/8/28, 47, 33, 10, , 2
2019/8/29, 22, 33, 11, , 3
2019/8/30, 40, 28, 11, , 2
2019/8/31, 23, 22, 10, , 2
2019/9/1, 30, 29, 9, , 2
2019/9/2, 33, 28, 12, , 2
2019/9/3, 32, 23, 10, , 2
2019/9/4, 38, 27, 14, , 2
2019/9/5, 37, 22, 18, , 3
2019/9/6, 33, 21, 12, , 2
2019/9/7, 27, 19, 6, , 2
2019/9/8, 20, 22, 12, , 2
2019/9/9, 19, 24, 23, , 3
2019/9/10, 33, 39, 16, , 3
2019/9/11, 55, 19, 11, , 2
2019/9/12, 32, 18, 11, , 2
2019/9/13, 28, 27, 7, , 2
2019/9/14, 37, 18, 16, , 3
2019/9/15, 34, 19, 13, , 2
2019/9/16, 34, 22, 14, , 3
2019/9/17, 34, 29, 18, , 4
2019/9/18, 39, 34, 14, , 2
2019/9/19, 31, 41, 25, 1, 4
2019/9/20, 51, 44, 24, 1, 5
2019/9/21, 55, 42, 8, , 2
2019/9/22, 61, 33, 9, , 2
2019/9/23, 35, 20, 13, , 2
2019/9/24, 35, 41, 14, , 3
2019/9/25, 33, 27, 17, , 2
2019/9/26, 36, 34, 17, 1, 3
2019/9/27, 37, 27, 11, , 2
2019/9/28, 42, 21, 7, , 1
2019/9/29, 27, 18, 10, , 1
2019/9/30, 23, 27, 17, , 3
2019/4/1, 27, 34, 9, 2, 2
2019/4/2, 34, 36, 13, , 2
2019/4/3, 34, 32, 11, , 2
2019/4/4, 25, 29, 12, , 2
2019/4/5, 35, 30, 18, , 3
2019/4/6, 79, 36, 12, , 3
2019/4/7, 42, 32, 14, , 3
2019/4/8, 37, 28, 11, , 2
2019/4/9, 18, 29, 9, , 2
2019/4/10, 14, 31, 10, , 2
2019/4/11, 20, 31, 10, , 2
2019/4/12, 34, 38, 13, , 2
2019/4/13, 28, 28, 7, , 2
2019/4/14, 17, 36, 10, , 2
2019/4/15, 13, 29, 28, , 3
2019/4/16, 43, 38, 18, , 2
2019/4/17, 40, 40, 9, 2, 2
2019/4/18, 39, 28, 8, , 2
2019/4/19, 26, 29, 8, , 2
