date, pm25, pm10, o3, no2, so2
2020/1/2, 65, 40, 11, 26, 
2020/1/3, 90, 14, 24, 9, 
2020/1/4, 39, 15, 16, 13, 
2020/1/5, 52, 22, 19, 21, 
2020/1/6, 56, 41, 7, 31, 
2020/1/7, 88, 40, 10, 28, 
2020/1/8, 87, 27, 25, 26, 
2020/1/9, 61, 11, 27, 14, 
2020/1/10, 26, 28, 24, 26, 
2020/1/11, 63, 40, 17, 23, 
2020/1/12, 97, 38, 20, 25, 
2020/1/13, 78, 24, 28, 22, 
2020/1/14, 48, 33, 31, 32, 
2020/1/15, 59, , , , 
2019/10/1, 40, 17, 26, 9, 
2019/10/2, 26, 15, 28, 14, 
2019/10/3, 28, 18, 22, 21, 
2019/10/4, 42, 16, 26, 11, 
2019/10/5, 30, 12, 28, 7, 
2019/10/6, 26, 16, 28, 13, 
2019/10/7, 26, 21, 26, 28, 
2019/10/8, 40, 16, 22, 14, 
2019/10/9, 39, 19, 27, 25, 
2019/10/10, 35, 23, 31, 22, 
2019/10/11, 37, 20, 31, 9, 
2019/10/12, 39, 18, 31, 4, 
2019/10/13, 34, 26, 32, 12, 
2019/10/14, 44, 17, 28, 9, 
2019/10/15, 29, 22, 29, 27, 
2019/10/16, 39, 25, 29, 29, 
2019/10/17, 46, 21, 24, 24, 
2019/10/18, 46, 22, 28, 22, 
2019/10/19, 47, 20, 26, 12, 
2019/10/20, 51, 14, 27, 24, 
2019/10/21, 33, 21, 7, 20, 
2019/10/22, 51, 19, 27, 16, 
2019/10/23, 34, 18, 26, 17, 
2019/10/24, 27, 41, 23, 25, 
2019/10/25, 69, 44, 33, 15, 
2019/10/26, 93, 35, 31, 17, 
2019/10/27, 60, 34, 25, 24, 
2019/10/28, 63, 35, 17, 25, 
2019/10/29, 68, 35, 20, 23, 
2019/10/30, 71, 28, 23, 15, 
2019/10/31, 63, 17, 13, 17, 
2019/11/1, 39, 15, 18, 19, 
2019/11/2, 33, 12, 28, 5, 
2019/11/3, 20, 13, 23, 20, 
2019/11/4, 26, 10, 24, 11, 
2019/11/5, 19, 11, 22, 13, 
2019/11/6, 18, 13, 19, 18, 
2019/11/7, 27, 8, 25, 14, 
2019/11/8, 14, 12, 22, 14, 
2019/11/9, 22, 10, 27, 7, 
2019/11/10, 21, 15, 23, 12, 
2019/11/11, 36, 11, 24, 12, 
2019/11/12, 20, 17, 25, 18, 
2019/11/13, 28, 21, 23, 26, 
2019/11/14, 30, 28, 18, 24, 
2019/11/15, 57, 13, 24, 15, 
2019/11/16, 30, 8, 26, 12, 
2019/11/17, 17, 16, 17, 13, 
2019/11/18, 46, 23, 20, 20, 
2019/11/19, 49, 38, 19, 27, 
2019/11/20, 79, 41, 16, 32, 
2019/11/21, 79, 28, 25, 22, 
2019/11/22, 51, 12, 30, 13, 
2019/11/23, 24, 16, 27, 12, 
2019/11/24, 32, 27, 8, 27, 
2019/11/25, 59, 30, 24, 28, 
2019/11/26, 55, 26, 25, 26, 
2019/11/27, 51, 14, 24, 23, 
2019/11/28, 32, 18, 24, 23, 
2019/11/29, 35, 22, 23, 19, 
2019/11/30, 46, 25, 18, 21, 
2019/12/1, 61, 15, 10, 14, 
2019/12/2, 39, 26, 3, 22, 
2019/12/3, 61, 35, 9, 28, 
2019/12/4, 68, 52, 4, 32, 
2019/12/5, 95, 44, 2, 28, 
2019/12/6, 90, 46, 8, 23, 
2019/12/7, 96, 24, 22, 14, 
2019/12/8, 57, 17, 30, 9, 
2019/12/9, 25, 41, 23, 37, 
2019/12/10, 58, 23, 22, 24, 
2019/12/11, 49, 9, 24, 19, 
2019/12/12, 22, 6, 30, 6, 
2019/12/13, 10, 18, 31, 13, 
2019/12/14, 28, 22, 25, 21, 
2019/12/15, 47, 23, 30, 19, 
2019/12/16, 42, 29, 26, 14, 
2019/12/17, 43, 27, 27, 21, 
2019/12/18, 42, 33, 29, 17, 
2019/12/19, 51, 20, 28, 23, 
2019/12/20, 35, 12, 29, 17, 
2019/12/21, 31, 9, 32, 6, 
2019/12/22, 19, 15, 31, 15, 
2019/12/23, 34, 20, 20, 19, 
2019/12/24, 47, 19, 18, 17, 
2019/12/25, 47, 25, 28, 18, 
2019/12/26, 57, 33, 22, 21, 
2019/12/27, 72, 14, 21, 18, 
2019/12/28, 38, , , , 
2019/7/1, 33, 15, 31, 11, 
2019/7/2, 29, 21, 68, 21, 
2019/7/3, 48, 24, 63, 27, 
2019/7/4, 49, 28, 51, 29, 
2019/7/5, 54, 28, 60, 14, 
2019/7/6, 58, 24, 50, 8, 
2019/7/7, 55, 22, 46, 16, 
2019/7/8, 50, 20, 39, 12, 
2019/7/9, 45, 16, 46, 13, 
2019/7/10, 30, 20, 44, 19, 
2019/7/11, 41, 19, 33, 13, 
2019/7/12, 39, 18, 40, 15, 
2019/7/13, 39, , , , 
2019/7/17, 32, 19, 36, 10, 
2019/7/18, 36, 20, 41, 20, 
2019/7/19, 34, 23, 41, 15, 
2019/7/20, 51, 19, 46, 9, 
2019/7/21, 47, 24, 47, 24, 
