date, pm25, pm10, o3, no2, so2, co
2020/1/2, 37, 18, 16, 9, , 4
2020/1/3, 55, 12, 21, 6, , 4
2020/1/4, 47, 5, 28, 3, , 4
2020/1/5, 20, 5, 25, 4, , 3
2020/1/6, 16, 19, 18, 6, , 3
2020/1/7, 53, 9, 19, 8, , 3
2020/1/8, 32, 6, 21, 4, , 3
2020/1/9, 29, 7, 24, 5, , 3
2020/1/10, 9, 8, 28, 4, , 3
2020/1/14, 28, 12, 25, 4, , 4
2020/1/15, 24, , , , , 
2019/10/1, 16, 19, 29, 4, , 3
2019/10/2, 17, 15, 30, 5, , 2
2019/10/3, 17, 19, 30, 2, , 2
2019/10/4, 13, 16, 30, 2, , 3
2019/10/5, 14, 20, 43, 2, , 4
2019/10/6, 17, 32, 44, 5, , 5
2019/10/7, 22, 30, 49, 6, , 3
2019/10/8, 28, 61, 34, 2, , 1
2019/10/9, 22, 51, 32, 2, , 3
2019/10/10, 19, 45, 42, 6, , 4
2019/10/11, 35, 47, 51, 5, , 5
2019/10/12, 38, 37, 53, 3, , 4
2019/10/13, 39, 36, 42, 8, , 3
2019/10/14, 36, 32, 51, 8, , 4
2019/10/15, 56, 22, 42, 7, , 4
2019/10/16, 37, 16, 32, 2, , 1
2019/10/17, 13, 17, 35, 2, , 1
2019/10/18, 23, 20, 30, 4, , 2
2019/10/19, 22, 16, 33, 2, , 1
2019/10/20, 18, 32, 30, 4, , 2
2019/10/21, 17, 23, 34, 4, , 4
2019/10/22, 15, 39, 32, 3, , 4
2019/10/23, 19, 38, 31, 4, , 3
2019/10/24, 16, 33, 40, 6, , 6
2019/10/25, 26, 36, 41, 6, , 5
2019/10/26, 39, 184, 29, 2, , 2
2019/10/27, 62, 15, 30, 4, , 3
2019/10/28, 20, 38, 31, 7, , 3
2019/10/29, 52, 31, 29, 4, , 4
2019/10/30, 20, 49, 37, 6, , 5
2019/10/31, 35, 43, 38, 7, , 5
2019/11/1, 32, 43, 47, 7, , 7
2019/11/2, 46, 31, 50, 4, , 4
2019/11/3, 37, 35, 49, 9, , 6
2019/11/4, 46, 41, 54, 10, , 7
2019/11/5, 55, 39, 47, 9, , 6
2019/11/6, 53, 43, 49, 10, , 6
2019/11/7, 55, 39, 40, 10, , 6
2019/11/8, 51, 39, 40, 9, , 5
2019/11/9, 48, 24, 39, 6, , 6
2019/11/10, 40, 34, 42, 7, , 5
2019/11/11, 35, 47, 42, 12, , 5
2019/11/12, 45, 46, 43, 11, , 7
2019/11/13, 55, 40, 28, 11, , 2
2019/11/14, 50, 13, 27, 8, , 2
2019/11/15, 23, 16, 30, 5, , 5
2019/11/16, 25, 27, 39, 5, , 5
2019/11/17, 41, 38, 45, 10, , 7
