date, pm25, pm10, so2
2020/1/1, 119, , 
2020/1/2, 104, 39, 
2020/1/3, 102, 48, 
2020/1/4, 129, 56, 
2020/1/5, 153, 67, 
2020/1/6, 163, 60, 
2020/1/7, 155, 40, 
2020/1/8, 89, 51, 
2020/1/9, 129, 52, 
2020/1/10, 122, 42, 
2020/1/11, 97, 34, 
2020/1/12, 93, 32, 
2020/1/13, 80, 47, 
2020/1/14, 109, , 
2019/10/1, 53, 16, 
2019/10/2, 38, 7, 
2019/10/3, 21, 9, 
2019/10/4, 30, 15, 
2019/10/5, 38, , 
2019/10/7, 34, 17, 
2019/10/8, 53, 20, 
2019/10/9, 50, 18, 
2019/10/10, 53, 15, 
2019/10/11, 42, 26, 
2019/10/12, 70, 56, 
2019/10/13, 122, 63, 
2019/10/14, 151, 46, 
2019/10/15, 99, 17, 
2019/10/16, 46, 24, 
2019/10/17, 59, 48, 
2019/10/18, 93, 33, 
2019/10/19, 78, 20, 
2019/10/20, 53, 24, 
2019/10/21, 57, 25, 
2019/10/22, 59, 31, 
2019/10/23, 63, 30, 
2019/10/24, 65, 31, 
2019/10/25, 68, 25, 
2019/10/26, 63, 33, 
2019/10/27, 76, , 
2019/10/30, 34, 10, 
2019/10/31, 38, 11, 
2019/11/1, 42, 19, 
2019/11/2, 59, 10, 
2019/11/3, 25, 20, 
2019/11/4, 63, 17, 
2019/11/5, 46, 22, 
2019/11/6, 61, 12, 
2019/11/7, 34, 10, 
2019/11/8, 34, 10, 
2019/11/9, 34, 12, 
2019/11/10, 46, 10, 
2019/11/11, 34, 5, 
2019/11/12, 5, 10, 
2019/11/13, 34, 12, 
2019/11/14, 42, 12, 
2019/11/15, 25, 11, 
2019/11/16, 46, 10, 
2019/11/17, 34, 20, 
2019/11/18, 65, 6, 
2019/11/19, 17, 18, 
2019/11/20, 50, 31, 
2019/11/21, 80, 20, 
2019/11/22, 61, 10, 
2019/11/23, 34, 13, 
2019/11/24, 34, 18, 
2019/11/25, 55, 20, 
2019/11/26, 57, 20, 
2019/11/27, 57, 29, 
2019/11/28, 76, 39, 
2019/11/29, 104, 24, 
2019/11/30, 68, 15, 
2019/12/1, 46, 10, 
2019/12/2, 38, 16, 
2019/12/3, 55, 24, 
2019/12/4, 68, 28, 
2019/12/5, 72, 34, 
2019/12/6, 89, 42, 
2019/12/7, 97, 42, 
2019/12/8, 104, 40, 
2019/12/9, 97, 25, 
2019/12/10, 68, 23, 
2019/12/11, 65, 20, 
2019/12/12, 59, 20, 
2019/12/13, 59, , 
2019/12/15, 63, 33, 
2019/12/16, 80, 27, 
2019/12/17, 65, 26, 
2019/12/18, 61, 18, 
2019/12/19, 42, 26, 
2019/12/20, 61, 15, 
2019/12/21, 38, 12, 
2019/12/22, 46, 21, 
2019/12/23, 65, 27, 
2019/12/24, 78, 21, 
2019/12/25, 63, 28, 
2019/12/26, 78, 22, 
2019/12/27, 61, , 
2019/7/1, 57, 19, 
2019/7/2, 59, 13, 
2019/7/3, 34, 16, 
2019/7/4, 55, 22, 
2019/7/5, 63, 25, 
2019/7/6, 72, 12, 
2019/7/7, 50, 11, 
2019/7/8, 38, 11, 
2019/7/9, 34, 12, 
2019/7/10, 42, 15, 
2019/7/11, 46, 16, 
2019/7/12, 57, 14, 
2019/7/13, 42, 9, 
2019/7/14, 25, 9, 
2019/7/15, 34, 12, 
2019/7/16, 42, 18, 
2019/7/17, 53, 11, 
2019/7/18, 46, 19, 
2019/7/19, 50, 17, 
2019/7/20, 55, 16, 
2019/7/21, 55, 17, 
2019/7/22, 55, 22, 
2019/7/23, 63, 21, 
2019/7/24, 63, 24, 
2019/7/25, 72, 19, 
2019/7/26, 53, , 
2019/7/28, 30, , 
2019/7/29, 21, , 
2019/8/3, 34, 10, 
2019/8/4, 25, 13, 
2019/8/5, 46, 14, 
2019/8/6, 50, 12, 
2019/8/7, 46, 9, 
2019/8/8, 25, 17, 
2019/8/9, 50, 20, 
2019/8/10, 57, 21, 
2019/8/11, 57, 21, 
2019/8/12, 53, 18, 
2019/8/13, 38, 9, 
2019/8/14, 25, 8, 
2019/8/15, 30, 8, 
2019/8/16, 17, 10, 
2019/8/17, 30, 12, 
2019/8/18, 46, 15, 
2019/8/19, 50, 17, 
2019/8/20, 50, 17, 
2019/8/21, 53, 12, 
2019/8/22, 42, 17, 
2019/8/23, 55, 18, 
2019/8/24, 59, 14, 
2019/8/25, 55, 20, 
2019/8/26, 53, 26, 
2019/8/27, 68, 27, 
2019/8/28, 65, 29, 
2019/8/29, 72, 20, 
2019/8/30, 57, 25, 
2019/8/31, 63, 25, 
2019/9/1, 65, 20, 
2019/9/2, 55, 8, 
2019/9/3, 21, 16, 
2019/9/4, 34, 16, 
2019/9/5, 42, 11, 
2019/9/6, 34, 12, 
2019/9/7, 21, 6, 
2019/9/8, 9, 8, 
2019/9/9, 17, 10, 
2019/9/10, 25, 17, 
2019/9/11, 50, 19, 
2019/9/12, 55, , 
2019/9/14, 46, 13, 
2019/9/15, 42, 20, 
2019/9/16, 55, 24, 
2019/9/17, 55, 19, 
2019/9/18, 50, 13, 
2019/9/19, 25, 15, 
2019/9/20, 34, 12, 
2019/9/21, 42, 15, 
2019/9/22, 30, 15, 
2019/9/23, 50, 11, 
2019/9/24, 38, 14, 
2019/9/25, 46, 10, 
2019/9/26, 30, 19, 
2019/9/27, 53, 20, 
2019/9/28, 50, 19, 
2019/9/29, 46, 25, 
2019/9/30, 55, 21, 
2019/4/1, 57, 32, 
2019/4/2, 72, 33, 
2019/4/3, 82, 20, 
2019/4/4, 55, 10, 
2019/4/5, 30, 16, 
2019/4/6, 50, 17, 
2019/4/7, 53, 31, 
2019/4/8, 80, 25, 
2019/4/9, 68, 19, 
2019/4/10, 55, 11, 
2019/4/11, 38, 14, 
2019/4/12, 50, 24, 
2019/4/13, 63, 14, 
2019/4/14, 55, 13, 
2019/4/15, 46, 28, 
2019/4/16, 76, 31, 
2019/4/17, 78, 20, 
2019/4/18, 50, 14, 
2019/4/19, 42, 17, 
2019/4/20, 53, 15, 
2019/4/21, 50, 20, 
2019/4/22, 57, 10, 
2019/4/23, 34, 38, 
2019/4/24, 55, 49, 
2019/4/25, 59, 30, 
2019/4/26, 46, 11, 
2019/4/27, 30, 6, 
2019/4/28, 21, , 
2019/4/30, 50, 14, 
2019/5/1, 50, 15, 
2019/5/2, 50, 14, 
2019/5/3, 50, 9, 
2019/5/4, 30, 4, 
2019/5/5, 13, 9, 
2019/5/6, 34, 11, 
2019/5/7, 30, 19, 
2019/5/8, 57, 11, 
2019/5/9, 42, 14, 
2019/5/10, 42, , 
2019/5/12, 17, 5, 
2019/5/13, 13, 14, 
2019/5/14, 34, 12, 
2019/5/15, 34, 9, 
2019/5/16, 38, 10, 
2019/5/17, 38, 10, 
2019/5/18, 30, 10, 
2019/5/19, 30, 11, 
2019/5/20, 38, 12, 
2019/5/21, 42, 13, 
2019/5/22, 50, 19, 
2019/5/23, 55, 15, 
2019/5/24, 50, 16, 
2019/5/25, 53, 12, 
2019/5/26, 38, 9, 
2019/5/27, 30, 6, 
2019/5/28, 25, 5, 
2019/5/29, 13, 12, 
2019/5/30, 38, 11, 
2019/5/31, 34, 13, 
2019/6/1, 38, 13, 
2019/6/2, 46, 18, 
2019/6/3, 50, 23, 
2019/6/4, 61, 24, 
2019/6/5, 63, 24, 
2019/6/6, 55, 23, 
2019/6/7, 63, 25, 
2019/6/8, 68, 26, 
2019/6/9, 59, 31, 
2019/6/10, 61, 39, 
2019/6/11, 65, 33, 
2019/6/12, 68, 32, 
2019/6/13, 61, 21, 
2019/6/14, 50, 27, 
2019/6/15, 55, 35, 
2019/6/16, 65, 17, 
2019/6/17, 42, 18, 
2019/6/18, 50, 20, 
2019/6/19, 55, 23, 
2019/6/20, 72, 20, 
2019/6/21, 57, 14, 
2019/6/22, 53, 6, 
2019/6/23, 17, 16, 
2019/6/24, 50, 21, 
2019/6/25, 57, 21, 
2019/6/26, 61, 33, 
2019/6/27, 74, 28, 
2019/6/28, 68, 23, 
2019/6/29, 55, 21, 
2019/6/30, 61, 20, 
2019/1/1, 89, 25, 
2019/1/2, 74, 18, 
2019/1/3, 57, 27, 
2019/1/4, 72, 48, 
2019/1/5, 112, 74, 
2019/1/6, 170, 45, 
2019/1/7, 112, 37, 
2019/1/8, 93, 47, 
2019/1/9, 114, 40, 
2019/1/10, 97, 39, 
2019/1/11, 91, 40, 
2019/1/12, 93, 41, 
2019/1/13, 99, 50, 
2019/1/14, 114, 18, 
2019/1/15, 46, 33, 
2019/1/16, 70, 49, 
2019/1/17, 104, 11, 
2019/1/18, 30, 12, 
2019/1/19, 42, 29, 
2019/1/20, 80, , 
2019/1/22, 57, 18, 
2019/1/23, 61, 20, 
2019/1/24, 59, 34, 
2019/1/25, 87, 50, 
2019/1/26, 129, 35, 
2019/1/27, 93, 22, 
2019/1/28, 63, 21, 
2019/1/29, 65, 20, 
2019/1/30, 59, 21, 
2019/1/31, 61, 16, 
2019/2/1, 46, 15, 
2019/2/2, 42, 19, 
2019/2/3, 55, 15, 
2019/2/4, 50, 23, 
2019/2/5, 63, 26, 
2019/2/6, 70, 30, 
2019/2/7, 80, 30, 
2019/2/8, 72, 41, 
2019/2/9, 104, 60, 
2019/2/10, 156, 37, 
2019/2/11, 95, 34, 
2019/2/12, 87, 30, 
2019/2/13, 78, 44, 
2019/2/14, 102, 37, 
2019/2/15, 87, 40, 
2019/2/16, 95, 42, 
2019/2/17, 104, 55, 
2019/2/18, 144, 70, 
2019/2/19, 164, 79, 
2019/2/20, 169, 76, 
2019/2/21, 167, 76, 
2019/2/22, 165, 29, 
2019/2/23, 74, 30, 
2019/2/24, 78, 40, 
2019/2/25, 89, 53, 
2019/2/26, 122, 50, 
2019/2/27, 104, 50, 
2019/2/28, 114, 44, 
2019/3/1, 97, 57, 
2019/3/2, 147, 47, 
2019/3/3, 117, 51, 
2019/3/4, 122, 35, 
2019/3/5, 89, 52, 
2019/3/6, 122, 41, 
2019/3/7, 68, 30, 
2019/3/8, 63, 26, 
2019/3/9, 57, 31, 
2019/3/10, 72, 21, 
2019/3/11, 55, 11, 
2019/3/12, 38, 19, 
2019/3/13, 46, 37, 
2019/3/14, 91, 48, 
2019/3/15, 109, 38, 
2019/3/16, 74, 33, 
2019/3/17, 70, 18, 
2019/3/18, 50, 10, 
2019/3/19, 34, 13, 
2019/3/20, 34, 19, 
2019/3/21, 53, 23, 
2019/3/22, 61, 19, 
2019/3/23, 55, 20, 
2019/3/24, 57, 26, 
2019/3/25, 70, 8, 
2019/3/26, 21, 14, 
2019/3/27, 50, 14, 
2019/3/28, 38, 18, 
2019/3/29, 50, 22, 
2019/3/30, 61, 24, 
2019/3/31, 63, 22, 
2018/10/1, 38, 7, 
2018/10/2, 21, 10, 
2018/10/3, 34, 10, 
2018/10/4, 30, 15, 
2018/10/5, 46, 12, 
2018/10/6, 42, 10, 
2018/10/7, 25, 15, 
2018/10/8, 46, 25, 
2018/10/9, 68, 31, 
2018/10/10, 59, 31, 
2018/10/11, 78, , 
2018/10/14, 72, 28, 
2018/10/15, 72, 30, 
2018/10/16, 72, , 
2018/10/20, 91, , 
2018/10/23, 59, 45, 
2018/10/24, 99, 40, 
2018/10/25, 85, 25, 
2018/10/26, 59, 23, 
2018/10/27, 57, 18, 
2018/10/28, 34, 24, 
2018/10/29, 38, 13, 
2018/10/30, 34, 11, 
2018/10/31, 30, 14, 
2018/11/1, 38, 16, 
2018/11/2, 34, 14, 
2018/11/3, 42, 19, 
2018/11/4, 53, 20, 
2018/11/5, 55, 14, 
2018/11/6, 46, 20, 
2018/11/7, 50, 22, 
2018/11/8, 59, 27, 
2018/11/9, 70, 27, 
2018/11/10, 68, 29, 
2018/11/11, 70, 31, 
2018/11/12, 78, 55, 
2018/11/13, 132, 28, 
2018/11/14, 72, 21, 
2018/11/15, 59, 20, 
2018/11/16, 59, 14, 
2018/11/17, 50, 17, 
2018/11/18, 57, 23, 
2018/11/19, 68, 11, 
2018/11/20, 38, 25, 
2018/11/21, 68, 22, 
2018/11/22, 63, 24, 
2018/11/23, 65, 18, 
2018/11/24, 53, 20, 
2018/11/25, 59, 20, 
2018/11/26, 59, 19, 
2018/11/27, 57, 24, 
2018/11/28, 74, 25, 
2018/11/29, 74, 27, 
2018/11/30, 76, 32, 
2018/12/1, 80, 46, 
2018/12/2, 117, 40, 
2018/12/3, 97, 47, 
2018/12/4, 99, 23, 
2018/12/5, 68, 26, 
2018/12/6, 74, 33, 
2018/12/7, 80, 31, 
2018/12/8, 85, 29, 
2018/12/9, 80, 40, 
2018/12/10, 91, 27, 
2018/12/11, 74, 28, 
2018/12/12, 72, 10, 
2018/12/13, 34, 17, 
2018/12/14, 53, 30, 
2018/12/15, 82, 31, 
2018/12/16, 85, 32, 
2018/12/17, 80, 29, 
2018/12/18, 74, 30, 
2018/12/19, 74, 22, 
2018/12/20, 65, 51, 
2018/12/21, 132, 49, 
2018/12/22, 127, 45, 
2018/12/23, 129, 62, 
2018/12/24, 158, 34, 
2018/12/25, 95, 30, 
2018/12/26, 91, 41, 
2018/12/27, 97, 63, 
2018/12/28, 157, 58, 
2018/12/29, 151, 38, 
2018/12/30, 97, , 
2018/7/1, 38, 15, 
2018/7/2, 42, 18, 
2018/7/3, 53, 11, 
2018/7/4, 34, 12, 
2018/7/5, 42, 9, 
2018/7/6, 30, 9, 
2018/7/7, 25, 10, 
2018/7/8, 34, 14, 
2018/7/9, 42, 12, 
2018/7/10, 38, 10, 
2018/7/11, 34, 10, 
2018/7/12, 25, 10, 
2018/7/13, 34, 11, 
2018/7/14, 42, 10, 
2018/7/15, 34, 9, 
2018/7/16, 30, 11, 
2018/7/17, 38, 15, 
2018/7/18, 50, , 
2018/7/19, 55, 16, 
2018/7/20, 50, 10, 
2018/7/21, 30, 11, 
2018/7/22, 38, 12, 
2018/7/23, 42, 16, 
2018/7/24, 50, , 
2018/7/26, 50, 14, 
2018/7/27, 46, 16, 
2018/7/28, 50, , 
2018/7/31, 61, 21, 
2018/8/1, 63, 17, 
2018/8/2, 55, 18, 
2018/8/3, 53, 17, 
2018/8/4, 57, 16, 
2018/8/5, 53, 19, 
2018/8/6, 57, 20, 
2018/8/7, 57, 20, 
2018/8/8, 61, 18, 
2018/8/9, 55, 19, 
2018/8/10, 53, 15, 
2018/8/11, 42, 10, 
2018/8/12, 34, 13, 
2018/8/13, 21, 10, 
2018/8/14, 30, 7, 
2018/8/15, 21, 9, 
2018/8/16, 25, 11, 
2018/8/17, 34, 13, 
2018/8/18, 46, 14, 
2018/8/19, 46, 15, 
2018/8/20, 46, 16, 
2018/8/21, 50, 20, 
2018/8/22, 55, 21, 
2018/8/23, 57, 18, 
2018/8/24, 53, 10, 
2018/8/25, 38, 3, 
2018/8/26, 13, 7, 
2018/8/27, 17, 10, 
2018/8/28, 25, 12, 
2018/8/29, 34, 15, 
2018/8/30, 46, 10, 
2018/8/31, 34, 7, 
2018/9/1, 21, 6, 
2018/9/2, 17, 10, 
2018/9/3, 30, 10, 
2018/9/4, 34, 14, 
2018/9/5, 34, 17, 
2018/9/6, 50, 15, 
2018/9/7, 46, , 
2018/9/9, 42, 18, 
2018/9/10, 53, 19, 
2018/9/11, 55, 24, 
2018/9/12, 59, 26, 
2018/9/13, 65, 23, 
2018/9/14, 61, 20, 
2018/9/15, 61, 17, 
2018/9/16, 59, 21, 
2018/9/17, 61, 22, 
2018/9/18, 61, 22, 
2018/9/19, 61, 19, 
2018/9/20, 53, 24, 
2018/9/21, 63, 20, 
2018/9/22, 55, 15, 
2018/9/23, 38, 13, 
2018/9/24, 38, 9, 
2018/9/25, 17, 15, 
2018/9/26, 38, 17, 
2018/9/27, 42, 14, 
2018/9/28, 34, 15, 
2018/9/29, 46, 12, 
2018/9/30, 30, 14, 
2018/4/1, 38, 15, 
2018/4/2, 50, 26, 
2018/4/3, 63, 17, 
2018/4/4, 34, 13, 
2018/4/5, 38, 16, 
2018/4/6, 50, 16, 
2018/4/7, 50, 17, 
2018/4/8, 55, 18, 
2018/4/9, 53, 16, 
2018/4/10, 50, 7, 
2018/4/11, 21, 11, 
2018/4/12, 30, 10, 
2018/4/13, 30, 10, 
2018/4/14, 34, 23, 
2018/4/15, 53, , 
2018/4/17, 57, 18, 
2018/4/18, 55, 20, 
2018/4/19, 53, 21, 
2018/4/20, 53, 20, 
2018/4/21, 53, 20, 
2018/4/22, 55, 24, 
2018/4/23, 57, 38, 
2018/4/24, 72, 22, 
2018/4/25, 57, 29, 
2018/4/26, 59, 12, 
2018/4/27, 25, 20, 
2018/4/28, 46, 27, 
2018/4/29, 57, 18, 
2018/4/30, 42, 13, 
2018/5/1, 30, 17, 
2018/5/2, 34, 23, 
2018/5/3, 50, 16, 
2018/5/4, 38, 17, 
2018/5/5, 42, 20, 
2018/5/6, 55, 17, 
2018/5/7, 46, 19, 
2018/5/8, 53, 11, 
2018/5/9, 30, 16, 
2018/5/10, 42, 14, 
2018/5/11, 46, 14, 
2018/5/12, 46, 13, 3
2018/5/13, 42, 10, 4
2018/5/14, 25, 8, 2
2018/5/15, 21, 10, 
2018/5/16, 30, 10, 
2018/5/17, 30, 11, 
2018/5/18, 34, 12, 
2018/5/19, 38, 10, 
2018/5/20, 34, 13, 
2018/5/21, 42, 10, 
2018/5/22, 34, 12, 1
2018/5/23, 34, 16, 1
2018/5/24, 46, 16, 
2018/5/25, 42, 14, 
2018/5/26, 46, 16, 
2018/5/27, 50, 25, 
2018/5/28, 63, 25, 1
2018/5/29, 65, 22, 1
2018/5/30, 59, 25, 1
2018/5/31, 59, 28, 
2018/6/1, 61, 25, 
2018/6/2, 61, 17, 1
2018/6/3, 50, 22, 2
2018/6/4, 57, 20, 2
2018/6/5, 34, 20, 
2018/6/6, 59, 20, 
2018/6/7, 57, 10, 
2018/6/8, 30, 17, 
2018/6/9, 34, 20, 
2018/6/10, 55, 20, 
2018/6/11, 57, 18, 
2018/6/12, 42, 12, 
2018/6/13, 30, 7, 
2018/6/14, 21, 10, 
2018/6/15, 30, 12, 
2018/6/16, 38, 14, 
2018/6/17, 46, 15, 
2018/6/18, 42, 12, 
2018/6/19, 38, 16, 
2018/6/20, 46, 17, 
2018/6/21, 50, 10, 
2018/6/22, 30, 10, 
2018/6/23, 34, 10, 
2018/6/24, 34, 7, 
2018/6/25, 21, 9, 
2018/6/26, 30, 12, 
2018/6/27, 42, 12, 
2018/6/28, 42, 15, 
2018/6/29, 46, 17, 
2018/6/30, 50, 11, 
2018/1/7, 63, 14, 
2018/1/8, 30, 20, 
2018/1/9, 42, 14, 
2018/1/10, 42, 23, 
2018/1/11, 53, 29, 
2018/1/12, 68, 28, 
2018/1/13, 72, 14, 
2018/1/14, 50, 25, 
2018/1/15, 74, 38, 
2018/1/16, 99, 33, 
2018/1/17, 85, 21, 
2018/1/18, 61, , 
2018/1/25, 114, 58, 
2018/1/26, 139, 52, 
2018/1/27, 137, 55, 
2018/1/28, 151, 53, 
2018/1/29, 127, 42, 
2018/1/30, 85, 50, 
2018/1/31, 104, 36, 
2018/2/1, 72, 16, 
2018/2/2, 61, 10, 
2018/2/3, 30, 19, 
2018/2/4, 55, 18, 
2018/2/5, 59, 20, 
2018/2/6, 63, 16, 
2018/2/7, 57, 38, 
2018/2/8, 89, 30, 
2018/2/9, 65, 24, 
2018/2/10, 70, 37, 
2018/2/11, 91, 28, 
2018/2/12, 80, 16, 
2018/2/13, 57, 20, 
2018/2/14, 46, 29, 
2018/2/15, 72, 44, 
2018/2/16, 99, 40, 
2018/2/17, 107, 35, 
2018/2/18, 91, 16, 
2018/2/19, 46, 31, 
2018/2/20, 85, 21, 
2018/2/21, 63, 10, 
2018/2/22, 38, 11, 
2018/2/23, 38, 14, 
2018/2/24, 46, 16, 
2018/2/25, 53, 14, 
2018/2/26, 50, 20, 
2018/2/27, 63, , 
2018/3/6, 72, 16, 
2018/3/7, 59, 30, 
2018/3/8, 82, 45, 
2018/3/9, 104, 39, 
2018/3/10, 80, 18, 
2018/3/11, 55, 21, 
2018/3/12, 57, 18, 
2018/3/13, 55, 21, 
2018/3/14, 61, 18, 
2018/3/15, 55, 10, 
2018/3/16, 42, 14, 
2018/3/17, 46, 11, 
2018/3/18, 17, 10, 
2018/3/19, 42, 22, 
2018/3/20, 72, 19, 
2018/3/21, 38, 21, 
2018/3/22, 63, 34, 
2018/3/23, 74, 36, 
2018/3/24, 91, 32, 
2018/3/25, 89, 41, 
2018/3/26, 112, 41, 
2018/3/27, 112, 35, 
2018/3/28, 102, 32, 
2018/3/29, 70, 33, 
