date, pm10, o3, no2, so2, co
2020/1/3, 9, , , , 
2020/1/4, 12, , , , 
2020/1/5, 16, , , , 
2020/1/6, 20, , , , 
2020/1/7, 19, , , , 
2020/1/8, 18, , , , 
2020/1/9, 9, , , , 
2020/1/10, 9, , , , 
2020/1/11, 10, , , , 
2020/1/12, 11, , , , 
2020/1/13, 10, , , , 
2020/1/14, 9, , , , 
2020/1/15, 10, , , , 
2019/10/1, 11, , , , 
2019/10/2, 8, , , , 
2019/10/3, 10, , , , 
2019/10/4, 14, , , , 
2019/10/5, 9, , , , 
2019/10/6, 10, , , , 
2019/10/7, 9, , , , 
2019/10/8, 9, , , , 
2019/10/9, 13, , , , 
2019/10/10, 9, , , , 
2019/10/11, 15, , , , 
2019/10/12, 14, , , , 
2019/10/13, 16, , , , 
2019/10/14, 26, , , , 
2019/10/15, 25, , , , 
2019/10/16, 12, , , , 
2019/10/17, 10, , , , 
2019/10/18, 10, , , , 
2019/10/19, 15, , , , 
2019/10/20, 12, , , , 
2019/10/21, 11, , , , 
2019/10/22, 14, , , , 
2019/10/23, 19, , , , 
2019/10/24, 29, , , , 
2019/10/25, 13, , , , 
2019/10/26, 12, , , , 
2019/10/27, 14, , , , 
2019/10/28, 14, , , , 
2019/10/29, 21, , , , 
2019/10/30, 13, , , , 
2019/10/31, 21, , , , 
2019/11/1, 28, , , , 
2019/11/2, 3, , , , 
2019/11/3, 4, , , , 
2019/11/4, 7, , , , 
2019/11/5, 12, , , , 
2019/11/6, 15, , , , 
2019/11/7, 9, , , , 
2019/11/8, 15, , , , 
2019/11/9, 21, , , , 
2019/11/10, 17, , , , 
2019/11/11, 12, , , , 
2019/11/12, 8, , , , 
2019/11/13, 11, , , , 
2019/11/14, 10, , , , 
2019/11/15, 6, , , , 
2019/11/16, 13, , , , 
2019/11/17, 24, , , , 
2019/11/18, 9, , , , 
2019/11/19, 11, , , , 
2019/11/20, 16, , , , 
2019/11/21, 21, , , , 
2019/11/22, 23, , , , 
2019/11/23, 20, , , , 
2019/11/24, 26, , , , 
2019/11/25, 32, , , , 
2019/11/26, 36, , , , 
2019/11/27, 12, , , , 
2019/11/28, 5, , , , 
2019/11/29, 7, , , , 
2019/11/30, 19, , , , 
2019/12/1, 12, , , , 
2019/12/2, 16, , , , 
2019/12/3, 25, , , , 
2019/12/4, 21, , , , 
2019/12/5, 27, , , , 
2019/12/6, 25, , , , 
2019/12/7, 8, , , , 
2019/12/8, 9, , , , 
2019/12/9, 12, , , , 
2019/12/10, 16, , , , 
2019/12/11, 15, , , , 
2019/12/12, 11, , , , 
2019/12/13, 6, , , , 
2019/12/14, 8, , , , 
2019/12/15, 9, , , , 
2019/12/16, 23, , , , 
2019/12/17, 27, , , , 
2019/12/18, 16, , , , 
2019/12/19, 19, , , , 
2019/12/20, 16, , , , 
2019/12/21, 10, , , , 
2019/12/22, 7, , , , 
2019/12/23, 7, , , , 
2019/12/24, 10, , , , 
2019/7/1, 21, , , , 
2019/7/2, 9, , , , 
2019/7/3, 7, , , , 
2019/7/4, 8, , , , 
2019/7/5, 13, , , , 
2019/7/6, 9, , , , 
2019/7/7, 9, , , , 
2019/7/8, 9, , , , 
2019/7/9, 12, , , , 
2019/7/10, 17, , , , 
2019/7/11, 18, , , , 
2019/7/12, 14, , , , 
2019/7/13, 12, , , , 
2019/7/14, 6, , , , 
2019/7/15, 12, , , , 
2019/7/16, 15, , , , 
2019/7/17, 21, , , , 
2019/7/18, 16, , , , 
2019/7/19, 8, , , , 
2019/7/20, 7, , , , 
2019/7/21, 4, , , , 
2019/7/22, 6, , , , 
2019/7/23, 7, , , , 
2019/7/24, 19, , , , 
2019/7/25, 30, , , , 
2019/7/26, 31, , , , 
2019/7/27, 21, , , , 
2019/7/28, 6, , , , 
2019/7/29, 8, , , , 
2019/7/30, 13, , , , 
2019/7/31, 14, , , , 
2019/8/1, 15, , , , 
2019/8/2, 14, , , , 
2019/8/3, 14, , , , 
2019/8/4, 8, , , , 
2019/8/5, 13, , , , 
2019/8/6, 14, , , , 
2019/8/7, 9, , , , 
2019/8/8, 10, , , , 
2019/8/9, 13, , , , 
2019/8/10, 11, , , , 
2019/8/11, 16, , , , 
2019/8/12, 12, , , , 
2019/8/13, 8, , , , 
2019/8/14, 9, , , , 
2019/8/15, 10, , , , 
2019/8/16, 11, , , , 
2019/8/17, 11, , , , 
2019/8/18, 3, , , , 
2019/8/19, 9, , , , 
2019/8/20, 15, , , , 
2019/8/21, 12, , , , 
2019/8/22, 14, , , , 
2019/8/23, 18, , , , 
2019/8/24, 17, , , , 
2019/8/25, 20, , , , 
2019/8/26, 25, , , , 
2019/8/27, 25, , , , 
2019/8/28, 23, , , , 
2019/8/29, 22, , , , 
2019/8/30, 17, , , , 
2019/8/31, 15, , , , 
2019/9/1, 12, , , , 
2019/9/2, 10, , , , 
2019/9/3, 10, , , , 
2019/9/4, 12, , , , 
2019/9/5, 12, , , , 
2019/9/6, 11, , , , 
2019/9/7, 14, , , , 
2019/9/8, 10, , , , 
2019/9/9, 9, , , , 
2019/9/10, 13, , , , 
2019/9/11, 15, , , , 
2019/9/12, 11, , , , 
2019/9/13, 8, , , , 
2019/9/14, 12, , , , 
2019/9/15, 13, , , , 
2019/9/16, 21, , , , 
2019/9/19, 12, , , , 
2019/9/20, 16, , , , 
2019/9/21, 16, , , , 
2019/9/22, 16, , , , 
