date, pm25, pm10, so2
2020/1/1, 70, 19, 3
2020/1/2, 59, , 
2020/1/6, 55, 31, 3
2020/1/7, 76, 19, 1
2020/1/8, 57, 30, 3
2020/1/9, 76, , 
2020/1/12, 42, 23, 2
2020/1/13, 61, 40, 2
2020/1/14, 102, , 
2019/10/1, 42, 14, 1
2019/10/2, 30, 6, 1
2019/10/3, 13, , 
2019/10/6, 17, 10, 1
2019/10/7, 30, 11, 3
2019/10/8, 30, 26, 5
2019/10/9, 46, 12, 2
2019/10/10, 30, , 
2019/10/13, 76, 43, 2
2019/10/14, 95, 20, 2
2019/10/15, 55, 17, 2
2019/10/16, 34, 21, 2
2019/10/17, 46, , 
2019/10/20, 53, 25, 
2019/10/21, 59, 27, 4
2019/10/22, 55, 30, 2
2019/10/23, 55, , 2
2019/10/27, 72, 32, 
2019/10/28, 76, 11, 1
2019/10/29, 34, 9, 2
2019/10/30, 30, , 
2019/11/3, 21, 19, 3
2019/11/4, 30, , 3
2019/11/6, 21, 10, 2
2019/11/7, 30, , 
2019/11/10, 21, 7, 1
2019/11/11, 21, 5, 1
2019/11/12, 17, 12, 1
2019/11/13, 25, , 1
2019/11/17, 25, 10, 1
2019/11/18, 21, 12, 2
2019/11/19, 25, 12, 2
2019/11/20, 38, 14, 1
2019/11/21, 42, , 
2019/11/24, 38, 13, 2
2019/11/25, 38, 11, 2
2019/11/27, 42, 25, 3
2019/11/28, 59, , 
2019/12/1, 30, 8, 1
2019/12/2, 25, 7, 1
2019/12/3, 25, 9, 
2019/12/4, 25, 20, 
2019/12/5, 59, , 
2019/12/8, 99, 40, 2
2019/12/9, 93, 5, 
2019/12/10, 17, 8, 2
2019/12/11, 25, 12, 1
2019/12/12, 42, , 
2019/12/15, 50, 39, 4
2019/12/16, 85, 22, 
2019/12/17, 38, 20, 2
2019/12/18, 34, 15, 1
2019/12/19, 30, , 
2019/12/22, 17, 14, 3
2019/12/23, 46, , 
2019/7/1, 57, 20, 1
2019/7/2, 55, 14, 3
2019/7/3, 34, 16, 1
2019/7/4, 50, , 
2019/7/7, 53, 12, 1
2019/7/8, 34, 7, 1
2019/7/9, 21, 10, 
2019/7/10, 30, 17, 2
2019/7/11, 42, , 
2019/7/13, 34, , 3
2019/7/15, 30, 15, 1
2019/7/16, 38, 17, 2
2019/7/17, 46, 13, 2
2019/7/18, 42, , 
2019/7/21, 53, 18, 2
2019/7/22, 50, 18, 1
2019/7/23, 50, 20, 1
2019/7/24, 53, 24, 
2019/7/25, 61, , 
2019/7/28, 17, 11, 1
2019/7/29, 30, 16, 
2019/7/30, 42, 19, 
2019/7/31, 50, 18, 1
2019/8/1, 50, , 
2019/8/4, 25, 13, 1
2019/8/5, 34, 15, 1
2019/8/6, 38, 17, 
2019/8/7, 38, 20, 
2019/8/8, 46, , 
2019/8/11, 53, 20, 2
2019/8/12, 57, 18, 1
2019/8/13, 42, , 
2019/8/19, 42, 14, 2
2019/8/20, 46, 16, 1
2019/8/21, 53, 10, 1
2019/8/22, 25, , 
2019/8/25, 55, 23, 1
2019/8/26, 68, 24, 
2019/8/27, 68, 28, 2
2019/8/28, 76, 28, 
2019/8/29, 74, , 
2019/9/1, 65, 21, 2
2019/9/2, 59, 8, 
2019/9/3, 25, 10, 1
2019/9/4, 30, 12, 2
2019/9/5, 34, 10, 1
2019/9/6, 34, , 
2019/9/10, 21, 14, 1
2019/9/11, 46, 12, 
2019/9/12, 42, , 
2019/9/14, 38, , 2
2019/9/19, 21, , 
2019/9/22, 42, 15, 1
2019/9/23, 42, 10, 1
2019/9/24, 25, 10, 1
2019/9/25, 25, 10, 2
2019/9/26, 21, , 
2019/9/29, 38, 20, 2
2019/9/30, 42, 17, 1
2019/4/1, 55, 30, 3
2019/4/2, 68, 24, 3
2019/4/3, 61, 18, 3
2019/4/4, 50, , 
2019/4/7, 38, 25, 3
2019/4/8, 65, 22, 4
2019/4/9, 59, 21, 3
2019/4/10, 61, 6, 1
2019/4/11, 21, , 
2019/4/14, 46, 18, 1
2019/4/15, 57, 26, 3
2019/4/16, 65, 30, 8
2019/4/17, 72, 18, 2
2019/4/18, 46, , 
2019/4/22, 57, 20, 2
2019/4/23, 50, , 
2019/4/28, 17, 9, 1
2019/4/29, 25, , 
2019/5/1, 46, 18, 3
2019/5/2, 42, , 
2019/5/5, 13, 8, 2
2019/5/6, 21, 14, 2
2019/5/7, 38, 23, 3
2019/5/8, 50, 10, 
2019/5/9, 30, , 
2019/5/12, 13, 4, 1
2019/5/13, 13, 7, 1
2019/5/14, 21, 3, 1
2019/5/15, 13, 8, 2
2019/5/16, 17, , 
2019/5/19, 34, 17, 1
2019/5/20, 34, 9, 1
2019/5/21, 21, 16, 2
2019/5/22, 38, 22, 2
2019/5/23, 55, , 
2019/5/26, 42, 10, 1
2019/5/27, 25, 11, 1
2019/5/28, 25, 4, 
2019/5/29, 9, 5, 1
