date, pm25, pm10, no2
2020/1/2, 16, 6, 9
2020/1/3, 16, 12, 7
2020/1/4, 36, 7, 10
2020/1/5, 16, 8, 14
2020/1/6, 21, 8, 9
2020/1/7, 15, 8, 8
2020/1/8, 15, 18, 5
2020/1/9, 30, 11, 12
2020/1/10, 24, 6, 12
2020/1/11, 12, 9, 6
2020/1/12, 21, 8, 11
2020/1/13, 20, 7, 14
2020/1/14, 17, 10, 24
2020/1/15, 32, 8, 15
2020/1/16, 26, , 
2019/10/1, 18, 8, 
2019/10/2, 35, 34, 10
2019/10/3, 33, 43, 17
2019/10/4, 28, 45, 14
2019/10/5, 23, 7, 12
2019/10/6, 17, 7, 7
2019/10/7, 23, 47, 18
2019/10/8, 27, 70, 20
2019/10/9, 39, 21, 18
2019/10/10, 28, 50, 19
2019/10/11, 39, 41, 15
2019/10/12, 32, 35, 18
2019/10/13, 37, 34, 22
2019/10/14, 33, 32, 24
2019/10/15, 35, 16, 23
2019/10/16, 31, 20, 21
2019/10/17, 23, 12, 13
2019/10/18, 22, 9, 17
2019/10/19, 29, 12, 8
2019/10/20, 16, 10, 20
2019/10/21, 24, 9, 21
2019/10/22, 24, 8, 14
2019/10/23, 25, 7, 22
2019/10/24, 20, 5, 7
2019/10/25, 15, 38, 8
2019/10/26, 24, 77, 20
2019/10/27, 40, 13, 16
2019/10/28, 27, 8, 19
2019/10/29, 26, 10, 24
2019/10/30, 25, 7, 13
2019/10/31, 19, 6, 13
2019/11/1, 16, 6, 6
2019/11/2, 14, 10, 16
2019/11/3, 29, 6, 13
2019/11/4, 19, 7, 14
2019/11/5, 21, 8, 21
2019/11/6, 24, 16, 37
2019/11/7, 53, 18, 38
2019/11/8, 52, 15, 26
2019/11/9, 45, 9, 18
2019/11/10, 29, 14, 31
2019/11/11, 37, 11, 28
2019/11/12, 28, 9, 13
2019/11/13, 22, 12, 25
2019/11/14, 34, 7, 12
2019/11/15, 21, 11, 23
2019/11/16, 34, 8, 16
2019/11/17, 23, 9, 22
2019/11/18, 24, 10, 24
2019/11/19, 28, 9, 18
2019/11/20, 23, 8, 11
2019/11/21, 17, 10, 25
2019/11/22, 28, 7, 12
2019/11/23, 19, 7, 11
2019/11/24, 19, 7, 16
2019/11/25, 18, 7, 20
2019/11/26, 19, 7, 23
2019/11/27, 17, 6, 20
2019/11/28, 19, 8, 22
2019/11/29, 25, 10, 6
2019/12/3, 54, 7, 10
2019/12/4, 35, 8, 17
2019/12/5, 25, 14, 33
2019/12/6, 38, 11, 26
2019/12/7, 32, 8, 12
2019/12/8, 19, 12, 19
2019/12/9, 28, 8, 17
2019/12/10, 22, 5, 9
2019/12/11, 14, 10, 22
2019/12/12, 23, 11, 28
2019/12/13, 29, 7, 17
2019/12/14, 24, 12, 27
2019/12/15, 36, 11, 25
2019/12/16, 32, 6, 14
2019/12/17, 20, 7, 16
2019/12/18, 24, 10, 21
2019/12/19, 23, 6, 12
2019/12/20, 14, 8, 14
2019/12/21, 21, 9, 20
2019/12/22, 25, 8, 11
2019/12/23, 24, 6, 4
2019/12/24, 21, 11, 5
2019/12/25, 23, 31, 13
2019/12/26, 28, 24, 4
2019/12/27, 16, 11, 5
2019/12/28, 10, , 
2019/7/22, 30, 19, 16
2019/7/23, 30, 23, 13
2019/7/24, 24, 15, 13
2019/7/25, 25, 20, 13
2019/7/26, 29, 15, 8
2019/7/27, 19, 11, 4
2019/7/28, 16, 11, 3
2019/7/29, 18, 28, 2
2019/7/30, 14, 14, 2
2019/7/31, 19, 15, 8
2019/8/1, 22, 15, 
2019/8/2, 31, 20, 
2019/8/3, 23, 12, 
2019/8/4, 20, 11, 
2019/8/5, 22, 16, 
2019/8/6, 22, 24, 
2019/8/7, 26, 22, 
2019/8/8, 25, 19, 
2019/8/9, 26, 21, 
2019/8/10, 23, 14, 
2019/8/11, 31, 15, 
2019/8/12, 34, 25, 
2019/8/13, 25, 20, 
2019/8/14, 24, 20, 
2019/8/15, 22, 11, 
2019/8/16, 20, 12, 
2019/8/17, 21, 10, 
2019/8/18, 30, 15, 
2019/8/19, 25, 10, 
2019/8/20, 28, 22, 
2019/8/21, 32, 24, 
2019/8/22, 21, 22, 
2019/8/23, 21, 17, 
2019/8/24, 17, 10, 
2019/8/25, 21, 10, 
2019/8/26, 29, 16, 
2019/8/27, 42, 34, 25
2019/8/28, 42, 42, 21
2019/8/29, 57, 46, 30
2019/8/30, 28, 11, 22
2019/8/31, 25, 14, 15
2019/9/1, 24, 19, 12
2019/9/2, 22, 17, 13
2019/9/3, 18, 17, 10
2019/9/4, 18, 9, 9
2019/9/5, 20, 14, 14
2019/9/6, 24, 8, 14
2019/9/7, 23, 8, 10
2019/9/8, 20, 9, 7
2019/9/9, 26, 28, 15
2019/9/10, 34, 32, 17
2019/9/11, 36, 25, 16
2019/9/12, 31, 13, 16
2019/9/13, 21, 8, 12
2019/9/14, 16, 6, 8
2019/9/15, 19, 13, 12
2019/9/16, 29, 28, 15
2019/9/17, 26, 24, 13
2019/9/18, 19, 14, 8
2019/9/19, 21, 7, 14
2019/9/20, 20, 8, 15
2019/9/21, 21, 6, 12
2019/9/22, 22, 7, 10
2019/9/23, 26, 24, 18
2019/9/24, 22, 26, 15
2019/9/25, 22, 8, 12
2019/9/26, 27, 9, 23
2019/9/27, 33, 24, 23
2019/9/28, 23, 17, 13
2019/9/29, 10, 7, 3
2019/9/30, 16, 16, 2
2019/4/1, 19, 7, 17
2019/4/2, 21, 8, 13
2019/4/3, 21, 10, 19
2019/4/4, 28, 18, 17
2019/4/5, 24, 32, 7
2019/4/6, 25, 12, 10
2019/4/7, 23, 13, 13
2019/4/8, 24, 48, 14
2019/4/9, 25, 72, 16
2019/4/10, 26, 68, 9
2019/4/11, 25, 7, 13
2019/4/12, 20, 7, 7
2019/4/13, 19, 13, 9
2019/4/14, 31, 12, 17
2019/4/15, 27, 27, 16
2019/4/16, 23, 58, 20
2019/4/17, 33, 48, 6
2019/4/18, 30, 18, 3
2019/4/19, 28, 40, 3
2019/4/20, 44, 9, 3
2019/4/21, 20, 26, 5
2019/4/22, 23, 18, 19
2019/4/23, 44, 73, 28
2019/4/24, 54, 67, 28
2019/4/25, 51, 63, 19
2019/4/26, 52, 46, 11
2019/4/27, 43, 44, 12
2019/4/28, 53, 44, 14
2019/4/29, 42, 14, 14
2019/4/30, 22, 14, 4
2019/5/1, 19, 39, 11
2019/5/2, 31, 24, 7
2019/5/3, 25, 7, 4
2019/5/4, 18, 22, 4
2019/5/5, 21, 51, 7
2019/5/6, 28, 44, 13
2019/5/7, 31, 21, 12
2019/5/8, 25, 32, 12
2019/5/9, 29, 54, 18
2019/5/10, 34, 39, 14
2019/5/11, 36, 16, 10
2019/5/12, 28, 10, 12
2019/5/13, 20, 12, 10
2019/5/14, 22, 28, 12
2019/5/15, 25, 27, 12
2019/5/16, 26, 24, 7
2019/5/17, 24, 19, 6
2019/5/18, 27, 20, 8
2019/5/19, 30, 43, 10
2019/5/20, 37, 35, 6
2019/5/21, 36, 34, 4
2019/5/22, 22, 23, 7
2019/5/23, 17, 24, 7
2019/5/24, 21, 7, 3
2019/5/25, 14, 9, 5
2019/5/26, 14, 18, 12
2019/5/27, 23, 26, 13
2019/5/28, 26, 25, 10
2019/5/29, 20, 8, 3
2019/5/30, 17, 14, 7
2019/5/31, 19, 7, 6
2019/6/1, 18, 8, 5
2019/6/2, 20, 21, 8
2019/6/3, 19, 27, 15
2019/6/4, 30, 23, 16
2019/6/5, 34, 28, 19
2019/6/6, 37, 28, 16
2019/6/7, 32, 10, 12
2019/6/8, 26, 6, 2
2019/6/9, 9, 9, 2
2019/6/10, 18, 18, 10
2019/6/11, 23, 21, 11
2019/6/12, 21, 27, 14
2019/6/13, 29, 25, 10
2019/6/14, 25, 14, 6
2019/6/15, 25, 10, 4
2019/6/16, 18, 22, 9
2019/6/17, 25, 34, 14
2019/6/18, 33, 18, 16
2019/6/19, 30, 26, 11
2019/6/20, 25, 17, 17
2019/6/21, 29, 8, 11
2019/6/22, 25, 9, 12
2019/6/23, 27, 10, 11
2019/6/24, 23, 7, 11
2019/6/25, 16, 18, 10
2019/1/1, 39, 9, 22
2019/1/2, 27, 11, 16
2019/1/3, 20, 9, 24
2019/1/4, 26, 5, 8
2019/1/5, 16, 8, 7
2019/1/6, 18, 6, 10
2019/1/7, 14, 9, 16
2019/1/8, 25, 7, 19
2019/1/9, 20, 4, 8
2019/1/10, 9, 14, 8
2019/1/11, 30, 7, 9
2019/1/12, 19, 8, 20
2019/1/13, 26, 12, 32
2019/1/14, 35, 10, 18
2019/1/15, 24, 9, 22
2019/1/16, 25, 7, 16
2019/1/17, 23, 9, 16
2019/1/18, 31, 11, 18
2019/1/19, 38, 8, 9
2019/1/20, 22, 9, 21
2019/1/21, 24, 8, 16
2019/1/22, 23, 21, 33
2019/1/23, 49, 25, 40
2019/1/24, 52, 18, 9
2019/1/25, 18, 39, 10
2019/1/26, 23, 36, 9
2019/1/27, 23, 31, 28
2019/1/28, 46, 23, 17
2019/1/29, 29, 25, 29
2019/1/30, 49, 19, 29
2019/1/31, 49, 17, 38
2019/2/1, 49, 16, 23
2019/2/2, 42, 21, 5
2019/2/3, 26, 21, 24
2019/2/4, 42, 15, 22
2019/2/5, 38, 7, 12
2019/2/6, 21, 6, 11
2019/2/7, 18, 17, 36
2019/2/8, 47, 16, 36
2019/2/9, 50, 7, 19
2019/2/10, 24, 7, 9
2019/2/11, 21, 6, 16
2019/2/12, 20, 12, 25
2019/2/13, 24, 7, 12
2019/2/14, 12, 12, 20
2019/2/15, 27, 8, 9
2019/2/16, 24, 14, 17
2019/2/17, 33, 8, 25
2019/2/18, 19, 7, 7
2019/2/19, 19, 13, 21
2019/2/20, 31, 7, 10
2019/2/21, 20, 6, 7
2019/2/22, 12, 9, 6
2019/2/23, 23, 9, 6
2019/2/24, 19, 9, 17
2019/2/25, 24, 6, 14
2019/2/26, 14, 8, 8
2019/2/27, 18, 20, 16
2019/2/28, 25, 14, 16
2019/3/1, 20, 10, 13
2019/3/2, 26, 17, 4
2019/3/3, 15, 9, 11
2019/3/4, 24, 7, 14
2019/3/5, 19, 10, 15
2019/3/6, 24, 12, 25
2019/3/7, 29, 9, 22
2019/3/8, 22, 7, 3
2019/3/9, 20, 9, 16
2019/3/10, 28, 8, 12
2019/3/11, 23, 7, 18
2019/3/12, 24, 9, 28
2019/3/13, 24, 8, 21
2019/3/14, 25, 10, 25
2019/3/15, 32, 7, 10
2019/3/16, 23, 9, 7
2019/3/17, 21, 14, 26
2019/3/18, 34, 9, 14
2019/3/19, 21, 10, 13
2019/3/20, 20, 12, 17
2019/3/21, 27, 10, 12
2019/3/22, 19, 5, 9
2019/3/23, 12, 9, 8
2019/3/24, 26, 11, 18
2019/3/25, 26, 7, 15
2019/3/26, 18, 15, 9
2019/3/27, 27, 9, 13
2019/3/28, 17, 16, 9
2019/3/29, 28, 7, 8
2019/3/30, 20, 10, 8
2019/3/31, 26, 6, 14
2018/10/1, 23, 29, 8
2018/10/2, 21, 13, 16
2018/10/3, 24, 8, 15
2018/10/4, 19, 42, 23
2018/10/5, 32, 16, 10
2018/10/6, 23, 5, 6
2018/10/7, 16, 33, 14
2018/10/8, 21, 6, 8
2018/10/9, 17, 13, 14
2018/10/10, 31, 40, 11
2018/10/11, 27, 35, 24
2018/10/12, 35, 16, 10
2018/10/13, 21, 28, 13
2018/10/14, 29, 11, 12
2018/10/15, 23, 12, 13
2018/10/16, 22, 36, 16
2018/10/17, 22, 27, 11
2018/10/18, 22, 10, 16
2018/10/19, 26, 6, 7
2018/10/20, 13, 8, 4
2018/10/21, 16, 8, 7
2018/10/22, 20, 39, 21
2018/10/23, 33, 31, 30
2018/10/24, 43, 37, 30
2018/10/25, 40, 23, 29
2018/10/26, 44, 8, 13
2018/10/27, 25, 6, 10
2018/10/28, 18, 10, 15
2018/10/29, 25, 26, 20
2018/10/30, 24, 20, 19
2018/10/31, 26, 12, 20
2018/11/1, 34, 15, 32
2018/11/2, 34, 9, 14
2018/11/3, 23, 9, 5
2018/11/4, 15, 9, 9
2018/11/5, 20, 10, 18
2018/11/6, 26, 15, 26
2018/11/7, 37, 11, 25
2018/11/8, 35, 13, 21
2018/11/9, 34, 8, 11
2018/11/10, 21, 10, 14
2018/11/11, 26, 12, 19
2018/11/12, 30, 6, 9
2018/11/13, 19, 20, 11
2018/11/14, 17, 32, 10
2018/11/15, 28, 17, 9
2018/11/16, 28, 12, 10
2018/11/17, 33, 17, 10
2018/11/18, 18, 38, 9
2018/11/19, 18, 14, 19
2018/11/20, 32, 11, 11
2018/11/21, 36, 6, 14
2018/11/22, 24, 13, 7
2018/11/23, 20, 10, 12
2018/11/24, 26, 7, 9
2018/11/25, 18, 9, 18
2018/11/26, 26, 7, 13
2018/11/27, 17, 9, 14
2018/11/28, 21, 6, 26
2018/11/29, 18, 10, 21
2018/11/30, 25, 10, 20
2018/12/1, 29, 7, 10
2018/12/2, 17, 24, 13
2018/12/3, 18, 37, 11
2018/12/4, 23, 9, 14
2018/12/5, 21, 8, 19
2018/12/6, 21, 6, 18
2018/12/7, 17, 11, 22
2018/12/8, 32, 6, 11
2018/12/9, 23, 10, 19
2018/12/10, 33, 8, 17
2018/12/11, 25, 7, 12
2018/12/12, 18, 9, 10
2018/12/13, 18, 8, 11
2018/12/14, 19, 43, 10
2018/12/15, 20, 62, 12
2018/12/16, 23, 48, 24
2018/12/17, 38, 25, 34
2018/12/18, 43, 22, 25
2018/12/19, 37, 22, 31
2018/12/20, 43, 14, 17
2018/12/21, 26, 24, 5
2018/12/22, 22, 10, 7
2018/12/23, 19, 6, 13
2018/12/24, 19, 6, 8
2018/12/25, 18, 10, 11
2018/12/26, 24, 10, 26
2018/12/27, 30, 6, 13
2018/12/28, 17, 6, 4
2018/12/29, 17, 7, 9
2018/12/30, 19, , 
2018/7/1, 23, 32, 
2018/7/2, 39, 26, 
2018/7/3, 35, 18, 
2018/7/4, 28, 31, 
2018/7/5, 30, 22, 
2018/7/6, 33, 11, 
2018/7/7, 26, 12, 
2018/7/8, 23, 18, 
2018/7/9, 28, 18, 8
2018/7/10, 28, 24, 10
2018/7/11, 32, 19, 8
2018/7/12, 34, 19, 8
2018/7/13, 30, 10, 7
2018/7/14, 22, 11, 7
2018/7/15, 25, 16, 10
2018/7/16, 28, 27, 13
2018/7/17, 36, 22, 12
2018/7/18, 32, 21, 10
2018/7/19, 40, 15, 11
2018/7/20, 29, 15, 12
2018/7/21, 34, 10, 6
2018/7/22, 26, 20, 10
2018/7/23, 41, 23, 12
2018/7/24, 46, 13, 13
2018/7/25, 31, 15, 9
2018/7/26, 30, 20, 10
2018/7/27, 30, 15, 9
2018/7/28, 30, 18, 11
2018/7/29, 37, 37, 22
2018/7/30, 56, 26, 15
2018/7/31, 45, 27, 15
2018/8/1, 47, 15, 6
2018/8/2, 22, 18, 11
2018/8/3, 28, 9, 7
2018/8/4, 23, 5, 5
2018/8/5, 13, 11, 9
2018/8/6, 20, 15, 10
2018/8/7, 22, 17, 9
2018/8/8, 21, 12, 14
2018/8/9, 31, 14, 7
2018/8/10, 21, 11, 10
2018/8/11, 23, 7, 5
2018/8/12, 18, 12, 11
2018/8/13, 21, 14, 10
2018/8/14, 25, 24, 12
2018/8/15, 26, 27, 16
2018/8/16, 31, 9, 15
2018/8/17, 24, 13, 9
2018/8/18, 20, 8, 10
2018/8/19, 23, 9, 11
2018/8/20, 21, 8, 11
2018/8/21, 20, 13, 13
2018/8/22, 17, 22, 16
2018/8/23, 28, 27, 14
2018/8/24, 25, 10, 9
2018/8/25, 22, 10, 6
2018/8/26, 20, 13, 11
2018/8/27, 24, 19, 11
2018/8/28, 24, 32, 18
2018/8/29, 35, 16, 14
2018/8/30, 31, 14, 13
2018/8/31, 27, 14, 12
2018/9/1, 22, 8, 5
2018/9/2, 19, 18, 10
2018/9/3, 26, 16, 13
2018/9/4, 27, 19, 11
2018/9/5, 26, 26, 17
2018/9/6, 30, 20, 13
2018/9/7, 30, 13, 9
2018/9/8, 27, 12, 10
2018/9/9, 24, 33, 19
2018/9/10, 39, 21, 24
2018/9/11, 32, 17, 16
2018/9/12, 27, 23, 21
2018/9/13, 32, 13, 17
2018/9/14, 27, 9, 9
2018/9/15, 20, 10, 8
2018/9/16, 20, 17, 16
2018/9/17, 23, 24, 15
2018/9/18, 29, 23, 15
2018/9/19, 24, 9, 17
2018/9/20, 21, 11, 9
2018/9/21, 22, 8, 9
2018/9/22, 14, 6, 5
2018/9/23, 19, 10, 10
2018/9/24, 26, 6, 9
2018/9/25, 15, 7, 10
2018/9/26, 18, 10, 17
2018/9/27, 28, 7, 16
2018/9/28, 22, 10, 7
2018/9/29, 12, 8, 15
2018/9/30, 25, 22, 9
2018/4/1, 18, 8, 15
2018/4/2, 23, 11, 24
2018/4/3, 32, 11, 26
2018/4/4, 27, 9, 18
2018/4/5, 24, 9, 17
2018/4/6, 22, 10, 10
2018/4/7, 26, 8, 8
2018/4/8, 18, 9, 18
2018/4/9, 26, 8, 13
2018/4/10, 22, 7, 12
2018/4/11, 20, 11, 22
2018/4/12, 32, 19, 35
2018/4/13, 33, 16, 17
2018/4/14, 33, 15, 18
2018/4/15, 29, 16, 23
2018/4/16, 30, 29, 33
2018/4/17, 39, 27, 25
2018/4/18, 31, 12, 21
2018/4/19, 25, 9, 22
2018/4/20, 22, 20, 14
2018/4/21, 25, 42, 7
2018/4/22, 35, 79, 18
2018/4/23, 39, 13, 22
2018/4/24, 23, 9, 16
2018/4/25, 20, 53, 16
2018/4/26, 33, 12, 10
2018/4/27, 20, 9, 3
2018/4/28, 18, 49, 6
2018/4/29, 26, 59, 16
2018/4/30, 35, 40, 12
2018/5/1, 28, 73, 12
2018/5/2, 37, 63, 11
2018/5/3, 43, 44, 14
2018/5/4, 34, 19, 10
2018/5/5, 20, 12, 5
2018/5/6, 22, 31, 15
2018/5/7, 27, 55, 14
2018/5/8, 35, 53, 14
2018/5/9, 37, 35, 18
2018/5/10, 43, 32, 16
2018/5/11, 35, 21, 12
2018/5/12, 25, 26, 17
2018/5/13, 32, 47, 26
2018/5/14, 38, 36, 22
2018/5/15, 35, 43, 18
2018/5/16, 34, 22, 6
2018/5/17, 25, 13, 8
2018/5/18, 18, 14, 4
2018/5/19, 25, 14, 4
2018/5/20, 24, 14, 6
2018/5/21, 23, 10, 12
2018/5/22, 21, 16, 12
2018/5/23, 25, 24, 11
2018/5/24, 20, 27, 9
2018/5/25, 27, 15, 6
2018/5/26, 25, 11, 5
2018/5/27, 22, 31, 15
2018/5/28, 34, 15, 10
2018/5/29, 30, 21, 8
2018/5/30, 25, 37, 19
2018/5/31, 32, 19, 8
2018/6/1, 21, 7, 5
2018/6/2, 14, 5, 5
2018/6/3, 11, 7, 10
2018/6/4, 21, 12, 11
2018/6/5, 22, 12, 11
2018/6/6, 18, 11, 14
2018/6/7, 22, 21, 12
2018/6/8, 22, 8, 9
2018/6/9, 19, 6, 7
2018/6/10, 16, 7, 12
2018/6/11, 19, 13, 9
2018/6/12, 20, 22, 12
2018/6/13, 22, 39, 18
2018/6/14, 26, 21, 13
2018/6/15, 29, 19, 
2018/6/16, 24, 14, 
2018/6/17, 22, 32, 
2018/6/18, 37, 23, 11
2018/6/19, 28, 8, 14
2018/6/20, 24, 17, 15
2018/6/21, 27, 12, 8
2018/6/22, 25, 9, 
2018/6/23, 24, 12, 
2018/6/24, 22, 18, 
2018/6/25, 22, 21, 
2018/6/26, 31, 9, 
2018/6/27, 23, 13, 
2018/6/28, 25, 8, 
2018/6/29, 20, 11, 
2018/6/30, 20, 17, 
2018/1/1, 37, 14, 32
2018/1/2, 41, 8, 19
2018/1/3, 29, 7, 23
2018/1/4, 19, 8, 23
2018/1/5, 15, 7, 14
2018/1/6, 18, 6, 9
2018/1/7, 16, 14, 9
2018/1/8, 27, 8, 13
2018/1/9, 20, 15, 25
2018/1/10, 32, 11, 27
2018/1/11, 28, , 13
2018/1/15, 31, 18, 10
2018/1/16, 23, 14, 10
2018/1/17, 29, 15, 9
2018/1/18, 33, 16, 26
2018/1/19, 41, 13, 16
2018/1/20, 36, 11, 13
